date,open,high,low,close,volume
2017-07-03,94.05,101.4,93.55,100.75,49805450
2017-07-04,102.0,102.0,97.95,99.65,30046373
2017-07-05,99.6,102.1,99.5,102.1,17980322
2017-07-06,102.35,103.3,101.85,102.0,10759360
2017-07-07,102.2,104.5,100.8,104.1,15731984
2017-07-10,104.3,105.65,102.2,105.4,21477284804
2017-07-11,104.9,107.45,103.6,105.15,23332456
2017-07-12,104.8,106.7,104.3,106.3,11778954
2017-07-13,106.8,107.15,105.05,106.0,7972726
2017-07-14,106.0,106.35,104.3,105.8,8898328
2017-07-17,105.25,108.45,105.25,108.35,8669462
2017-07-18,108.55,109.7,104.7,105.7,24403652
2017-07-19,107.05,107.5,106.1,106.8,8988819
2017-07-20,107.3,107.4,105.7,105.9,6811422
2017-07-21,105.55,106.0,100.0,102.95,23343991
2017-07-24,102.05,104.65,101.7,103.75,16003993
2017-07-25,104.95,105.5,104.25,105.05,7752011
2017-07-26,105.05,106.45,105.05,106.3,8223117
2017-07-27,106.45,106.75,104.65,105.4,6518508
2017-07-28,104.5,109.9,104.15,109.45,11393942
2017-07-31,109.5,110.45,108.25,109.15,10216766
2017-08-01,110.25,112.1,108.75,110.75,17733180
2017-08-02,110.95,110.95,108.6,108.75,7158678
2017-08-03,109.1,110.45,108.1,108.8,7687700
2017-08-04,108.75,109.9,106.3,109.5,8720348
2017-08-07,108.75,111.5,108.75,111.1,8240646
2017-08-08,111.2,114.35,110.1,112.3,18632177
2017-08-09,111.8,112.65,108.75,108.9,7751105
2017-08-10,108.05,108.65,101.25,104.55,12696368
2017-08-11,101.0,105.35,99.0,102.7,14717249
2017-08-14,104.7,106.85,104.3,104.8,7285451
2017-08-16,105.5,105.95,102.05,105.0,10836084
2017-08-17,105.25,106.9,104.5,105.8,6245895
2017-08-18,104.95,104.95,102.4,103.8,6163978
2017-08-21,104.05,104.5,101.55,102.4,5252552
2017-08-22,103.45,103.65,100.0,100.6,8354687
2017-08-23,101.45,103.2,101.0,102.6,6287090
2017-08-24,103.5,103.6,102.2,103.0,4448564
2017-08-28,103.6,106.25,103.25,105.5,11183651
2017-08-29,105.5,106.75,104.35,105.0,6323847
2017-08-30,106.1,108.25,106.1,107.3,7830136
2017-08-31,107.05,107.75,106.2,107.2,10569479
2017-09-01,107.75,113.2,107.2,112.95,19511813
2017-09-04,113.85,115.8,111.3,113.5,20468386
2017-09-05,114.45,114.9,112.05,113.1,8868863
2017-09-06,112.15,113.7,111.4,112.25,9755801
2017-09-07,112.55,113.35,110.8,112.3,4905758
2017-09-08,113.05,116.75,112.7,115.4,21837533
2017-09-11,116.75,117.4,115.8,116.4,9239660
2017-09-12,116.9,118.75,116.2,118.7,11917088
2017-09-13,118.55,119.15,117.15,118.0,9539932
2017-09-14,117.65,119.1,116.7,116.9,6950209
2017-09-15,116.2,117.7,114.75,116.85,7406366
2017-09-18,117.5,119.35,117.4,118.5,5840783
2017-09-19,118.9,118.9,117.15,118.2,4501021
2017-09-20,118.5,120.2,118.5,119.55,8436746
2017-09-21,119.6,119.95,115.9,117.25,11006349
2017-09-22,116.6,116.6,113.7,114.85,7677183
2017-09-25,114.45,114.45,109.7,113.1,10369337
2017-09-26,113.0,114.7,112.8,113.55,5786191
2017-09-27,113.9,114.45,111.45,112.6,8787467
2017-09-28,113.05,117.75,112.65,117.6,18993758
2017-09-29,118.05,123.85,118.0,123.3,25364104
2017-10-03,125.85,126.2,121.25,122.35,19721050
2017-10-04,122.85,123.9,121.25,123.75,6991447
2017-10-05,123.6,124.8,122.0,122.85,6330871
2017-10-06,123.4,125.2,122.65,124.8,9299643
2017-10-09,125.1,125.5,122.85,124.0,6132924
2017-10-10,123.8,126.85,123.3,126.5,9886069
2017-10-11,127.35,127.45,122.65,124.7,11206478
2017-10-12,125.1,125.85,123.9,125.45,6016780
2017-10-13,126.25,126.7,124.75,125.35,4172944
2017-10-16,125.85,127.9,124.5,127.6,6783009
2017-10-17,127.25,128.9,126.35,128.45,6832412
2017-10-18,128.1,131.0,126.7,130.6,8379234
2017-10-23,129.15,129.7,127.35,128.2,6965771287
2017-10-24,128.8,129.35,127.5,128.45,4173715
2017-10-25,130.05,130.3,126.7,128.5,8687413
2017-10-26,128.1,132.6,127.6,130.95,16035364
2017-10-27,131.7,131.7,127.05,127.8,9650668
2017-10-30,128.4,129.4,127.9,129.1,5048397
2017-10-31,129.0,131.5,128.5,131.3,7794132
2017-11-01,131.8,132.8,125.35,126.85,13507323
2017-11-02,126.8,128.8,124.3,124.6,7907896
2017-11-03,124.6,125.25,123.1,123.5,6596632
2017-11-06,123.9,126.8,122.8,125.45,8448106
2017-11-07,126.05,126.7,121.2,121.6,11970735
2017-11-08,122.8,124.35,117.05,119.5,31898183
2017-11-09,120.0,121.45,112.1,115.6,21269563
2017-11-10,116.75,117.05,111.1,111.9,16661805
2017-11-13,112.45,113.75,107.7,113.5,21302403
2017-11-14,114.75,114.85,112.25,113.6,15241636
2017-11-15,114.0,115.7,112.75,113.85,11141239
2017-11-16,114.3,115.0,111.9,114.4,8325433
2017-11-17,115.7,117.2,115.5,115.85,10544577
2017-11-20,116.4,117.2,114.4,114.95,9435320
2017-11-21,115.35,115.55,113.6,114.35,11535029
2017-11-22,114.2,114.7,110.75,113.85,23521131
2017-11-23,113.9,115.0,112.35,114.7,13633757
2017-11-24,114.0,119.2,114.15,118.45,15353070
2017-11-27,118.3,123.95,118.0,123.35,24168775
2017-11-28,123.75,123.75,120.5,121.35,9557145
2017-11-29,121.3,122.25,119.7,120.8,9523273
2017-11-30,120.4,120.4,117.35,119.05,13501029
2017-12-01,119.2,123.2,119.5,120.15,21443716
2017-12-04,122.45,122.05,115.4,116.55,14569102
2017-12-05,116.35,116.35,112.55,114.05,15019896
2017-12-06,114.0,115.95,112.5,114.35,9357422
2017-12-07,114.85,117.35,114.6,117.3,8380114
2017-12-08,117.5,119.35,117.3,118.75,10401059
2017-12-11,120.35,120.05,117.4,117.8,7665125
2017-12-12,117.45,117.7,113.2,113.8,12046483
2017-12-13,113.9,115.0,112.65,114.5,10911061
2017-12-14,114.5,114.8,111.1,112.05,11935221
2017-12-15,114.0,114.15,112.4,112.9,9144144
2017-12-18,112.0,115.95,106.1,114.5,16385099
2017-12-19,115.25,118.5,114.5,118.2,12670275
2017-12-20,118.1,119.5,117.25,117.45,8370067
2017-12-21,117.95,119.05,116.7,117.35,9241494
2017-12-22,118.4,118.8,116.4,117.85,6885593
2017-12-26,118.6,120.35,118.05,119.1,8374122
2017-12-27,119.25,120.2,117.5,118.2,8881815
2017-12-28,118.65,118.8,117.25,117.6,5145494
2017-12-29,118.0,120.0,117.2,119.45,7724673
2018-01-01,119.65,122.4,118.1,118.65,10178223
2018-01-02,119.25,123.85,117.0,123.5,27622462
2018-01-03,124.75,125.8,123.75,124.6,22551171
2018-01-04,125.25,127.25,123.8,126.9,16987826
2018-01-05,127.0,128.2,126.0,127.2,8952356
2018-01-08,127.9,129.0,126.9,128.5,8796087
2018-01-09,130.2,132.6,129.5,130.25,20773772
2018-01-10,130.3,130.5,126.75,127.8,8161245
2018-01-11,127.0,128.85,126.1,127.1,10169609
2018-01-12,127.5,129.1,125.1,128.65,8856554
2018-01-15,128.95,129.2,125.05,126.1,9715650
2018-01-16,126.1,126.4,121.6,123.2,11510359
2018-01-17,122.1,124.8,119.55,124.3,10455090
2018-01-18,124.2,125.25,120.1,120.6,10323591
2018-01-19,120.8,121.5,118.75,121.15,9767095
2018-01-22,121.65,121.9,119.2,121.0,7420999
2018-01-23,120.5,125.3,120.6,123.75,10943846
2018-01-24,124.0,125.05,122.35,123.2,12128675
2018-01-25,124.25,124.25,121.85,122.25,11319329
2018-01-29,122.9,126.55,122.65,125.3,13738887
2018-01-30,125.8,126.65,123.55,125.55,12294721
2018-01-31,125.4,126.55,124.4,126.15,10025698
2018-02-01,126.95,126.85,116.3,124.65,15913279
2018-02-02,124.3,126.6,118.55,122.0,37922120
2018-02-05,118.9,130.0,118.5,129.4,22877256
2018-02-06,123.0,128.7,120.95,126.5,24508130
2018-02-07,129.95,134.0,128.8,132.0,25290834
2018-02-08,133.75,136.6,133.2,134.0,24302171
2018-02-09,131.0,135.75,131.1,134.1,17023546
2018-02-12,135.4,136.7,132.8,133.5,11859839
2018-02-14,135.45,138.7,134.25,136.65,27246634
2018-02-15,138.45,139.3,136.25,137.6,14521493
2018-02-16,138.6,138.8,133.45,134.0,14885188
2018-02-19,134.45,134.45,130.65,132.65,11489592
2018-02-20,132.5,135.3,131.85,133.1,9829338
2018-02-21,134.0,134.8,131.95,132.5,9418539
2018-02-22,131.8,133.35,131.2,132.5,10138854
2018-02-23,133.0,134.9,132.65,134.8,7712463
2018-02-26,135.5,137.75,135.5,137.15,11948806
2018-02-27,137.7,138.45,136.5,138.0,9367201
2018-02-28,137.35,142.2,136.9,142.1,24959899
2018-03-01,142.75,143.85,140.35,141.35,19556048
2018-03-05,139.9,140.6,138.35,139.9,14645604
2018-03-06,140.95,142.8,139.3,139.5,12634615
2018-03-07,139.95,142.85,139.2,141.5,15483975
2018-03-08,143.25,144.85,142.75,144.6,19640262
2018-03-09,147.0,147.45,144.45,147.1,30042393
2018-03-12,148.0,148.6,144.6,145.6,17258273
2018-03-13,145.8,150.4,143.85,150.05,24569697
2018-03-14,149.2,150.3,148.6,149.6,11738604
2018-03-15,149.1,151.65,149.0,150.3,13444254
2018-03-16,150.3,150.6,146.7,147.3,14950467
2018-03-19,148.0,148.25,144.05,145.45,17394198
2018-03-20,145.25,148.0,144.7,146.0,11826053
2018-03-21,147.0,148.8,146.5,147.6,14901556
2018-03-22,148.0,148.0,141.55,142.15,12918940
2018-03-23,139.65,142.55,138.2,142.45,18193746
2018-03-26,143.05,145.3,142.2,145.2,11522031
2018-03-27,145.7,146.65,143.05,145.2,11990989
2018-03-28,144.25,146.7,143.9,145.3,18841723
2018-04-02,146.7,148.95,146.15,148.0,22892233
2018-04-03,147.75,149.45,147.35,147.8,14368833
2018-04-04,148.4,150.6,145.05,146.2,20426382
2018-04-05,147.35,148.65,146.0,147.0,11549274
2018-04-06,147.4,147.2,143.2,146.2,12571485
2018-04-09,146.85,148.95,145.75,146.25,13158604
2018-04-10,146.9,147.6,144.0,145.3,14893992
2018-04-11,145.9,146.45,144.5,144.7,10876469
2018-04-12,145.3,145.95,144.1,145.5,9334234
2018-04-13,145.9,150.55,145.5,149.3,27726096
2018-04-16,149.2,152.5,148.65,151.05,15405540
2018-04-17,151.6,152.1,148.05,149.5,10238785
2018-04-18,149.85,151.0,148.05,149.75,13467265
2018-04-19,150.65,151.45,149.45,151.3,9176254
2018-04-20,151.45,156.0,150.65,155.3,18890989
2018-04-23,155.95,159.95,155.65,159.4,22016734
2018-04-24,159.9,161.75,158.2,158.75,18395741
2018-04-25,158.9,164.6,158.4,164.3,27203332
2018-04-26,164.2,166.35,161.25,162.4,21723167
