date,open,high,low,close,volume
2017-07-03,49.32,49.58,48.8,49.24,8982234
2017-07-04,49.27,49.76,49.27,49.55,8497386
2017-07-05,49.51,51.56,49.26,51.33,12203031
2017-07-06,51.88,52.55,51.51,52.12,14371245
2017-07-07,52.05,52.08,50.94,51.7,8798028
2017-07-10,51.64,52.77,51.64,52.39,70283155833
2017-07-11,52.64,53.09,51.59,51.86,14317569
2017-07-12,52.01,52.12,51.36,51.85,5370900
2017-07-13,52.15,52.61,51.94,52.47,7060692
2017-07-14,52.62,53.32,52.27,52.36,12253038
2017-07-17,52.64,53.32,52.64,53.03,4880862
2017-07-18,52.71,53.45,52.18,52.67,8709375
2017-07-19,52.74,52.91,52.12,52.61,3977280
2017-07-20,52.86,52.86,51.8,52.24,8588622
2017-07-21,52.12,52.58,51.36,52.11,6239976
2017-07-24,52.18,52.7,51.97,52.23,6012744
2017-07-25,52.49,52.56,51.82,52.35,7796496
2017-07-26,52.27,53.35,52.24,53.24,11057913
2017-07-27,53.61,54.39,53.42,53.68,31150287
2017-07-28,53.77,54.21,53.17,53.86,5407341
2017-07-31,54.05,54.32,53.55,54.24,13724079
2017-08-01,55.95,56.73,54.49,55.45,23735331
2017-08-02,55.2,55.3,54.85,55.11,11774757
2017-08-03,55.09,55.15,54.49,54.7,5991189
2017-08-04,54.33,54.67,53.91,54.39,7303914
2017-08-07,54.47,55.24,54.24,55.09,4905276
2017-08-08,54.99,55.7,54.33,55.01,8868603
2017-08-09,54.79,55.3,53.94,54.01,5953425
2017-08-10,53.79,53.89,51.51,51.82,10169505
2017-08-11,51.0,52.21,48.92,51.82,10669116
2017-08-14,51.95,53.92,51.82,53.24,4892418
2017-08-16,53.0,53.99,52.92,53.11,5163528
2017-08-17,52.92,56.03,52.92,55.61,21995073
2017-08-18,55.15,56.21,54.55,55.35,11211732
2017-08-21,55.76,56.58,53.95,54.36,16184232
2017-08-22,54.53,55.08,53.68,54.11,6269463
2017-08-23,54.41,55.61,54.0,55.47,8430753
2017-08-24,55.76,57.35,55.51,56.97,17477355
2017-08-28,57.59,57.95,57.03,57.18,11717691
2017-08-29,56.73,57.5,55.85,55.94,7803036
2017-08-30,56.51,58.58,56.49,58.18,13238364
2017-08-31,58.55,59.0,57.29,57.65,15952137
2017-09-01,57.79,58.97,57.74,58.73,8445078
2017-09-04,58.77,58.88,57.53,58.14,8061873
2017-09-05,58.09,58.51,57.91,58.21,3567873
2017-09-06,57.88,59.24,57.68,58.64,6312813
2017-09-07,58.7,59.68,58.65,58.8,6436827
2017-09-08,58.91,59.14,56.79,57.12,8939496
2017-09-11,57.45,58.33,57.14,58.2,7603380
2017-09-12,58.51,60.0,58.51,60.0,16882941
2017-09-13,59.99,60.35,58.77,59.05,15842964
2017-09-14,59.12,59.32,57.18,57.83,18053397
2017-09-15,57.5,57.8,56.67,57.73,10861806
2017-09-18,58.01,58.85,57.61,58.45,7147563
2017-09-19,58.18,58.85,57.67,58.08,5386890
2017-09-20,58.03,58.39,57.61,57.97,3031374
2017-09-21,58.36,58.36,56.77,57.03,5860110
2017-09-22,56.85,56.85,54.55,55.15,6065124
2017-09-25,54.94,55.29,52.8,54.91,12394950
2017-09-26,54.86,55.73,54.7,55.45,9316980
2017-09-27,55.42,55.79,53.36,53.51,11467026
2017-09-28,54.42,55.37,54.05,54.1,16133733
2017-09-29,54.6,55.53,53.98,54.6,11062236
2017-10-03,54.78,54.83,53.42,54.35,12060246
2017-10-04,54.8,55.08,54.35,55.0,7187337
2017-10-05,55.22,55.28,54.48,54.68,5598552
2017-10-06,55.07,56.12,54.77,55.43,14178906
2017-10-09,55.67,55.73,54.88,55.4,8164788
2017-10-10,55.5,55.5,54.9,55.27,6083895
2017-10-11,55.57,55.8,55.15,55.37,11918994
2017-10-12,55.42,56.67,55.27,56.33,17331864
2017-10-13,56.55,57.47,56.22,56.92,7804071
2017-10-16,57.13,57.52,56.23,57.25,8293104
2017-10-17,57.15,57.15,56.67,57.07,3673227
2017-10-18,57.08,58.0,56.68,57.55,10262682
2017-10-23,57.18,58.63,57.18,58.1,8494290
2017-10-24,58.32,58.58,57.68,58.25,4759272
2017-10-25,58.73,58.93,56.62,56.93,8349042
2017-10-26,57.13,57.93,56.45,56.67,10674711
2017-10-27,56.95,57.97,56.95,57.53,5751831
2017-10-30,57.85,58.92,57.85,58.75,7332069
2017-10-31,61.87,64.08,60.55,61.33,74478414
2017-11-01,61.98,62.33,61.57,62.13,14035674
2017-11-02,62.08,62.18,61.45,61.75,8738658
2017-11-03,61.97,61.95,60.78,60.98,7797720
2017-11-06,60.98,61.82,60.08,61.6,9671475
2017-11-07,62.0,62.5,59.13,60.28,13333281
2017-11-08,60.65,60.83,59.07,59.72,9011076
2017-11-09,59.8,61.67,59.68,61.5,8704464
2017-11-10,61.4,61.67,60.35,60.72,5927733
2017-11-13,60.83,60.98,59.5,59.67,6115431
2017-11-14,59.67,59.67,58.17,58.23,9225504
2017-11-15,58.43,59.53,58.07,59.07,9642615
2017-11-16,59.02,60.17,59.02,60.12,9747423
2017-11-17,60.33,60.83,59.37,59.5,10177638
2017-11-20,59.57,60.08,59.27,59.72,6503235
2017-11-21,60.03,60.02,59.05,59.25,9036726
2017-11-22,59.22,60.5,59.23,60.5,9344619
2017-11-23,60.72,62.63,60.85,62.45,30968628
2017-11-24,62.75,63.15,61.37,61.8,11185611
2017-11-27,61.63,62.43,60.7,62.42,7110510
2017-11-28,63.33,63.12,62.02,62.13,19951143
2017-11-29,62.42,64.47,62.37,62.8,26718816
2017-11-30,62.67,62.87,61.72,62.27,15952320
2017-12-01,62.27,62.97,61.27,61.35,10713909
2017-12-04,61.67,61.78,59.27,59.92,11841684
2017-12-05,59.67,60.85,58.82,60.8,11412792
2017-12-06,60.67,60.67,59.47,59.7,8759292
2017-12-07,59.67,61.38,59.57,61.2,4540965
2017-12-08,61.6,61.9,61.42,61.67,4809408
2017-12-11,61.87,62.47,60.77,61.13,4508529
2017-12-12,60.87,61.2,60.35,60.35,3294984
2017-12-13,60.33,60.98,59.85,60.17,4743723
2017-12-14,60.23,60.47,59.6,60.13,4583913
2017-12-15,60.42,61.23,59.73,59.95,8814243
2017-12-18,59.92,61.68,57.42,60.82,9347256
2017-12-19,60.83,61.83,60.83,61.47,6695769
2017-12-20,61.83,62.3,61.52,61.93,8314797
2017-12-21,61.7,62.27,61.28,61.57,4402803
2017-12-22,61.67,63.07,61.53,62.7,11933295
2017-12-26,63.1,63.13,62.0,62.15,9290067
2017-12-27,62.28,62.62,60.9,61.28,9921825
2017-12-28,61.42,61.65,60.28,60.67,23309994
2017-12-29,60.75,61.78,60.58,60.72,15746658
2018-01-01,61.0,61.3,60.4,60.5,8152806
2018-01-02,60.83,61.22,60.25,60.53,11772393
2018-01-03,60.67,61.2,60.27,60.37,8373681
2018-01-04,60.37,60.63,59.9,60.07,13860780
2018-01-05,60.33,61.17,60.27,60.78,10378848
2018-01-08,61.18,61.72,60.9,61.47,12162474
2018-01-09,61.67,61.63,60.78,60.83,6986799
2018-01-10,60.88,61.23,59.73,60.0,11844657
2018-01-11,60.03,60.33,59.5,59.8,11849259
2018-01-12,59.93,59.98,58.77,59.5,9980043
2018-01-15,59.5,60.0,59.27,59.5,8965989
2018-01-16,59.5,59.6,57.55,57.82,13574283
2018-01-17,57.67,58.92,55.67,58.65,14776392
2018-01-18,58.73,59.3,56.35,57.07,9520539
2018-01-19,57.25,57.8,56.7,57.7,5529177
2018-01-22,57.8,58.62,57.47,58.33,7859232
2018-01-23,58.67,59.05,57.93,58.0,13788180
2018-01-24,58.27,58.3,57.45,57.87,10438464
2018-01-25,59.43,59.83,58.47,59.38,45581562
2018-01-29,59.5,59.55,58.17,58.67,10823952
2018-01-30,58.98,59.32,58.33,59.2,10147854
2018-01-31,57.08,57.27,55.98,56.4,43082097
2018-02-01,56.67,57.03,53.7,53.82,41236719
2018-02-02,53.82,53.67,50.07,50.62,39633957
2018-02-05,50.0,50.6,48.82,50.28,57480555
2018-02-06,46.67,50.1,46.68,50.07,41449503
2018-02-07,51.08,53.18,50.9,52.63,53468856
2018-02-08,52.92,52.78,51.52,52.33,20964837
2018-02-09,51.0,52.58,51.07,52.0,8856915
2018-02-12,52.67,52.7,51.92,52.68,6414480
2018-02-14,53.3,54.22,52.95,53.32,15020871
2018-02-15,53.75,54.05,52.08,52.42,10935996
2018-02-16,52.77,52.77,51.22,51.92,7523553
2018-02-19,52.0,51.9,50.42,50.98,9656442
2018-02-20,51.03,51.4,50.67,51.25,8422431
2018-02-21,51.28,51.58,50.02,50.23,11804607
2018-02-22,50.08,50.4,48.47,50.08,24446598
2018-02-23,49.62,50.57,48.8,50.42,34002921
2018-02-26,50.98,52.25,50.92,51.82,19407519
2018-02-27,52.17,52.25,50.73,50.97,10347408
2018-02-28,50.83,51.73,50.38,51.43,6414309
2018-03-01,51.62,51.65,51.05,51.13,4580595
2018-03-05,50.97,52.37,50.47,51.43,9153129
2018-03-06,52.48,52.65,50.38,50.67,10380960
2018-03-07,50.5,50.42,49.05,49.47,7908759
2018-03-08,50.27,50.13,48.33,49.1,9898668
2018-03-09,49.58,50.43,49.12,49.63,9220338
2018-03-12,49.92,50.28,49.22,50.2,14142282
2018-03-13,50.0,50.73,49.87,50.5,12441534
2018-03-14,50.07,50.58,49.73,50.4,6774318
2018-03-15,50.35,51.43,50.2,50.48,9075180
2018-03-16,50.5,51.13,49.55,49.73,10775532
2018-03-19,49.77,49.9,48.85,49.57,6281502
2018-03-20,49.17,50.05,49.07,49.67,6681066
2018-03-21,50.08,50.67,49.33,49.42,7850079
2018-03-22,49.52,49.72,47.5,47.7,19347048
2018-03-23,46.93,47.05,46.02,46.85,24538896
2018-03-26,46.65,48.33,46.57,47.65,14106915
2018-03-27,48.07,48.17,47.5,47.65,8862003
2018-03-28,47.3,48.6,46.9,47.18,23364762
2018-04-02,47.5,48.45,47.37,48.25,7527513
2018-04-03,48.28,49.12,47.92,48.98,9818985
2018-04-04,49.1,49.58,47.67,47.8,11720325
2018-04-05,48.33,48.73,47.88,48.47,10428738
2018-04-06,48.35,48.8,47.85,48.28,5662590
2018-04-09,48.33,48.52,47.92,48.17,7044855
2018-04-10,48.33,48.98,48.22,48.52,6777714
2018-04-11,48.67,48.77,48.17,48.27,5615997
2018-04-12,48.83,49.72,48.63,49.03,13731384
2018-04-13,49.03,49.23,47.37,47.53,14140638
2018-04-16,47.7,47.73,46.23,46.43,17505726
2018-04-17,46.67,46.95,45.95,46.27,10420872
2018-04-18,46.63,46.83,46.1,46.23,13689783
2018-04-19,46.0,46.03,45.08,45.47,15643941
2018-04-20,44.65,44.78,43.5,44.13,24743535
2018-04-23,44.15,46.3,44.15,45.73,26123748
2018-04-24,46.03,46.18,45.1,45.33,9245694
2018-04-25,45.27,45.27,43.93,44.3,8899797
2018-04-26,44.3,44.48,43.53,43.58,15711111
2018-04-27,43.77,44.9,43.67,44.37,13354719
2018-04-30,43.85,44.32,43.6,43.77,13289133
2018-05-02,44.0,44.08,43.27,43.35,9074598
2018-05-03,43.33,43.48,42.3,43.43,14553807
2018-05-04,43.22,44.1,43.0,43.18,7052415
2018-05-07,43.3,43.98,42.78,43.82,7297338
2018-05-08,43.97,44.28,43.73,43.93,8756145
2018-05-09,43.93,44.25,43.83,44.07,6632934
2018-05-10,44.13,44.27,43.12,43.18,6978807
2018-05-11,43.33,43.53,42.5,42.57,7192200
2018-05-14,42.83,42.83,41.47,41.92,9860337
2018-05-15,41.37,42.62,39.77,39.97,37442082
2018-05-16,39.83,41.1,37.47,40.6,28290234
2018-05-17,40.6,42.25,39.52,41.67,22207941
2018-05-18,41.57,42.17,40.33,40.48,11503023
2018-05-21,40.0,40.5,38.92,39.0,9131877
2018-05-22,38.67,39.82,38.27,39.03,16614753
2018-05-23,38.95,39.57,38.7,38.92,8369421
2018-05-24,39.05,39.23,38.38,38.63,7402074
2018-05-25,38.8,39.73,38.52,39.52,8669841
2018-05-28,39.67,41.8,39.58,41.17,21824667
2018-05-29,41.17,41.52,40.67,40.77,13126965
2018-05-30,39.47,40.07,38.9,39.67,25097640
2018-05-31,39.97,39.97,37.95,38.03,27045192
2018-06-01,38.0,38.57,36.73,37.2,20619588
2018-06-04,37.33,38.13,36.67,37.4,24468144
2018-06-05,37.38,38.12,37.0,37.93,17610558
2018-06-06,37.67,38.97,37.58,38.8,19955199
2018-06-07,39.9,40.75,38.75,40.37,32327124
2018-06-08,39.83,40.22,39.33,39.4,10357968
2018-06-11,39.43,40.4,39.43,39.6,6165429
2018-06-12,39.6,40.62,39.5,40.47,10302858
2018-06-13,40.67,40.75,39.5,39.67,8747079
