date,open,high,low,close,volume
2017-09-18,545.0,604.6,545.0,580.24,30089885
2017-09-19,590.0,598.99,574.48,578.82,3933795
2017-09-20,576.09,576.4,551.0,560.3,2504850
2017-09-21,557.78,558.6,536.8,553.6,1597405
2017-09-22,555.0,556.21,527.2,528.2,930700
2017-09-25,524.0,540.0,501.58,523.8,1657785
2017-09-26,523.54,535.8,523.54,525.0,530200
2017-09-27,531.59,541.4,513.98,514.0,677430
2017-09-28,522.77,531.89,518.11,522.8,327320
2017-09-29,529.19,536.78,528.0,528.4,291620
2017-10-03,533.6,542.98,526.16,542.98,401340
2017-10-04,543.99,549.8,535.4,544.99,393695
2017-10-05,543.0,548.0,537.4,540.0,364245
2017-10-06,540.25,549.0,532.7,533.75,245695
2017-10-09,535.39,541.99,520.3,523.51,226320
2017-10-10,526.34,536.26,524.4,533.01,242255
2017-10-11,549.09,550.59,530.25,532.0,588910
2017-10-12,536.01,550.8,534.0,549.0,415420
2017-10-13,549.22,557.39,544.25,546.6,245140
2017-10-16,548.0,549.09,532.06,533.4,145910
2017-10-17,531.35,536.4,526.41,529.8,112165
2017-10-18,529.2,536.0,527.0,532.54,21383318775
2017-10-23,527.6,534.07,527.6,531.19,21333114395
2017-10-24,531.78,560.8,530.39,552.8,637970
2017-10-25,555.84,561.14,536.01,553.6,251235
2017-10-26,546.01,555.69,544.6,551.0,177685
2017-10-27,553.0,553.0,544.0,546.56,132220
2017-10-30,548.0,556.0,546.0,546.0,314200
2017-10-31,546.0,551.8,535.0,545.18,245770
2017-11-01,545.8,548.44,541.0,541.0,33910
2017-11-02,546.38,546.38,540.0,540.0,46715
2017-11-03,542.78,542.8,536.62,537.0,60075
2017-11-06,537.6,544.0,533.81,539.59,58235
2017-11-07,539.8,540.6,530.0,537.0,66140
2017-11-08,532.21,541.76,530.2,535.0,64395
2017-11-09,532.6,544.0,532.0,532.19,66875
2017-11-10,531.8,542.78,531.8,536.11,88735
2017-11-13,539.0,545.0,536.69,539.21,82945
2017-11-14,537.36,550.0,537.36,546.0,90215
2017-11-15,550.0,553.91,533.0,539.2,144980
2017-11-16,540.0,558.8,538.22,555.0,1179200
2017-11-17,554.8,583.6,550.63,580.6,1245380
2017-11-20,581.4,627.0,572.01,625.0,2037130
2017-11-21,626.8,634.8,608.5,617.8,951390
2017-11-22,620.71,628.86,602.89,620.18,467695
2017-11-23,620.06,643.0,614.87,640.0,838505
2017-11-24,640.64,650.0,630.2,646.2,438110
2017-11-27,644.2,660.0,640.0,660.0,446235
2017-11-28,659.0,676.8,658.0,669.0,569760
2017-11-29,672.2,699.98,671.0,689.8,730550
2017-11-30,687.0,711.18,684.0,706.0,681225
2017-12-01,706.0,724.76,673.21,676.4,545810
2017-12-04,682.4,698.66,667.51,673.8,267255
2017-12-05,678.0,685.0,672.0,680.0,231720
2017-12-06,674.0,699.0,674.0,689.03,194065
2017-12-07,694.8,707.0,691.0,702.16,182110
2017-12-08,706.0,715.08,698.19,698.19,132160
2017-12-11,706.02,709.65,687.4,687.4,91820
2017-12-12,693.4,693.6,670.2,671.04,111990
2017-12-13,674.0,683.53,648.0,653.0,144020
2017-12-14,657.59,657.79,636.0,641.02,82990
2017-12-15,646.0,662.83,628.0,630.4,305680
2017-12-18,637.0,711.02,632.0,701.0,661625
2017-12-19,708.0,731.1,709.02,724.26,610505
2017-12-20,730.24,780.14,728.22,767.2,1148890
2017-12-21,775.8,777.8,764.0,775.0,390520
2017-12-22,776.6,816.8,770.66,808.8,667515
2017-12-26,812.0,898.8,812.4,867.0,2067110
2017-12-27,872.0,871.8,819.41,843.97,824490
2017-12-28,851.76,885.6,848.0,849.0,1045560
2017-12-29,856.6,868.0,828.2,841.0,495505
2018-01-01,846.0,859.0,828.4,840.02,193135
2018-01-02,845.8,851.0,823.06,825.0,199585
2018-01-03,849.0,856.8,834.63,840.0,410595
2018-01-04,844.4,846.0,820.66,823.77,365095
2018-01-05,827.4,834.8,810.01,815.0,189345
2018-01-08,816.4,836.0,810.0,815.2,191355
2018-01-09,821.6,829.98,808.0,810.0,133265
2018-01-10,813.56,821.8,800.2,802.0,175120
2018-01-11,802.0,804.8,776.0,777.8,307345
2018-01-12,786.0,786.0,760.0,770.0,162765
2018-01-15,768.8,791.0,756.2,759.51,285710
2018-01-16,762.98,765.2,734.2,739.59,290450
2018-01-17,741.0,741.0,715.64,725.0,622355
2018-01-18,730.0,781.41,729.99,760.0,710515
2018-01-19,755.97,778.0,750.0,768.0,270090
2018-01-22,771.78,777.0,756.2,760.0,104045
2018-01-23,765.0,770.0,753.82,761.0,283805
2018-01-24,752.2,757.98,745.21,751.16,80835
2018-01-25,753.03,770.0,742.01,763.6,116255
2018-01-29,770.33,773.39,747.4,758.99,144175
2018-01-30,755.0,768.4,745.0,755.4,133010
2018-01-31,758.0,767.0,743.91,750.0,303535
2018-02-01,744.0,835.01,744.12,759.0,654050
2018-02-02,759.72,775.09,730.0,736.42,226600
2018-02-05,729.8,749.99,710.0,738.0,128050
2018-02-06,689.4,737.0,682.81,723.8,217645
2018-02-07,738.0,780.0,738.0,770.01,312975
2018-02-08,775.8,776.0,697.99,698.0,599120
2018-02-09,692.0,715.15,662.2,690.4,488080
2018-02-12,705.0,710.0,685.0,686.86,152015
2018-02-14,693.15,696.8,668.41,670.0,146355
2018-02-15,671.8,679.0,654.6,654.6,109690
2018-02-16,659.8,664.88,640.2,644.0,141055
2018-02-19,653.8,649.99,622.02,628.8,180715
2018-02-20,631.22,643.0,620.0,620.8,113395
2018-02-21,627.94,649.56,624.21,646.2,375610
2018-02-22,645.8,658.0,634.0,656.0,152490
2018-02-23,653.18,667.0,653.0,653.2,108795
2018-02-26,660.0,682.8,657.45,674.0,144075
2018-02-27,676.0,694.4,674.32,692.4,177915
2018-02-28,689.6,699.6,680.0,691.0,97270
2018-03-01,697.4,726.21,691.61,711.0,252585
2018-03-05,707.38,709.36,694.0,694.4,68825
2018-03-06,698.0,709.8,698.82,700.8,80555
2018-03-07,701.0,702.01,686.2,696.4,338990
2018-03-08,702.0,706.0,678.97,692.0,103615
2018-03-09,699.4,699.38,684.4,690.0,115660
2018-03-12,695.0,696.65,681.6,691.8,53375
2018-03-13,698.8,708.64,693.6,700.0,191255
2018-03-14,698.39,709.0,690.0,699.8,50145
2018-03-15,697.0,704.0,690.2,692.0,91360
2018-03-16,697.6,697.6,682.2,690.0,31590
2018-03-19,694.85,695.95,677.41,679.25,63420
2018-03-20,676.89,679.0,656.2,659.0,168895
2018-03-21,663.03,676.0,650.19,654.4,87685
2018-03-22,666.55,679.6,643.0,657.0,59850
2018-03-23,640.3,652.0,635.5,636.0,84600
2018-03-26,639.92,658.0,625.0,654.0,136035
2018-03-27,655.4,663.4,650.3,650.6,35850
2018-03-28,653.8,666.2,636.0,666.0,84065
2018-04-02,658.4,668.0,642.2,651.0,125305
2018-04-03,654.02,665.0,649.36,660.8,105395
2018-04-04,665.99,673.6,656.47,669.99,70225
2018-04-05,673.77,788.68,674.96,730.0,1491315
2018-04-06,727.8,732.0,702.0,709.0,271770
2018-04-09,713.6,752.54,712.92,730.34,374720
2018-04-10,733.8,740.7,721.99,726.4,104620
2018-04-11,731.99,744.0,716.02,727.0,131650
2018-04-12,733.8,738.0,718.0,720.4,70310
2018-04-13,720.2,732.0,715.05,716.0,99230
2018-04-16,711.98,720.0,706.0,706.0,58605
2018-04-17,711.01,714.1,685.05,687.0,142205
2018-04-18,691.2,703.78,683.0,690.4,84075
2018-04-19,690.6,697.98,682.0,683.0,51800
2018-04-20,681.02,690.5,674.21,676.8,48195
2018-04-23,679.0,703.2,679.0,680.8,78540
2018-04-24,685.6,697.8,681.4,684.0,87305
2018-04-25,687.79,697.76,673.99,677.0,82695
2018-04-26,679.8,696.6,679.8,691.78,131235
2018-04-27,694.4,711.99,690.0,692.0,186370
2018-04-30,692.0,732.21,692.0,720.2,261245
2018-05-02,720.1,727.2,693.98,697.99,118355
2018-05-03,698.0,707.6,680.4,680.8,69245
2018-05-04,684.0,738.0,681.13,725.4,323400
2018-05-07,728.99,746.21,708.19,733.8,194815
2018-05-08,736.74,742.0,722.0,734.4,163400
2018-05-09,734.4,741.94,731.0,739.0,42525
2018-05-10,739.8,739.8,726.0,732.0,76130
2018-05-11,737.0,739.0,718.2,720.0,25275
2018-05-14,728.0,741.01,710.01,732.4,134190
2018-05-15,739.6,739.6,724.02,724.02,71660
2018-05-16,727.0,734.0,712.33,728.0,63550
2018-05-17,726.0,734.0,720.0,721.6,49205
2018-05-18,720.21,728.02,705.4,708.6,384695
2018-05-21,717.2,717.2,690.0,690.0,32660
2018-05-22,698.0,701.32,682.21,688.0,31605
2018-05-23,691.97,693.44,675.0,678.2,34265
2018-05-24,686.0,688.8,676.02,680.79,26030
2018-05-25,685.59,696.0,680.0,682.8,70530
2018-05-28,687.01,707.59,675.0,683.6,157180
2018-05-29,684.8,690.97,677.0,679.01,75345
2018-05-30,681.59,685.0,678.35,683.78,26890
2018-05-31,685.0,686.65,635.0,652.0,145970
2018-06-01,661.99,672.0,650.0,654.0,67880
2018-06-04,662.0,665.0,642.14,646.31,68815
2018-06-05,646.0,649.31,630.0,634.2,69260
2018-06-06,636.2,645.74,628.0,637.76,36050
2018-06-07,637.6,648.94,637.18,642.6,65795
2018-06-08,646.0,646.0,636.0,636.6,40835
2018-06-11,648.0,683.79,635.99,637.95,385365
2018-06-12,644.0,651.18,636.01,639.6,84755
2018-06-13,645.95,645.95,635.0,635.0,30845
2018-06-14,639.34,639.34,628.0,630.31,73895
2018-06-15,633.0,634.0,622.0,622.99,74475
2018-06-18,628.16,628.16,611.62,612.29,74575
2018-06-19,611.95,611.95,590.0,593.4,125150
2018-06-20,592.4,598.19,575.2,586.2,124385
2018-06-21,586.42,595.6,580.0,581.2,47675
2018-06-22,580.2,592.4,572.0,581.01,66050
2018-06-25,586.0,594.0,576.4,579.4,53445
2018-06-26,583.4,589.39,576.56,584.02,40765
2018-06-27,587.0,591.99,573.01,578.0,97230
2018-06-28,579.78,585.59,570.4,575.02,37145
2018-06-29,572.0,589.8,572.0,589.8,35520
2018-07-02,590.98,590.98,554.91,570.41,53680
2018-07-03,579.8,588.66,569.2,583.36,65540
2018-07-04,587.8,588.6,576.0,576.0,207305
2018-07-05,576.0,580.0,572.58,575.22,18325
2018-07-06,579.2,584.0,573.0,573.81,28705
2018-07-09,575.02,586.28,575.02,582.6,28140
2018-07-10,581.2,615.4,581.2,605.4,148175
2018-07-11,606.0,615.99,587.0,587.6,70905
2018-07-12,595.0,595.31,590.0,592.0,26160
2018-07-13,597.98,597.98,580.0,586.02,21170
2018-07-16,581.01,582.56,570.0,570.0,17345
2018-07-17,573.0,589.59,567.4,583.44,42940
2018-07-18,580.01,585.86,569.6,580.0,14910
2018-07-19,569.0,581.8,560.79,562.95,31485
2018-07-20,566.0,569.95,558.0,559.96,27830
2018-07-23,580.4,589.2,570.0,570.03,109770
2018-07-24,572.0,579.36,562.72,566.0,40810
2018-07-25,568.41,574.38,563.21,563.62,114850
2018-07-26,570.0,574.81,564.4,565.22,22500
2018-07-27,568.0,585.0,565.21,568.0,104955
2018-07-30,568.2,569.29,556.03,558.99,70650
2018-07-31,566.8,566.8,543.41,548.5,104805
2018-08-01,559.99,559.99,544.6,546.8,53725
2018-08-02,545.6,548.09,532.0,532.0,83630
2018-08-03,535.8,576.8,530.0,563.0,624790
2018-08-06,569.6,578.57,563.0,570.4,156070
2018-08-07,567.6,567.6,524.81,528.9,601105
2018-08-08,527.23,543.78,525.0,527.0,312425
2018-08-09,529.0,537.8,521.0,521.0,426460
2018-08-10,524.21,528.14,498.0,499.0,290580
2018-08-13,498.4,498.4,476.44,482.0,234495
2018-08-14,480.04,491.2,480.04,486.0,215385
2018-08-16,483.0,499.8,481.01,491.4,99230
2018-08-17,494.0,512.78,490.01,503.35,153655
2018-08-20,505.8,513.98,500.0,502.6,64580
2018-08-21,501.4,505.3,499.6,502.96,48625
2018-08-23,501.0,508.0,499.23,500.22,56830
2018-08-24,505.6,525.0,502.0,522.0,182000
2018-08-27,522.2,545.0,522.2,537.8,382085
2018-08-28,545.95,578.0,537.07,573.18,700895
2018-08-29,575.0,595.0,574.85,582.8,525275
2018-08-30,586.25,593.8,570.0,572.2,174105
2018-08-31,572.2,613.94,569.08,599.6,495895
2018-09-03,602.86,604.99,570.0,574.0,153520
2018-09-04,575.6,583.19,555.61,561.2,102690
2018-09-05,556.0,564.98,544.0,554.0,72290
2018-09-06,561.0,566.8,546.25,548.0,49160
2018-09-07,556.51,562.0,549.99,557.8,43270
2018-09-10,557.8,557.8,542.0,543.0,36845
2018-09-11,544.2,567.83,538.0,543.0,38300
2018-09-12,547.09,555.8,533.4,548.2,62505
2018-09-14,557.19,557.19,530.0,545.23,36535
2018-09-17,531.0,546.74,527.0,542.0,247625
2018-09-18,543.8,557.0,541.0,547.99,49280
2018-09-19,550.0,553.0,532.0,543.6,27620
2018-09-21,550.0,550.0,511.01,522.94,122280
2018-09-24,524.0,529.53,503.01,524.8,68415
2018-09-25,525.98,525.98,504.34,509.8,26220
2018-09-26,512.73,520.0,500.0,501.8,33390
2018-09-27,515.0,527.8,509.6,520.0,301410
2018-09-28,529.79,531.0,513.0,520.0,172535
2018-10-01,523.0,524.02,505.0,513.42,98720
2018-10-03,513.23,518.0,507.0,513.76,120120
2018-10-04,506.8,513.68,498.06,498.4,26915
2018-10-05,509.0,520.0,490.2,490.6,536385
2018-10-08,488.6,488.6,462.29,476.6,108580
2018-10-09,479.98,483.47,468.0,468.0,29905
2018-10-10,468.22,495.63,468.0,489.99,1198375
2018-10-11,477.6,479.89,466.01,469.3,140465
2018-10-12,476.0,489.6,476.0,480.4,60595
2018-10-15,485.8,489.32,475.0,475.1,388070
2018-10-16,477.25,483.95,470.0,471.06,97965
2018-10-17,479.8,483.6,459.66,462.4,120105
2018-10-19,467.98,472.09,442.81,460.6,178325
2018-10-22,454.8,459.62,443.21,447.9,101430
2018-10-23,449.78,449.78,436.0,440.0,40925
2018-10-24,440.01,448.0,432.0,433.4,50605
2018-10-25,436.12,438.99,419.6,419.6,42015
2018-10-26,422.0,423.69,406.02,422.0,54130
2018-10-29,412.2,430.0,412.2,416.0,45305
2018-10-30,412.03,425.96,408.23,414.4,69525
2018-10-31,411.12,422.78,411.12,418.0,39985
2018-11-01,422.2,502.65,415.0,423.98,785420
2018-11-02,424.01,430.8,424.01,427.0,399230
2018-11-05,426.58,435.0,426.02,429.0,65805
2018-11-06,432.0,432.46,424.03,424.03,62860
2018-11-07,435.8,438.0,424.0,427.34,21330
2018-11-09,430.67,430.67,420.6,426.48,38995
2018-11-12,430.0,432.03,425.0,426.2,70725
2018-11-13,428.0,429.0,421.02,422.4,25370
2018-11-14,425.2,426.0,418.0,418.4,162630
2018-11-15,420.0,421.58,410.0,410.94,42100
2018-11-16,417.0,417.0,398.0,398.2,188190
2018-11-19,408.0,411.19,398.82,411.0,220990
2018-11-20,410.61,411.0,400.2,405.0,43205
2018-11-21,408.0,411.41,404.0,411.4,236575
2018-11-22,414.06,416.4,410.0,411.0,63340
2018-11-26,412.0,414.99,408.0,408.0,101575
2018-11-27,412.0,415.0,411.01,412.2,20170
2018-11-28,413.6,413.6,402.61,410.8,104820
2018-11-29,410.01,415.0,410.0,412.0,21815
2018-11-30,414.0,415.0,400.06,408.0,398335
2018-12-03,408.8,415.6,407.95,411.6,34370
2018-12-04,414.0,414.0,405.82,409.96,20400
2018-12-05,411.0,411.49,404.0,404.0,10970
2018-12-06,405.0,406.33,394.0,397.0,46335
2018-12-07,401.0,401.01,390.0,391.0,19415
2018-12-10,388.0,388.01,380.0,381.0,24155
2018-12-11,380.0,389.0,378.02,388.98,30945
2018-12-12,389.0,399.4,387.14,389.6,33675
2018-12-13,394.02,397.4,389.6,392.0,15775
2018-12-14,392.0,393.85,389.6,392.0,9870
2018-12-17,395.0,408.0,392.0,400.0,100255
2018-12-18,402.37,410.98,396.5,408.0,93085
2018-12-19,409.0,437.6,407.82,424.0,270965
2018-12-20,424.4,440.68,416.2,417.98,176545
2018-12-21,423.0,437.01,421.4,431.0,215260
2018-12-24,438.0,439.0,416.2,418.97,88265
2018-12-26,423.2,423.2,409.82,412.0,77720
2018-12-27,416.38,418.0,410.51,416.79,33860
2018-12-28,414.41,422.0,410.4,410.5,33770
2018-12-31,412.6,414.8,409.8,412.02,17110
2019-01-01,412.58,414.63,407.0,407.0,16370
2019-01-02,410.0,412.0,400.41,401.0,22600
2019-01-03,403.6,407.91,400.92,407.6,30660
2019-01-04,407.6,411.0,406.53,408.2,24500
2019-01-07,412.02,413.73,398.0,402.2,37575
2019-01-08,402.0,404.6,398.41,402.2,189635
2019-01-09,404.2,425.0,400.2,417.4,71035
2019-01-10,415.22,419.4,414.02,416.0,15410
2019-01-11,412.0,418.8,409.21,415.0,14900
2019-01-14,415.0,415.0,408.18,413.6,13040
2019-01-15,415.2,437.74,413.8,433.02,222825
2019-01-16,433.7,443.0,433.35,441.98,94800
2019-01-17,442.0,442.09,433.22,434.05,34255
2019-01-18,430.02,437.6,430.02,436.0,13195
2019-01-21,436.0,437.89,435.05,435.69,15765
2019-01-22,435.01,436.51,434.37,435.8,17095
