date,open,high,low,close,volume
2017-07-03,123.4,126.2,123.4,126.2,889905
2017-07-04,126.0,126.0,125.03,125.46,590255
2017-07-05,124.8,125.81,123.1,125.2,1139705
2017-07-06,126.1,126.1,123.21,123.6,563885
2017-07-07,123.42,124.92,123.16,124.2,453795
2017-07-10,124.2,128.0,121.62,123.26,128849067180
2017-07-11,123.26,124.11,120.22,120.8,1516605
2017-07-12,121.89,122.24,118.97,120.0,569415
2017-07-13,120.0,124.92,120.0,120.8,401770
2017-07-14,122.5,122.98,120.2,122.0,222655
2017-07-17,122.0,123.48,120.53,121.7,995280
2017-07-18,121.6,122.78,120.03,120.38,286335
2017-07-19,120.38,121.58,119.6,119.95,836860
2017-07-20,119.8,120.92,119.2,119.2,512635
2017-07-21,119.14,120.99,119.08,119.5,308020
2017-07-24,120.77,120.88,119.0,119.31,161290
2017-07-25,120.0,120.0,117.2,118.0,203565
2017-07-26,118.0,118.8,117.2,118.0,191480
2017-07-27,117.29,119.78,117.29,118.02,186225
2017-07-28,118.02,119.0,117.31,118.4,115715
2017-07-31,117.8,117.8,115.26,116.4,358695
2017-08-01,115.48,117.99,115.4,116.73,172410
2017-08-02,117.0,117.6,115.62,116.4,121905
2017-08-03,116.4,116.44,114.73,115.98,185655
2017-08-04,114.66,119.0,114.02,117.2,278130
2017-08-07,116.16,116.79,115.2,115.4,195885
2017-08-08,115.4,116.8,114.42,114.6,141305
2017-08-09,114.54,114.89,109.46,110.42,482180
2017-08-10,110.42,110.79,104.22,104.24,508065
2017-08-11,105.6,111.79,103.02,108.02,683670
2017-08-14,109.8,111.72,109.28,109.6,808720
2017-08-16,109.86,111.39,109.02,109.02,182575
2017-08-17,109.4,110.22,108.5,109.0,166000
2017-08-18,108.96,108.98,106.8,107.0,145105
2017-08-21,110.0,110.82,104.61,105.0,492760
2017-08-22,106.2,106.83,103.8,104.0,273705
2017-08-23,104.0,105.2,103.12,105.04,263630
2017-08-24,105.96,106.0,103.62,103.62,207575
2017-08-28,104.2,105.3,101.18,102.26,1200910
2017-08-29,100.0,101.96,99.22,101.21,684315
2017-08-30,101.0,104.6,101.0,104.0,258110
2017-08-31,105.0,107.47,104.42,105.94,949655
2017-09-01,105.2,108.2,105.2,108.2,299760
2017-09-04,106.61,109.99,106.61,109.4,258210
2017-09-05,109.2,110.6,108.6,110.4,218665
2017-09-06,108.3,111.02,108.3,108.7,227095
2017-09-07,109.45,110.68,109.0,109.2,370070
2017-09-08,109.2,111.48,108.4,109.56,233135
2017-09-11,109.56,110.38,106.62,108.14,1604160
2017-09-12,106.12,108.9,105.6,106.68,343160
2017-09-13,108.0,108.0,104.8,105.59,241990
2017-09-14,106.0,112.6,105.6,109.93,600345
2017-09-15,108.0,113.09,108.0,109.0,1988700
2017-09-18,111.6,112.0,108.05,108.71,607915
2017-09-19,109.2,110.62,108.4,108.54,271345
2017-09-20,110.4,110.46,108.8,109.02,166300
2017-09-21,109.02,110.0,107.0,108.8,195080
2017-09-22,108.4,109.49,107.0,107.71,218045
2017-09-25,107.71,109.02,102.4,105.15,327665
2017-09-26,106.58,106.58,102.5,104.39,279475
2017-09-27,104.39,105.96,102.1,102.38,203725
2017-09-28,102.82,103.43,100.98,101.28,313600
2017-09-29,102.6,103.9,101.0,101.4,287615
2017-10-03,104.4,104.4,100.45,101.6,188285
2017-10-04,102.0,110.67,102.0,107.0,606800
2017-10-05,107.1,109.6,105.87,106.73,238495
2017-10-06,106.73,109.6,106.4,109.0,253035
2017-10-09,109.0,109.0,106.58,106.76,122815
2017-10-10,107.0,109.6,106.52,108.79,221375
2017-10-11,108.79,108.99,105.63,107.6,194240
2017-10-12,107.6,109.4,107.13,108.98,527870
2017-10-13,109.58,109.8,108.04,108.6,324640
2017-10-16,108.0,111.24,108.0,109.1,384545
2017-10-17,110.6,110.69,108.41,108.63,296935
2017-10-18,108.61,110.46,108.44,109.42,21395909135
2017-10-23,108.9,109.69,107.78,108.58,436380
2017-10-24,109.0,109.0,107.4,107.6,305525
2017-10-25,108.2,108.98,107.21,107.8,136285
2017-10-26,107.8,108.6,106.67,106.68,77165
2017-10-27,106.87,108.79,106.87,107.5,356105
2017-10-30,107.5,109.0,106.72,107.05,424400
2017-10-31,107.05,108.18,107.05,107.2,103170
2017-11-01,107.02,108.0,107.0,107.32,115080
2017-11-02,106.4,109.0,106.4,107.45,336110
2017-11-03,108.8,108.8,106.8,107.0,380120
2017-11-06,108.59,110.34,107.02,110.34,659135
2017-11-07,109.6,111.2,108.16,108.61,983890
2017-11-08,109.2,110.4,108.6,109.16,1003035
2017-11-09,109.02,110.19,106.6,107.6,347230
2017-11-10,106.61,108.7,105.4,105.6,234165
2017-11-13,104.81,106.97,104.6,104.95,272475
2017-11-14,106.42,107.15,103.83,104.0,424700
2017-11-15,111.0,110.0,106.6,107.0,1466370
2017-11-16,104.2,107.0,104.2,105.0,273060
2017-11-17,106.6,107.0,105.42,105.99,145820
2017-11-20,106.79,106.79,105.41,106.0,149825
2017-11-21,105.8,106.6,105.2,105.2,340205
2017-11-22,105.25,106.2,104.97,105.4,107275
2017-11-23,106.0,109.2,105.62,106.6,1370180
2017-11-24,107.01,109.18,106.6,108.0,310630
2017-11-27,107.8,108.75,105.42,105.8,198555
2017-11-28,105.9,106.95,102.94,103.34,492725
2017-11-29,104.5,104.98,103.4,104.69,150900
2017-11-30,103.81,105.84,103.62,105.8,244200
2017-12-01,109.8,109.8,104.4,104.68,1020645
2017-12-04,106.4,106.8,103.06,103.23,345605
2017-12-05,106.0,106.74,103.42,105.2,880270
2017-12-06,104.58,104.78,103.6,103.96,228575
2017-12-07,104.03,104.68,103.02,103.7,315940
2017-12-08,104.0,104.56,99.8,100.0,915015
2017-12-11,100.6,104.58,100.6,103.0,536935
2017-12-12,104.6,104.6,100.38,100.78,493495
2017-12-13,102.2,104.55,101.3,103.74,582645
2017-12-14,104.12,106.18,103.12,104.8,837100
2017-12-15,106.0,106.8,104.6,104.66,260195
2017-12-18,106.0,107.96,101.0,107.0,952895
2017-12-19,107.2,107.96,105.72,106.0,672500
2017-12-20,106.96,108.08,106.12,107.7,1840470
2017-12-21,107.93,114.47,107.98,112.98,2346010
2017-12-22,113.4,115.66,110.0,110.0,982355
2017-12-26,111.02,111.6,108.91,109.25,476325
2017-12-27,108.13,110.05,107.85,108.41,1326050
2017-12-28,108.41,109.2,107.6,108.48,283570
2017-12-29,108.01,109.08,107.5,108.56,288100
2018-01-01,109.6,110.3,107.66,107.87,446945
2018-01-02,108.88,108.88,107.0,107.04,452195
2018-01-03,108.0,108.0,107.0,107.4,344760
2018-01-04,107.6,109.0,107.0,108.8,526035
2018-01-05,109.4,110.88,109.36,110.56,588030
2018-01-08,111.28,113.0,111.18,112.2,636650
2018-01-09,112.8,112.8,110.0,110.42,240635
2018-01-10,110.6,111.35,108.0,108.8,349870
2018-01-11,108.2,110.5,108.2,110.2,221090
2018-01-12,110.45,110.6,108.42,108.8,222120
2018-01-15,109.8,110.28,108.42,108.84,361240
2018-01-16,109.0,110.0,106.06,106.54,395815
2018-01-17,109.66,111.02,108.41,109.35,1490715
2018-01-18,110.79,110.8,107.0,107.38,748845
2018-01-19,108.16,109.19,107.0,108.98,301445
2018-01-22,109.64,110.16,107.8,109.8,404430
2018-01-23,109.8,112.0,110.01,111.62,640875
2018-01-24,110.1,111.9,109.2,110.4,322595
2018-01-25,109.42,111.28,107.81,108.8,165645
2018-01-29,109.2,110.79,107.21,107.4,309875
2018-01-30,103.2,105.0,101.71,103.6,1117400
2018-01-31,104.0,104.0,102.38,103.2,395845
2018-02-01,103.41,104.24,102.2,103.2,301130
2018-02-02,102.4,103.5,101.0,102.0,416965
2018-02-05,101.0,101.8,100.0,101.42,389680
2018-02-06,99.98,101.6,98.24,100.72,298520
2018-02-07,100.72,102.0,99.6,100.0,423050
2018-02-08,100.71,102.89,100.0,102.0,821460
2018-02-09,100.04,103.4,100.0,103.0,288865
2018-02-12,104.0,104.8,103.17,103.6,154180
2018-02-14,104.0,109.98,103.83,107.0,619265
2018-02-15,107.07,108.38,105.02,105.4,776730
2018-02-16,105.45,107.08,103.41,105.0,169620
2018-02-19,104.06,106.4,102.64,103.6,134800
2018-02-20,105.4,105.4,102.79,104.32,143280
2018-02-21,102.3,104.38,102.3,103.2,154885
2018-02-22,102.31,104.0,102.2,102.8,591575
2018-02-23,102.98,104.2,102.8,103.24,176360
2018-02-26,103.24,104.92,103.07,103.82,223735
2018-02-27,104.21,107.76,103.82,107.4,425595
2018-02-28,105.1,109.6,105.0,108.6,381070
2018-03-01,108.71,108.79,105.63,105.64,130675
2018-03-05,109.0,108.99,105.42,105.64,535095
2018-03-06,106.6,109.0,106.31,106.99,785140
2018-03-07,105.21,107.23,103.02,105.0,332870
2018-03-08,104.22,105.3,102.4,104.2,492385
2018-03-09,104.3,105.22,103.4,103.7,285115
2018-03-12,104.05,104.89,103.61,104.29,279065
2018-03-13,104.29,109.52,103.9,108.62,503915
2018-03-14,108.6,108.6,105.81,106.4,268945
2018-03-15,106.4,108.0,106.4,107.0,142480
2018-03-16,107.02,107.98,103.39,104.8,386560
2018-03-19,106.96,106.13,103.6,104.28,128675
2018-03-20,104.33,104.33,102.19,102.28,165700
2018-03-21,102.8,103.82,101.8,101.8,308290
2018-03-22,103.46,103.6,101.22,101.22,131590
2018-03-23,101.27,103.0,99.4,102.29,213820
2018-03-26,101.98,103.0,99.77,100.8,380705
2018-03-27,101.8,103.4,99.8,101.6,180280
2018-03-28,102.76,103.2,99.0,102.2,206505
2018-04-02,101.04,102.57,99.8,102.2,276455
2018-04-03,100.83,104.0,100.83,102.46,187655
2018-04-04,102.4,103.59,101.9,101.9,203005
2018-04-05,103.0,103.0,101.0,101.05,160885
2018-04-06,100.67,102.22,100.5,101.4,126425
2018-04-09,102.0,102.58,99.73,100.0,4076710
2018-04-10,100.9,101.55,100.4,101.4,441350
2018-04-11,101.75,101.6,100.22,100.46,142690
2018-04-12,101.38,101.38,100.51,101.0,194280
2018-04-13,100.4,100.8,99.6,99.98,350270
2018-04-16,100.0,100.57,99.38,100.56,172420
2018-04-17,100.02,101.45,100.0,100.53,198860
2018-04-18,101.0,101.18,99.8,99.8,166780
2018-04-19,100.0,100.74,99.48,99.97,284500
2018-04-20,100.4,102.16,99.64,101.6,532065
2018-04-23,101.44,102.95,100.0,100.8,573955
2018-04-24,101.56,102.39,100.44,100.7,235820
2018-04-25,101.1,102.0,100.1,100.39,507880
2018-04-26,100.59,101.54,100.32,100.5,160020
2018-04-27,101.59,101.59,100.5,100.84,88845
2018-04-30,102.8,103.15,100.46,101.5,237420
2018-05-02,103.05,103.39,100.62,100.62,153255
2018-05-03,100.98,101.36,100.02,100.3,378835
2018-05-04,100.42,103.96,100.42,101.2,101865
2018-05-07,101.41,102.07,100.18,100.2,129680
2018-05-08,100.7,101.18,100.22,101.01,85970
2018-05-09,100.99,101.2,99.5,100.0,127735
2018-05-10,100.21,101.0,96.64,98.54,198180
2018-05-11,97.2,98.38,95.6,97.8,256340
2018-05-14,97.4,97.4,94.63,95.96,112965
2018-05-15,96.58,97.5,94.07,94.6,80180
2018-05-16,95.6,95.6,92.09,92.4,148840
2018-05-17,92.5,95.98,91.0,92.0,427565
2018-05-18,92.08,93.14,91.03,91.8,84360
2018-05-21,92.99,92.99,87.41,88.4,177460
2018-05-22,89.0,90.98,88.4,90.98,155815
2018-05-23,89.76,90.99,89.2,89.94,1403335
2018-05-24,89.44,91.26,89.37,91.2,1198875
2018-05-25,89.5,93.3,89.5,92.8,3232220
2018-05-28,93.9,95.98,93.79,94.22,305780
2018-05-29,95.88,95.88,92.04,93.17,83910
2018-05-30,93.98,93.98,91.01,92.2,337165
2018-05-31,93.1,95.0,92.43,94.96,85315
2018-06-01,94.01,94.96,91.0,91.4,120840
2018-06-04,91.88,92.93,91.13,92.4,865640
2018-06-05,91.28,93.88,90.44,90.54,126505
2018-06-06,91.09,94.0,90.81,94.0,188920
2018-06-07,92.02,94.25,92.02,93.68,110475
2018-06-08,93.8,97.98,93.04,96.8,212925
