date,open,high,low,close,volume
2017-07-03,674.65,683.0,667.5,675.5,740060
2017-07-04,679.5,686.5,674.59,685.03,515190
2017-07-05,683.1,698.9,683.1,694.0,476450
2017-07-06,691.2,698.0,689.97,691.8,247580
2017-07-07,691.8,695.8,685.8,686.3,224620
2017-07-10,686.3,690.01,677.8,681.0,214748450970
2017-07-11,687.0,687.0,671.6,679.93,346620
2017-07-12,683.99,684.0,676.01,683.0,293360
2017-07-13,687.8,689.0,676.74,678.0,600480
2017-07-14,682.5,683.97,679.05,683.0,502930
2017-07-17,684.47,689.9,678.18,686.06,173780
2017-07-18,685.5,694.9,682.1,686.5,411950
2017-07-19,689.8,694.49,686.22,692.5,295510
2017-07-20,694.93,694.93,686.0,690.0,73000
2017-07-21,689.76,692.5,679.5,682.4,355900
2017-07-24,684.9,686.0,681.0,683.0,298200
2017-07-25,686.0,686.0,679.53,681.9,353800
2017-07-26,682.5,689.99,675.0,675.0,363120
2017-07-27,680.0,686.05,676.5,682.0,652140
2017-07-28,680.5,680.5,673.53,678.12,266120
2017-07-31,678.5,679.89,673.01,676.5,411110
2017-08-01,673.2,679.0,667.59,671.99,611270
2017-08-02,674.0,674.3,669.5,671.48,274620
2017-08-03,669.61,674.43,668.01,673.99,708260
2017-08-04,674.76,674.76,661.9,670.02,179740
2017-08-07,670.01,675.4,668.5,673.1,221020
2017-08-08,673.0,675.0,664.72,670.8,275430
2017-08-09,666.01,674.44,666.0,674.0,370040
2017-08-10,670.0,675.0,655.6,660.9,904700
2017-08-11,656.2,658.5,653.2,655.99,279000
2017-08-14,655.2,675.2,655.2,662.0,225110
2017-08-16,660.2,673.98,660.2,667.9,186130
2017-08-17,669.0,672.74,664.0,667.5,188020
2017-08-18,662.0,672.99,662.0,667.0,618770
2017-08-21,664.0,667.0,657.8,661.65,367930
2017-08-22,662.61,673.5,658.6,659.5,464550
2017-08-23,665.0,669.0,659.6,660.61,198650
2017-08-24,660.1,665.0,660.1,660.3,282340
2017-08-28,667.0,707.4,666.45,703.23,2108610
2017-08-29,703.2,706.5,689.26,694.49,786570
2017-08-30,703.04,705.89,694.61,703.9,850470
2017-08-31,704.99,714.0,695.1,711.79,933730
2017-09-01,709.1,710.1,700.3,700.5,320060
2017-09-04,707.4,707.4,685.11,687.55,518980
2017-09-05,689.0,704.5,688.9,701.34,951940
2017-09-06,696.01,699.4,691.45,697.5,522760
2017-09-07,699.99,716.9,693.21,716.5,819710
2017-09-08,718.76,722.5,713.1,720.89,654970
2017-09-11,718.8,731.9,718.8,728.9,510610
2017-09-12,731.9,740.9,723.51,738.02,634400
2017-09-13,738.02,741.0,721.0,722.6,528200
