date,open,high,low,close,volume
2018-08-01,305.01,314.31,304.27,306.25,32212
2018-08-02,311.23,314.88,303.75,314.84,35164
2018-08-03,315.0,324.75,314.25,322.01,124248
2018-08-06,323.25,331.75,322.5,325.5,205080
2018-08-07,324.25,333.74,321.0,332.0,274928
2018-08-08,332.75,349.98,332.75,349.74,698296
2018-08-09,348.75,361.25,348.75,358.25,373484
2018-08-10,359.38,359.5,347.51,348.19,95164
2018-08-13,347.5,354.16,340.26,348.69,125676
2018-08-14,347.5,349.95,337.25,337.5,269900
2018-08-16,340.09,350.0,340.09,344.75,109828
2018-08-17,346.25,352.52,346.25,347.91,190164
2018-08-20,352.62,353.15,346.0,347.5,53104
2018-08-21,347.75,351.75,347.29,349.91,89536
2018-08-23,351.38,351.38,343.77,346.99,139988
2018-08-24,347.41,351.0,345.12,348.88,88784
2018-08-27,349.75,352.49,341.0,341.25,164608
2018-08-28,341.55,344.71,330.0,333.5,119864
2018-08-29,331.88,333.48,326.25,328.0,196584
2018-08-30,327.5,346.75,326.62,346.5,251236
2018-08-31,346.5,347.49,338.64,344.23,60272
2018-09-03,343.75,346.24,337.75,338.99,62260
2018-09-04,338.76,344.24,328.75,333.38,61164
2018-09-05,331.3,335.29,325.25,333.75,68112
2018-09-06,332.27,340.5,328.44,337.75,85364
2018-09-07,337.75,340.2,332.5,338.61,42948
2018-09-10,340.0,340.0,330.0,333.14,58556
2018-09-11,332.81,335.66,324.76,331.25,60312
2018-09-12,327.5,329.45,323.5,324.75,59200
2018-09-14,325.29,333.29,325.29,330.27,43036
2018-09-17,331.09,339.75,327.51,331.51,57276
2018-09-18,336.25,336.25,326.23,328.5,54764
2018-09-19,328.75,335.24,323.25,330.0,66664
2018-09-21,334.69,334.69,314.66,327.25,140980
2018-09-24,325.75,325.75,303.0,307.75,104408
2018-09-25,306.51,315.0,296.31,315.0,134092
2018-09-26,312.42,312.42,296.56,299.81,164568
2018-09-27,297.8,300.84,295.0,295.96,112112
2018-09-28,300.0,303.71,275.0,292.5,266976
2018-10-01,288.8,290.25,276.21,290.0,125464
2018-10-03,284.71,306.24,284.71,306.23,164116
2018-10-04,300.94,304.25,291.51,299.5,56416
2018-10-05,301.9,302.2,295.0,299.75,110336
2018-10-08,297.75,316.25,295.01,312.75,232076
2018-10-09,313.0,313.0,303.46,306.5,136088
2018-10-10,307.5,312.66,307.5,311.25,79452
2018-10-11,306.12,323.5,300.09,321.12,113580
2018-10-12,321.12,331.25,316.26,324.98,88036
2018-10-15,330.75,330.75,315.98,318.0,58496
2018-10-16,320.59,328.33,317.54,319.5,65844
2018-10-17,321.25,326.6,311.44,313.0,450560
2018-10-19,311.23,314.64,309.52,309.52,133152
2018-10-22,310.5,314.88,306.0,312.77,465448
2018-10-23,312.42,315.27,308.75,312.49,108748
2018-10-24,313.66,324.0,311.42,317.73,62204
2018-10-25,318.0,323.5,306.25,321.25,127736
2018-10-26,320.4,324.5,312.0,312.5,158452
2018-10-29,317.0,318.0,308.15,313.0,110760
2018-10-30,315.0,318.75,312.5,317.52,249408
2018-10-31,321.0,325.6,312.5,323.5,138696
2018-11-01,328.17,334.9,328.17,331.25,120272
2018-11-02,341.25,355.25,340.5,347.31,458912
2018-11-05,347.36,349.5,340.0,340.81,209944
2018-11-06,343.6,351.74,342.75,349.5,133352
2018-11-07,350.0,354.75,347.51,349.0,70712
2018-11-09,349.36,349.36,345.0,346.75,62316
2018-11-12,348.7,348.7,341.83,345.0,80104
2018-11-13,345.76,345.76,341.25,343.75,75672
2018-11-14,346.75,361.55,343.2,361.5,456804
2018-11-15,359.95,364.95,355.02,356.25,284164
2018-11-16,359.67,360.74,351.2,359.86,254772
2018-11-19,364.0,364.98,359.75,363.5,153004
2018-11-20,364.5,375.5,362.75,368.76,479932
2018-11-21,374.75,379.99,373.0,374.26,244804
2018-11-22,375.02,377.15,365.23,365.27,271912
2018-11-26,369.8,372.25,363.25,366.99,282924
2018-11-27,369.48,374.5,367.39,371.25,383720
2018-11-28,372.25,373.75,366.26,370.0,212696
2018-11-29,371.0,371.0,361.25,364.16,167808
2018-11-30,365.0,368.73,350.0,351.06,684784
2018-12-03,358.75,365.5,351.27,363.0,328168
2018-12-04,361.95,368.25,358.14,367.5,351860
2018-12-05,363.5,368.23,362.73,367.5,434640
2018-12-06,366.19,368.75,361.5,362.5,171752
2018-12-07,365.02,365.02,358.0,358.0,168488
2018-12-10,356.25,356.64,343.49,344.75,132196
2018-12-11,337.64,352.73,337.64,352.0,105976
2018-12-12,353.7,367.49,350.65,367.25,262676
2018-12-13,364.3,365.48,356.25,358.25,226848
2018-12-14,357.75,362.11,353.77,358.75,173904
2018-12-17,359.75,362.48,355.08,358.75,152148
2018-12-18,360.88,361.25,355.25,358.75,125108
2018-12-19,362.25,365.73,358.52,362.49,329256
2018-12-20,363.34,366.75,360.01,360.75,226896
2018-12-21,363.25,365.5,360.25,363.75,171900
2018-12-24,362.5,362.5,354.4,355.0,122868
2018-12-26,354.62,361.17,349.65,355.29,200004
2018-12-27,358.75,364.3,353.86,356.75,214520
2018-12-28,355.0,357.92,353.09,355.46,192220
2018-12-31,360.5,362.48,356.3,361.25,86696
2019-01-01,362.5,363.83,357.58,361.76,52916
2019-01-02,363.49,363.49,357.8,362.5,111344
2019-01-03,361.02,362.35,355.5,357.5,83808
2019-01-04,358.0,366.44,358.0,365.0,271956
2019-01-07,368.75,371.24,366.0,367.5,233484
2019-01-08,368.74,375.27,368.26,374.25,265388
2019-01-09,368.75,375.0,366.25,372.16,248620
2019-01-10,373.5,388.74,373.0,385.55,704420
2019-01-11,387.46,390.0,383.75,387.12,332628
2019-01-14,387.49,394.25,387.42,391.5,320836
2019-01-15,391.25,395.5,390.0,390.01,218504
2019-01-16,392.44,397.25,381.75,384.5,448568
2019-01-17,387.5,387.5,380.25,380.99,119800
2019-01-18,383.7,389.5,373.88,388.58,141420
2019-01-21,390.75,392.98,388.25,392.5,154688
2019-01-22,392.24,392.24,381.23,387.48,166524
2019-01-23,385.0,388.52,382.55,383.75,156816
2019-01-24,385.0,392.45,382.75,389.0,199552
2019-01-25,389.5,393.3,384.58,387.5,164292
2019-01-28,383.01,393.5,377.42,388.75,349980
2019-01-29,390.25,392.56,382.52,389.75,150860
2019-01-30,390.0,402.25,390.0,402.0,767272
2019-01-31,402.14,414.88,402.14,406.25,368268
2019-02-01,405.0,413.75,404.94,411.0,148036
2019-02-04,412.5,432.0,409.0,431.75,990208
2019-02-05,434.5,451.96,417.5,419.25,641624
2019-02-06,421.75,424.4,398.89,404.83,438148
2019-02-07,406.49,411.44,396.38,404.25,233556
2019-02-08,403.58,405.05,391.0,393.75,162580
2019-02-11,393.5,393.5,382.52,385.75,242392
2019-02-12,386.25,390.25,368.5,370.75,354188
2019-02-13,370.5,379.91,363.75,364.06,270192
2019-02-14,366.0,366.23,350.0,351.2,454924
2019-02-15,354.8,372.5,352.54,355.25,1147852
2019-02-18,356.25,356.75,339.14,341.23,584360
2019-02-19,343.38,348.75,327.5,333.5,510436
2019-02-20,337.5,342.19,325.0,328.5,1682032
2019-02-21,330.75,358.73,327.83,347.42,1995088
2019-02-22,348.0,354.5,347.64,351.75,593180
2019-02-25,350.5,357.5,350.0,352.56,262488
2019-02-26,343.75,349.99,338.5,349.0,408660
2019-02-27,350.48,356.25,344.0,350.5,400164
2019-02-28,349.11,353.75,338.4,347.88,1380888
2019-03-01,351.27,353.6,349.56,350.27,205972
2019-03-05,353.73,367.0,350.67,366.24,472588
2019-03-06,371.75,380.0,369.51,379.5,641872
2019-03-07,381.7,386.25,368.16,370.0,447932
2019-03-08,371.01,380.0,366.5,368.5,459796
2019-03-11,370.94,377.49,368.0,369.23,589364
2019-03-12,374.48,377.16,367.26,368.5,486728
2019-03-13,372.44,373.5,358.75,360.26,299992
2019-03-14,362.25,363.89,353.75,354.75,190316
2019-03-15,356.74,362.24,350.0,352.0,2328516
2019-03-18,357.48,362.2,355.05,357.7,419072
2019-03-19,357.0,368.75,356.25,365.0,829820
2019-03-20,368.75,369.5,362.96,366.25,336340
2019-03-22,365.0,369.74,365.0,367.0,676528
2019-03-25,366.5,367.99,359.39,366.25,327632
2019-03-26,362.89,384.0,361.0,381.25,921660
2019-03-27,382.5,398.74,382.5,396.5,1284988
2019-03-28,396.27,396.27,384.39,389.5,474560
2019-03-29,393.2,401.0,390.0,391.42,354984
2019-04-01,397.48,399.25,390.3,390.33,429160
2019-04-02,391.25,398.69,390.5,396.5,384848
2019-04-03,395.0,398.75,391.25,395.0,527688
2019-04-04,394.9,397.5,391.25,395.25,223664
2019-04-05,397.5,407.5,396.26,406.15,356184
2019-04-08,405.0,414.99,403.12,412.48,290440
2019-04-09,412.55,412.55,404.99,409.0,182192
2019-04-10,408.77,418.67,406.41,409.46,321308
2019-04-11,412.61,416.25,409.5,411.0,356300
2019-04-12,412.75,414.65,404.25,405.88,132908
2019-04-15,406.26,410.0,405.75,409.75,191152
2019-04-16,409.0,410.74,403.75,407.5,125996
2019-04-18,406.25,411.74,405.0,406.5,244916
2019-04-22,408.71,408.71,392.5,394.5,111492
2019-04-23,396.09,399.5,388.75,392.12,204960
2019-04-24,392.5,396.0,387.89,390.85,172988
2019-04-25,392.0,399.75,390.0,395.36,105064
2019-04-26,400.0,412.0,393.88,409.0,214648
2019-04-30,408.75,412.19,400.5,405.54,264636
2019-05-02,405.66,405.66,395.5,397.5,130708
2019-05-03,398.25,401.98,394.7,395.38,98128
2019-05-06,395.25,396.24,389.56,395.25,176276
2019-05-07,396.75,402.5,396.75,400.15,70348
2019-05-08,400.0,400.99,393.11,395.25,115844
2019-05-09,391.0,398.91,383.27,396.25,549968
2019-05-10,395.21,398.0,390.67,396.0,156560
2019-05-13,396.23,398.79,384.04,384.75,416768
2019-05-14,388.0,391.55,385.56,388.75,458152
2019-05-15,394.75,397.5,388.75,388.9,655332
2019-05-16,392.5,395.08,389.4,390.02,332056
2019-05-17,394.48,396.55,391.0,391.5,402756
2019-05-20,397.5,417.23,395.4,405.5,788508
2019-05-21,411.0,431.49,411.0,429.27,701252
2019-05-22,420.0,427.5,411.34,422.5,565032
2019-05-23,432.5,436.25,428.77,432.62,474988
2019-05-24,432.0,451.31,432.0,450.54,819692
2019-05-27,450.0,470.0,450.0,467.0,650760
2019-05-28,470.02,474.75,451.25,456.75,474132
2019-05-29,450.0,452.5,436.1,441.25,347416
2019-05-30,440.0,462.5,440.0,462.5,537424
2019-05-31,462.5,469.14,460.02,466.75,306264
2019-06-03,469.96,471.0,463.77,466.25,283760
2019-06-04,464.0,467.5,459.01,462.25,179084
2019-06-06,463.75,463.75,441.0,442.5,226124
2019-06-07,445.26,453.38,445.12,446.25,255104
2019-06-10,448.7,453.0,434.04,435.0,568504
2019-06-11,439.23,440.91,431.25,431.95,161084
2019-06-12,431.95,437.5,430.25,435.0,240332
2019-06-13,435.0,435.67,429.59,433.73,346172
2019-06-14,432.75,439.5,428.75,437.5,248608
2019-06-17,435.19,435.19,425.0,426.5,105916
2019-06-18,425.0,433.25,422.64,433.0,690220
2019-06-19,434.99,438.27,428.52,430.0,319188
2019-06-20,431.73,431.85,425.21,431.45,595212
2019-06-21,432.52,444.27,428.62,443.01,340320
2019-06-24,443.65,453.09,441.5,451.25,521024
2019-06-25,454.5,457.06,446.27,450.25,325620
2019-06-26,448.75,449.99,431.25,446.0,274392
2019-06-27,447.0,450.39,445.17,445.75,167876
2019-06-28,445.58,447.77,441.25,444.25,121832
2019-07-01,443.75,449.99,441.85,446.25,146792
2019-07-02,447.5,454.98,445.0,450.25,259380
2019-07-03,431.3,449.86,431.0,438.75,46380
2019-07-04,438.44,448.75,437.5,443.5,196552
2019-07-05,448.62,448.62,433.75,443.25,328160
2019-07-08,437.0,438.49,425.0,437.5,66100
2019-07-09,433.26,433.26,413.81,421.75,328152
2019-07-10,433.5,433.5,405.0,408.83,209448
2019-07-11,421.75,421.75,402.75,404.0,49152
2019-07-12,404.74,420.0,400.0,419.25,129156
2019-07-15,430.0,430.0,412.5,419.25,25820
2019-07-16,412.5,421.12,412.5,420.0,27336
2019-07-17,416.25,426.44,416.25,419.25,189328
2019-07-18,420.65,424.12,415.81,420.0,53920
2019-07-19,423.75,423.75,400.0,416.25,525856
2019-07-22,415.16,416.6,398.01,407.25,347400
2019-07-23,407.25,410.24,400.27,406.86,79244
2019-07-24,404.06,408.31,403.41,406.25,166160
2019-07-25,407.42,419.7,406.56,413.62,172368
2019-07-26,415.41,415.41,405.26,409.71,247268
2019-07-29,412.51,414.38,405.69,412.5,76112
2019-07-30,412.69,417.5,406.25,407.5,68832
2019-07-31,405.0,419.75,404.26,418.75,105024
2019-08-01,408.39,418.75,408.39,418.74,167704
2019-08-02,416.75,427.26,410.01,417.5,179584
2019-08-05,417.5,429.98,409.62,421.12,129020
2019-08-06,424.74,430.75,419.12,429.99,191804
2019-08-07,430.0,451.73,429.99,444.0,219760
2019-08-08,443.99,448.84,435.48,442.25,280936
2019-08-09,442.75,450.0,441.25,441.85,74592
2019-08-13,442.5,447.45,425.5,432.48,142252
2019-08-14,442.5,447.91,432.48,433.5,204832
2019-08-16,437.48,437.48,395.5,397.5,831064
2019-08-19,398.5,400.5,379.26,392.5,1016600
2019-08-20,393.75,399.75,380.25,382.19,326100
2019-08-21,385.0,385.0,367.5,367.75,308280
2019-08-22,371.25,371.25,358.75,367.5,626220
2019-08-23,363.0,378.7,356.44,374.48,356944
2019-08-26,385.0,385.0,365.26,375.7,470492
2019-08-27,377.52,396.2,372.6,392.5,271800
2019-08-28,392.58,405.0,392.52,397.5,219852
2019-08-29,398.25,404.0,392.73,396.25,180356
2019-08-30,397.5,402.0,389.25,400.0,228048
2019-09-03,400.0,401.25,392.0,397.0,159648
2019-09-04,395.83,397.5,387.75,393.0,168816
2019-09-05,392.5,397.0,392.5,395.0,58736
2019-09-06,398.5,398.6,393.06,393.5,47772
2019-09-09,398.38,398.38,388.26,396.69,890236
2019-09-11,400.25,400.75,394.5,398.89,142888
2019-09-12,401.23,402.24,392.5,395.4,112384
2019-09-13,396.29,399.99,394.0,394.5,63312
2019-09-16,397.48,397.48,388.75,389.35,384972
2019-09-17,389.98,392.5,384.25,385.5,108608
2019-09-18,389.5,390.75,381.3,389.5,168376
2019-09-19,391.25,392.5,384.33,387.55,93388
2019-09-20,385.27,407.25,382.51,406.62,436588
2019-09-23,419.75,425.0,415.52,418.75,590708
2019-09-24,421.75,421.75,408.16,410.5,242020
2019-09-25,413.75,413.75,403.75,404.77,617356
2019-09-26,407.46,412.49,399.01,400.0,340872
2019-09-27,419.5,419.95,404.5,407.23,262704
2019-09-30,417.5,417.5,398.5,400.0,203670
2019-10-01,404.1,404.38,371.55,379.5,434142
2019-10-03,379.98,380.0,370.58,373.55,221034
2019-10-04,375.0,399.5,370.5,375.0,455526
2019-10-07,381.4,381.4,371.12,377.5,98580
2019-10-09,379.15,389.5,373.0,378.52,267790
2019-10-10,382.25,387.5,380.5,382.5,80374
2019-10-11,385.12,388.0,377.5,384.0,79586
2019-10-14,387.27,391.6,378.5,385.05,337952
2019-10-15,385.55,387.5,376.5,376.55,152802
2019-10-16,379.5,383.5,376.55,380.5,242722
2019-10-17,383.98,383.98,375.2,378.73,529632
2019-10-18,379.25,404.0,379.25,403.5,338306
2019-10-22,405.0,413.7,402.27,410.5,418772
2019-10-23,414.0,427.42,411.58,420.12,280538
2019-10-24,423.92,439.55,420.48,433.5,447080
2019-10-25,435.0,446.0,427.5,434.5,243502
2019-10-27,441.0,444.0,432.52,438.05,44974
2019-10-29,443.5,443.5,427.52,438.0,207778
2019-10-30,435.05,439.85,422.0,435.0,197922
2019-10-31,438.0,442.42,430.0,440.0,408066
2019-11-01,440.98,440.98,435.0,436.0,106312
2019-11-04,435.0,439.98,425.0,426.75,155490
2019-11-05,425.15,434.9,419.0,422.3,147312
2019-11-06,427.5,427.5,408.5,409.98,148816
2019-11-07,411.5,417.0,402.5,412.5,300346
2019-11-08,409.95,411.2,404.05,405.55,103168
2019-11-11,406.15,410.0,403.7,410.0,335822
2019-11-13,407.95,410.0,402.55,407.0,116134
2019-11-14,403.65,404.98,395.55,399.5,279032
2019-11-15,404.0,409.0,400.5,401.52,91420
2019-11-18,407.42,420.0,402.62,417.5,274080
2019-11-19,417.5,427.5,408.0,418.0,538046
2019-11-20,424.45,428.75,416.55,425.5,188022
2019-11-21,425.5,427.33,417.58,419.5,233152
2019-11-22,424.45,425.5,411.5,412.0,91890
2019-11-25,415.0,416.88,405.0,409.0,112198
2019-11-26,411.9,417.45,397.5,397.5,244434
2019-11-27,399.1,410.55,398.5,409.98,208918
2019-11-28,409.5,427.5,404.3,420.8,209032
2019-11-29,424.25,427.4,412.5,420.0,190368
2019-12-02,421.83,421.83,411.23,413.4,167400
2019-12-03,414.0,418.08,400.8,404.33,338232
2019-12-04,401.0,407.23,399.88,405.0,110362
2019-12-05,406.9,411.67,398.92,400.0,154814
2019-12-06,402.48,404.4,384.15,394.45,262392
2019-12-09,394.5,404.0,391.1,399.92,318962
2019-12-10,401.85,403.67,390.52,392.2,100924
2019-12-11,393.9,399.0,389.1,391.9,178348
2019-12-12,393.05,400.5,390.5,395.0,73398
2019-12-13,398.12,398.38,389.0,389.65,204016
2019-12-16,389.92,403.85,385.0,386.9,344518
2019-12-17,389.35,390.5,383.05,385.5,168334
2019-12-18,387.0,389.33,380.5,384.52,116284
2019-12-19,386.8,389.23,383.27,387.0,198784
2019-12-20,387.05,394.15,379.75,382.0,329746
2019-12-23,384.0,392.5,382.15,390.0,329582
2019-12-24,392.0,403.0,389.77,402.58,687388
2019-12-26,405.0,417.5,404.92,417.2,799172
2019-12-27,418.5,422.38,412.05,416.62,418558
2019-12-30,418.5,420.0,414.0,419.0,292940
2019-12-31,419.0,422.5,405.0,417.5,269408
2020-01-01,418.0,421.5,415.55,419.35,175918
2020-01-02,420.0,422.5,419.08,420.0,170746
2020-01-03,422.4,422.4,417.0,420.5,183978
2020-01-06,418.6,429.1,417.0,427.5,444754
2020-01-07,432.4,452.55,430.0,445.0,1363862
2020-01-08,444.5,444.5,437.5,441.0,286622
2020-01-09,441.35,465.25,441.35,458.12,893530
2020-01-10,460.0,462.12,425.5,434.0,1366152
2020-01-13,427.5,443.9,414.5,423.4,1200848
2020-01-14,424.05,433.4,424.05,427.0,400298
2020-01-15,427.0,440.0,425.0,426.5,467068
2020-01-16,427.9,431.35,426.02,428.5,428886
2020-01-17,432.5,437.85,428.5,429.0,391162
2020-01-20,432.02,436.25,430.67,431.6,265122
2020-01-21,431.25,434.9,427.62,431.25,155014
2020-01-22,434.5,435.48,427.0,429.0,132830
2020-01-23,431.1,435.0,426.77,434.5,150090
2020-01-24,436.0,436.2,420.7,425.5,290290
2020-01-27,426.95,432.0,422.5,430.12,161382
2020-01-28,432.5,454.2,427.5,452.05,729564
2020-01-29,455.5,499.5,454.15,499.5,2681900
2020-01-30,497.67,498.0,472.5,491.95,986684
2020-01-31,493.0,499.5,475.5,495.0,646734
2020-02-01,492.0,520.97,480.5,482.8,705258
2020-02-03,479.5,499.45,477.52,484.75,412992
2020-02-04,491.48,499.0,478.05,481.5,395490
2020-02-05,483.42,497.0,483.42,492.5,352044
2020-02-06,495.95,499.0,478.5,481.0,267320
2020-02-07,483.42,497.77,483.33,494.95,344752
2020-02-10,498.5,512.5,491.0,510.5,452178
2020-02-11,511.38,516.28,500.38,504.5,266426
2020-02-12,507.3,507.5,485.83,491.92,236322
2020-02-13,484.0,494.5,463.15,486.0,361910
2020-02-14,488.5,512.47,488.38,501.5,931842
2020-02-17,508.15,510.73,487.65,496.67,474234
2020-02-18,497.5,505.02,478.0,491.0,621512
2020-02-19,497.5,504.0,493.65,500.0,475622
2020-02-20,500.48,527.0,499.17,521.55,1098832
2020-02-24,519.5,535.5,507.0,514.95,536448
2020-02-25,514.7,518.28,507.5,509.7,692682
2020-02-26,509.98,513.5,497.98,499.0,684996
2020-02-27,503.12,517.0,492.0,492.5,665710
2020-02-28,490.5,498.12,475.5,490.0,529976
2020-03-02,493.0,499.75,478.0,488.7,610904
2020-03-03,497.5,497.5,483.15,490.9,450396
2020-03-04,493.12,494.85,478.55,481.88,517152
2020-03-05,487.0,500.0,482.5,498.0,324654
2020-03-06,481.0,497.23,477.5,493.5,303312
2020-03-09,490.62,490.62,465.7,468.0,1270832
2020-03-11,472.65,474.12,455.73,466.0,492208
2020-03-12,450.0,450.0,415.0,424.0,876518
2020-03-13,392.6,450.5,372.5,436.5,1073070
