date,open,high,low,close,volume
2017-09-01,250.0,255.0,237.5,237.5,4658670
2017-09-04,225.65,225.65,225.65,225.65,249334
2017-09-05,214.4,214.4,214.4,214.4,180270
2017-09-06,203.7,203.7,203.7,203.7,215348
2017-09-07,193.55,213.85,193.55,208.5,33989054
2017-09-08,201.5,205.1,198.5,202.0,5235105
2017-09-11,203.4,204.0,192.4,192.9,5556225
2017-09-12,195.55,197.75,184.45,193.3,36558481
2017-09-13,193.0,196.4,193.0,196.4,4415762
2017-09-14,204.9,206.2,201.6,206.2,5764819
2017-09-15,208.0,211.45,202.25,202.5,18674015
2017-09-18,206.25,206.45,199.1,199.65,6358291
2017-09-19,200.9,203.9,197.75,197.9,4299973
2017-09-20,199.8,200.2,195.0,195.3,2911718
2017-09-21,196.2,197.4,190.6,194.95,3546848
2017-09-22,194.2,198.75,189.15,189.5,5141680
2017-09-25,190.0,191.25,183.6,188.65,3912897
2017-09-26,190.25,193.3,188.5,189.6,3632879
2017-09-27,190.05,190.5,180.0,180.0,4239687
2017-09-28,181.95,182.35,173.5,176.0,6793458
2017-09-29,178.0,190.9,178.0,184.9,4993888
2017-10-03,186.7,186.7,183.0,184.4,1743643
2017-10-04,184.5,188.95,184.5,185.75,2011760
2017-10-05,185.0,186.0,180.3,181.45,2684198
2017-10-06,182.4,182.95,180.25,180.55,2738861
2017-10-09,181.5,182.9,179.5,179.9,2025695
2017-10-10,180.0,184.4,179.3,181.3,5104107
2017-10-11,182.25,182.45,178.1,178.4,3888587
2017-10-12,179.9,180.8,178.0,178.05,1860651
2017-10-13,180.2,187.75,179.2,183.8,9260235
2017-10-16,184.85,187.9,180.05,181.15,4973249
2017-10-17,181.7,184.7,181.15,182.0,3990130
2017-10-18,182.0,182.85,179.5,179.95,3400263
2017-10-23,183.9,185.0,179.6,179.85,3369250
2017-10-24,181.0,182.65,179.85,180.55,2663416
2017-10-25,181.0,182.0,173.75,176.7,5167514
2017-10-26,176.55,178.65,174.0,174.4,3440956
2017-10-27,175.3,176.8,174.6,174.85,2590690
2017-10-30,175.95,181.45,175.9,178.7,4055457
2017-10-31,179.0,179.7,177.55,177.85,1571107
2017-11-01,178.55,183.55,177.3,178.4,4161909
2017-11-02,179.05,191.45,179.0,187.6,15420709
2017-11-03,188.9,194.4,187.0,193.6,9016939
2017-11-06,194.6,210.0,194.85,207.4,19906356
2017-11-07,209.75,213.75,198.2,202.55,16768977
2017-11-08,203.0,205.0,195.15,196.0,8309418
2017-11-09,197.5,201.75,196.25,200.0,4582955
2017-11-10,199.5,199.9,193.5,194.9,3837800
2017-11-13,195.7,198.1,193.3,193.8,2967529
2017-11-14,194.5,194.9,189.65,190.0,3754301
2017-11-15,190.0,194.0,187.3,189.6,4174279
2017-11-16,190.5,199.5,190.3,199.4,6062806
2017-11-17,201.9,202.9,197.1,197.4,4307755
2017-11-20,198.5,205.0,198.05,205.0,6394680
2017-11-21,205.0,208.8,202.0,205.1,6563711
2017-11-22,205.75,205.7,200.5,201.75,3708367
2017-11-23,202.3,205.6,200.55,202.0,3466166
2017-11-24,202.75,205.5,202.25,202.65,2803695
2017-11-27,202.5,205.4,201.4,204.8,2766003
2017-11-28,205.0,207.05,199.7,200.5,3635987
2017-11-29,201.3,202.8,197.35,197.85,3784154
2017-11-30,197.5,197.75,193.6,193.9,4790380
2017-12-01,195.5,196.75,191.7,191.95,3105097
2017-12-04,192.75,192.75,188.8,189.65,2830835
2017-12-05,189.0,190.9,188.5,189.85,3081263
