date,open,high,low,close,volume
2017-07-03,174.0,176.4,171.25,172.2,448932
2017-07-04,172.3,174.4,170.25,170.5,120340
2017-07-05,170.1,172.0,170.0,170.95,182732
2017-07-06,171.0,175.0,170.3,172.5,302310
2017-07-07,171.6,176.25,170.35,176.0,297961
2017-07-10,176.8,177.55,175.0,176.0,17179920110
2017-07-11,176.95,178.0,173.55,175.4,200461
2017-07-12,174.25,179.9,174.0,177.7,420938
2017-07-13,179.7,179.7,177.0,177.0,227975
2017-07-14,179.5,184.05,177.15,182.35,679306
2017-07-17,183.0,185.0,179.0,180.0,559563
2017-07-18,181.05,182.0,177.5,178.05,269437
2017-07-19,179.35,182.9,177.1,182.35,328000
2017-07-20,182.75,183.0,178.0,178.4,193668
2017-07-21,179.1,179.7,175.05,176.5,305521
2017-07-24,177.05,177.7,172.25,172.9,281477
2017-07-25,174.05,185.5,172.5,177.3,3518300
2017-07-26,177.95,180.45,176.45,176.45,312438
2017-07-27,178.5,182.3,168.65,169.5,941708
2017-07-28,169.0,174.0,166.0,167.55,569247
2017-07-31,168.95,174.0,167.0,172.9,442786
2017-08-01,173.45,176.7,171.6,172.0,650765
2017-08-02,172.4,178.35,171.0,177.55,1264586
2017-08-03,178.45,179.6,173.0,174.0,222015
2017-08-04,172.95,174.0,170.9,172.5,148960
2017-08-07,174.8,175.5,169.1,169.95,264440
2017-08-08,171.9,171.9,166.5,166.5,469947
2017-08-09,166.7,169.75,164.05,169.0,403498
2017-08-10,168.75,169.5,166.1,168.7,596142
2017-08-11,165.05,168.8,161.05,162.3,415490
2017-08-14,163.85,167.9,163.0,164.5,161975
2017-08-16,165.15,176.45,163.25,174.05,697923
2017-08-17,175.4,175.4,169.8,170.75,253681
2017-08-18,170.0,172.8,167.55,170.85,200235
2017-08-21,172.7,174.55,169.45,170.5,180185
2017-08-22,170.55,172.2,167.0,172.0,133113
2017-08-23,172.05,173.9,169.0,169.25,138592
2017-08-24,169.95,171.75,168.4,168.55,128853
2017-08-28,169.15,171.3,167.6,170.1,124972
2017-08-29,169.75,169.8,167.25,168.5,157077
