date,open,high,low,close,volume
2017-07-03,1576.15,1590.6,1566.95,1586.0,440875
2017-07-04,1593.0,1603.55,1570.0,1580.0,193170
2017-07-05,1582.95,1599.0,1572.05,1597.65,338694
2017-07-06,1599.95,1621.45,1588.0,1612.7,281993
2017-07-07,1610.8,1627.75,1604.05,1606.9,637491
2017-07-10,1606.9,1635.0,1606.9,1628.5,21474895338
2017-07-11,1631.05,1656.85,1626.2,1652.1,339794
2017-07-12,1660.0,1710.0,1660.0,1703.0,712346
2017-07-13,1708.0,1721.15,1690.3,1700.1,435759
2017-07-14,1699.9,1769.6,1698.8,1769.45,787520
2017-07-17,1764.8,1776.9,1728.1,1751.9,1006355
2017-07-18,1780.0,1808.95,1747.0,1756.65,2119830
2017-07-19,1767.65,1775.0,1725.75,1735.0,431921
2017-07-20,1740.0,1758.2,1705.2,1713.0,471556
2017-07-21,1718.15,1725.05,1696.0,1710.0,351461
2017-07-24,1715.0,1739.0,1708.1,1722.0,356143
2017-07-25,1735.05,1735.05,1712.6,1732.8,332649
2017-07-26,1725.0,1732.35,1697.95,1710.0,386471
2017-07-27,1712.0,1744.4,1708.35,1733.95,913098
2017-07-28,1738.0,1758.0,1726.0,1731.9,481666
2017-07-31,1736.0,1759.0,1728.3,1734.75,314474
2017-08-01,1743.0,1751.95,1731.65,1733.0,216615
2017-08-02,1722.65,1774.9,1712.65,1774.0,749677
2017-08-03,1778.0,1817.8,1758.0,1817.8,886105
2017-08-04,1795.15,1837.0,1795.15,1818.45,571200
2017-08-07,1818.0,1827.0,1795.05,1816.45,256631
2017-08-08,1819.95,1837.55,1794.95,1816.9,384414
2017-08-09,1801.0,1831.0,1793.4,1808.1,299004
2017-08-10,1810.4,1810.4,1770.15,1776.65,335233
2017-08-11,1758.0,1793.45,1748.0,1757.35,401226
2017-08-14,1765.0,1793.5,1751.0,1782.25,582484
2017-08-16,1787.8,1816.75,1773.0,1808.0,378459
2017-08-17,1815.0,1824.9,1771.35,1775.0,360050
2017-08-18,1772.05,1804.45,1765.0,1803.4,276062
2017-08-21,1808.0,1813.0,1785.1,1789.45,323529
2017-08-22,1798.9,1804.3,1772.15,1785.0,452158
