date,open,high,low,close,volume
2017-07-03,242.05,255.05,242.05,255.0,5016897
2017-07-04,255.7,256.7,250.5,252.7,3103501
2017-07-05,252.2,257.8,251.1,254.7,2257282
2017-07-06,255.0,260.0,255.0,255.9,2902883
2017-07-07,254.3,260.0,253.05,258.4,3807957
2017-07-10,259.15,259.15,252.05,257.0,21475132554
2017-07-11,257.3,259.65,247.6,249.3,3935121
2017-07-12,248.0,253.95,245.5,252.8,3900206
2017-07-13,251.8,254.8,250.0,251.4,2106183
2017-07-14,252.0,252.45,249.0,250.8,1473643
2017-07-17,250.8,254.65,246.7,253.0,2979609
2017-07-18,252.75,256.9,250.0,252.15,3355105
2017-07-19,253.9,257.15,253.2,256.2,3033318
2017-07-20,256.05,257.45,252.3,253.9,1825490
2017-07-21,253.75,255.7,250.45,252.0,2792786
2017-07-24,254.25,255.5,251.05,253.35,1899708
2017-07-25,253.7,265.6,252.65,265.4,6439706
2017-07-26,266.0,268.85,264.25,266.05,5559522
2017-07-27,266.9,266.95,258.75,262.8,2724666
2017-07-28,261.15,265.4,259.45,263.1,2722970
2017-07-31,263.65,269.85,261.2,266.0,4277295
2017-08-01,266.3,268.0,263.0,266.35,2276531
2017-08-02,266.0,279.0,263.75,276.4,8783623
2017-08-03,278.35,278.6,269.35,270.6,4986167
2017-08-04,261.85,270.25,259.2,263.6,10743892
2017-08-07,255.8,288.45,255.8,285.3,18875870
2017-08-08,284.15,284.45,271.75,280.9,8315204
2017-08-09,276.2,279.0,267.65,270.25,6915068
2017-08-10,269.5,275.75,257.45,263.55,4644944
2017-08-11,258.55,262.45,252.25,258.35,4778803
2017-08-14,259.8,264.75,258.65,262.4,2547367
2017-08-16,264.5,273.85,259.6,272.0,4470720
2017-08-17,272.85,274.75,268.45,268.9,3447940
2017-08-18,267.65,271.8,265.4,270.05,2170713
2017-08-21,271.55,273.7,267.0,267.8,2915581
2017-08-22,270.5,270.5,255.5,259.9,4891697
2017-08-23,263.35,263.35,256.0,259.55,3007931
2017-08-24,260.8,261.35,253.6,256.75,3452387
2017-08-28,257.45,257.5,251.2,252.05,5356392
2017-08-29,249.5,254.6,246.25,249.1,6505627
2017-08-30,251.45,252.9,247.65,248.2,3296027
2017-08-31,248.8,254.2,248.45,254.0,4614287
2017-09-01,254.4,257.0,252.65,256.4,3270186
2017-09-04,256.5,256.5,248.45,250.6,4473103
2017-09-05,250.85,255.0,250.7,253.5,2353599
2017-09-06,251.5,257.05,250.1,254.5,2559254
2017-09-07,256.8,257.6,252.25,253.05,2369701
2017-09-08,253.45,255.3,250.3,252.8,1589581
2017-09-11,253.6,257.2,252.05,255.85,2200497
2017-09-12,257.65,264.5,256.1,264.15,2999994
2017-09-13,264.0,266.5,258.25,260.0,4155270
2017-09-14,260.4,263.1,258.5,260.2,1676189
2017-09-15,258.5,260.45,253.7,255.3,2509960
2017-09-18,259.0,262.9,255.5,261.0,3219486
2017-09-19,261.3,263.3,257.6,258.9,1702486
2017-09-20,267.45,267.6,261.65,262.25,5032141
2017-09-21,263.0,263.8,254.8,258.0,3025714
2017-09-22,259.0,262.9,248.65,251.5,4934367
2017-09-25,252.25,252.75,245.0,249.65,2821713
2017-09-26,246.45,252.15,243.5,247.2,3648149
2017-09-27,249.5,250.05,239.3,241.15,2012159
2017-09-28,242.3,246.3,240.6,241.55,4010822
2017-09-29,245.0,249.4,244.7,246.0,2870162
2017-10-03,249.7,249.7,242.0,243.95,2315339
2017-10-04,243.55,246.15,237.65,238.5,4016975
2017-10-05,238.7,240.8,236.0,239.25,3421427
2017-10-06,240.2,243.75,237.5,242.15,3937939
2017-10-09,243.0,243.9,236.5,237.75,3683891
2017-10-10,238.9,242.8,238.05,242.2,2871887
2017-10-11,242.85,244.3,236.0,237.7,2977038
2017-10-12,238.55,243.0,238.55,243.0,2421846
2017-10-13,243.0,244.15,240.4,242.2,1767887
2017-10-16,242.4,245.65,240.45,242.75,2831382
2017-10-17,242.2,247.0,240.95,245.9,1804822
2017-10-18,245.9,248.85,242.9,243.55,2547320749
2017-10-23,240.05,242.5,237.0,239.75,8311650880
2017-10-24,240.85,243.65,239.75,240.0,1249095
2017-10-25,241.5,242.5,238.5,241.0,1200846
2017-10-26,240.8,242.5,237.5,239.25,9169331
2017-10-27,239.05,244.8,238.95,243.65,2694628
2017-10-30,245.45,249.65,243.7,246.9,2935287
2017-10-31,246.85,247.3,243.8,246.3,1470831
2017-11-01,248.65,248.35,241.0,243.25,3128257
2017-11-02,241.1,250.5,235.7,236.45,6051363
2017-11-03,237.5,239.9,232.9,236.65,3849303
2017-11-06,236.0,244.2,234.3,242.2,4500477
2017-11-07,242.5,243.7,232.55,233.55,4056364
2017-11-08,234.3,236.7,228.25,229.95,2718254
2017-11-09,232.85,234.0,228.2,233.0,2250995
2017-11-10,234.55,237.9,230.3,237.9,2563834
2017-11-13,237.0,239.15,235.25,235.95,1873308
2017-11-14,236.55,237.0,230.6,231.2,1611115
2017-11-15,233.4,241.0,229.65,233.0,4412351
2017-11-16,233.45,237.0,231.65,233.25,2050235
2017-11-17,235.8,239.0,234.5,235.9,1952168
2017-11-20,236.8,238.0,234.55,235.4,2903953
2017-11-21,237.0,247.0,236.3,246.7,6368363
2017-11-22,247.7,249.8,243.55,247.05,3967978
