date,open,high,low,close,volume
2017-07-03,309.8,312.64,305.26,305.55,60435
2017-07-04,306.9,309.94,306.0,306.9,97400
2017-07-05,310.48,310.5,305.19,306.43,85469
2017-07-06,306.27,308.25,304.02,304.25,146395
2017-07-07,303.77,309.15,303.77,306.02,68274
2017-07-10,306.02,344.25,301.5,304.47,38177499445
2017-07-11,304.07,306.86,299.5,302.27,55065
2017-07-12,303.75,303.75,300.15,301.95,135507
2017-07-13,301.95,306.0,301.95,303.28,67922
2017-07-14,304.45,306.95,299.72,300.15,46887
2017-07-17,300.6,301.34,286.34,288.0,104224
2017-07-18,290.25,298.64,276.75,286.2,228740
2017-07-19,284.72,297.0,284.72,290.7,56067
2017-07-20,290.7,296.93,287.06,289.71,82385
2017-07-21,291.98,291.98,282.6,284.24,50025
2017-07-24,284.24,292.43,283.52,287.1,52272
2017-07-25,286.65,290.75,284.9,285.75,376937
2017-07-26,285.75,290.21,285.75,287.55,37772
2017-07-27,287.55,290.77,283.73,283.77,27875
2017-07-28,283.77,287.1,281.25,284.36,25071
2017-07-31,284.13,286.88,280.35,281.25,93522
2017-08-01,279.47,283.03,278.37,280.31,30189
2017-08-02,280.31,282.6,276.35,276.75,42263
2017-08-03,276.75,288.9,272.7,283.5,538874
2017-08-04,285.68,288.0,272.93,276.77,130872
2017-08-07,276.77,290.7,276.77,287.12,70602
2017-08-08,287.12,296.73,281.95,294.3,97503
2017-08-09,288.45,295.2,285.75,290.25,191808
2017-08-10,290.25,298.31,285.41,290.25,299043
2017-08-11,284.4,290.27,281.25,290.25,99539
2017-08-14,290.25,294.75,285.82,294.3,110097
2017-08-16,294.3,304.65,292.5,299.25,93070
2017-08-17,299.25,303.75,297.0,297.9,23530
2017-08-18,300.33,303.26,292.95,298.85,28460
2017-08-21,298.85,301.95,293.0,296.93,37183
2017-08-22,296.93,298.8,288.0,289.71,2923017
2017-08-23,288.47,293.4,286.18,289.37,200399
2017-08-24,289.37,300.15,288.0,292.1,342002
2017-08-28,294.48,301.5,288.14,301.41,31472
2017-08-29,303.73,304.65,297.9,301.55,133445
2017-08-30,301.55,308.25,301.55,308.25,99163
2017-08-31,308.25,312.75,302.2,310.5,33598
2017-09-01,310.5,314.12,305.35,314.1,58974
2017-09-04,315.0,317.21,303.23,306.0,51611
2017-09-05,306.0,309.15,300.83,301.5,30134
2017-09-06,306.47,313.18,306.09,309.58,122367
2017-09-07,314.08,316.8,308.3,314.55,140370
2017-09-08,317.21,321.75,314.55,315.41,310525
2017-09-11,319.03,329.65,307.44,328.5,371768
2017-09-12,328.95,330.75,325.8,325.8,255349
2017-09-13,329.85,329.85,319.07,321.28,268611
2017-09-14,321.28,324.88,315.72,319.93,26880
2017-09-15,319.93,325.8,318.15,320.85,27860
2017-09-18,326.63,333.9,326.63,331.2,135685
2017-09-19,330.75,335.7,328.57,331.43,80400
2017-09-20,331.43,335.7,330.75,331.61,29656
2017-09-21,334.35,334.8,327.6,328.05,30735
2017-09-22,328.05,333.0,315.86,328.5,125892
2017-09-25,330.75,332.08,321.75,330.73,66383
2017-09-26,330.73,330.73,318.76,325.44,92693
2017-09-27,325.44,332.48,317.7,319.05,106610
2017-09-28,323.96,328.46,316.35,328.46,76349
2017-09-29,328.46,333.11,324.36,332.1,63287
2017-10-03,332.1,334.8,324.0,328.05,59017
2017-10-04,330.08,330.08,324.7,324.88,68075
