date,open,high,low,close,volume
2017-07-03,412.0,416.76,409.3,413.0,1079400
2017-07-04,414.9,418.9,410.54,411.32,877430
2017-07-05,413.52,417.39,411.91,417.0,1793980
2017-07-06,416.5,419.0,412.02,412.5,982760
2017-07-07,415.0,415.33,408.0,410.86,932470
2017-07-10,411.61,414.53,409.07,409.07,214748538460
2017-07-11,410.51,414.1,409.11,412.0,1031660
2017-07-12,409.3,424.9,409.3,423.7,2129960
2017-07-13,424.9,437.28,424.01,436.5,4082150
2017-07-14,439.0,442.38,432.82,439.51,2250210
2017-07-17,440.0,448.34,440.0,443.61,1683270
2017-07-18,445.01,446.98,439.4,441.99,1031000
2017-07-19,443.0,459.55,443.0,457.9,3555080
2017-07-20,459.3,474.68,452.8,467.5,3469790
2017-07-21,467.95,497.45,467.89,493.0,5159900
2017-07-24,495.1,504.47,490.64,494.9,3204490
2017-07-25,494.9,500.1,492.0,494.9,1472380
2017-07-26,494.9,499.64,492.5,493.8,1226860
2017-07-27,495.2,509.76,489.01,489.89,3210850
2017-07-28,489.7,501.4,489.0,494.1,1658710
2017-07-31,495.0,500.98,492.7,500.2,1472360
2017-08-01,502.5,508.44,500.23,506.89,1446660
2017-08-02,507.7,509.9,498.44,500.29,1422070
2017-08-03,501.0,517.77,501.0,510.5,3110390
2017-08-04,512.8,534.1,512.5,530.9,2676180
2017-08-07,531.8,549.23,531.2,543.5,2425650
2017-08-08,547.8,547.99,530.45,534.7,2567070
2017-08-09,533.6,533.6,508.0,508.0,2246660
2017-08-10,508.8,517.49,496.4,506.5,2376260
2017-08-11,495.1,516.94,491.3,500.3,2884470
2017-08-14,508.0,524.4,505.0,523.96,1953830
2017-08-16,526.5,542.27,517.03,540.21,2241240
2017-08-17,538.4,545.65,528.2,530.39,1820790
2017-08-18,528.0,536.1,520.11,530.0,1504900
2017-08-21,534.0,536.0,518.1,522.0,1642210
2017-08-22,525.0,529.02,517.68,523.5,1304460
2017-08-23,525.0,537.5,522.12,535.0,1945620
2017-08-24,539.0,552.1,530.4,551.6,1847100
2017-08-28,555.0,563.0,555.0,557.8,2124310
2017-08-29,557.5,558.36,542.55,543.11,1503570
2017-08-30,549.89,558.7,546.3,549.43,1390840
