date,open,high,low,close,volume
2017-07-03,1379.85,1390.0,1366.7,1384.0,446267
2017-07-04,1394.55,1408.75,1376.55,1378.0,703840
2017-07-05,1374.0,1405.9,1370.1,1399.0,642615
2017-07-06,1398.9,1413.5,1392.35,1397.5,417575
2017-07-07,1397.15,1403.6,1387.65,1393.0,201301
2017-07-10,1406.0,1415.05,1393.0,1411.55,25769953171
2017-07-11,1419.4,1431.0,1409.65,1422.0,664870
2017-07-12,1423.6,1452.0,1420.1,1452.0,654098
2017-07-13,1452.0,1489.5,1452.0,1482.1,1005688
2017-07-14,1484.95,1508.35,1470.65,1495.0,569491
2017-07-17,1503.9,1549.7,1492.0,1538.55,939889
2017-07-18,1535.9,1545.15,1507.0,1514.95,500740
2017-07-19,1519.65,1577.0,1515.0,1544.0,2652672
2017-07-20,1551.05,1607.95,1547.1,1587.25,2167782
2017-07-21,1598.9,1631.25,1585.0,1623.0,1377693
2017-07-24,1631.0,1637.3,1587.95,1602.0,833884
2017-07-25,1605.6,1632.9,1600.0,1630.05,813268
2017-07-26,1634.8,1695.75,1630.05,1694.0,1470708
2017-07-27,1697.0,1739.8,1671.2,1673.9,1951401
2017-07-28,1670.0,1710.9,1662.55,1702.2,924288
2017-07-31,1710.1,1723.05,1698.1,1705.65,575888
2017-08-01,1706.05,1727.8,1706.05,1718.0,687828
2017-08-02,1725.0,1725.0,1691.65,1705.0,395417
2017-08-03,1714.0,1729.0,1698.05,1708.0,774503
2017-08-04,1704.9,1730.0,1701.05,1729.55,710104
2017-08-07,1730.0,1805.1,1729.9,1800.0,1503382
2017-08-08,1809.1,1829.4,1772.05,1778.0,1757760
2017-08-09,1768.15,1768.15,1682.55,1693.0,1897381
2017-08-10,1681.0,1683.8,1610.05,1650.0,1833126
2017-08-11,1610.0,1730.9,1590.5,1704.9,3501581
2017-08-14,1723.3,1741.5,1705.05,1717.0,1310083
2017-08-16,1729.85,1729.95,1683.85,1725.0,705223
2017-08-17,1730.0,1762.45,1721.0,1722.0,734419
