date,open,high,low,close,volume
2017-07-03,152.15,153.45,151.85,152.8,662228
2017-07-04,152.8,154.6,150.4,152.0,781119
2017-07-05,151.7,153.55,151.5,152.7,968888
2017-07-06,153.65,153.65,152.15,153.0,564031
2017-07-07,151.7,156.7,151.15,154.9,2488816
2017-07-10,153.9,154.9,152.5,153.5,21474970738
2017-07-11,157.2,157.9,151.95,153.1,2229783
2017-07-12,152.85,154.0,152.0,153.2,692815
2017-07-13,152.5,157.2,152.15,156.85,1435902
2017-07-14,159.5,159.9,154.2,154.3,2472552
2017-07-17,154.25,156.75,154.2,155.95,1483999
2017-07-18,155.1,156.9,152.95,154.1,912140
2017-07-19,154.75,155.5,153.75,154.45,847679
2017-07-20,156.8,159.8,155.85,157.35,2305861
2017-07-21,157.95,161.8,155.7,159.0,2017431
2017-07-24,160.5,161.65,158.35,158.8,1607632
2017-07-25,159.55,161.95,157.6,160.8,1884451
2017-07-26,160.85,162.15,159.25,159.75,1361616
2017-07-27,158.25,159.5,152.6,153.3,6089802
2017-07-28,153.85,155.95,152.3,155.3,1238503
2017-07-31,155.3,167.5,155.25,164.25,8763260
2017-08-01,165.55,167.15,161.7,162.0,3154168
2017-08-02,163.65,173.1,162.8,170.8,7557308
2017-08-03,171.45,176.5,171.45,175.15,5029461
2017-08-04,175.65,176.5,169.0,173.5,2132278
2017-08-07,174.75,180.9,174.0,178.0,3008479
2017-08-08,177.0,177.0,168.85,169.95,2822212
2017-08-09,166.0,170.0,164.15,166.45,1875186
2017-08-10,165.55,166.35,158.45,161.0,1223354
2017-08-11,158.1,167.3,155.4,165.5,2185967
2017-08-14,167.85,171.0,165.35,168.5,1517277
2017-08-16,169.1,169.95,165.45,166.7,1232215
2017-08-17,167.6,168.45,165.0,165.35,1143277
2017-08-18,164.5,168.4,164.5,167.35,1116801
2017-08-21,167.75,169.75,164.7,164.75,952393
2017-08-22,165.9,166.9,163.25,165.0,863222
2017-08-23,165.45,166.75,163.3,164.95,868240
2017-08-24,167.4,169.0,165.75,167.0,1427064
2017-08-28,166.8,174.4,164.55,173.05,2233313
2017-08-29,170.1,172.6,168.0,168.3,1514224
2017-08-30,169.1,172.35,167.7,170.0,1281599
2017-08-31,169.5,173.0,168.6,172.6,1537140
2017-09-01,173.25,174.25,172.2,173.45,992493
2017-09-04,173.25,176.3,169.7,174.3,1016257
2017-09-05,172.3,174.5,169.75,173.05,1394253
2017-09-06,171.35,175.0,170.85,174.85,981799
2017-09-07,175.0,175.8,170.65,171.85,1405964
2017-09-08,171.0,173.2,169.75,172.0,877733
2017-09-11,172.8,173.75,171.5,171.6,369958
2017-09-12,171.25,176.5,171.05,175.0,1028601
2017-09-13,175.45,182.5,175.0,175.65,3052646
2017-09-14,176.5,178.4,173.8,174.85,830303
2017-09-15,173.9,177.95,172.25,173.7,2171850
2017-09-18,174.85,176.25,168.45,170.1,1357491
2017-09-19,170.65,173.0,170.0,172.95,743255
2017-09-20,171.1,174.8,171.1,172.0,964599
2017-09-21,172.5,173.55,169.0,170.35,1243745
2017-09-22,169.45,170.35,166.0,166.15,626191
2017-09-25,166.75,168.0,161.25,166.75,1303795
2017-09-26,167.75,170.1,164.85,165.8,1530601
2017-09-27,168.25,169.35,162.35,162.35,1167112
2017-09-28,162.7,164.05,156.0,157.4,2715738
2017-09-29,158.9,161.65,158.0,161.05,878067
2017-10-03,162.9,163.55,157.05,159.8,931260
2017-10-04,159.45,160.7,156.0,156.5,1576044
2017-10-05,157.6,160.0,156.8,158.7,1374955
2017-10-06,160.45,161.9,159.0,159.7,1520470
2017-10-09,159.9,160.2,156.25,156.95,1647019
2017-10-10,157.75,166.7,156.6,165.8,3129575
2017-10-11,167.7,167.95,159.45,160.0,2400072
2017-10-12,161.85,163.8,160.75,162.75,1107674
2017-10-13,163.3,164.3,160.65,162.2,746175
2017-10-16,161.2,162.75,158.0,159.15,807948
2017-10-17,159.2,161.15,158.1,159.45,820515
2017-10-18,159.3,164.8,159.3,162.2,2381536683
2017-10-23,160.0,164.5,160.0,163.9,1610234
2017-10-24,165.4,165.9,163.1,164.05,767264
2017-10-25,165.0,166.6,161.25,164.15,1205574
2017-10-26,164.0,165.55,157.05,160.4,3379878
2017-10-27,161.95,164.35,160.0,160.8,1035256
2017-10-30,161.9,168.15,160.6,168.0,1723765
2017-10-31,168.4,172.0,166.35,171.75,2502139
2017-11-01,175.75,179.4,173.15,173.75,7784529
2017-11-02,173.95,173.95,167.2,169.2,1693226
2017-11-03,168.9,170.75,165.8,169.65,1762214
2017-11-06,168.05,170.6,167.0,168.05,1416281
2017-11-07,169.6,170.0,159.55,162.25,3929403
2017-11-08,162.25,167.65,161.8,167.25,3305745
2017-11-09,167.8,168.0,160.85,163.3,1301874
2017-11-10,161.0,166.95,161.0,162.7,1096196
2017-11-13,163.25,163.95,158.45,159.8,979256
2017-11-14,159.5,160.8,157.55,159.95,1482059
2017-11-15,160.0,159.95,155.35,156.55,862069
2017-11-16,156.8,159.5,155.25,159.05,884463
2017-11-17,161.5,163.75,159.75,161.2,1141218
2017-11-20,163.0,164.55,160.05,162.4,986385
2017-11-21,164.0,164.05,161.65,162.6,885629
2017-11-22,163.3,163.65,159.1,159.9,1027514
2017-11-23,161.0,166.0,159.6,164.9,1386069
2017-11-24,166.95,166.8,162.85,163.0,1050861
2017-11-27,165.5,167.85,163.3,167.25,2106035
2017-11-28,167.3,167.9,164.65,164.7,1361284
2017-11-29,165.5,166.3,162.8,163.95,1531665
2017-11-30,164.0,163.75,158.25,160.0,3119908
2017-12-01,159.4,161.95,156.25,156.75,1038885
2017-12-04,157.0,157.65,152.0,152.7,1009935
2017-12-05,152.0,158.65,149.2,158.0,2367947
2017-12-06,160.0,159.85,152.2,153.05,4035264
2017-12-07,152.0,155.35,151.5,153.3,1269683
2017-12-08,153.5,154.85,152.25,153.3,1426728
2017-12-11,153.9,155.5,153.1,154.0,1011903
2017-12-12,153.95,154.35,147.5,148.3,1093812
2017-12-13,147.1,149.05,145.15,145.15,1317801
2017-12-14,145.8,146.6,141.4,145.0,1091135
2017-12-15,145.0,147.85,144.05,144.65,755472
2017-12-18,142.95,144.2,134.75,141.85,2007846
2017-12-19,141.95,149.65,142.1,148.1,3560016
2017-12-20,148.65,148.5,144.0,144.4,2470488
