date,open,high,low,close,volume
2017-07-03,206.46,206.88,203.33,204.71,259039
2017-07-04,205.83,208.08,203.08,203.33,339159
2017-07-05,203.33,205.54,202.71,203.96,335510
2017-07-06,205.46,206.42,203.5,203.75,294076
2017-07-07,203.88,205.12,200.88,204.83,257170
2017-07-10,206.67,210.75,204.83,210.42,36077966809
2017-07-11,210.38,214.33,210.38,212.62,901785
2017-07-12,213.67,214.79,211.25,214.79,416777
2017-07-13,214.92,215.42,211.75,212.5,499911
2017-07-14,212.5,213.54,209.92,211.67,314115
2017-07-17,212.0,213.25,209.58,210.58,369042
2017-07-18,210.0,213.08,208.83,210.71,402901
2017-07-19,210.96,214.83,210.83,213.58,430906
2017-07-20,214.17,214.17,210.96,211.62,287678
2017-07-21,212.08,212.42,208.62,209.58,357131
2017-07-24,209.21,213.67,206.83,211.96,733325
2017-07-25,213.33,216.58,210.29,211.75,860079
2017-07-26,212.29,213.75,210.04,213.25,304247
2017-07-27,212.58,213.33,206.33,207.08,314547
2017-07-28,208.29,210.0,207.08,209.46,240180
2017-07-31,210.71,210.71,204.21,206.62,525332
2017-08-01,206.67,208.83,205.92,207.21,473395
2017-08-02,207.42,210.0,206.42,209.17,547305
2017-08-03,209.54,209.54,204.58,205.04,456087
2017-08-04,205.58,205.71,199.88,200.58,949638
2017-08-07,200.0,208.12,198.04,207.71,1035994
2017-08-08,207.54,211.75,202.5,210.83,845876
2017-08-09,210.54,214.75,201.79,212.46,1817439
2017-08-10,210.33,211.83,203.54,206.71,620938
2017-08-11,200.83,206.08,193.5,198.33,1149423
2017-08-14,200.54,211.25,200.54,205.71,788032
2017-08-16,205.54,208.38,203.92,204.83,353711
2017-08-17,205.5,207.46,200.83,200.88,683368
2017-08-18,201.08,203.92,197.5,201.25,615830
2017-08-21,201.25,202.12,197.08,200.75,559892
2017-08-22,199.5,201.46,196.33,197.08,373478
2017-08-23,198.92,198.92,192.17,198.12,1225351
2017-08-24,196.96,204.62,195.5,204.12,2021457
2017-08-28,203.42,204.67,201.0,203.75,858190
2017-08-29,202.88,204.38,200.5,203.54,770622
2017-08-30,204.04,204.17,200.92,202.0,1476544
2017-08-31,203.79,205.71,202.54,204.79,549305
2017-09-01,205.5,211.17,204.29,207.5,1126025
2017-09-04,209.25,211.21,201.83,202.92,1178158
2017-09-05,206.46,213.75,206.25,213.75,1501599
2017-09-06,211.62,218.62,211.04,216.63,2221309
2017-09-07,218.33,219.58,214.5,216.42,878424
2017-09-08,216.58,218.33,212.58,213.54,518533
2017-09-11,215.25,223.54,214.38,221.75,1585573
2017-09-12,224.46,225.83,222.25,223.12,1884185
2017-09-13,222.08,228.25,221.88,222.5,1938269
2017-09-14,225.21,228.33,222.25,226.25,1327217
2017-09-15,224.92,227.42,218.79,219.88,3062454
2017-09-18,220.83,225.62,220.83,223.37,715055
2017-09-19,223.96,224.13,220.87,222.08,402270
2017-09-20,222.5,223.08,219.17,219.62,382933
2017-09-21,220.0,224.54,215.25,217.5,807599
2017-09-22,216.63,216.63,210.0,211.46,728738
2017-09-25,210.62,210.62,203.67,208.17,777819
2017-09-26,203.17,208.46,200.29,201.38,1006977
2017-09-27,204.08,206.83,201.54,202.33,973407
2017-09-28,202.67,203.96,198.62,200.83,728803
2017-09-29,201.46,205.83,198.83,204.17,566798
2017-10-03,205.46,209.33,204.75,206.58,426252
2017-10-04,206.08,211.67,206.08,211.67,672529
2017-10-05,211.83,216.04,211.83,213.0,931104
2017-10-06,214.17,215.58,213.79,214.83,476511
2017-10-09,215.38,218.62,213.12,218.25,665964
2017-10-10,216.83,219.25,216.42,218.58,374747
2017-10-11,219.29,219.96,211.54,213.04,547881
2017-10-12,213.29,216.88,212.29,215.38,305317
2017-10-13,215.17,219.62,212.92,213.71,429449
2017-10-16,215.33,223.08,215.33,223.0,1440517
2017-10-17,223.08,223.08,219.33,220.96,460166
