date,open,high,low,close,volume
2017-07-03,561.0,569.5,548.78,552.75,284230
2017-07-04,557.5,560.0,545.67,549.0,237961
2017-07-05,548.95,558.9,548.0,553.3,174874
2017-07-06,565.0,569.67,552.0,552.0,373854
2017-07-07,557.45,564.78,556.78,559.75,381723
2017-07-10,564.0,564.25,556.72,558.8,10737458636
2017-07-11,560.05,562.47,549.67,551.6,188563
2017-07-12,552.0,562.28,552.0,560.0,213868
2017-07-13,562.95,565.5,557.67,560.0,138133
2017-07-14,561.97,564.2,557.78,558.58,113180
2017-07-17,559.97,573.47,553.28,572.9,455547
2017-07-18,573.5,578.75,569.53,570.0,477325
2017-07-19,573.0,580.85,572.1,575.12,358754
2017-07-20,575.22,577.78,562.5,567.0,210903
2017-07-21,567.35,573.47,561.25,567.35,188297
2017-07-24,568.4,571.42,563.05,567.0,311074
2017-07-25,565.22,568.25,559.53,560.0,340162
2017-07-26,561.0,573.72,560.75,569.0,344359
2017-07-27,570.0,576.75,564.78,574.35,493672
2017-07-28,567.45,578.42,565.55,576.0,365828
2017-07-31,578.95,582.5,571.67,573.5,350736
2017-08-01,575.05,579.62,572.62,575.0,152687
2017-08-02,575.55,584.9,575.12,580.03,430317
2017-08-03,580.8,587.4,574.22,580.03,417832
2017-08-04,582.5,585.88,574.42,577.25,259549
2017-08-07,577.72,585.12,576.78,584.0,251586
2017-08-08,587.72,599.25,574.83,595.5,572774
2017-08-09,591.5,600.78,580.75,581.5,371141
2017-08-10,582.95,598.8,554.62,579.47,1581599
2017-08-11,571.97,588.5,567.0,580.8,607899
2017-08-14,587.22,593.62,582.15,588.5,324522
2017-08-16,594.95,600.4,591.0,592.3,372269
2017-08-17,592.5,599.5,589.0,592.4,185533
2017-08-18,591.4,591.67,582.5,584.9,199308
2017-08-21,588.05,592.92,556.7,566.88,425813
2017-08-22,572.9,578.3,561.1,572.2,344048
2017-08-23,572.65,585.0,569.45,585.0,256671
2017-08-24,586.97,586.97,572.53,574.45,228980
2017-08-28,577.92,583.72,574.47,582.0,162370
2017-08-29,579.47,579.85,561.35,564.8,285029
2017-08-30,568.05,574.8,567.78,570.03,201860
2017-08-31,572.75,573.75,561.3,564.95,427474
2017-09-01,565.0,572.62,564.7,565.5,201123
2017-09-04,567.5,571.53,560.5,562.0,261360
2017-09-05,564.83,570.75,563.0,563.0,293405
2017-09-06,565.78,569.3,560.3,564.88,270983
2017-09-07,586.7,588.83,574.03,580.3,861123
2017-09-08,581.5,588.0,576.88,579.03,415074
2017-09-11,584.83,594.42,583.0,590.95,421365
2017-09-12,594.0,617.0,592.92,614.5,704646
2017-09-13,617.55,623.72,610.4,614.47,704428
2017-09-14,615.2,632.9,615.2,628.0,679399
2017-09-15,623.97,625.0,617.62,620.0,419736
2017-09-18,627.47,629.45,622.0,623.0,250581
2017-09-19,626.92,636.38,623.65,633.75,360030
2017-09-20,633.97,638.0,628.75,635.0,372730
2017-09-21,635.88,635.88,618.5,624.62,437588
2017-09-22,624.47,624.47,611.5,616.0,528436
2017-09-25,616.0,617.85,587.25,609.4,766594
2017-09-26,611.95,639.97,609.5,637.0,1138770
2017-09-27,642.9,643.55,600.0,608.47,1048505
2017-09-28,610.0,611.3,593.2,594.5,1899727
2017-09-29,601.9,606.0,586.5,591.8,967266
2017-10-03,602.9,620.0,600.4,613.65,1927414
2017-10-04,626.0,634.0,621.0,630.0,2851728
2017-10-05,630.95,638.5,624.25,632.45,1492879
2017-10-06,634.4,649.85,633.0,647.3,2621448
2017-10-09,649.0,651.0,639.1,644.0,1072170
2017-10-10,643.95,655.5,640.0,655.0,836189
2017-10-11,655.0,658.9,636.5,642.0,1036115
2017-10-12,641.75,650.0,634.05,647.0,1170371
2017-10-13,647.0,649.35,635.9,641.0,974701
2017-10-16,644.65,654.0,641.25,644.0,1083166
2017-10-17,643.0,655.75,633.5,637.9,1708044
2017-10-18,637.9,642.0,627.0,629.65,5891554824
2017-10-23,626.5,645.85,626.5,639.9,8335623306
2017-10-24,642.5,643.2,635.0,637.35,776344
2017-10-25,643.65,659.85,631.85,658.8,1455597
2017-10-26,663.0,666.0,653.05,659.0,1588251
2017-10-27,660.05,675.95,650.6,672.0,1334846
2017-10-30,679.9,697.5,677.1,695.0,1545085
2017-10-31,698.9,710.0,685.0,709.0,1203469
2017-11-01,705.25,705.9,689.85,701.4,863866
2017-11-02,705.85,704.95,692.7,697.0,924563
2017-11-03,711.1,720.9,700.2,704.9,1794224
2017-11-06,708.0,712.75,696.75,711.1,634027
2017-11-07,710.9,729.0,702.5,717.3,1768178
2017-11-08,719.65,739.0,713.65,738.0,3109214
2017-11-09,749.95,745.65,714.0,716.35,2125418
2017-11-10,715.5,714.85,700.0,705.9,1968074
2017-11-13,709.15,709.0,686.0,693.0,1405805
2017-11-14,685.4,703.05,684.15,691.5,1263562
2017-11-15,692.5,700.0,684.7,693.95,602775
2017-11-16,698.45,700.7,687.35,697.55,721352
2017-11-17,705.0,707.75,691.65,695.4,764146
2017-11-20,703.0,703.8,691.5,697.85,946795
2017-11-21,703.0,715.65,698.95,711.5,1104851
2017-11-22,714.95,714.95,704.55,711.8,753887
2017-11-23,714.75,714.75,693.75,697.65,1001692
2017-11-24,700.0,703.0,695.0,698.0,785286
2017-11-27,699.0,702.7,692.0,701.05,1057861
2017-11-28,702.0,702.05,695.0,696.95,590002
2017-11-29,698.5,700.55,695.6,697.45,430858
2017-11-30,698.0,701.0,688.25,700.0,1176691
2017-12-01,695.95,700.25,678.3,687.0,521502
2017-12-04,687.0,692.8,672.0,675.15,700577
2017-12-05,683.0,700.2,684.15,698.0,2664025
2017-12-06,697.95,709.9,692.6,698.0,1516206
2017-12-07,703.0,707.0,700.4,703.45,1021487
2017-12-08,712.85,710.9,701.1,706.25,798499
2017-12-11,712.25,712.45,696.3,698.2,694691
2017-12-12,698.0,700.55,692.0,696.0,1067660
2017-12-13,698.0,698.75,681.0,687.1,800721
2017-12-14,689.9,695.15,682.95,688.0,951187
2017-12-15,694.9,701.2,691.3,696.0,1500935
2017-12-18,695.0,709.9,676.0,704.15,841414
2017-12-19,701.25,729.9,702.7,728.0,1425132
2017-12-20,733.95,738.7,727.5,730.0,1023225
2017-12-21,731.4,735.25,720.5,727.5,740633
2017-12-22,734.0,736.0,725.0,729.5,900961
2017-12-26,727.2,734.85,724.5,726.85,434844
2017-12-27,726.0,730.7,716.2,722.0,389740
2017-12-28,722.45,734.25,718.0,732.5,1028204
2017-12-29,738.95,738.8,725.45,729.1,578432
2018-01-01,731.5,733.95,720.15,723.05,372575
2018-01-02,726.7,733.4,714.2,726.0,737721
2018-01-03,731.5,741.8,725.7,735.9,1073492
2018-01-04,733.3,734.75,724.0,725.2,667316
2018-01-05,745.75,745.15,731.6,737.85,1709697
2018-01-08,740.9,751.0,735.5,740.2,1216410
2018-01-09,743.75,746.4,729.1,729.1,874887
2018-01-10,732.6,740.1,717.3,726.6,1066124
2018-01-11,720.45,735.0,720.45,730.0,805904
2018-01-12,729.7,740.9,720.0,727.95,953956
2018-01-15,730.0,737.8,725.1,729.0,419576
2018-01-16,729.0,735.3,710.25,720.0,778295
2018-01-17,719.7,737.5,700.55,733.45,921714
2018-01-18,735.0,737.15,717.0,717.55,682992
2018-01-19,721.1,737.45,720.95,735.75,686906
2018-01-22,732.0,743.8,729.6,739.7,706431
2018-01-23,744.0,755.0,733.0,748.05,1205259
2018-01-24,748.4,755.8,740.8,744.8,940157
2018-01-25,744.8,751.95,716.65,721.95,2243442
2018-01-29,722.1,728.0,713.7,714.2,1287983
2018-01-30,714.0,723.1,702.75,719.85,576411
2018-01-31,724.9,723.1,710.45,720.45,868087
2018-02-01,718.5,732.0,712.8,718.9,829341
2018-02-02,715.0,719.9,680.8,682.3,1049612
2018-02-05,678.0,719.0,672.1,713.0,1715156
2018-02-06,695.0,709.0,674.3,702.9,1331769
2018-02-07,711.0,719.1,702.05,703.0,730596
2018-02-08,706.9,764.2,707.45,762.25,3706786
2018-02-09,751.0,775.1,749.3,761.0,2995456
2018-02-12,770.1,781.0,763.7,776.0,1564145
2018-02-14,785.0,783.7,757.05,758.0,892626
2018-02-15,769.0,768.45,749.75,752.0,791969
2018-02-16,755.0,757.45,737.25,742.3,784103
2018-02-19,742.3,747.0,724.0,745.5,590687
2018-02-20,745.5,754.6,734.7,739.0,1072045
2018-02-21,740.5,761.85,735.25,758.5,1209822
2018-02-22,754.0,762.0,748.05,753.25,1005429
2018-02-23,756.55,763.35,745.85,750.1,829646
2018-02-26,757.75,776.4,752.6,767.25,1386494
2018-02-27,773.0,776.4,763.0,770.05,785102
2018-02-28,765.0,798.0,759.25,787.55,1875863
2018-03-01,791.8,797.4,779.25,779.75,1438893
2018-03-05,781.0,782.15,757.55,762.95,1440627
2018-03-06,770.0,772.55,757.3,764.15,861071
2018-03-07,761.4,761.4,740.0,741.0,829102
2018-03-08,743.2,755.95,736.55,748.85,1250173
2018-03-09,747.25,753.35,745.0,750.0,604093
2018-03-12,754.0,759.45,725.0,737.8,932726
2018-03-13,743.0,750.2,729.0,740.85,1026283
2018-03-14,735.0,744.7,733.3,738.05,779056
2018-03-15,738.0,744.25,733.6,736.3,944990
