date,open,high,low,close,volume
2017-07-03,90.4,91.17,89.8,90.2,2130394
2017-07-04,90.4,90.97,89.0,89.2,1862998
2017-07-05,89.4,89.8,88.77,89.43,1860865
2017-07-06,89.73,91.9,89.57,90.57,4936727
2017-07-07,90.07,90.5,89.6,90.03,1713514
2017-07-10,90.8,92.4,90.03,91.7,20043832081
2017-07-11,91.97,94.87,91.93,93.33,6916192
2017-07-12,93.6,94.27,93.13,93.73,1920892
2017-07-13,94.13,95.5,93.93,94.93,3392319
2017-07-14,95.07,95.33,93.37,93.7,1739351
2017-07-17,93.97,94.57,93.33,94.13,1597050
2017-07-18,93.8,96.33,93.8,95.4,4352441
2017-07-19,96.13,97.2,95.7,96.7,3105805
2017-07-20,96.53,98.27,96.53,97.53,3575294
2017-07-21,97.97,98.0,95.4,96.6,1707437
2017-07-24,96.63,98.33,96.37,97.53,1438612
2017-07-25,97.83,97.97,96.8,96.93,1439967
2017-07-26,97.17,98.13,95.67,95.93,2121910
2017-07-27,96.07,96.9,94.47,95.0,4493244
2017-07-28,94.6,96.23,94.07,95.83,2238697
2017-07-31,96.33,97.0,96.0,96.53,1394492
2017-08-01,97.07,97.7,95.93,96.23,1847565
2017-08-02,96.33,96.67,93.43,93.77,2571577
2017-08-03,94.1,94.1,92.0,92.43,2976630
2017-08-04,92.43,92.83,90.7,91.4,2252702
2017-08-07,91.83,93.47,91.47,92.23,1801278
2017-08-08,92.8,93.1,89.4,89.67,3156661
2017-08-09,89.0,89.53,87.47,88.5,1819109
2017-08-10,88.8,90.13,82.67,85.6,11430205
2017-08-11,82.93,83.77,80.97,83.53,4703586
2017-08-14,84.3,85.03,83.73,84.0,1516515
2017-08-16,84.93,87.1,83.47,86.5,3203021
2017-08-17,85.9,87.83,85.83,86.27,2191213
2017-08-18,85.53,86.9,84.43,86.73,2586191
2017-08-21,87.13,87.33,82.77,82.83,3416682
2017-08-22,83.33,84.47,82.53,83.93,3138022
2017-08-23,84.0,85.4,83.73,85.37,1950178
2017-08-24,85.3,85.63,83.87,84.77,2006094
2017-08-28,84.83,85.87,84.67,85.13,1424667
2017-08-29,84.77,85.8,84.3,84.47,1667637
2017-08-30,85.0,85.57,84.87,85.17,1633317
2017-08-31,85.2,86.17,84.9,85.87,2159493
2017-09-01,86.23,87.0,85.7,86.67,1521690
2017-09-04,87.4,88.57,86.47,87.4,2683815
2017-09-05,88.0,88.17,86.73,87.4,1894757
2017-09-06,87.2,87.9,86.57,87.13,1691583
2017-09-07,87.73,87.77,86.4,86.47,1595887
2017-09-08,86.33,87.13,84.7,85.0,1823129
2017-09-11,86.1,87.77,86.0,87.0,2267234
2017-09-12,87.57,88.47,87.4,88.0,1846848
2017-09-13,88.33,89.37,87.87,88.27,1798252
2017-09-14,88.3,97.2,88.3,91.4,38249022
2017-09-15,89.67,89.67,87.53,87.83,10571477
2017-09-18,90.0,90.0,88.47,88.77,3139765
2017-09-19,89.07,90.5,88.23,89.63,2847111
2017-09-20,89.83,90.33,88.7,88.8,2569549
2017-09-21,89.03,89.73,87.5,88.33,2559776
2017-09-22,87.77,87.97,86.1,86.23,3180440
2017-09-25,86.4,86.63,84.17,84.77,2784346
2017-09-26,85.53,86.3,84.93,85.27,3177183
2017-09-27,85.93,85.97,82.67,83.0,3576445
2017-09-28,82.7,85.0,82.15,82.65,7376290
2017-09-29,83.35,84.85,83.05,84.0,5958242
2017-10-03,84.8,84.9,82.7,83.1,4517403
2017-10-04,83.5,83.75,82.5,83.2,3105967
2017-10-05,83.55,84.0,83.2,83.8,2193439
2017-10-06,83.9,85.35,83.75,85.2,4320444
2017-10-09,84.95,86.95,84.3,86.4,5027810
2017-10-10,86.75,87.2,85.8,86.7,3119253
2017-10-11,87.15,87.25,83.95,85.0,5122739
2017-10-12,84.6,85.05,83.7,84.3,3865312
2017-10-13,85.25,85.4,84.05,84.15,3214339
2017-10-16,84.35,84.85,83.7,84.05,2821508
2017-10-17,83.6,84.8,83.55,84.3,2859438
2017-10-18,84.3,85.4,83.65,84.75,3881926010
2017-10-23,84.6,88.85,83.9,86.75,12413225583
2017-10-24,87.1,88.7,85.8,88.2,14491341
2017-10-25,89.2,91.75,88.35,90.9,10960005
2017-10-26,91.5,101.3,91.4,96.55,45333219
2017-10-27,97.1,98.15,94.4,95.2,12289895
2017-10-30,95.55,97.35,94.15,95.55,11212141
2017-10-31,96.3,99.0,95.5,98.0,14280990
2017-11-01,98.6,99.9,98.0,99.1,9623442
2017-11-02,98.5,99.05,95.5,97.55,12085732
2017-11-03,96.7,101.5,97.15,99.6,28778783
2017-11-06,100.5,100.65,98.1,98.8,12925644
2017-11-07,100.05,100.7,92.35,93.55,39247440
2017-11-08,90.6,92.5,89.65,90.0,21487638
2017-11-09,90.3,92.75,90.0,92.35,7916008
2017-11-10,92.0,93.2,91.1,92.05,5888920
2017-11-13,92.7,92.75,89.05,89.15,6130809
2017-11-14,89.1,91.55,88.6,91.45,11995192
2017-11-15,89.25,90.55,87.5,88.15,10226070
2017-11-16,88.25,89.1,86.7,88.0,6263514
2017-11-17,89.9,89.45,87.35,87.65,6662685
2017-11-20,87.7,87.85,86.75,87.2,4592116
2017-11-21,87.6,88.7,87.2,87.45,6676705
2017-11-22,87.8,89.1,85.85,89.1,15139097
2017-11-23,89.6,94.15,88.45,93.0,27497555
2017-11-24,93.55,93.95,92.0,92.1,13870049
2017-11-27,91.95,93.0,91.1,92.2,6718893
2017-11-28,92.5,94.6,92.1,93.9,9700776
2017-11-29,94.5,95.0,92.8,93.25,11486114
2017-11-30,93.0,93.4,91.5,92.4,10172139
2017-12-01,92.5,93.25,90.7,91.05,7124172
2017-12-04,91.5,91.75,89.5,90.65,4407621
2017-12-05,90.0,90.5,88.55,90.3,4928050
2017-12-06,89.9,92.05,89.75,90.1,7317890
2017-12-07,91.0,91.95,90.8,91.7,7268428
2017-12-08,92.45,93.85,91.75,92.0,11527522
2017-12-11,92.7,92.6,91.5,91.75,3680473
2017-12-12,91.7,92.5,91.25,91.7,5197561
2017-12-13,91.2,92.15,89.1,89.8,4275279
2017-12-14,90.0,90.3,88.2,89.6,4980987
2017-12-15,91.0,91.7,89.35,89.45,10255397
2017-12-18,89.4,90.35,86.85,89.05,9874290
2017-12-19,89.9,90.75,89.75,89.9,8627884
2017-12-20,90.35,91.1,89.9,90.05,7486412
2017-12-21,90.2,92.45,90.15,91.35,14401211
2017-12-22,92.05,93.4,91.7,92.05,11065360
2017-12-26,93.8,94.0,92.75,92.85,10014905
2017-12-27,93.0,94.5,92.15,92.6,12275341
2017-12-28,93.0,93.3,91.85,92.0,5875058
2017-12-29,92.5,93.6,92.25,92.65,5826500
2018-01-01,92.65,96.4,92.6,95.55,14199395
2018-01-02,96.75,98.7,94.2,98.5,23510882
2018-01-03,99.2,99.7,97.8,98.45,13582714
2018-01-04,98.85,101.0,98.15,100.8,14433964
2018-01-05,101.05,103.5,101.2,102.0,19234313
2018-01-08,103.15,103.35,101.5,101.95,5803716
2018-01-09,102.25,102.3,99.3,101.2,6306765
2018-01-10,101.1,104.95,100.6,103.75,15376923
2018-01-11,103.7,104.1,102.6,103.55,5553999
2018-01-12,104.0,105.55,101.65,102.2,11185674
2018-01-15,103.0,104.2,101.05,101.4,5288106
2018-01-16,101.6,102.15,97.75,99.0,9656915
2018-01-17,98.3,100.25,95.65,99.9,12251884
2018-01-18,100.3,101.0,95.85,97.55,9450551
2018-01-19,97.0,98.35,96.2,97.35,4354182
2018-01-22,98.1,105.6,97.4,105.1,19797880
2018-01-23,106.7,107.8,103.45,104.8,20572476
2018-01-24,104.0,106.9,102.15,103.95,10992757
2018-01-25,104.0,106.5,102.3,102.8,21291193
2018-01-29,103.45,104.15,100.7,101.55,8249943
2018-01-30,102.2,103.1,100.2,101.45,6737064
2018-01-31,101.35,103.6,99.1,99.95,12545088
