date,open,high,low,close,volume
2017-07-03,1864.97,1871.9,1840.0,1850.0,37183
2017-07-04,1855.05,1883.95,1855.05,1873.95,61405
2017-07-05,1878.53,1884.5,1857.5,1866.5,56506
2017-07-06,1872.0,1875.0,1860.72,1862.5,61684
2017-07-07,1860.97,1860.97,1838.45,1847.25,59878
2017-07-10,1847.25,1864.0,1847.25,1856.1,2147492234
2017-07-11,1845.3,1867.57,1844.25,1849.75,41152
2017-07-12,1848.5,1862.32,1847.5,1854.88,90164
2017-07-13,1862.0,1881.95,1852.03,1865.0,31855
2017-07-14,1867.35,1867.35,1852.57,1854.7,19502
2017-07-17,1859.97,1866.5,1837.7,1855.5,27148
2017-07-18,1845.0,1879.0,1828.03,1870.38,32793
2017-07-19,1881.0,1919.5,1881.0,1899.47,131288
2017-07-20,1903.1,1917.5,1882.5,1900.05,103885
2017-07-21,1909.12,1922.47,1895.1,1916.55,60191
2017-07-24,1917.55,1934.0,1907.57,1911.0,51061
2017-07-25,1910.53,1926.5,1910.53,1925.2,48937
2017-07-26,1930.0,1930.0,1920.88,1925.5,39138
2017-07-27,1926.0,1959.2,1920.5,1935.0,70161
2017-07-28,1937.0,1964.18,1917.6,1944.68,59770
2017-07-31,1959.8,1978.3,1940.0,1947.65,64043
2017-08-01,1942.8,1979.0,1942.78,1952.5,57192
2017-08-02,1955.0,1964.5,1920.32,1931.0,80467
2017-08-03,1926.2,1943.82,1917.03,1934.97,37418
2017-08-04,1915.0,1968.75,1915.0,1952.5,48136
2017-08-07,1959.25,2105.7,1951.0,2052.5,445561
2017-08-08,2059.15,2070.0,1990.0,2030.0,187449
2017-08-09,2018.22,2037.45,1996.45,2019.9,87067
2017-08-10,2014.97,2116.98,2014.97,2055.38,163260
2017-08-11,2037.43,2078.5,2025.5,2050.0,74382
2017-08-14,2050.75,2102.98,2050.75,2080.0,49736
2017-08-16,2090.02,2155.98,2090.02,2145.1,147305
2017-08-17,2166.73,2167.48,2117.5,2126.25,85345
2017-08-18,2118.0,2141.98,2107.5,2122.5,40189
2017-08-21,2118.75,2138.4,2106.02,2108.65,48094
2017-08-22,2119.48,2128.98,2090.32,2103.0,53126
2017-08-23,2113.0,2133.85,2080.02,2122.5,59386
2017-08-24,2117.5,2136.95,2096.68,2100.5,61780
2017-08-28,2125.0,2129.43,2088.27,2092.5,75091
2017-08-29,2090.5,2098.3,2072.3,2077.0,82593
2017-08-30,2090.0,2131.25,2090.0,2115.0,50704
2017-08-31,2133.85,2135.52,2106.5,2107.55,67216
2017-09-01,2114.98,2130.15,2100.75,2120.0,48170
2017-09-04,2121.5,2128.8,2075.5,2108.12,57450
2017-09-05,2112.6,2135.73,2110.0,2125.0,68613
2017-09-06,2115.0,2128.5,2104.5,2120.75,57876
2017-09-07,2125.5,2147.5,2122.0,2128.0,57527
2017-09-08,2140.0,2174.98,2134.7,2143.0,69715
2017-09-11,2145.02,2165.0,2145.0,2147.5,35606
2017-09-12,2164.98,2169.12,2151.45,2158.0,56752
2017-09-13,2158.0,2180.0,2140.0,2159.65,46489
2017-09-14,2174.5,2174.5,2156.73,2170.0,47374
2017-09-15,2172.5,2190.18,2165.0,2178.0,69985
2017-09-18,2189.95,2204.48,2181.4,2190.5,108943
2017-09-19,2185.12,2194.93,2162.5,2188.93,54506
2017-09-20,2185.0,2192.95,2170.62,2179.0,23607
2017-09-21,2187.0,2187.0,2153.12,2159.5,40324
2017-09-22,2152.45,2172.85,2127.02,2131.07,96461
2017-09-25,2116.8,2159.23,2116.55,2142.75,67017
2017-09-26,2140.65,2170.0,2132.85,2165.0,52869
