date,open,high,low,close,volume
2017-07-03,122.5,129.0,122.1,127.3,1134360
2017-07-04,127.3,128.5,123.75,125.0,359892
2017-07-05,124.8,130.55,124.0,128.5,1275712
2017-07-06,128.55,131.0,128.55,129.9,660142
2017-07-07,129.6,134.4,129.0,133.8,1527212
2017-07-10,135.0,135.0,122.0,132.15,25769901678
2017-07-11,133.9,136.75,133.5,134.9,1231302
2017-07-12,135.1,136.4,132.2,133.6,585881
2017-07-13,133.8,136.75,133.8,134.6,647234
2017-07-14,135.65,137.8,134.8,136.2,601173
2017-07-17,135.8,138.7,135.6,136.3,766483
2017-07-18,133.65,136.8,128.1,128.1,1010731
2017-07-19,128.95,134.4,127.25,133.55,1859816
2017-07-20,134.0,134.0,128.45,129.65,1425610
2017-07-21,130.15,130.45,125.75,125.8,947684
2017-07-24,126.85,127.85,122.5,123.45,916398
2017-07-25,124.05,124.8,121.75,124.0,839440
2017-07-26,124.5,128.0,116.65,127.7,60331674
2017-07-27,130.5,130.5,124.1,125.2,5779035
2017-07-28,124.45,127.65,124.1,126.8,1760472
2017-07-31,127.4,130.2,126.05,127.65,1485245
2017-08-01,129.5,129.95,127.55,129.2,1164922
2017-08-02,128.7,131.0,127.6,128.3,1178889
2017-08-03,128.25,128.4,125.0,125.35,635499
2017-08-04,125.75,126.25,122.25,124.0,2085932
2017-08-07,124.7,125.1,122.3,123.2,690868
2017-08-08,123.5,124.65,120.15,121.1,758368
2017-08-09,121.1,123.05,114.8,115.5,1941040
2017-08-10,113.4,117.25,106.45,109.8,1996539
2017-08-11,106.5,113.7,104.75,110.0,1833834
2017-08-14,111.95,113.2,110.55,111.95,513591
2017-08-16,112.6,113.75,111.45,112.9,419661
2017-08-17,113.6,117.55,113.25,115.55,1354161
2017-08-18,114.7,115.2,112.5,113.0,661586
2017-08-21,114.4,114.6,110.25,110.25,507589
2017-08-22,111.55,113.0,109.25,110.25,458093
2017-08-23,111.95,114.35,110.5,113.5,621477
2017-08-24,114.1,115.5,112.05,115.15,544600
2017-08-28,114.9,118.6,114.35,118.0,764872
2017-08-29,117.65,118.9,115.75,115.75,908146
2017-08-30,117.0,118.5,116.85,117.5,513610
2017-08-31,117.85,118.8,115.75,116.5,884809
2017-09-01,116.5,120.15,116.5,119.1,696476
2017-09-04,118.95,120.0,115.45,117.45,503337
2017-09-05,117.75,119.15,115.8,117.1,483699
2017-09-06,117.5,117.5,115.2,116.1,457811
2017-09-07,116.4,117.4,115.5,115.95,455774
2017-09-08,116.0,116.1,112.05,112.8,1068555
2017-09-11,113.8,114.9,113.1,114.1,486527
2017-09-12,114.65,122.7,114.0,121.85,3051440
2017-09-13,122.1,127.15,121.35,122.25,3585877
2017-09-14,121.65,123.45,120.0,121.3,646382
2017-09-15,120.95,122.9,119.5,120.5,706949
2017-09-18,120.75,124.15,120.75,122.8,701735
2017-09-19,123.45,124.2,120.8,121.6,501419
2017-09-20,122.6,126.3,121.7,123.15,1637346
2017-09-21,123.25,124.7,120.1,123.1,752928
2017-09-22,121.8,122.9,118.0,118.1,617198
2017-09-25,118.4,118.4,114.15,116.3,756366
2017-09-26,115.0,120.8,115.0,119.3,655729
2017-09-27,121.15,122.25,118.2,119.3,818430
2017-09-28,119.55,122.2,118.7,121.05,940825
2017-09-29,121.6,123.0,120.35,121.5,551167
2017-10-03,122.65,123.35,121.3,122.35,415611
2017-10-04,122.9,124.5,122.5,122.9,529070
2017-10-05,123.1,130.55,123.1,129.7,3373951
2017-10-06,128.4,130.0,126.65,128.75,1258080
2017-10-09,128.5,133.35,128.2,131.55,2433812
2017-10-10,132.5,132.85,130.3,132.05,1157136
2017-10-11,131.6,133.6,124.5,126.9,2056575
2017-10-12,128.35,130.95,126.85,130.0,1341307
2017-10-13,131.0,131.1,127.8,128.0,844876
2017-10-16,128.9,129.5,126.75,128.45,439290
2017-10-17,128.75,129.95,126.9,128.95,498518
2017-10-18,128.6,129.65,127.5,127.9,19498815824
2017-10-23,126.3,128.5,126.3,127.0,18243493763
2017-10-24,127.0,132.8,126.8,131.2,1858889
2017-10-25,132.5,136.8,127.2,135.15,1857358
2017-10-26,134.65,138.3,133.5,137.7,1441879
2017-10-27,138.25,139.2,134.2,135.0,1126719
2017-10-30,136.9,142.0,136.7,140.1,2160032
2017-10-31,140.3,149.6,137.4,146.7,5045383
2017-11-01,150.0,151.55,145.0,145.2,4901772
2017-11-02,147.35,149.85,145.05,148.0,2387139
2017-11-03,148.6,154.25,146.0,152.0,2847176
2017-11-06,151.0,157.7,150.1,156.25,2592746
2017-11-07,155.05,164.0,149.45,158.5,3839434
2017-11-08,159.25,165.9,156.15,159.4,3180074
2017-11-09,159.55,161.85,157.0,160.95,1693746
2017-11-10,160.0,163.25,159.0,161.2,1212986
2017-11-13,160.8,162.8,160.15,160.9,830935
2017-11-14,161.15,168.85,161.0,162.65,3836962
2017-11-15,162.0,162.8,156.05,160.6,1923858
2017-11-16,163.75,169.45,160.95,169.0,2527938
2017-11-17,170.45,170.0,164.75,166.35,1612902
2017-11-20,166.35,169.1,164.6,167.5,1531763
2017-11-21,167.2,173.75,167.15,173.0,1968293
2017-11-22,173.0,174.1,168.5,173.5,1391542
2017-11-23,170.8,179.5,171.95,178.25,2967716
2017-11-24,178.9,178.05,174.45,175.6,1221615
2017-11-27,174.9,178.1,173.2,177.0,1326605
2017-11-28,177.0,181.7,176.35,178.4,1358670
2017-11-29,178.8,179.3,171.35,172.2,1335368
2017-11-30,172.0,172.5,168.45,172.3,2071082
2017-12-01,171.5,172.8,159.65,161.85,3104648
2017-12-04,162.0,162.6,156.75,157.95,1841545
2017-12-05,157.45,157.75,152.05,154.5,3117787
2017-12-06,155.75,162.6,152.5,162.25,4241430
2017-12-07,161.95,168.9,161.7,168.2,1760432
2017-12-08,166.85,168.8,165.3,166.65,1143621
2017-12-11,166.65,173.25,166.5,172.3,1582040
2017-12-12,172.4,172.35,169.35,169.7,779347
2017-12-13,170.0,173.7,168.45,169.65,1430743
2017-12-14,170.2,172.4,165.95,169.5,1150842
2017-12-15,170.15,171.4,165.35,167.1,1151864
2017-12-18,167.5,171.5,161.8,169.55,810860
2017-12-19,169.5,177.6,169.5,176.6,2782326
2017-12-20,177.45,177.35,171.0,172.3,1012603
2017-12-21,173.0,175.0,168.1,173.5,1201647
2017-12-22,174.3,174.9,171.2,172.75,745082
2017-12-26,171.3,173.1,169.85,170.95,982538
2017-12-27,172.6,174.9,170.4,171.5,1055976
2017-12-28,172.45,178.3,170.65,174.5,2752071
2017-12-29,174.95,181.7,172.65,179.8,4014371
2018-01-01,181.7,186.95,180.6,185.7,2684976
2018-01-02,188.0,191.6,182.5,190.5,4211577
2018-01-03,191.2,199.4,191.05,199.2,4045280
2018-01-04,199.1,205.15,195.4,203.85,3624935
2018-01-05,202.15,203.85,200.2,201.75,2073538
2018-01-08,200.05,203.0,197.5,199.5,2263869
2018-01-09,199.1,203.75,196.6,201.85,2225387
2018-01-10,202.55,207.2,198.15,206.0,3002279
2018-01-11,207.0,211.8,207.0,207.45,4311748
2018-01-12,209.3,210.5,201.3,202.55,3007900
2018-01-15,204.45,205.8,199.55,201.6,1235147
2018-01-16,201.25,206.75,199.15,201.8,2397553
2018-01-17,201.5,206.1,197.3,201.3,2369612
2018-01-18,210.0,208.25,186.45,190.3,3152765
2018-01-19,191.65,197.5,191.05,197.15,1375924
2018-01-22,196.5,202.65,195.75,199.65,1772315
2018-01-23,201.0,204.9,196.4,203.55,2423419
2018-01-24,203.3,213.55,201.45,207.5,7332674
2018-01-25,208.3,214.65,206.0,213.1,4081242
2018-01-29,214.0,215.75,207.0,207.5,3076889
2018-01-30,201.0,223.4,201.2,218.25,15268263
2018-01-31,216.0,220.65,209.0,211.5,3984047
2018-02-01,212.0,214.35,204.35,208.1,2540100
2018-02-02,203.5,208.75,195.0,197.3,3303211
2018-02-05,192.0,208.35,189.9,208.0,3737642
2018-02-06,198.0,209.8,194.6,205.55,3912310
2018-02-07,211.9,216.3,209.0,211.5,3842072
2018-02-08,213.1,227.05,212.8,221.15,6624524
2018-02-09,217.0,220.25,214.3,215.0,3523537
2018-02-12,216.9,219.8,214.15,215.35,2615523
2018-02-14,217.05,221.6,215.6,216.9,2101853
2018-02-15,219.1,219.5,206.15,208.9,3331783
2018-02-16,210.0,213.3,204.8,205.5,2655542
2018-02-19,208.8,206.7,194.15,202.0,4014564
