date,open,high,low,close,volume
2017-07-03,645.47,649.8,640.0,642.7,18982
2017-07-04,644.0,651.05,637.0,638.8,17325
2017-07-05,642.0,655.47,636.4,648.0,27412
2017-07-06,646.0,653.99,642.0,645.7,14436
2017-07-07,644.34,656.69,643.36,649.2,19395
2017-07-10,653.46,656.0,611.29,648.6,4294972759
2017-07-11,653.0,653.99,640.0,640.6,10920
2017-07-12,644.4,647.89,637.56,638.87,13320
2017-07-13,644.0,647.78,638.11,639.21,14394
2017-07-14,643.98,649.0,637.0,639.8,21152
2017-07-17,644.0,645.8,637.0,637.59,15333
2017-07-18,637.96,650.31,628.82,633.39,34845
2017-07-19,634.0,638.05,624.53,637.6,16887
2017-07-20,638.96,646.57,636.0,646.16,22604
2017-07-21,647.73,647.79,626.0,629.98,56001
2017-07-24,629.99,633.28,608.0,610.62,31762
2017-07-25,608.19,621.39,608.19,614.0,19944
2017-07-26,617.37,618.6,607.2,611.0,17042
2017-07-27,614.95,631.0,608.02,624.0,32753
2017-07-28,622.0,627.35,616.94,620.29,10084
2017-07-31,621.4,625.94,609.2,617.8,11135
2017-08-01,622.02,625.38,613.0,615.2,12387
2017-08-02,619.79,620.97,610.61,614.4,8813
2017-08-03,611.0,613.67,594.8,596.29,19182
2017-08-04,594.2,601.8,586.73,597.22,25336
2017-08-07,600.0,600.0,579.0,588.2,39580
2017-08-08,593.0,593.88,580.56,583.61,14836
2017-08-09,583.2,589.0,566.1,571.6,18027
2017-08-10,571.8,581.17,554.66,572.8,22756
2017-08-11,556.2,579.17,550.66,577.8,18698
2017-08-14,584.0,593.2,580.34,585.4,9268
2017-08-16,590.0,596.01,575.0,593.9,11040
2017-08-17,595.99,603.59,588.21,590.18,12564
2017-08-18,586.01,587.26,576.08,579.1,10286
2017-08-21,579.07,584.98,555.0,558.38,16118
2017-08-22,558.71,566.38,539.06,541.79,35206
2017-08-23,546.45,561.0,534.4,559.2,48625
2017-08-24,561.39,563.89,552.0,552.8,17946
2017-08-28,554.0,558.1,551.0,555.4,13306
2017-08-29,551.21,555.6,536.2,537.88,18256
2017-08-30,543.59,563.99,543.59,560.2,21303
2017-08-31,561.6,575.24,553.57,574.0,26073
2017-09-01,572.0,579.05,568.38,576.0,14996
2017-09-04,570.02,576.59,560.2,562.2,9361
2017-09-05,560.4,577.4,560.4,573.6,12991
2017-09-06,569.0,582.6,567.0,574.2,20037
2017-09-07,576.4,586.38,575.54,576.19,12867
2017-09-08,578.0,589.86,569.04,571.0,19491
2017-09-11,575.27,582.0,566.0,567.45,13179
2017-09-12,570.0,575.6,564.4,568.95,8653
2017-09-13,570.8,577.2,560.0,561.0,7242
2017-09-14,563.6,565.57,551.0,562.0,11620
2017-09-15,556.02,563.92,554.76,558.8,7676
2017-09-18,560.0,567.5,560.0,565.14,8558
2017-09-19,563.96,578.9,560.81,575.0,19945
2017-09-20,577.6,577.6,564.0,564.42,11330
2017-09-21,566.79,566.79,551.0,559.0,15852
2017-09-22,557.16,557.16,529.0,530.0,29780
2017-09-25,533.07,533.07,509.29,518.0,26594
2017-09-26,520.0,538.18,516.7,530.0,25800
2017-09-27,537.0,539.6,517.09,518.26,19222
2017-09-28,520.0,532.0,513.18,525.6,20761
2017-09-29,530.0,536.98,528.13,530.6,15282
2017-10-03,537.58,537.99,525.11,529.0,16166
2017-10-04,530.4,534.4,522.21,525.8,15780
2017-10-05,528.74,532.0,521.26,523.0,11500
2017-10-06,526.0,534.2,524.4,527.2,18298
2017-10-09,530.8,536.79,527.07,533.4,9559
2017-10-10,538.0,538.0,522.7,525.43,16337
2017-10-11,528.8,531.4,507.4,512.78,24844
2017-10-12,514.7,529.0,511.1,527.2,650486
2017-10-13,529.8,562.0,527.0,558.85,1583228
2017-10-16,562.0,564.7,545.65,550.0,872806
2017-10-17,550.95,554.75,546.35,551.5,427160
2017-10-18,552.45,552.45,539.85,540.7,15162253784
2017-10-23,536.5,545.4,533.4,537.85,11569366123
2017-10-24,540.95,555.5,535.6,536.6,1733390
2017-10-25,534.15,537.75,497.55,501.9,1988808
2017-10-26,501.0,507.45,480.1,499.9,1515561
2017-10-27,504.9,509.35,493.1,495.7,846975
2017-10-30,496.0,502.5,486.6,490.0,671863
2017-10-31,492.0,494.95,478.0,479.6,913344
2017-11-01,484.8,485.5,469.65,470.85,941399
2017-11-02,472.0,482.8,465.7,472.65,1272363
2017-11-03,471.1,477.45,466.2,468.0,717190
2017-11-06,468.0,469.6,454.95,456.9,759437
2017-11-07,456.6,471.9,454.05,454.55,933745
2017-11-08,458.9,463.75,444.0,455.9,605441
2017-11-09,455.9,464.85,453.0,461.9,577673
2017-11-10,459.0,469.8,457.45,461.5,595436
2017-11-13,463.3,466.95,452.0,452.9,448428
2017-11-14,454.8,460.75,451.2,453.4,404692
2017-11-15,452.7,454.2,434.4,439.2,467049
2017-11-16,439.6,460.0,430.85,457.5,684739
2017-11-17,472.6,482.1,461.1,476.25,1464055
2017-11-20,479.0,479.75,462.65,472.0,663634
2017-11-21,472.9,476.85,460.2,461.1,488233
2017-11-22,462.5,469.2,456.2,464.85,409117
2017-11-23,464.5,467.15,456.85,459.4,288562
2017-11-24,460.05,463.65,456.1,456.65,220625
2017-11-27,456.3,476.0,456.15,472.7,733940
2017-11-28,473.95,489.95,474.2,482.0,1195952
2017-11-29,483.5,492.6,478.1,488.0,822570
2017-11-30,488.0,494.7,481.0,483.5,752488
2017-12-01,484.0,491.0,464.35,467.7,506667
2017-12-04,467.0,471.25,453.05,458.4,348942
2017-12-05,459.5,468.0,451.2,464.35,481638
2017-12-06,463.8,472.25,455.45,456.5,428752
2017-12-07,458.65,488.0,458.65,484.45,1117224
2017-12-08,482.7,490.4,478.65,481.85,482064
2017-12-11,483.1,492.0,480.75,483.9,504061
2017-12-12,487.5,487.45,465.0,467.3,713123
2017-12-13,466.55,471.7,460.65,462.25,406445
2017-12-14,465.55,467.75,450.0,461.0,588671
2017-12-15,465.7,473.5,465.0,467.0,437789
2017-12-18,465.65,478.85,450.1,473.5,660986
2017-12-19,478.7,483.95,471.0,480.4,462153
2017-12-20,482.0,484.2,472.85,474.1,375016
2017-12-21,475.0,512.4,473.05,510.3,2538014
2017-12-22,510.0,510.0,492.0,497.0,1534518
2017-12-26,502.0,505.0,496.2,499.55,707671
2017-12-27,500.75,504.45,484.0,488.9,661783
2017-12-28,493.0,491.0,472.95,473.8,1631343
2017-12-29,474.8,477.9,470.2,471.6,653488
2018-01-01,472.0,485.85,473.0,476.75,892203
2018-01-02,479.85,480.75,471.05,474.0,608306
2018-01-03,473.65,482.2,473.65,476.4,408636
2018-01-04,476.4,479.95,467.55,468.0,1485793
2018-01-05,472.0,477.55,469.25,470.4,1086380
2018-01-08,471.0,481.55,469.9,479.8,1214879
2018-01-09,483.6,483.55,475.1,479.5,1484301
2018-01-10,480.95,481.9,473.45,481.5,448088
2018-01-11,484.0,493.35,480.8,485.3,1653264
2018-01-12,488.7,488.5,473.0,480.5,614244
2018-01-15,483.0,486.4,478.75,482.0,431947
2018-01-16,485.65,485.0,468.0,477.25,946313
2018-01-17,474.1,475.0,464.25,471.8,434096
2018-01-18,472.0,476.0,457.35,462.15,670691
2018-01-19,462.5,480.0,461.75,477.0,589065
2018-01-22,477.45,486.05,472.0,484.8,874378
2018-01-23,488.7,505.2,457.15,458.7,5262738
2018-01-24,461.0,463.95,441.0,443.6,1844981
2018-01-25,444.0,452.8,438.0,443.9,1290080
2018-01-29,448.0,469.9,449.2,462.5,2530302
2018-01-30,462.0,462.15,448.65,449.6,697449
2018-01-31,448.5,452.35,444.3,449.2,587254
2018-02-01,450.0,459.0,442.5,445.95,990731
2018-02-02,442.0,452.0,416.25,429.1,1527977
2018-02-05,420.0,461.5,405.25,457.25,1819897
2018-02-06,421.0,470.75,418.95,455.3,2267409
2018-02-07,474.9,479.4,457.0,459.0,1590948
2018-02-08,463.5,471.35,453.55,462.5,762710
2018-02-09,454.0,468.6,450.75,462.45,816703
2018-02-12,467.9,494.95,466.5,494.95,2569546
2018-02-14,497.0,525.6,498.05,516.8,3760801
2018-02-15,525.0,538.0,509.15,517.0,3009889
2018-02-16,519.25,527.4,497.25,504.5,1693611
2018-02-19,503.9,511.3,495.65,502.0,1338012
2018-02-20,501.5,523.75,501.8,512.9,2315583
2018-02-21,516.0,522.0,511.9,517.25,1014993
2018-02-22,517.95,525.95,513.15,517.55,1190618
2018-02-23,517.25,527.25,519.3,525.15,1020989
2018-02-26,527.9,540.0,525.35,539.0,1319677
2018-02-27,542.75,544.9,529.7,538.0,1239781
2018-02-28,540.0,544.35,529.1,541.45,1151699
2018-03-01,542.0,543.0,533.7,537.45,694993
2018-03-05,537.4,551.0,530.0,546.9,1983929
2018-03-06,553.15,554.5,531.6,535.05,936108
2018-03-07,540.9,538.55,488.0,503.8,2615603
2018-03-08,506.0,515.45,493.9,513.0,1378893
2018-03-09,512.0,516.45,502.3,511.35,743071
2018-03-12,512.0,524.7,511.2,520.0,714003
2018-03-13,519.0,542.0,515.0,540.85,1608017
2018-03-14,537.9,555.65,537.75,551.0,2334184
2018-03-15,551.5,557.5,528.0,533.0,1918572
2018-03-16,533.0,546.0,531.4,537.6,1608995
2018-03-19,536.8,543.85,522.1,529.5,2048835
2018-03-20,528.7,534.4,517.1,523.75,965893
2018-03-21,524.7,534.4,516.95,519.0,706654
2018-03-22,521.0,521.35,509.9,511.25,697314
