date,open,high,low,close,volume
2017-07-03,120.2,122.45,119.5,120.5,1393576
2017-07-04,121.5,129.25,121.0,129.0,2518609
2017-07-05,129.0,139.3,127.0,139.0,4160190
2017-07-06,139.0,140.75,132.0,133.8,1689049
2017-07-07,132.95,135.55,130.1,131.85,844201
2017-07-10,134.5,134.5,115.3,131.65,21474923400
2017-07-11,132.4,133.5,128.4,129.7,749532
2017-07-12,130.5,131.4,126.0,126.55,853697
2017-07-13,127.6,131.15,126.5,127.15,1028587
2017-07-14,127.6,128.45,124.5,124.8,648377
2017-07-17,126.1,133.4,125.7,132.9,1712583
2017-07-18,132.25,134.2,129.0,131.5,1420785
2017-07-19,130.8,131.5,128.4,128.5,788893
2017-07-20,129.5,132.5,128.55,129.6,645272
2017-07-21,128.1,129.95,127.1,127.6,654837
2017-07-24,127.6,136.8,127.5,134.05,1718454
2017-07-25,135.9,137.15,132.3,135.4,1587174
2017-07-26,134.95,138.6,133.7,136.6,1408929
2017-07-27,136.95,137.7,130.5,132.9,895439
2017-07-28,130.1,134.5,129.6,134.35,775811
2017-07-31,133.7,138.6,132.5,135.25,1044221
2017-08-01,135.45,136.3,133.8,135.45,461206
2017-08-02,135.55,144.3,135.55,140.25,3298656
2017-08-03,141.3,141.3,136.6,138.3,1051298
2017-08-04,139.0,144.6,135.3,140.3,1791565
2017-08-07,141.0,142.8,138.1,141.25,800764
2017-08-08,142.0,145.45,137.65,139.05,1565571
2017-08-09,138.0,142.0,134.8,135.5,1040224
2017-08-10,134.3,135.4,121.15,128.0,1387012
2017-08-11,122.0,134.65,117.25,133.7,1421033
2017-08-14,134.0,139.85,132.9,137.9,762616
2017-08-16,136.5,141.3,134.0,141.3,966444
2017-08-17,139.0,144.4,139.0,141.4,1066966
2017-08-18,141.15,143.2,138.1,139.7,705599
2017-08-21,140.9,141.5,139.1,140.25,562441
2017-08-22,140.4,142.7,139.4,141.85,671232
2017-08-23,142.0,146.65,142.0,144.2,1442407
2017-08-24,142.8,145.6,142.8,144.0,528364
2017-08-28,149.0,151.0,147.5,148.35,1300337
2017-08-29,148.2,149.45,145.1,148.7,650979
2017-08-30,149.25,151.0,145.5,146.5,889540
2017-08-31,146.5,148.2,145.3,146.4,852827
2017-09-01,147.1,148.5,144.25,144.7,430637
2017-09-04,145.5,150.7,142.45,149.6,1206504
2017-09-05,150.0,152.5,147.4,147.5,1424973
2017-09-06,146.5,151.0,146.15,150.0,1815929
2017-09-07,151.4,151.5,147.55,148.0,523698
2017-09-08,148.0,150.15,147.1,148.35,540670
2017-09-11,149.05,149.6,147.1,147.9,552519
2017-09-12,149.4,149.4,145.55,146.25,436057
2017-09-13,146.5,151.3,146.0,147.5,804669
2017-09-14,148.55,149.5,146.65,147.15,334367
2017-09-15,146.8,150.4,146.3,148.95,579007
2017-09-18,151.0,153.3,148.25,150.0,828158
2017-09-19,150.95,156.4,149.35,153.85,1354422
2017-09-20,154.9,154.9,151.05,151.5,317893
2017-09-21,151.95,155.7,149.0,153.0,760615
2017-09-22,152.7,152.9,143.85,145.0,1217221
2017-09-25,145.0,147.0,137.0,138.4,454452
2017-09-26,137.1,140.5,137.0,138.5,457534
2017-09-27,140.4,141.4,135.1,135.5,284712
2017-09-28,137.55,137.55,135.1,137.2,231823
2017-09-29,137.7,141.95,136.6,141.95,268925
2017-10-03,140.9,142.95,139.7,139.75,147407
2017-10-04,141.65,146.95,140.2,144.9,415329
2017-10-05,145.9,147.0,144.15,144.7,356300
2017-10-06,145.0,147.5,142.65,144.2,1871781
2017-10-09,144.9,145.3,142.65,143.6,236649
2017-10-10,144.75,149.8,143.55,149.0,701883
2017-10-11,151.25,154.0,149.5,152.75,1045674
2017-10-12,155.7,157.25,150.9,151.35,729158
2017-10-13,152.55,152.55,147.5,148.3,367173
2017-10-16,148.6,148.9,144.1,144.55,316261
2017-10-17,145.7,146.5,144.0,145.0,220169
2017-10-18,145.1,146.9,144.5,145.1,4142815102
2017-10-23,145.1,148.8,144.5,146.15,11111297510
2017-10-24,147.0,154.9,147.0,148.15,2392846
2017-10-25,148.5,148.75,140.6,141.2,760507
2017-10-26,142.45,145.0,141.5,143.3,403920
2017-10-27,144.9,147.4,142.75,144.25,370078
2017-10-30,145.6,150.0,144.15,149.0,640188
2017-10-31,149.5,151.8,147.3,151.3,418010
2017-11-01,152.0,152.9,147.85,148.45,806247
2017-11-02,149.7,152.5,148.15,150.3,728427
2017-11-03,150.9,152.0,149.6,150.1,289862
2017-11-06,150.7,151.9,147.1,147.75,243236
2017-11-07,148.05,150.25,141.8,142.95,267219
2017-11-08,144.1,144.95,138.4,141.0,193098
2017-11-09,141.5,141.75,133.55,140.05,722116
2017-11-10,138.8,140.0,135.55,137.25,218477
2017-11-13,138.7,138.7,136.0,136.85,169751
2017-11-14,137.7,142.0,137.3,140.0,491088
2017-11-15,139.8,140.35,138.3,140.0,213801
2017-11-16,140.0,142.9,139.15,141.95,540605
2017-11-17,143.0,144.5,140.6,140.95,325216
2017-11-20,141.8,143.15,140.55,142.3,507411
2017-11-21,142.9,154.15,142.9,149.95,1000834
2017-11-22,149.95,151.05,145.65,145.75,223871
2017-11-23,145.05,149.0,145.05,146.95,216005
2017-11-24,146.05,147.9,144.25,144.25,243662
2017-11-27,144.9,145.7,141.3,141.65,522006
2017-11-28,142.1,145.4,140.55,140.9,306117
2017-11-29,141.4,142.7,138.4,139.35,325958
2017-11-30,140.3,145.85,137.85,144.9,1541762
2017-12-01,144.0,148.0,144.0,144.9,774475
2017-12-04,146.0,146.7,143.0,144.5,272106
2017-12-05,144.45,145.05,142.0,143.4,195428
2017-12-06,143.65,145.95,144.0,144.95,327744
2017-12-07,145.0,150.7,145.0,145.0,665519
2017-12-08,146.5,146.75,143.35,143.55,955976
2017-12-11,145.1,145.85,141.7,144.65,710361
2017-12-12,145.0,145.2,141.5,142.8,290451
2017-12-13,143.9,143.95,142.1,143.1,466951
2017-12-14,143.2,149.8,141.5,147.1,421969
2017-12-15,148.0,149.9,144.1,144.1,722939
2017-12-18,144.2,149.85,141.05,148.65,427531
2017-12-19,150.45,152.0,147.25,148.05,619443
2017-12-20,148.0,149.45,146.3,147.0,314125
2017-12-21,146.1,149.5,146.1,147.55,263756
2017-12-22,147.25,148.95,145.5,146.5,258188
2017-12-26,145.3,153.4,145.3,148.0,530021
2017-12-27,148.35,150.5,145.5,145.95,336010
2017-12-28,147.35,156.4,145.55,151.6,1779648
2017-12-29,153.45,155.9,151.25,153.7,817716
2018-01-01,153.95,160.55,152.15,157.85,1525195
2018-01-02,158.85,161.4,155.0,158.5,927134
2018-01-03,160.0,164.5,159.0,160.3,1534558
2018-01-04,163.4,163.4,160.0,160.8,755152
2018-01-05,160.5,160.5,158.0,159.5,368328
2018-01-08,159.0,160.2,156.0,156.9,397585
2018-01-09,157.0,157.45,153.2,154.5,384527
2018-01-10,154.95,155.0,152.05,154.35,303058
2018-01-11,154.95,157.3,153.8,154.1,2137933
2018-01-12,155.15,157.25,153.2,153.6,453108
2018-01-15,156.0,159.5,153.85,156.35,813804
2018-01-16,157.35,157.6,151.0,152.55,551567
2018-01-17,152.0,155.9,150.0,155.15,397220
2018-01-18,156.35,158.9,152.0,158.2,906157
2018-01-19,158.2,159.5,153.9,154.45,281128
2018-01-22,155.0,159.4,154.25,156.0,626996
2018-01-23,156.75,161.9,155.85,159.6,1367048
2018-01-24,159.7,159.9,155.0,155.75,288596
2018-01-25,156.15,157.35,152.5,156.5,522863
2018-01-29,155.05,157.8,154.15,156.0,468526
2018-01-30,156.5,156.85,153.5,156.15,331382
2018-01-31,156.15,162.0,153.6,161.95,738227
2018-02-01,162.35,164.65,152.7,155.4,2071855
2018-02-02,153.0,152.95,132.1,146.0,1702971
2018-02-05,140.0,143.3,135.7,142.0,374131
2018-02-06,135.0,143.05,128.45,141.95,2452333
2018-02-07,145.0,161.5,144.4,157.0,2092989
2018-02-08,155.0,159.1,152.35,157.5,931583
2018-02-09,150.0,156.8,149.05,154.4,500084
2018-02-12,155.6,157.0,153.55,155.7,344560
2018-02-14,157.9,158.75,154.85,158.0,312613
2018-02-15,158.0,159.2,155.55,158.2,349317
2018-02-16,159.0,159.0,155.25,155.6,267045
2018-02-19,155.5,155.5,149.7,153.5,521644
2018-02-20,154.0,158.3,151.65,157.7,372915
2018-02-21,158.9,160.45,155.0,157.2,540104
2018-02-22,156.2,157.25,153.0,154.6,888558
2018-02-23,154.9,158.2,154.0,157.5,264820
2018-02-26,157.0,173.15,155.5,171.25,2867242
2018-02-27,172.1,172.5,162.5,164.7,1568616
2018-02-28,162.3,170.0,158.5,169.25,1285600
2018-03-01,168.1,168.85,162.5,163.5,953210
2018-03-05,163.7,167.05,161.15,163.5,1012307
2018-03-06,166.75,167.45,154.1,156.3,769745
2018-03-07,156.35,156.3,151.15,152.5,474465
2018-03-08,153.0,155.8,151.3,152.6,606245
2018-03-09,152.7,154.9,150.65,152.65,693435
2018-03-12,154.05,159.2,152.8,158.55,544270
2018-03-13,158.4,162.9,157.9,160.8,500072
2018-03-14,159.05,164.0,157.05,162.7,357779
2018-03-15,164.45,166.95,164.25,166.05,785924
2018-03-16,164.9,168.7,163.0,164.6,687611
2018-03-19,164.05,166.5,160.0,166.25,294539
2018-03-20,165.0,169.0,164.0,167.0,338964
2018-03-21,168.0,171.0,167.5,169.0,441571
2018-03-22,170.35,171.0,168.1,169.75,766253
2018-03-23,166.05,170.8,160.65,164.2,958274
