date,open,high,low,close,volume
2017-07-03,461.2,466.0,456.22,460.8,60472
2017-07-04,460.8,471.4,460.8,466.86,89078
2017-07-05,468.72,471.08,463.06,466.4,51626
2017-07-06,466.42,470.86,465.16,466.8,45579
2017-07-07,465.2,474.9,465.2,472.02,65492
2017-07-10,478.4,482.6,472.02,480.0,13421811081
2017-07-11,481.74,485.58,467.14,471.22,147432
2017-07-12,471.14,477.9,468.84,470.4,87444
2017-07-13,471.2,473.34,467.2,470.04,178866
2017-07-14,471.16,477.0,468.0,469.6,114797
2017-07-17,472.0,473.56,466.92,471.2,164387
2017-07-18,468.96,477.6,468.42,474.6,275812
2017-07-19,474.64,477.96,470.8,472.0,152327
2017-07-20,474.56,477.16,470.44,471.98,60749
2017-07-21,472.04,475.92,469.26,472.4,255094
2017-07-24,475.54,475.54,468.0,468.24,141566
2017-07-25,472.96,472.96,467.2,468.0,190373
2017-07-26,468.24,471.66,466.94,469.6,161475
2017-07-27,470.32,474.08,463.9,464.48,216437
2017-07-28,465.6,466.0,455.2,456.8,153266
2017-07-31,456.84,461.2,454.34,457.2,129040
2017-08-01,472.0,479.92,467.76,469.2,558298
2017-08-02,473.2,474.58,467.22,468.0,153157
2017-08-03,470.76,486.4,468.42,471.2,404480
2017-08-04,475.56,480.72,469.98,470.1,379533
2017-08-07,475.12,483.52,472.06,472.42,178694
2017-08-08,471.76,475.48,460.9,466.22,166872
2017-08-09,464.4,476.04,458.06,466.8,143596
2017-08-10,465.88,470.16,456.86,458.06,144520
2017-08-11,455.2,466.72,438.46,461.22,260657
2017-08-14,470.0,471.56,464.68,469.2,152859
2017-08-16,475.18,499.18,470.26,492.1,495403
2017-08-17,495.34,507.08,492.24,499.2,339472
2017-08-18,495.2,506.76,490.4,501.68,306014
2017-08-21,507.76,515.84,484.46,493.2,483232
2017-08-22,492.58,514.0,488.94,511.16,460987
2017-08-23,515.14,521.8,500.4,503.2,802806
2017-08-24,507.6,510.0,502.36,505.0,218894
2017-08-28,506.4,516.4,504.0,514.54,130617
2017-08-29,512.4,512.4,500.62,502.2,108071
2017-08-30,504.8,526.4,504.8,525.18,280961
2017-08-31,527.96,536.98,525.22,528.8,525253
2017-09-01,528.96,535.08,528.96,534.1,185259
2017-09-04,531.6,532.38,517.72,526.0,240552
2017-09-05,528.02,542.72,526.56,540.0,240480
2017-09-06,534.0,558.12,528.16,555.2,431002
2017-09-07,560.0,560.0,548.04,550.4,288372
2017-09-08,552.4,554.8,539.66,542.44,217984
