date,open,high,low,close,volume
2017-07-03,422.0,447.0,422.0,429.0,164319
2017-07-04,433.4,436.5,424.0,425.5,214493
2017-07-05,427.8,429.35,425.0,426.0,51102
2017-07-06,427.0,429.95,421.4,422.3,45360
2017-07-07,424.05,425.45,408.1,408.85,126809
2017-07-10,409.75,416.3,407.7,415.8,17179882910
2017-07-11,418.9,420.7,412.0,413.8,74813
2017-07-12,413.5,416.7,407.6,408.0,109948
2017-07-13,406.5,423.9,403.15,421.0,294499
2017-07-14,422.95,424.0,411.25,421.4,106478
2017-07-17,421.4,425.95,415.05,423.05,104488
2017-07-18,418.05,427.15,418.05,422.05,47064
2017-07-19,421.0,430.0,420.1,426.05,50680
2017-07-20,426.05,432.0,421.5,430.5,140780
2017-07-21,430.5,435.4,426.05,432.5,109888
2017-07-24,436.8,444.9,435.25,443.2,168021
2017-07-25,445.0,451.95,442.05,443.3,395388
2017-07-26,448.0,448.0,440.5,446.0,72899
2017-07-27,444.0,447.9,431.2,433.35,76618
2017-07-28,432.65,441.95,421.55,440.0,125304
2017-07-31,450.0,451.9,442.45,451.35,301368
2017-08-01,450.05,457.0,434.3,448.5,262574
2017-08-02,449.0,457.0,443.75,452.0,196535
2017-08-03,455.0,467.95,451.0,457.95,394453
2017-08-04,450.0,457.0,443.3,443.3,82510
2017-08-07,449.25,455.0,442.0,442.15,118253
2017-08-08,447.85,448.9,427.05,431.9,710563
2017-08-09,432.55,435.9,418.1,430.5,151596
2017-08-10,421.5,429.9,386.0,412.0,191376
2017-08-11,407.0,419.85,395.05,405.05,196179
2017-08-14,411.5,427.0,411.5,425.95,132957
2017-08-16,434.0,451.0,432.55,449.15,292819
2017-08-17,451.0,453.8,442.75,445.9,139357
2017-08-18,442.0,448.55,435.0,441.05,113932
2017-08-21,447.0,449.95,435.0,437.0,73551
2017-08-22,440.8,445.0,416.55,419.25,88910
2017-08-23,424.4,427.7,415.05,422.4,68156
2017-08-24,427.8,433.75,416.2,425.55,81629
2017-08-28,429.9,444.5,425.25,443.05,141119
2017-08-29,440.6,445.9,431.3,432.0,130868
2017-08-30,439.9,442.25,432.5,439.6,69837
2017-08-31,439.6,446.35,435.2,441.0,77238
2017-09-01,442.9,447.0,436.5,437.0,34289
2017-09-04,440.65,440.65,425.55,429.5,50548
2017-09-05,430.0,442.65,430.0,439.0,57848
2017-09-06,440.0,444.95,432.95,438.5,34367
2017-09-07,438.5,444.45,426.9,429.7,248448
2017-09-08,433.6,438.0,418.45,419.05,112997
2017-09-11,427.0,429.5,423.0,425.0,285378
2017-09-12,429.0,434.6,423.25,431.65,183733
2017-09-13,431.0,431.5,420.05,421.5,185104
2017-09-14,426.0,426.0,418.05,425.0,131267
2017-09-15,424.4,424.4,414.1,420.6,133930
2017-09-18,420.6,425.6,418.1,420.5,101468
2017-09-19,420.6,425.0,418.4,420.5,112665
2017-09-20,422.8,439.0,420.4,437.0,342537
2017-09-21,434.0,446.0,429.05,442.8,502544
2017-09-22,446.1,446.35,432.0,437.4,338634
2017-09-25,438.9,438.9,412.05,420.0,295913
2017-09-26,423.9,431.9,418.85,420.0,130215
2017-09-27,424.0,424.95,409.95,412.55,290271
2017-09-28,413.0,428.8,408.0,422.0,312949
2017-09-29,422.0,433.5,417.35,430.15,179697
2017-10-03,432.2,441.0,430.45,438.1,94696
2017-10-04,443.0,454.9,438.0,449.0,382079
2017-10-05,448.0,460.0,448.0,457.0,175907
2017-10-06,458.85,475.0,457.05,459.0,382560
2017-10-09,459.4,467.9,452.8,454.5,140329
2017-10-10,455.0,481.05,455.0,477.85,312417
2017-10-11,480.0,488.0,469.3,473.0,476093
2017-10-12,476.0,485.0,461.55,485.0,145664
2017-10-13,485.0,492.0,477.7,482.4,347583
2017-10-16,481.2,485.1,480.0,483.0,263077
2017-10-17,478.0,482.35,473.65,481.45,69778
2017-10-18,480.5,480.8,472.0,476.75,8554765849
2017-10-23,471.1,504.9,471.1,499.8,3443040865
2017-10-24,505.05,531.3,505.05,519.5,934399
2017-10-25,539.9,539.9,488.6,511.05,1102495
2017-10-26,516.05,519.15,485.0,492.45,276640
2017-10-27,497.0,529.0,486.5,495.15,966347
2017-10-30,500.0,520.0,500.0,519.2,418255
2017-10-31,521.9,538.6,512.25,514.9,511285
2017-11-01,518.85,520.6,508.05,511.6,147822
2017-11-02,511.3,513.4,498.05,507.0,228001
2017-11-03,509.95,518.0,506.0,513.0,136598
2017-11-06,512.9,524.9,511.5,515.0,191167
2017-11-07,518.0,519.8,497.1,509.0,162805
2017-11-08,511.7,514.8,498.55,502.7,93993
2017-11-09,505.0,509.5,494.0,503.0,146130
2017-11-10,502.95,523.9,498.0,514.95,312414
2017-11-13,512.0,516.9,496.05,501.0,168751
2017-11-14,501.0,504.95,496.5,499.3,153020
2017-11-15,500.05,508.1,495.0,499.0,135213
2017-11-16,500.0,520.3,495.15,518.0,208496
2017-11-17,522.4,522.45,505.0,506.25,127922
2017-11-20,511.5,515.0,502.0,502.45,73960
2017-11-21,507.9,515.95,506.5,506.5,109801
2017-11-22,510.0,512.0,503.1,508.4,93331
2017-11-23,506.0,514.75,502.0,503.0,72754
2017-11-24,504.0,506.95,500.6,502.65,84827
2017-11-27,501.0,505.0,500.0,500.95,75217
2017-11-28,503.95,507.0,500.0,500.05,115748
2017-11-29,506.9,512.0,498.0,509.0,155262
2017-11-30,508.9,522.05,505.0,516.95,740877
2017-12-01,520.4,524.5,506.3,510.5,101293
2017-12-04,513.5,519.95,504.0,515.25,115735
2017-12-05,510.8,519.4,501.1,506.5,124439
2017-12-06,509.0,514.0,499.0,499.0,107721
2017-12-07,497.05,520.0,497.05,518.0,214324
2017-12-08,516.0,521.0,510.0,512.0,166970
2017-12-11,519.95,526.4,514.75,518.0,147946
2017-12-12,520.9,521.35,511.2,514.0,69717
2017-12-13,518.0,517.55,499.8,502.25,187340
2017-12-14,506.35,508.95,497.1,499.95,196160
2017-12-15,503.0,514.25,499.05,511.0,167494
2017-12-18,516.65,544.0,495.0,526.9,319813
2017-12-19,532.0,535.9,520.35,525.5,111111
2017-12-20,526.95,533.55,518.65,532.0,80128
2017-12-21,529.05,542.85,527.05,540.3,439308
2017-12-22,535.1,545.0,535.3,536.0,103232
2017-12-26,545.2,559.05,545.05,556.0,303784
2017-12-27,556.0,564.0,554.0,559.8,232524
2017-12-28,560.0,574.45,547.05,571.45,194352
2017-12-29,573.0,584.5,565.55,580.0,238183
2018-01-01,580.1,586.75,549.95,558.65,199813
2018-01-02,557.9,566.1,532.0,545.0,733503
2018-01-03,551.05,574.1,552.0,572.0,223749
2018-01-04,572.0,580.0,568.45,578.3,755793
2018-01-05,581.0,581.0,565.7,569.0,76150
2018-01-08,572.2,583.0,572.2,579.1,139882
2018-01-09,583.0,585.8,572.3,577.0,160168
2018-01-10,579.0,577.0,555.0,569.05,632011
2018-01-11,567.0,577.0,561.3,571.1,138791
2018-01-12,571.8,578.3,562.0,570.0,80804
2018-01-15,563.8,579.0,565.0,573.05,253253
2018-01-16,578.0,578.0,552.0,561.3,196149
2018-01-17,562.0,562.0,551.1,558.9,124571
2018-01-18,555.75,564.4,551.55,556.0,97107
2018-01-19,559.95,576.8,554.95,574.4,160344
2018-01-22,570.85,577.75,571.95,577.5,105080
2018-01-23,575.15,580.0,562.0,572.0,147315
2018-01-24,577.0,577.0,561.8,566.85,125505
2018-01-25,569.0,573.95,538.55,550.0,277217
2018-01-29,550.9,570.0,525.0,530.15,336635
2018-01-30,534.0,535.4,522.05,522.8,234777
2018-01-31,528.45,561.0,522.35,559.95,290983
2018-02-01,555.0,563.45,532.05,545.0,247430
2018-02-02,538.05,558.9,519.8,550.0,164461
2018-02-05,548.0,555.0,521.05,552.0,256734
2018-02-06,525.05,549.9,520.0,541.0,240220
2018-02-07,549.85,559.85,538.35,540.65,129277
2018-02-08,537.1,548.95,539.65,545.0,101328
2018-02-09,540.0,544.75,525.0,531.85,135021
2018-02-12,539.0,541.65,525.0,525.15,245523
2018-02-14,530.0,542.0,521.75,532.95,105615
2018-02-15,528.1,538.4,525.0,528.0,82776
2018-02-16,529.9,529.95,516.35,516.6,94311
2018-02-19,526.0,526.0,508.5,516.3,121621
2018-02-20,517.0,526.7,507.05,510.2,89661
2018-02-21,510.2,515.6,501.15,504.6,46444
2018-02-22,502.0,523.45,502.2,521.0,49176
2018-02-23,521.0,560.0,517.0,550.0,346474
2018-02-26,550.35,564.95,536.55,546.0,194596
2018-02-27,544.0,559.0,538.0,549.95,180552
2018-02-28,546.35,564.0,532.85,559.95,228980
2018-03-01,558.75,558.0,548.3,550.45,123960
2018-03-05,550.7,557.0,541.0,557.0,107114
2018-03-06,558.0,578.8,546.0,563.0,207265
2018-03-07,571.4,571.8,533.65,540.45,146176
2018-03-08,540.45,544.3,520.1,523.5,83893
2018-03-09,523.4,543.0,507.0,510.5,118918
2018-03-12,514.7,521.95,501.5,505.0,114492
2018-03-13,507.0,517.6,502.0,504.0,114603
2018-03-14,508.3,507.0,490.1,505.0,1069439
2018-03-15,503.5,552.9,507.0,550.0,220324
2018-03-16,537.1,540.1,513.35,525.5,226098
2018-03-19,525.5,531.35,507.05,515.0,192968
2018-03-20,506.0,524.9,506.0,518.4,74501
2018-03-21,518.45,528.0,514.5,525.0,73798
2018-03-22,526.45,530.55,508.6,521.0,109904
2018-03-23,514.45,520.55,505.85,520.0,122101
2018-03-26,515.95,524.4,511.05,517.55,360607
2018-03-27,517.55,528.4,511.0,514.0,500925
2018-03-28,519.8,530.0,511.55,524.1,397351
2018-04-02,526.0,538.0,521.3,538.0,143402
2018-04-03,538.8,538.8,530.0,535.9,92443
2018-04-04,536.1,544.45,525.0,534.0,79943
2018-04-05,538.25,542.0,531.0,532.0,61675
2018-04-06,533.4,545.4,532.25,536.0,87452
2018-04-09,543.65,543.65,527.05,528.0,44656
2018-04-10,530.0,535.35,528.55,528.95,110513
2018-04-11,530.0,536.35,525.05,528.3,132358
2018-04-12,533.9,533.9,519.4,525.0,346475
2018-04-13,530.0,535.6,525.9,527.1,281654
2018-04-16,529.6,536.5,519.0,532.85,292077
2018-04-17,533.15,539.0,525.95,528.1,102092
2018-04-18,532.0,534.75,515.2,525.0,151125
2018-04-19,527.0,535.95,522.1,528.95,200524
2018-04-20,532.4,538.45,524.9,529.85,336003
2018-04-23,534.0,541.85,527.0,527.45,75490
2018-04-24,533.3,536.0,458.55,470.3,2428471
2018-04-25,472.45,488.0,470.0,485.0,708877
2018-04-26,489.0,489.0,475.0,480.5,186158
2018-04-27,481.95,487.0,475.0,482.0,340415
2018-04-30,483.45,484.3,461.05,469.9,465825
2018-05-02,470.0,470.0,444.0,450.9,435068
2018-05-03,450.9,464.5,441.0,456.0,287011
2018-05-04,457.95,470.6,451.3,455.0,315860
2018-05-07,455.0,461.9,452.55,455.95,318388
2018-05-08,455.2,457.6,441.9,446.0,208684
2018-05-09,444.05,454.95,431.35,450.4,162713
2018-05-10,449.1,455.0,444.95,453.0,105900
2018-05-11,454.0,455.0,444.25,450.0,183686
2018-05-14,450.0,454.2,443.0,447.0,141532
2018-05-15,451.0,461.0,440.75,450.0,190410
2018-05-16,453.8,454.3,443.85,451.95,1183867
2018-05-17,454.0,459.75,448.7,457.0,51264
2018-05-18,457.9,458.5,443.0,454.0,87434
2018-05-21,451.25,453.9,437.2,446.05,49061
2018-05-22,447.0,447.7,436.25,440.85,44729
2018-05-23,440.95,440.95,431.15,432.0,75444
2018-05-24,433.8,433.8,412.2,418.0,132944
2018-05-25,418.5,429.85,415.0,426.95,88560
2018-05-28,430.0,447.0,427.0,444.0,67276
2018-05-29,447.75,467.95,439.15,464.0,94305
2018-05-30,457.15,470.0,453.5,460.0,73561
2018-05-31,463.0,464.4,449.4,450.35,453681
2018-06-01,450.0,468.45,442.2,458.1,133593
2018-06-04,458.1,460.9,445.2,451.0,69306
2018-06-05,452.0,452.0,422.0,430.0,167082
2018-06-06,431.2,439.0,426.8,436.0,77921
2018-06-07,438.0,456.5,437.0,447.05,317184
2018-06-08,448.8,457.8,443.75,448.0,207143
2018-06-11,449.1,464.0,446.7,461.5,54059
2018-06-12,459.15,463.35,442.85,444.4,395082
2018-06-13,447.0,448.95,434.0,437.0,72569
2018-06-14,436.0,438.8,422.8,423.5,129425
2018-06-15,428.55,429.95,417.8,418.4,123631
2018-06-18,417.15,421.95,415.15,417.75,71403
2018-06-19,419.0,420.6,404.2,410.0,131534
2018-06-20,410.2,415.0,403.05,410.9,194861
2018-06-21,411.0,417.9,403.0,404.0,90389
2018-06-22,405.0,409.4,401.2,401.2,56533
2018-06-25,402.0,407.8,393.4,396.5,78429
2018-06-26,392.0,404.4,392.0,401.4,63755
2018-06-27,402.0,402.0,395.0,400.65,46271
2018-06-28,399.85,400.2,383.45,385.15,87619
2018-06-29,386.65,398.4,386.2,393.3,136962
2018-07-02,400.0,410.0,394.7,409.8,184184
2018-07-03,412.0,429.0,403.7,426.0,201609
2018-07-04,425.45,438.0,420.15,436.2,143247
2018-07-05,437.0,440.0,430.9,431.75,85173
2018-07-06,432.9,437.0,422.0,427.6,56626
2018-07-09,430.0,433.5,421.5,422.0,35532
2018-07-10,424.0,429.15,424.0,428.0,71153
2018-07-11,431.0,431.0,395.05,410.0,199527
2018-07-12,407.1,416.65,393.0,397.7,279900
2018-07-13,400.9,409.0,395.35,397.3,160468
2018-07-16,398.2,419.7,393.05,408.0,92715
2018-07-17,403.9,403.9,394.5,396.3,70682
2018-07-18,399.45,401.35,390.05,392.25,31469
2018-07-19,390.7,393.0,385.5,390.0,101364
2018-07-20,384.0,393.9,384.0,387.4,41937
2018-07-23,388.0,414.8,388.0,413.0,106813
2018-07-24,404.9,413.5,398.5,399.0,103803
2018-07-25,402.0,415.45,399.15,415.0,83968
2018-07-26,414.7,419.2,401.1,403.05,562279
2018-07-27,404.25,414.0,402.05,407.0,210845
2018-07-30,415.9,434.35,415.05,428.4,464106
2018-07-31,429.9,434.7,421.05,428.0,67293
2018-08-01,428.25,433.0,422.25,424.05,93362
2018-08-02,426.95,431.0,420.0,423.5,343210
2018-08-03,425.0,428.7,420.3,421.0,67365
2018-08-06,424.95,446.0,424.55,427.9,225775
2018-08-07,428.1,428.1,420.55,425.6,381334
2018-08-08,425.6,440.0,420.15,438.1,58030
2018-08-09,439.3,444.0,432.55,436.5,97462
2018-08-10,440.0,441.8,433.05,437.0,42785
2018-08-13,436.95,436.95,418.3,420.0,85175
2018-08-14,422.0,434.9,418.75,423.05,98281
2018-08-16,422.55,440.0,419.95,420.8,158226
2018-08-17,425.05,427.05,404.25,407.0,136145
2018-08-20,407.7,415.55,406.7,410.0,325325
2018-08-21,412.5,433.0,411.35,415.0,279115
2018-08-23,417.95,425.0,415.05,417.7,49953
2018-08-24,417.6,422.95,415.55,421.1,119667
2018-08-27,420.1,424.6,415.2,421.35,33362
2018-08-28,434.0,438.85,421.35,424.0,201864
2018-08-29,426.35,431.2,420.35,421.1,53828
2018-08-30,424.3,430.0,416.05,420.2,46992
2018-08-31,421.5,421.7,413.55,420.0,159862
2018-09-03,418.0,421.85,414.1,418.0,52105
2018-09-04,418.0,421.45,405.65,408.0,97090
2018-09-05,405.45,410.85,395.95,405.0,151981
2018-09-06,403.45,413.05,397.05,412.0,55577
2018-09-07,412.7,412.7,404.1,407.0,74276
2018-09-10,404.0,419.8,398.5,399.0,175045
2018-09-11,403.0,413.05,394.05,399.0,90884
