date,open,high,low,close,volume
2017-07-03,919.7,919.7,901.1,914.0,332179
2017-07-04,907.1,921.25,907.1,910.0,141351
2017-07-05,913.5,922.0,908.15,912.0,122088
2017-07-06,919.95,923.45,905.0,911.0,338834
2017-07-07,912.85,920.0,906.55,909.0,417159
2017-07-10,910.0,918.0,908.95,913.9,21474880762
2017-07-11,911.0,919.0,904.0,905.7,696139
2017-07-12,906.0,914.35,905.5,911.0,208307
2017-07-13,911.0,933.9,911.0,932.9,161819
2017-07-14,936.05,942.3,927.65,935.0,237947
2017-07-17,934.0,940.15,930.95,936.9,69229
2017-07-18,935.0,941.0,930.0,934.0,100442
2017-07-19,935.15,968.95,933.1,967.0,338695
2017-07-20,970.0,977.0,962.15,972.3,524787
2017-07-21,974.0,1010.0,968.5,1004.0,531065
2017-07-24,1008.0,1039.95,995.55,1038.0,505352
2017-07-25,1023.8,1044.1,1001.1,1003.0,474298
2017-07-26,1007.0,1010.0,993.75,1000.0,390549
2017-07-27,991.05,997.05,953.45,961.0,383770
2017-07-28,961.0,995.5,957.45,993.0,358519
2017-07-31,995.8,1003.2,982.15,987.5,189484
2017-08-01,984.0,993.5,961.85,970.9,242139
2017-08-02,969.95,1011.65,969.95,989.7,876177
2017-08-03,993.05,999.15,935.5,936.5,1143621
2017-08-04,941.05,943.7,912.0,940.0,464576
2017-08-07,932.1,952.95,932.1,948.05,210141
2017-08-08,943.0,953.95,925.6,935.0,400742
2017-08-09,933.0,936.0,896.6,902.0,297184
2017-08-10,904.0,914.4,883.0,900.0,399636
2017-08-11,888.55,910.9,871.05,896.95,345484
2017-08-14,910.0,910.0,874.55,887.0,417541
2017-08-16,898.65,926.95,886.8,920.0,259350
2017-08-17,921.0,925.0,899.5,900.0,198132
2017-08-18,898.0,915.8,891.25,897.15,137586
2017-08-21,899.0,909.95,877.35,880.0,137689
2017-08-22,881.0,907.45,881.0,897.0,203533
2017-08-23,900.05,900.05,877.5,879.95,241860
2017-08-24,882.0,895.95,878.55,890.9,224157
2017-08-28,893.95,902.0,887.0,891.0,141587
2017-08-29,891.5,912.0,891.0,903.9,238118
2017-08-30,912.2,935.95,902.6,930.0,325103
2017-08-31,936.0,938.2,903.65,915.15,579495
2017-09-01,913.0,927.5,906.0,908.1,271815
2017-09-04,909.95,921.8,895.9,905.0,241223
2017-09-05,906.0,916.65,895.0,899.0,180659
2017-09-06,897.0,909.95,895.2,900.0,151172
2017-09-07,900.0,918.7,898.35,916.8,328535
2017-09-08,920.0,924.9,909.15,918.0,334394
2017-09-11,918.05,920.3,909.6,910.0,303388
2017-09-12,917.65,926.3,913.05,926.0,275146
2017-09-13,929.0,944.8,925.05,927.0,392139
2017-09-14,931.65,950.0,931.65,943.5,389607
2017-09-15,944.85,950.0,932.2,939.9,243158
2017-09-18,943.9,952.7,941.05,943.3,137977
2017-09-19,943.0,948.2,931.1,932.85,194561
2017-09-20,934.05,940.0,922.0,922.05,152702
2017-09-21,926.0,931.1,913.25,918.0,128051
2017-09-22,917.75,923.4,889.75,900.0,228539
2017-09-25,894.45,906.25,875.1,893.5,470148
2017-09-26,895.0,927.45,894.8,919.05,351039
2017-09-27,919.0,933.6,904.0,914.0,239218
2017-09-28,909.0,912.3,886.45,898.9,143948
2017-09-29,897.0,931.0,897.0,922.65,270367
2017-10-03,932.0,946.15,919.25,930.95,447276
2017-10-04,929.0,930.25,920.0,924.65,165646
2017-10-05,931.0,931.35,916.95,921.1,108724
2017-10-06,928.55,928.55,908.25,909.8,146525
2017-10-09,915.0,923.65,906.0,907.0,170322
2017-10-10,905.0,915.0,903.7,906.8,358623
2017-10-11,910.45,912.65,886.25,889.9,162243
