date,open,high,low,close,volume
2019-01-22,860.0,860.0,860.0,860.0,30
2019-01-23,860.0,903.0,860.0,903.0,147
2019-01-24,948.15,948.15,948.15,948.15,110
2019-01-25,948.15,995.55,948.15,995.55,150
2019-01-28,1044.7,1045.3,1044.7,1045.3,3722
2019-01-29,1097.55,1097.55,1001.0,1012.0,38592
2019-01-30,988.1,1049.85,1003.0,1008.0,7091
2019-01-31,1008.0,1040.0,995.0,1030.0,12186
2019-02-01,1030.0,1058.2,1030.0,1040.0,81285
2019-02-04,1020.0,1057.0,1020.0,1044.95,86316
2019-02-05,1044.55,1050.0,1030.0,1046.4,67808
2019-02-06,1046.4,1060.0,1041.05,1052.0,83415
2019-02-07,1044.0,1124.95,1042.05,1124.8,26427
2019-02-08,1100.05,1107.55,1077.7,1105.0,129076
2019-02-11,1105.0,1105.0,1085.0,1090.0,215403
2019-02-12,1090.0,1094.5,1050.0,1087.0,112186
2019-02-13,1087.0,1089.9,1065.05,1081.75,73764
2019-02-14,1081.75,1097.7,1062.0,1068.0,93988
2019-02-15,1068.0,1075.7,1059.35,1062.25,22592
2019-02-18,1048.0,1063.65,1042.0,1054.95,64585
2019-02-19,1054.95,1089.9,1039.9,1075.0,57268
2019-02-20,1089.95,1096.0,1053.75,1090.0,27235
2019-02-21,1090.0,1135.95,1056.45,1135.0,95542
2019-02-22,1106.9,1159.8,1094.95,1150.0,22781
2019-02-25,1142.5,1169.0,1137.2,1165.0,26081
2019-02-26,1140.1,1179.7,1075.0,1179.7,49736
2019-02-27,1179.95,1219.7,1159.35,1215.0,114195
2019-02-28,1151.0,1205.0,1088.0,1155.0,1285790
2019-03-01,1150.0,1197.0,1145.1,1160.0,472576
2019-03-05,1150.0,1192.0,1148.15,1178.0,79044
2019-03-06,1186.9,1204.8,1156.55,1185.0,49599
2019-03-07,1185.0,1186.0,1105.0,1140.0,555851
2019-03-08,1140.0,1153.0,1126.0,1126.0,6826
2019-03-11,1126.0,1161.55,1122.15,1150.0,61192
2019-03-12,1151.0,1159.8,1138.55,1158.0,105409
2019-03-13,1155.8,1162.0,1140.8,1141.0,65735
2019-03-14,1141.0,1155.0,1116.0,1125.35,64908
2019-03-15,1125.35,1130.0,1076.25,1080.0,139390
