date,open,high,low,close,volume
2017-07-03,162.95,173.0,160.25,167.5,311635
2017-07-04,168.3,170.0,165.55,167.35,114934
2017-07-05,167.35,173.65,167.35,173.0,231978
2017-07-06,173.0,194.35,173.0,178.5,1050730
2017-07-07,180.0,184.0,171.0,171.25,487961
2017-07-10,173.0,175.85,171.25,175.0,17179937104
2017-07-11,172.7,175.1,169.95,174.25,204673
2017-07-12,174.0,175.0,171.55,173.0,83567
2017-07-13,174.95,177.7,171.4,176.25,182793
2017-07-14,175.65,175.9,168.9,169.7,165987
2017-07-17,170.0,170.0,165.55,166.25,208186
2017-07-18,164.1,167.5,162.2,163.5,112990
2017-07-19,163.5,166.15,163.0,164.3,58609
2017-07-20,165.4,167.4,163.45,164.2,379249
2017-07-21,166.5,172.5,163.5,172.5,547283
2017-07-24,173.9,176.15,169.4,169.7,713499
2017-07-25,171.5,172.7,167.0,168.2,107787
2017-07-26,169.55,176.5,167.7,173.65,326355
2017-07-27,174.1,174.45,164.8,165.7,202730
2017-07-28,165.0,166.25,162.8,164.95,83774
2017-07-31,167.0,167.0,161.7,162.6,72951
2017-08-01,160.65,164.15,160.65,162.15,92437
2017-08-02,162.15,170.5,161.95,163.7,309704
2017-08-03,164.55,168.2,163.45,165.6,115040
2017-08-04,167.45,171.0,165.1,166.6,170366
2017-08-07,168.0,168.1,162.2,165.0,78187
2017-08-08,165.7,167.45,158.4,159.6,135309
2017-08-09,156.35,159.0,151.9,153.25,237963
2017-08-10,154.0,154.0,144.5,146.0,348507
2017-08-11,142.2,151.05,142.2,146.75,269190
2017-08-14,147.15,151.9,147.15,149.7,67702
2017-08-16,149.0,153.5,148.6,150.0,56541
2017-08-17,149.0,159.0,149.0,155.5,200438
2017-08-18,155.0,161.65,151.95,157.0,172074
2017-08-21,157.0,167.55,157.0,163.7,181027
2017-08-22,163.7,169.6,162.05,163.65,219446
2017-08-23,163.65,166.55,163.65,164.5,57343
2017-08-24,165.25,172.4,162.8,170.5,235374
2017-08-28,172.45,182.9,172.0,180.8,632960
2017-08-29,179.9,180.4,173.3,173.3,173274
2017-08-30,173.3,182.7,173.3,176.6,247373
2017-08-31,178.7,180.25,175.5,180.0,106664
2017-09-01,180.0,185.0,176.65,178.3,193227
2017-09-04,178.3,182.0,172.05,175.2,152174
2017-09-05,175.2,181.45,175.2,179.85,74170
2017-09-06,179.0,180.75,172.1,178.8,155544
2017-09-07,177.7,180.75,177.0,178.0,117763
2017-09-08,176.6,179.4,174.6,175.9,64308
2017-09-11,176.9,179.8,175.5,175.7,98900
2017-09-12,175.7,178.0,175.0,176.45,36770
2017-09-13,176.75,178.6,169.7,171.0,97671
2017-09-14,178.0,181.8,172.15,174.0,441084
2017-09-15,173.0,174.6,171.0,171.95,88734
2017-09-18,174.0,177.2,171.7,173.5,481985
2017-09-19,174.9,184.4,172.1,179.9,344189
2017-09-20,183.9,183.9,179.0,179.8,715443
2017-09-21,181.0,182.05,173.0,174.4,151180
2017-09-22,174.0,174.85,168.0,173.8,174213
2017-09-25,174.8,178.2,168.35,177.2,237897
2017-09-26,175.2,193.5,175.2,189.65,695095
2017-09-27,194.0,204.4,183.8,187.0,1416117
2017-09-28,188.75,192.4,186.65,192.0,278007
2017-09-29,194.0,202.0,191.0,194.0,682200
2017-10-03,197.1,198.7,192.5,194.4,191155
2017-10-04,194.7,198.0,192.5,197.95,164995
2017-10-05,196.45,211.35,196.45,206.9,992622
2017-10-06,209.0,216.4,205.1,208.8,593883
2017-10-09,208.0,213.15,206.0,212.0,565239
2017-10-10,214.35,227.0,212.0,227.0,969779
2017-10-11,227.15,233.6,210.2,213.4,947451
2017-10-12,216.6,221.0,216.6,219.8,392435
2017-10-13,221.8,224.5,215.4,216.4,430979
2017-10-16,218.85,221.2,212.2,214.85,273941
2017-10-17,214.15,215.1,209.65,210.0,209880
2017-10-18,210.0,214.85,206.0,210.85,12052149540
2017-10-23,216.0,218.2,208.55,214.9,4014774583
2017-10-24,216.95,219.0,213.8,215.05,322829
2017-10-25,216.8,218.2,210.05,211.0,165026
2017-10-26,210.5,216.8,208.25,213.05,217390
2017-10-27,214.0,220.95,212.35,218.0,638227
2017-10-30,218.0,219.8,212.6,213.15,213237
2017-10-31,215.2,219.8,214.0,217.6,230416
2017-11-01,218.5,219.45,213.2,215.05,153894
2017-11-02,216.65,216.95,211.5,212.6,155799
2017-11-03,216.2,228.0,215.0,221.6,1011442
2017-11-06,221.6,227.8,219.25,223.85,373655
2017-11-07,223.0,225.7,215.0,216.9,275753
