date,open,high,low,close,volume
2017-07-03,2730.98,2781.22,2711.91,2773.0,573010
2017-07-04,2776.49,2797.7,2746.06,2784.02,464360
2017-07-05,2775.0,2812.4,2775.0,2808.0,659480
2017-07-06,2818.0,2818.0,2758.1,2783.63,338210
2017-07-07,2780.0,2814.97,2755.0,2783.58,246730
2017-07-10,2780.58,2803.99,2772.14,2790.11,214748401340
2017-07-11,2799.99,2825.0,2788.01,2810.5,328630
2017-07-12,2795.81,2832.5,2795.81,2829.0,340910
2017-07-13,2833.0,2837.0,2800.85,2801.52,326210
2017-07-14,2805.52,2814.0,2764.0,2790.8,323160
2017-07-17,2790.99,2823.39,2790.99,2801.19,523780
2017-07-18,2801.21,2869.0,2801.21,2861.5,437690
2017-07-19,2875.97,2928.97,2875.97,2920.0,390990
2017-07-20,2928.01,2933.59,2890.43,2920.0,305260
2017-07-21,2925.2,2939.25,2875.27,2885.01,218000
2017-07-24,2885.0,2909.0,2873.61,2878.0,139870
2017-07-25,2897.91,2897.91,2820.27,2843.0,431150
2017-07-26,2842.73,2910.0,2840.81,2900.01,438270
2017-07-27,2899.0,3016.25,2856.98,2875.0,1116530
2017-07-28,2872.17,2949.8,2872.1,2942.5,313880
2017-07-31,2935.0,3020.0,2905.0,3016.0,568060
2017-08-01,3033.5,3160.0,3021.3,3156.7,1275810
2017-08-02,3178.99,3179.69,3105.1,3106.56,422100
2017-08-03,3112.4,3139.9,3062.76,3065.18,343960
2017-08-04,3066.5,3191.74,3050.0,3170.0,475110
2017-08-07,3170.0,3218.2,3165.21,3196.0,358290
2017-08-08,3201.93,3244.93,3147.16,3217.04,478400
2017-08-09,3222.49,3237.44,3133.36,3143.95,637430
2017-08-10,3150.0,3157.65,2983.09,3035.0,767390
2017-08-11,2960.0,3010.0,2913.84,2960.0,588700
2017-08-14,2976.52,3092.4,2976.52,3036.8,454250
2017-08-16,3069.79,3070.99,3010.0,3068.0,390100
2017-08-17,3077.5,3108.49,3061.7,3091.0,347320
2017-08-18,3089.66,3159.88,3051.16,3159.5,391430
2017-08-21,3159.99,3207.4,3150.0,3160.0,440760
2017-08-22,3168.44,3189.4,3090.57,3104.97,318090
2017-08-23,3118.56,3122.98,3021.21,3058.02,375770
2017-08-24,3074.99,3098.33,3050.36,3072.52,211080
2017-08-28,3100.0,3190.0,3093.41,3123.42,471640
2017-08-29,3124.0,3132.37,3071.36,3073.0,304720
2017-08-30,3109.87,3136.74,3091.1,3099.9,273600
2017-08-31,3099.91,3154.5,3068.13,3150.0,453050
2017-09-01,3150.5,3197.0,3130.0,3165.1,445620
2017-09-04,3194.32,3194.32,3145.0,3180.0,313360
2017-09-05,3175.0,3200.0,3160.0,3188.54,295200
2017-09-06,3174.74,3212.12,3163.53,3212.0,248660
2017-09-07,3247.4,3332.88,3243.98,3284.9,804400
2017-09-08,3320.0,3348.0,3246.93,3254.0,543020
2017-09-11,3250.0,3275.0,3240.0,3259.8,340110
2017-09-12,3260.02,3269.89,3230.01,3260.01,280770
2017-09-13,3259.9,3260.0,3208.22,3218.4,249170
2017-09-14,3227.92,3232.32,3183.67,3214.8,279420
2017-09-15,3196.52,3209.94,3165.01,3199.49,395220
2017-09-18,3216.0,3279.92,3214.99,3276.0,319560
2017-09-19,3280.0,3291.25,3229.01,3249.99,222310
2017-09-20,3245.15,3264.49,3230.2,3242.0,179650
2017-09-21,3248.0,3254.9,3169.83,3177.0,297800
2017-09-22,3177.9,3177.9,3128.0,3156.9,359930
2017-09-25,3150.01,3162.45,3057.8,3095.0,385700
2017-09-26,3090.0,3106.02,3050.01,3087.0,545050
2017-09-27,3096.78,3105.0,3033.8,3048.8,248760
2017-09-28,3050.11,3059.42,2992.0,3014.31,779060
2017-09-29,3038.5,3128.9,3020.44,3121.9,397330
2017-10-03,3170.0,3195.0,3093.99,3105.0,462020
2017-10-04,3114.9,3127.99,3080.53,3090.0,207310
2017-10-05,3091.0,3120.0,3071.23,3076.94,191560
2017-10-06,3099.0,3162.5,3085.1,3160.1,290470
2017-10-09,3158.49,3199.0,3130.11,3189.6,272750
2017-10-10,3190.0,3207.22,3145.53,3153.0,321460
2017-10-11,3163.72,3174.86,3096.01,3127.0,277410
2017-10-12,3130.0,3149.28,3103.0,3132.1,250460
2017-10-13,3158.97,3158.97,3121.1,3139.8,220530
2017-10-16,3152.66,3195.0,3150.11,3173.76,249020
2017-10-17,3165.01,3191.0,3133.17,3190.0,275860
2017-10-18,3190.0,3190.0,3135.0,3152.13,128539506930
2017-10-23,3140.0,3165.0,3090.0,3117.08,42683913410
2017-10-24,3120.0,3161.09,3110.38,3152.29,171260
