date,open,high,low,close,volume
2017-07-03,639.1,680.9,639.1,680.05,3004615
2017-07-04,682.0,683.5,659.0,661.0,1684585
2017-07-05,664.75,675.4,660.3,667.0,1325258
2017-07-06,669.25,681.7,664.55,670.5,1573785
2017-07-07,669.2,678.85,665.6,671.6,813583
2017-07-10,674.9,679.45,671.1,673.6,12885018813
2017-07-11,674.25,695.8,673.5,679.05,1789619
2017-07-12,682.05,686.7,673.75,682.4,785259
2017-07-13,684.0,691.9,663.35,672.0,1548390
2017-07-14,676.0,679.6,663.45,675.55,967607
2017-07-17,676.95,678.9,666.45,668.0,440446
2017-07-18,668.0,674.5,653.75,655.5,910272
2017-07-19,656.0,660.85,648.4,654.9,908177
2017-07-20,655.5,667.7,652.85,660.9,1074909
2017-07-21,662.7,663.9,647.4,652.55,949007
2017-07-24,655.5,661.4,651.3,654.0,594699
2017-07-25,655.05,656.85,642.9,647.0,801969
2017-07-26,648.85,657.5,645.95,650.0,604493
2017-07-27,654.65,658.0,638.0,639.6,841598
2017-07-28,637.9,679.8,635.45,671.0,4050552
2017-07-31,672.0,678.4,662.7,668.5,1071812
2017-08-01,671.5,704.0,664.5,703.9,4660071
2017-08-02,707.05,708.7,690.1,691.05,2017861
2017-08-03,695.95,696.2,674.2,678.0,952104
2017-08-04,678.0,678.25,659.45,670.25,1000333
2017-08-07,675.0,683.05,669.55,672.8,1159508
2017-08-08,673.0,674.0,649.2,649.45,942185
2017-08-09,647.2,657.0,628.6,631.0,1524810
2017-08-10,627.0,630.75,575.0,590.0,1990093
2017-08-11,568.0,607.2,544.9,590.95,4416698
2017-08-14,603.1,617.45,595.05,611.0,1067777
2017-08-16,613.0,643.45,605.0,639.4,2355647
2017-08-17,645.9,650.9,624.2,630.95,1305422
2017-08-18,625.15,631.95,616.05,627.0,1044304
2017-08-21,630.0,632.0,598.75,600.1,1042677
2017-08-22,603.9,608.7,591.2,602.5,1277964
2017-08-23,605.0,615.0,600.2,613.0,875770
2017-08-24,613.0,625.5,608.45,614.0,867566
2017-08-28,616.85,626.0,616.0,619.9,606300
2017-08-29,616.85,618.45,601.0,601.9,692492
2017-08-30,608.0,624.9,608.0,623.4,855616
2017-08-31,623.4,648.85,617.15,648.85,1865371
2017-09-01,649.0,669.6,643.8,648.45,2988946
2017-09-04,647.15,657.0,631.2,644.25,1311553
2017-09-05,649.7,659.0,646.55,650.0,908586
2017-09-06,646.2,657.0,638.05,651.5,1108310
2017-09-07,655.55,665.5,655.05,657.45,981913
2017-09-08,660.8,666.7,647.4,652.0,986464
2017-09-11,658.15,668.75,656.4,658.0,850334
2017-09-12,662.05,680.7,661.5,678.0,1622595
2017-09-13,680.7,687.15,663.5,666.8,997292
2017-09-14,670.25,677.0,660.0,672.5,650494
2017-09-15,666.0,678.05,664.5,669.0,1932613
2017-09-18,675.1,682.0,664.5,667.05,858344
2017-09-19,668.7,684.0,666.55,680.1,1223085
2017-09-20,682.0,682.8,670.25,672.0,548722
2017-09-21,673.4,677.7,662.0,668.8,491598
2017-09-22,664.0,664.0,633.0,635.0,981353
2017-09-25,629.0,631.15,605.4,629.5,1090936
2017-09-26,620.7,647.35,620.7,645.0,1119326
2017-09-27,648.95,651.7,633.0,636.0,921852
2017-09-28,633.65,650.9,629.1,635.8,960418
2017-09-29,642.0,664.0,639.4,664.0,1247061
2017-10-03,666.35,672.9,652.15,658.0,1631479
2017-10-04,660.9,664.2,652.55,657.25,557817
2017-10-05,659.9,669.9,657.05,665.8,725875
2017-10-06,668.35,699.75,667.45,698.3,3064244
2017-10-09,701.0,706.0,690.9,694.15,925852
2017-10-10,699.7,712.2,694.7,700.55,1258940
2017-10-11,701.6,707.8,679.4,688.05,1025020
2017-10-12,695.95,703.2,690.05,700.0,625522
2017-10-13,702.85,722.0,694.1,711.5,2160927
2017-10-16,713.5,725.8,713.3,721.0,1434964
2017-10-17,722.1,732.2,719.6,727.5,1060882
2017-10-18,727.5,736.0,718.05,733.25,18237358832
2017-10-23,715.0,730.0,715.0,724.65,3733467576
2017-10-24,729.4,741.0,726.6,732.6,749936
2017-10-25,741.05,741.05,724.5,731.3,677300
2017-10-26,730.35,731.05,717.35,722.15,454979
2017-10-27,729.0,746.8,727.9,740.0,1224841
2017-10-30,742.0,778.4,742.0,778.3,1397116
2017-10-31,781.9,787.55,750.8,759.8,3469487
2017-11-01,766.0,780.4,738.15,738.85,2275467
2017-11-02,742.0,751.0,726.3,734.0,1127967
2017-11-03,733.6,738.0,721.0,724.95,823914
2017-11-06,724.35,730.9,712.3,713.5,756230
2017-11-07,715.0,733.85,702.25,704.9,1214255
2017-11-08,706.0,710.0,692.65,700.0,1132203
2017-11-09,705.0,719.8,700.55,713.0,1399500
2017-11-10,714.65,712.05,693.35,697.25,900149
2017-11-13,702.0,702.25,681.25,683.95,779279
2017-11-14,682.0,709.75,679.55,707.4,1293426
2017-11-15,707.1,708.0,686.15,689.7,843800
2017-11-16,695.8,699.55,687.75,695.2,652883
2017-11-17,700.0,709.9,691.1,693.85,606500
2017-11-20,698.4,701.0,690.0,692.0,484090
2017-11-21,698.0,706.6,692.0,695.2,989628
2017-11-22,697.0,703.25,687.9,693.5,962883
2017-11-23,697.2,697.2,679.6,689.0,786419
2017-11-24,690.0,693.4,682.1,682.4,500571
2017-11-27,681.65,694.9,679.9,691.5,485085
2017-11-28,692.35,694.8,683.2,687.0,422818
2017-11-29,688.8,709.0,681.45,706.55,869410
2017-11-30,707.0,722.5,702.0,721.0,2147973
2017-12-01,730.0,738.2,687.1,688.95,5132050
2017-12-04,692.0,694.0,656.3,661.0,2182903
2017-12-05,659.0,667.7,646.0,661.2,1452945
2017-12-06,660.0,670.65,645.85,647.0,1167569
2017-12-07,648.5,668.05,648.65,663.95,945277
2017-12-08,676.0,688.0,673.95,680.0,1651950
2017-12-11,680.0,685.4,670.4,677.5,938850
2017-12-12,676.9,686.7,672.35,674.15,827670
2017-12-13,675.95,682.25,663.25,670.5,579739
2017-12-14,674.5,674.5,655.2,663.0,662646
2017-12-15,667.0,698.0,669.0,694.7,1916579
2017-12-18,686.0,712.0,666.7,704.5,1566045
2017-12-19,709.7,728.95,708.0,727.5,1229252
2017-12-20,728.5,744.0,724.5,739.0,1423751
2017-12-21,737.5,740.95,728.5,734.05,543523
2017-12-22,738.7,749.0,730.5,745.9,873735
2017-12-26,745.15,757.3,741.5,757.0,666678
2017-12-27,755.2,755.2,741.35,747.5,455283
2017-12-28,746.6,774.9,746.0,772.2,1744797
2017-12-29,774.0,796.45,766.5,787.0,2362023
2018-01-01,787.85,797.35,770.5,774.0,1244569
2018-01-02,780.15,786.45,762.6,773.0,1220379
