date,open,high,low,close,volume
2017-07-03,221.6,224.45,219.1,224.0,1152325
2017-07-04,223.5,228.4,220.55,227.1,1484353
2017-07-05,226.7,229.95,225.25,227.3,1328873
2017-07-06,227.8,229.7,227.2,227.5,980306
2017-07-07,227.5,231.0,227.35,229.3,1037139
2017-07-10,229.3,232.0,228.4,229.25,12885093376
2017-07-11,229.5,230.45,223.7,224.4,901000
2017-07-12,224.45,228.3,223.9,226.7,947360
2017-07-13,226.5,228.6,225.0,226.7,571829
2017-07-14,226.3,226.7,221.25,223.1,1239927
2017-07-17,222.7,224.35,221.2,222.0,551059
2017-07-18,221.65,224.65,220.6,221.4,650839
2017-07-19,221.25,223.2,216.7,218.6,1925954
2017-07-20,218.65,221.0,217.0,217.5,1385843
2017-07-21,218.2,219.0,213.35,215.9,1074808
2017-07-24,217.65,218.35,214.15,215.2,725285
2017-07-25,215.45,217.5,212.95,216.4,1712685
2017-07-26,217.0,220.15,216.75,218.25,1693531
2017-07-27,218.45,223.0,213.75,214.85,3486230
2017-07-28,214.35,217.5,213.3,216.5,1508881
2017-07-31,217.15,218.85,216.1,217.5,2550392
2017-08-01,217.65,224.35,216.8,223.95,3029235
2017-08-02,225.55,225.55,220.0,220.95,1242289
2017-08-03,221.0,225.6,220.0,222.1,2187352
2017-08-04,220.55,221.4,215.0,215.95,2460892
2017-08-07,216.75,219.75,214.8,217.5,2254549
2017-08-08,217.35,218.45,212.85,214.5,2233974
2017-08-09,213.25,214.9,205.35,206.1,2113640
2017-08-10,204.7,206.35,198.0,201.7,2522754
2017-08-11,197.0,206.9,195.15,203.4,2455132
2017-08-14,204.9,209.55,204.9,208.0,759730
2017-08-16,208.25,209.55,205.3,208.0,1652899
2017-08-17,207.95,215.0,206.8,213.35,1689887
2017-08-18,212.9,214.65,207.3,207.95,2067522
2017-08-21,209.3,210.75,200.65,201.3,1261471
2017-08-22,202.45,203.45,194.8,197.8,4481685
2017-08-23,197.85,200.65,197.8,199.15,2356023
2017-08-24,199.5,203.4,199.1,202.1,2744920
2017-08-28,202.9,203.1,198.5,200.95,2602719
2017-08-29,198.55,199.35,195.1,195.5,1497808
2017-08-30,198.2,198.55,195.55,196.5,2607819
2017-08-31,196.0,199.3,195.3,197.1,2306121
2017-09-01,197.0,206.95,197.0,205.0,3031509
2017-09-04,205.5,207.0,200.0,203.65,2375050
2017-09-05,203.35,206.95,203.35,204.8,1917492
2017-09-06,204.0,208.6,202.3,206.6,1986203
2017-09-07,207.8,210.45,207.0,207.45,2015874
2017-09-08,208.0,221.4,207.95,219.0,5558148
2017-09-11,221.4,224.5,217.3,220.6,4000311
2017-09-12,222.25,228.4,219.5,226.2,3118314
2017-09-13,226.3,227.85,216.3,218.3,2908898
2017-09-14,219.6,222.2,218.1,221.05,1158201
2017-09-15,219.6,220.55,216.35,217.4,955393
2017-09-18,219.1,226.1,219.1,224.6,2465340
2017-09-19,224.75,227.95,221.35,225.65,2824048
2017-09-20,227.4,227.4,221.2,222.3,1307485
2017-09-21,221.5,223.8,215.75,217.2,2673278
2017-09-22,214.05,215.1,208.4,209.5,2473521
2017-09-25,209.3,211.4,201.15,207.95,2809988
2017-09-26,208.0,210.0,204.45,204.95,2150992
2017-09-27,206.55,209.45,201.9,203.5,1588618
2017-09-28,203.75,205.45,200.05,204.3,1920265
2017-09-29,203.95,208.3,203.5,206.5,1119618
2017-10-03,208.35,213.25,205.25,207.2,2539643
2017-10-04,208.15,209.0,204.55,205.8,1961007
2017-10-05,206.25,208.15,203.0,204.25,2711863
2017-10-06,205.0,207.05,204.95,205.35,2675322
2017-10-09,206.1,208.25,201.85,203.3,1879528
2017-10-10,204.4,210.05,204.15,209.55,2728795
2017-10-11,209.85,211.45,201.65,203.6,3542636
2017-10-12,205.3,206.5,203.2,206.0,1848374
2017-10-13,206.55,207.4,204.25,204.75,2870822
2017-10-16,206.15,206.75,203.3,204.9,1513875
2017-10-17,205.0,209.35,204.0,208.5,3671156
2017-10-18,208.85,209.9,207.0,208.7,6073960021
2017-10-23,206.0,208.65,204.6,206.05,13285045682
2017-10-24,206.25,208.1,203.6,207.25,1599410
2017-10-25,208.35,211.4,206.65,208.95,2055009
2017-10-26,204.6,210.05,198.0,206.5,9370162
2017-10-27,207.3,208.15,202.5,203.15,3944945
2017-10-30,204.55,206.0,202.65,204.9,3418130
2017-10-31,205.8,209.6,205.25,209.4,1924787
2017-11-01,210.0,214.8,208.45,212.0,2846129
2017-11-02,213.0,212.85,207.55,208.85,1716577
2017-11-03,210.0,209.65,204.0,204.85,1903393
2017-11-06,205.0,205.75,202.7,202.75,2317093
2017-11-07,203.95,205.3,200.0,200.95,1643023
2017-11-08,201.0,202.5,196.5,199.0,1236326
2017-11-09,200.0,203.1,197.75,202.5,1603413
2017-11-10,202.0,203.6,200.0,201.25,1117923
2017-11-13,202.2,202.9,199.35,201.5,2118173
2017-11-14,202.5,202.5,198.1,199.4,1165749
2017-11-15,199.4,200.25,195.25,196.0,1242425
2017-11-16,197.0,198.8,195.4,197.7,885431
2017-11-17,200.0,202.8,198.35,201.0,1721280
2017-11-20,200.95,202.9,200.0,202.1,628195
2017-11-21,202.45,205.0,201.5,203.35,1055355
2017-11-22,203.45,204.35,201.05,202.65,806005
2017-11-23,203.8,206.1,201.75,205.2,2097482
2017-11-24,206.25,207.6,204.95,206.3,2044175
2017-11-27,206.0,208.0,205.1,206.35,1461117
2017-11-28,207.4,208.05,205.35,206.95,842234
2017-11-29,206.95,210.55,206.0,206.3,1987533
2017-11-30,205.75,208.0,203.95,206.0,3237971
2017-12-01,206.1,209.3,203.55,203.95,1588485
2017-12-04,204.85,205.0,202.85,203.65,979986
2017-12-05,202.5,205.0,200.55,202.5,1366099
2017-12-06,202.0,205.0,201.1,202.35,1583461
2017-12-07,203.05,204.2,200.6,201.85,1561269
2017-12-08,203.1,207.5,203.45,206.25,1416594
2017-12-11,207.75,207.8,204.35,204.7,873688
2017-12-12,204.5,206.05,203.85,204.5,2770445
2017-12-13,204.0,207.5,203.6,204.5,1289005
2017-12-14,205.0,206.0,203.8,204.2,1274159
2017-12-15,204.5,205.75,204.0,204.4,537343
2017-12-18,204.8,209.1,200.1,207.6,1433763
2017-12-19,208.35,215.6,207.55,215.5,2917439
2017-12-20,215.25,218.75,214.0,215.0,2373639
2017-12-21,214.85,224.25,215.05,221.0,3912341
2017-12-22,222.0,222.9,219.0,220.2,1720856
2017-12-26,220.0,222.9,219.15,220.75,1605003
2017-12-27,221.05,221.75,217.3,219.45,792733
2017-12-28,218.5,220.9,217.5,218.9,1534416
2017-12-29,219.1,224.65,219.05,223.5,1280098
2018-01-01,222.0,223.85,219.05,219.3,753952
