date,open,high,low,close,volume
2017-07-03,19.85,20.25,19.5,19.55,32302324
2017-07-04,19.0,19.75,18.3,18.5,58240463
2017-07-05,18.6,19.1,18.45,18.95,50154050
2017-07-06,19.05,19.35,18.65,19.0,33098667
2017-07-07,19.0,19.5,18.55,19.2,40138702
2017-07-10,19.1,19.9,18.85,18.95,17188211861
2017-07-11,19.2,19.3,18.3,18.35,25913362
2017-07-12,18.65,18.85,17.75,18.05,79719153
2017-07-13,18.25,18.35,17.8,18.0,31824384
2017-07-14,17.95,18.65,17.8,18.15,75892415
2017-07-17,18.45,18.45,17.95,18.0,27675981
2017-07-18,17.95,18.2,17.65,17.65,16533866
2017-07-19,17.85,18.2,17.85,18.1,20122041
2017-07-20,18.2,18.2,17.75,17.85,13259005
2017-07-21,17.4,18.15,17.25,18.0,51278466
2017-07-24,18.25,19.25,18.2,18.7,88963918
2017-07-25,18.85,18.95,18.25,18.75,40429471
2017-07-26,18.8,19.45,18.8,19.1,50217325
2017-07-27,19.35,19.7,18.95,19.35,63875648
2017-07-28,19.15,19.75,18.75,18.95,65153176
2017-07-31,19.1,19.15,18.5,18.8,20594859
2017-08-01,18.95,19.05,18.6,18.7,20154190
2017-08-02,18.85,18.95,18.2,18.4,23088106
2017-08-03,18.45,18.5,17.75,17.95,28720989
2017-08-04,17.9,18.05,17.55,17.65,24330363
2017-08-07,17.75,18.7,17.75,18.55,25484745
2017-08-08,18.65,18.7,17.6,17.65,25014810
2017-08-09,17.5,17.55,16.7,16.8,30289931
2017-08-10,16.85,17.15,15.6,16.2,35710009
2017-08-11,15.55,16.2,15.1,15.55,33516656
2017-08-14,15.95,16.35,15.8,16.0,23138474
2017-08-16,16.2,16.7,16.05,16.65,22646189
2017-08-17,16.85,19.15,16.4,18.65,151691761
2017-08-18,18.35,18.8,18.0,18.2,50220888
2017-08-21,18.25,18.45,17.35,17.5,25817789
2017-08-22,17.8,17.9,16.9,17.0,33700217
2017-08-23,17.25,17.4,17.05,17.1,19452547
2017-08-24,17.25,17.65,17.1,17.2,18599324
2017-08-28,17.2,17.9,17.2,17.35,32915569
2017-08-29,17.25,17.4,16.75,16.8,19913377
2017-08-30,17.05,17.4,16.85,17.25,22949502
2017-08-31,17.25,17.45,17.05,17.1,23909654
2017-09-01,17.3,17.8,17.15,17.75,39801265
2017-09-04,17.7,17.7,16.8,17.2,33346795
2017-09-05,17.5,17.75,17.05,17.1,37059172
2017-09-06,17.0,17.3,16.9,17.2,18373269
2017-09-07,17.7,17.8,17.4,17.45,31853185
2017-09-08,17.5,17.65,17.05,17.2,17119539
2017-09-11,17.4,17.65,17.15,17.3,13970448
2017-09-12,17.45,17.6,17.25,17.35,19018891
2017-09-13,17.45,18.5,17.35,17.85,58033291
2017-09-14,17.95,18.4,17.9,18.05,36274917
2017-09-15,17.9,18.25,17.7,17.9,22069929
2017-09-18,18.0,18.5,18.0,18.15,31944220
2017-09-19,18.2,18.25,17.95,18.05,17763043
2017-09-20,18.1,18.15,17.8,17.9,12638068
2017-09-21,17.95,18.0,17.15,17.6,23397167
2017-09-22,17.5,17.5,16.65,16.75,30469478
2017-09-25,16.85,16.85,16.05,16.4,24533053
2017-09-26,16.55,16.75,16.25,16.6,18052750
2017-09-27,16.65,16.9,15.8,15.9,29932089
2017-09-28,15.9,16.05,15.4,15.9,40692236
2017-09-29,16.15,16.6,16.0,16.55,27416726
2017-10-03,16.7,16.95,16.3,16.35,15310990
2017-10-04,16.45,16.6,16.25,16.3,15979747
2017-10-05,16.35,16.45,16.1,16.25,7658615
2017-10-06,16.3,16.6,16.15,16.5,19453494
2017-10-09,16.5,16.65,16.2,16.25,13671317
2017-10-10,16.3,16.6,16.2,16.5,14973876
2017-10-11,16.55,16.65,15.4,15.7,21417631
2017-10-12,15.8,16.3,15.6,16.2,14398102
2017-10-13,16.25,16.45,16.0,16.1,15800009
2017-10-16,16.25,16.25,15.85,16.05,12477521
2017-10-17,16.0,16.2,15.9,16.05,8697845
2017-10-18,16.15,16.15,15.9,16.05,16975977575
2017-10-23,16.0,17.4,15.9,17.25,33610809
2017-10-24,17.4,17.55,17.1,17.35,32115322
2017-10-25,17.9,18.95,17.45,18.6,64685757
2017-10-26,18.45,18.9,18.05,18.4,38307209
2017-10-27,18.5,18.75,17.75,18.05,26638727
2017-10-30,18.2,18.25,18.0,18.25,17279358
2017-10-31,18.3,19.7,18.3,19.25,86211564
2017-11-01,19.5,19.8,18.95,19.1,34390152
2017-11-02,19.2,19.2,18.55,18.9,20372327
2017-11-03,19.0,19.65,18.75,19.05,46547546
2017-11-06,18.8,19.05,18.3,18.35,18163756
2017-11-07,18.4,18.5,17.4,17.6,30537502
2017-11-08,17.6,18.1,17.3,17.5,25154410
2017-11-09,17.55,17.95,17.3,17.75,26670944
2017-11-10,17.8,18.0,17.5,17.7,18354846
2017-11-13,17.7,18.15,17.4,17.75,15515294
2017-11-14,17.8,18.2,17.6,17.8,18978146
2017-11-15,17.5,17.6,15.85,16.3,48930254
2017-11-16,16.35,17.05,16.15,16.95,22757469
2017-11-17,17.15,17.35,16.9,17.0,14771500
2017-11-20,16.9,17.35,16.8,17.2,14747369
2017-11-21,17.3,17.45,17.05,17.25,12418888
2017-11-22,17.2,17.3,16.85,16.95,10404036
2017-11-23,16.95,17.2,16.8,16.95,12288628
2017-11-24,16.95,18.9,16.9,18.65,50409145
2017-11-27,18.55,19.6,18.25,18.85,69873303
2017-11-28,19.25,19.35,17.95,18.05,41169690
2017-11-29,18.15,18.85,17.95,18.3,42286637
2017-11-30,18.3,18.85,18.1,18.3,30114374
2017-12-01,18.5,18.6,17.45,17.6,21711804
2017-12-04,17.7,17.85,17.1,17.3,25866109
2017-12-05,17.15,17.3,16.85,17.25,21433322
2017-12-06,17.05,17.55,16.65,16.75,24452507
2017-12-07,16.8,17.3,16.8,17.15,16615792
2017-12-08,17.25,17.75,17.2,17.65,13893699
2017-12-11,17.85,18.1,17.55,17.7,19314461
2017-12-12,17.65,17.75,17.05,17.1,12036682
2017-12-13,17.15,17.35,16.9,17.0,11699824
2017-12-14,16.75,17.05,16.55,16.9,19101459
2017-12-15,17.1,17.65,17.1,17.1,22162899
2017-12-18,16.95,17.45,16.3,17.25,18772546
2017-12-19,17.25,17.85,17.25,17.75,20656991
2017-12-20,17.75,18.5,17.65,18.3,33387563
2017-12-21,18.45,20.65,18.3,19.95,129176915
2017-12-22,19.95,20.2,19.3,19.55,39175591
2017-12-26,19.55,20.35,19.25,19.35,61659799
2017-12-27,19.55,20.0,18.9,18.95,46258512
2017-12-28,19.15,20.7,19.1,20.55,148139359
2017-12-29,20.9,22.8,20.7,22.6,187200699
2018-01-01,22.7,23.55,22.15,22.25,103840948
2018-01-02,22.5,22.9,20.95,21.5,88098777
2018-01-03,21.55,22.25,21.45,21.85,46423732
2018-01-04,21.95,22.05,20.95,21.2,53161750
2018-01-05,21.2,21.65,21.0,21.2,36776578
2018-01-08,21.35,22.75,21.15,21.9,77797440
2018-01-09,22.15,22.25,21.0,21.15,47984033
2018-01-10,21.25,22.6,21.25,22.15,65997848
2018-01-11,22.5,22.7,21.6,21.65,58191217
2018-01-12,21.7,21.95,20.65,20.95,60424436
2018-01-15,21.3,22.35,21.1,22.1,72714403
2018-01-16,22.3,23.6,21.9,22.7,141904058
2018-01-17,22.85,24.4,22.35,24.05,239812660
2018-01-18,24.4,25.0,22.3,22.65,168754092
2018-01-19,22.9,23.35,22.15,22.6,68398864
2018-01-22,22.7,23.45,22.55,22.9,44456501
2018-01-23,23.3,24.25,23.25,23.8,99706658
2018-01-24,23.95,24.15,23.0,23.1,62527120
2018-01-25,23.35,23.35,22.4,22.55,55646811
2018-01-29,22.75,23.45,22.5,22.55,50009589
2018-01-30,22.55,22.75,21.95,21.95,31083820
2018-01-31,22.0,22.45,21.55,21.7,40518793
2018-02-01,21.8,23.9,21.1,22.75,104279385
2018-02-02,22.4,22.35,18.0,19.3,147503374
2018-02-05,18.8,20.4,18.25,20.25,85240097
2018-02-06,18.2,19.7,18.25,19.35,69445418
