date,open,high,low,close,volume
2017-07-03,526.35,536.3,513.15,523.5,199785
2017-07-04,525.4,528.9,509.0,510.1,201884
2017-07-05,511.0,520.45,508.0,515.0,177569
2017-07-06,519.0,526.0,515.1,518.0,234486
2017-07-07,516.0,520.25,515.0,517.0,87188
2017-07-10,517.0,522.0,515.4,517.8,17179884092
2017-07-11,521.45,522.95,512.0,513.1,127499
2017-07-12,515.0,518.4,506.15,515.0,139482
2017-07-13,512.55,514.5,507.8,507.95,127452
2017-07-14,511.0,511.65,501.3,503.0,99876
2017-07-17,505.0,522.0,505.0,511.6,856953
2017-07-18,512.75,518.25,503.15,507.75,172878
2017-07-19,511.8,513.5,508.0,509.0,69434
2017-07-20,513.45,521.0,509.0,512.0,174803
2017-07-21,515.0,529.0,509.1,526.0,198481
2017-07-24,529.2,532.0,509.0,512.0,161351
2017-07-25,514.95,516.95,509.55,511.0,72394
2017-07-26,512.2,518.2,512.2,517.65,86847
2017-07-27,515.0,519.95,512.5,515.0,287804
2017-07-28,515.0,539.8,510.0,521.0,183921
2017-07-31,523.0,526.4,516.75,519.0,122012
2017-08-01,518.0,525.65,513.0,516.0,105868
2017-08-02,518.65,525.05,497.25,502.0,873637
2017-08-03,500.95,507.4,497.65,499.5,249786
2017-08-04,502.4,502.4,489.95,496.0,114390
2017-08-07,497.9,511.9,496.9,507.75,232624
2017-08-08,507.75,507.75,495.5,506.5,93041
2017-08-09,505.5,505.5,496.1,501.95,84904
2017-08-10,498.0,504.0,495.0,500.35,159110
2017-08-11,495.0,500.85,489.35,499.6,168284
2017-08-14,501.7,514.5,501.7,509.8,84654
2017-08-16,510.0,524.15,507.15,513.8,203166
2017-08-17,511.65,519.0,508.45,510.0,84737
2017-08-18,509.4,517.15,507.15,510.85,95435
2017-08-21,511.1,514.15,508.95,510.0,47283
2017-08-22,511.5,515.0,507.95,510.8,45995
2017-08-23,513.4,516.4,509.6,510.55,39916
2017-08-24,511.0,522.5,511.0,521.1,76300
2017-08-28,522.5,552.75,522.5,539.0,435471
2017-08-29,541.0,543.0,530.6,540.0,138602
2017-08-30,545.0,571.0,541.0,569.8,516780
2017-08-31,572.0,584.9,568.15,582.95,600975
2017-09-01,583.55,599.5,581.05,596.45,440295
2017-09-04,599.0,617.05,578.45,601.2,367482
2017-09-05,605.0,609.4,595.15,608.4,195624
