date,open,high,low,close,volume
2017-07-03,1239.12,1282.4,1226.13,1279.91,1521471
2017-07-04,1281.55,1288.98,1250.03,1258.99,4874568
2017-07-05,1259.99,1288.88,1251.33,1282.8,1027841
2017-07-06,1282.9,1284.89,1260.94,1264.02,819835
2017-07-07,1261.98,1272.84,1242.21,1248.04,901999
2017-07-10,1248.09,1258.8,1237.68,1247.84,12834186026
2017-07-11,1255.26,1264.37,1246.99,1250.58,1378927
2017-07-12,1259.94,1267.46,1251.92,1259.99,1158917
2017-07-13,1271.99,1301.23,1271.94,1284.0,2172447
2017-07-14,1284.89,1286.44,1257.5,1266.46,1522686
2017-07-17,1283.9,1325.73,1280.16,1304.61,3958784
2017-07-18,1307.85,1317.76,1275.18,1306.31,6088242
2017-07-19,1065.81,1068.95,1008.19,1043.9,4278169134
2017-07-20,1058.69,1075.62,1055.7,1068.25,2172844
2017-07-21,1070.54,1082.7,1048.83,1058.79,1578641
2017-07-24,1058.89,1066.76,1041.31,1053.81,885725
2017-07-25,1049.03,1074.38,1048.83,1072.24,1064617
2017-07-26,1071.24,1071.44,1062.33,1063.97,756548
2017-07-27,1070.74,1075.72,1063.27,1067.75,1386434
2017-07-28,1063.47,1080.7,1060.83,1062.77,594416
2017-07-31,1066.76,1078.61,1059.79,1071.74,913999
2017-08-01,1064.67,1097.44,1060.88,1093.65,1103377
2017-08-02,1091.61,1106.6,1082.84,1101.62,575149
2017-08-03,1097.64,1127.27,1096.89,1118.55,922122
2017-08-04,1123.38,1125.53,1101.92,1120.55,356545
2017-08-07,1125.53,1132.7,1116.91,1120.55,695066
2017-08-08,1120.5,1128.02,1100.97,1108.24,648037
2017-08-09,1103.56,1120.3,1083.14,1086.33,687323
2017-08-10,1082.65,1089.47,1039.87,1081.5,2456960
2017-08-11,1055.8,1074.18,1035.38,1070.74,1132393
2017-08-14,1065.91,1112.48,1065.91,1097.64,1349395
2017-08-16,1114.57,1117.51,1086.98,1100.62,1156990
2017-08-17,1094.65,1103.51,1088.47,1095.64,735999
2017-08-18,1091.76,1112.58,1076.57,1095.64,739303
2017-08-21,1107.6,1124.18,1092.66,1105.6,1290308
2017-08-22,1110.68,1124.48,1104.46,1109.04,1189001
2017-08-23,1115.56,1120.55,1107.25,1115.71,533602
2017-08-24,1119.4,1136.93,1116.81,1129.41,1412768
2017-08-28,1132.65,1144.75,1131.45,1144.45,860979
2017-08-29,1140.81,1145.05,1119.65,1128.76,854077
2017-08-30,1135.93,1182.8,1135.04,1180.31,1512188
2017-08-31,1189.27,1195.25,1167.01,1190.27,1376298
2017-09-01,1207.9,1233.3,1148.53,1165.37,3370858
2017-09-04,1163.87,1179.31,1152.22,1158.05,882045
2017-09-05,1163.13,1181.3,1160.83,1175.33,950093
2017-09-06,1174.33,1186.13,1161.53,1181.3,819853
2017-09-07,1180.76,1218.26,1180.41,1201.22,1353966
2017-09-08,1203.47,1212.18,1190.27,1205.06,821259
2017-09-11,1211.18,1232.6,1206.01,1226.13,927714
2017-09-12,1231.06,1271.4,1231.06,1252.12,1480087
2017-09-13,1250.13,1262.68,1218.16,1229.26,584548
2017-09-14,1230.81,1245.05,1198.24,1227.02,989690
2017-09-15,1232.75,1259.89,1222.64,1230.46,9781623
2017-09-18,1240.52,1250.98,1219.4,1223.93,525677
2017-09-19,1228.07,1232.0,1212.23,1217.16,455880
2017-09-20,1215.17,1228.27,1208.89,1216.51,547793
2017-09-21,1216.16,1233.84,1189.62,1194.25,767149
2017-09-22,1190.07,1190.07,1167.41,1171.24,496067
2017-09-25,1163.47,1165.96,1127.02,1135.78,1062673
2017-09-26,1140.96,1140.96,1120.15,1127.42,1749554
2017-09-27,1137.58,1137.58,1104.81,1116.56,1137479
2017-09-28,1109.09,1139.92,1096.74,1126.02,1668809
2017-09-29,1133.49,1137.28,1117.56,1133.49,935897
2017-10-03,1137.98,1159.89,1133.59,1149.68,641515
2017-10-04,1150.43,1155.85,1139.52,1145.65,209090
2017-10-05,1144.45,1162.63,1136.48,1156.4,363610
2017-10-06,1163.37,1163.37,1140.71,1147.24,372929
2017-10-09,1150.43,1159.39,1142.16,1150.43,251218
2017-10-10,1156.8,1175.03,1136.58,1155.41,998123
2017-10-11,1157.5,1170.65,1142.46,1144.75,486670
2017-10-12,1147.04,1154.01,1122.69,1130.8,581736
2017-10-13,1135.39,1146.64,1124.78,1142.36,912721
2017-10-16,1147.49,1159.39,1136.68,1137.48,639972
2017-10-17,1139.52,1147.94,1124.93,1131.5,682882
2017-10-18,1131.5,1145.0,1117.36,1142.11,11824522063
2017-10-23,1124.53,1183.2,1120.55,1177.37,643094
2017-10-24,1175.92,1203.22,1171.84,1181.1,589523
2017-10-25,1187.23,1220.15,1175.33,1206.2,951937
2017-10-26,1206.95,1214.47,1184.64,1186.33,416955
2017-10-27,1192.71,1205.01,1176.72,1184.29,536258
2017-10-30,1185.29,1199.13,1185.29,1195.25,399424
2017-10-31,1197.49,1231.3,1197.49,1224.63,1062243
2017-11-01,1227.07,1250.03,1211.78,1250.03,1136820
2017-11-02,1249.03,1294.85,1250.03,1288.33,1188311
2017-11-03,1291.86,1294.8,1267.81,1284.29,726748
2017-11-06,1279.91,1289.87,1276.82,1282.0,367576
2017-11-07,1289.87,1289.87,1224.13,1247.04,664348
2017-11-08,1253.02,1255.01,1233.2,1247.04,303858
2017-11-09,1251.03,1253.12,1207.9,1222.19,436576
