date,open,high,low,close,volume
2017-07-03,150.17,151.8,148.04,149.15,50712
2017-07-04,151.8,151.8,149.42,150.01,63062
2017-07-05,150.01,154.72,149.6,151.21,7225
2017-07-06,151.07,153.0,150.16,152.0,2979
2017-07-07,150.0,152.09,150.0,151.01,3187
2017-07-10,151.01,178.52,128.6,151.6,3435974811
2017-07-11,151.6,154.8,150.0,152.4,7259
2017-07-12,150.41,154.79,150.41,152.6,4992
2017-07-13,152.6,153.43,150.12,150.22,19850
2017-07-14,149.98,152.26,147.2,147.4,8981
2017-07-17,147.23,151.8,146.73,149.0,16972
2017-07-18,149.59,152.8,148.29,150.64,6067
2017-07-19,148.5,153.99,148.5,153.2,4804
2017-07-20,155.2,155.2,151.2,153.82,2549
2017-07-21,153.82,154.0,152.0,152.86,1039
2017-07-24,152.8,153.4,151.17,152.6,1763
2017-07-25,152.6,157.09,152.23,152.8,4312
2017-07-26,152.8,155.54,152.8,153.0,1198
2017-07-27,153.0,153.99,151.53,152.21,1751
2017-07-28,152.21,154.6,151.06,152.6,3802
2017-07-31,152.6,153.0,149.92,152.4,2642
2017-08-01,152.58,153.76,151.0,152.2,844
2017-08-02,152.26,152.68,149.6,152.0,2290
2017-08-03,152.0,153.8,148.0,150.8,4859
2017-08-04,150.8,153.0,149.36,150.41,1605
2017-08-07,148.66,152.38,148.22,151.8,2061
2017-08-08,151.1,161.6,151.07,156.4,14751
2017-08-09,156.4,162.85,153.04,157.0,13600
2017-08-10,157.8,158.0,146.31,149.4,5085
2017-08-11,152.0,157.8,152.0,154.0,91336
2017-08-14,154.53,155.96,151.51,152.0,3812
2017-08-16,153.0,156.8,153.0,154.99,8718
2017-08-17,157.7,157.7,154.0,154.4,4492
2017-08-18,154.2,156.0,151.21,156.0,12533
2017-08-21,156.0,156.0,153.0,153.0,6382
2017-08-22,153.0,154.71,152.3,154.2,3667
2017-08-23,154.2,161.95,154.2,158.19,18505
2017-08-24,159.0,160.4,156.11,158.4,3916
2017-08-28,158.21,160.4,157.1,159.0,3023
2017-08-29,158.6,159.64,155.6,156.0,6704
2017-08-30,156.0,160.0,154.0,154.08,19150
2017-08-31,154.08,157.8,154.08,157.8,3459
2017-09-01,157.8,159.2,154.99,158.0,3689
2017-09-04,159.2,160.92,157.01,160.0,4357
2017-09-05,160.0,167.2,160.0,165.8,29198
2017-09-06,165.0,165.6,162.0,162.16,4195
2017-09-07,162.16,168.88,161.06,166.0,16319
