date,open,high,low,close,volume
2018-08-06,1726.25,1844.0,1726.25,1815.25,19296402
2018-08-07,1819.8,1834.0,1755.0,1768.0,3488011
2018-08-08,1762.0,1798.9,1742.35,1776.0,1675519
2018-08-09,1779.6,1787.0,1740.0,1744.0,672663
2018-08-10,1740.0,1768.0,1740.0,1746.0,585313
2018-08-13,1739.0,1741.2,1704.5,1707.0,722864
2018-08-14,1707.5,1746.95,1707.5,1727.0,568156
2018-08-16,1726.9,1741.0,1707.0,1708.95,373826
2018-08-17,1719.7,1731.8,1714.05,1718.0,317365
2018-08-20,1724.75,1755.8,1722.2,1747.0,790373
2018-08-21,1757.5,1773.3,1747.0,1768.0,598166
2018-08-23,1780.0,1848.8,1771.2,1828.3,2291822
2018-08-24,1834.5,1924.4,1822.45,1896.9,2694424
2018-08-27,1910.0,1970.0,1910.0,1943.95,1695245
2018-08-28,1952.0,1955.45,1852.05,1863.0,1125840
2018-08-29,1865.0,1865.0,1807.55,1816.0,1019599
2018-08-30,1820.05,1854.65,1820.0,1839.0,424083
2018-08-31,1840.0,1844.95,1810.0,1814.9,279449
2018-09-03,1810.0,1810.0,1738.0,1740.2,1022026
2018-09-04,1749.0,1772.0,1731.75,1739.8,557552
2018-09-05,1742.0,1748.8,1662.0,1681.65,1040472
2018-09-06,1690.0,1715.0,1681.25,1689.0,645187
2018-09-07,1700.2,1703.95,1660.0,1670.0,718486
2018-09-10,1672.9,1672.9,1626.0,1637.75,645889
2018-09-11,1640.0,1665.0,1608.1,1610.0,605338
2018-09-12,1619.9,1635.35,1592.9,1631.0,691487
2018-09-14,1645.9,1658.0,1626.55,1628.8,420709
2018-09-17,1625.0,1625.0,1595.0,1596.9,471756
2018-09-18,1601.25,1604.5,1526.0,1532.0,821549
2018-09-19,1475.0,1480.0,1396.5,1403.95,5627464
2018-09-21,1425.0,1430.0,1250.0,1389.0,1962515
2018-09-24,1390.0,1414.35,1325.2,1337.0,779125
2018-09-25,1343.4,1406.85,1315.75,1405.0,962837
2018-09-26,1417.0,1444.0,1410.0,1432.0,699386
2018-09-27,1439.9,1445.45,1365.5,1370.0,456875
2018-09-28,1394.0,1394.0,1308.0,1326.5,633681
2018-10-01,1334.9,1334.9,1282.0,1295.2,527865
2018-10-03,1300.0,1321.0,1280.0,1290.0,499640
2018-10-04,1278.0,1308.7,1265.75,1285.0,501351
2018-10-05,1295.0,1319.25,1282.2,1294.9,339612
2018-10-08,1297.4,1302.0,1251.0,1277.7,339160
2018-10-09,1280.25,1283.95,1250.0,1268.2,274554
2018-10-10,1265.0,1335.25,1265.0,1331.0,308578
2018-10-11,1281.0,1389.0,1250.0,1348.0,559748
2018-10-12,1367.0,1384.9,1362.05,1372.0,246109
2018-10-15,1376.4,1412.4,1354.85,1390.0,258179
2018-10-16,1393.65,1407.0,1381.0,1386.0,171423
2018-10-17,1400.0,1410.0,1350.0,1356.1,159683
2018-10-19,1350.5,1350.5,1325.05,1331.0,133923
2018-10-22,1340.7,1365.45,1332.0,1350.0,179702
2018-10-23,1333.5,1375.45,1328.0,1368.0,270615
2018-10-24,1375.8,1378.15,1352.0,1375.0,300701
2018-10-25,1360.1,1363.8,1344.15,1344.45,204327
2018-10-26,1344.0,1364.8,1326.0,1353.0,195835
2018-10-29,1365.0,1382.1,1350.0,1377.05,172184
2018-10-30,1375.0,1403.05,1355.75,1367.8,385931
2018-10-31,1374.0,1413.8,1367.7,1400.25,253523
2018-11-01,1411.8,1440.0,1400.85,1428.75,267488
2018-11-02,1435.0,1450.95,1425.5,1433.0,268606
2018-11-05,1435.0,1435.0,1412.7,1426.0,152523
2018-11-06,1429.0,1438.0,1391.5,1400.1,95867
