date,open,high,low,close,volume
2017-07-03,191.35,197.75,191.35,196.95,13839675
2017-07-04,197.4,200.15,197.2,198.45,15915193
2017-07-05,198.6,200.0,197.25,198.6,6502605
2017-07-06,197.85,199.6,196.15,196.5,6854800
2017-07-07,195.5,197.9,194.55,194.7,7292963
2017-07-10,195.65,198.2,194.0,196.25,12888121318
2017-07-11,195.6,202.25,195.5,200.25,15095565
2017-07-12,201.6,202.4,199.1,200.4,8295621
2017-07-13,201.6,205.6,197.7,205.4,11851243
2017-07-14,205.9,207.35,204.0,206.1,14768435
2017-07-17,206.85,209.5,206.55,209.0,9907566
2017-07-18,207.6,210.4,206.5,207.35,7513960
2017-07-19,207.45,213.9,207.45,213.05,13690513
2017-07-20,213.5,214.5,211.3,213.5,6584668
2017-07-21,213.35,215.45,208.0,215.0,9886677
2017-07-24,214.7,215.8,212.25,214.65,7899260
2017-07-25,215.25,220.9,213.25,220.75,10556193
2017-07-26,221.9,222.2,218.75,220.0,8212705
2017-07-27,221.3,223.75,219.5,220.4,8378564
2017-07-28,219.75,219.75,214.15,216.0,6016713
2017-07-31,216.05,220.7,215.55,220.1,5380490
2017-08-01,221.1,226.65,221.1,225.85,10811629
2017-08-02,225.8,228.9,222.55,227.4,6381118
2017-08-03,227.7,227.7,220.25,220.95,10237386
2017-08-04,218.65,225.9,218.65,225.45,5749338
2017-08-07,226.2,228.7,224.1,228.2,4939365
2017-08-08,232.8,244.75,232.8,235.4,24810087
2017-08-09,237.4,243.2,237.4,239.2,12814076
2017-08-10,238.8,244.75,234.85,240.4,10873739
2017-08-11,234.75,234.85,218.05,222.0,21114924
2017-08-14,223.3,231.65,223.3,229.9,10867840
2017-08-16,231.9,236.3,227.5,233.1,10205489
2017-08-17,237.05,239.45,228.1,230.5,10267459
2017-08-18,227.0,232.5,225.8,230.4,10732206
2017-08-21,235.15,236.5,223.95,224.4,6982852
2017-08-22,228.45,231.6,225.9,229.6,12183816
2017-08-23,230.25,231.5,225.85,231.3,7172025
2017-08-24,231.7,234.65,230.3,233.5,9478182
2017-08-28,234.0,235.5,231.9,233.5,5133665
2017-08-29,233.8,234.25,226.6,227.2,9080385
2017-08-30,230.85,237.6,230.85,236.55,12652184
2017-08-31,238.15,239.45,235.1,238.25,23171429
2017-09-01,239.2,245.0,238.05,244.0,9829012
2017-09-04,244.1,247.0,237.55,242.3,11269368
2017-09-05,243.25,244.35,240.2,241.9,3759621
2017-09-06,237.7,246.45,237.7,246.0,9665288
2017-09-07,247.5,251.25,245.65,249.7,11306249
2017-09-08,251.8,255.45,246.65,249.0,11851818
2017-09-11,250.95,252.5,246.6,250.5,6569403
2017-09-12,250.75,254.6,249.5,250.8,6802568
2017-09-13,250.25,251.65,246.35,248.65,4310519
2017-09-14,249.6,251.9,244.45,247.55,7290477
2017-09-15,245.7,249.7,241.4,247.8,8801136
2017-09-18,248.6,251.3,247.75,249.8,5547089
2017-09-19,250.35,250.35,245.6,246.5,4926414
2017-09-20,247.05,248.95,241.8,244.05,9905539
2017-09-21,245.6,245.65,236.3,244.8,9873163
2017-09-22,241.55,241.55,229.1,232.7,14439309
2017-09-25,231.05,232.5,223.35,228.8,9232281
2017-09-26,228.25,235.35,227.8,233.0,7593822
2017-09-27,234.9,235.2,230.8,233.7,6559195
2017-09-28,233.05,239.7,232.5,239.7,15181880
2017-09-29,240.9,242.65,238.65,240.8,9177490
2017-10-03,242.75,244.7,238.2,242.0,4951112
2017-10-04,242.05,243.0,240.3,242.95,3202526
2017-10-05,241.8,242.85,239.4,239.9,3687851
2017-10-06,241.6,252.15,241.35,251.5,9418868
2017-10-09,250.45,253.35,248.35,250.0,5729032
2017-10-10,250.55,253.5,248.3,253.0,8098685
2017-10-11,252.85,254.4,246.65,250.0,9792022
2017-10-12,250.5,265.3,249.7,264.5,30300134
2017-10-13,264.7,267.6,261.5,266.8,12243637
2017-10-16,268.45,272.9,267.5,271.8,14604515
2017-10-17,271.8,277.9,269.5,277.9,9909200
2017-10-18,277.7,278.4,273.2,275.3,20458348898
2017-10-23,273.35,278.5,269.45,271.9,4673333101
2017-10-24,269.9,274.85,267.5,269.4,9571199
2017-10-25,271.35,272.4,264.3,267.4,7257717
2017-10-26,268.7,275.3,268.0,274.5,8473833
2017-10-27,275.3,276.2,269.15,270.5,4566812
