date,open,high,low,close,volume
2017-07-03,64.5,65.1,64.1,64.8,248231
2017-07-04,65.0,66.15,64.55,64.9,562338
2017-07-05,65.5,66.7,65.4,65.7,663744
2017-07-06,66.0,67.3,65.75,66.0,760217
2017-07-07,65.65,66.55,65.0,65.05,420515
2017-07-10,65.0,66.95,65.0,65.7,12884983576
2017-07-11,65.65,66.8,65.0,65.4,404580
2017-07-12,65.5,65.75,65.05,65.3,215215
2017-07-13,65.75,66.2,64.35,64.9,384454
2017-07-14,64.9,65.4,64.1,64.2,215475
2017-07-17,64.3,65.5,64.0,64.7,311583
2017-07-18,64.9,66.2,64.7,65.25,497172
2017-07-19,65.4,65.95,65.0,65.4,323066
2017-07-20,65.5,66.5,65.0,65.3,333249
2017-07-21,65.25,65.9,65.1,65.5,332242
2017-07-24,65.5,66.5,65.0,65.0,422230
2017-07-25,65.7,67.0,65.7,66.1,680673
2017-07-26,67.1,71.35,67.1,69.9,4319386
2017-07-27,70.8,74.65,70.2,71.35,4391392
2017-07-28,70.6,71.35,68.85,69.45,1152463
2017-07-31,69.8,70.9,69.4,69.75,637123
2017-08-01,70.25,72.6,70.0,70.4,1146823
2017-08-02,65.75,65.8,64.95,65.1,4607656
2017-08-03,64.0,64.0,62.15,62.2,5898196
2017-08-04,61.6,62.55,61.4,62.1,2689120
2017-08-07,62.4,62.7,61.7,61.8,831905
2017-08-08,62.2,64.55,62.0,63.9,2826242
2017-08-09,63.8,63.8,61.95,62.15,921494
2017-08-10,62.1,62.4,60.05,61.0,772013
2017-08-11,60.05,60.85,59.05,59.95,614904
2017-08-14,62.8,62.9,61.3,62.1,1034899
2017-08-16,62.5,63.3,61.75,63.0,646553
2017-08-17,63.4,64.5,62.6,62.95,887809
2017-08-18,62.35,63.85,62.15,62.3,448051
2017-08-21,62.8,63.3,61.2,61.3,641292
2017-08-22,61.9,62.4,60.85,61.1,340128
2017-08-23,61.6,62.9,61.3,62.15,582519
2017-08-24,62.2,62.6,61.75,61.9,284051
2017-08-28,62.1,62.75,61.95,62.15,420960
2017-08-29,62.0,62.6,61.0,61.0,423589
2017-08-30,61.75,62.5,61.65,62.2,468087
2017-08-31,62.1,63.0,61.9,62.45,507791
2017-09-01,62.8,63.95,62.4,63.7,1143803
2017-09-04,63.95,64.5,62.2,62.75,609853
2017-09-05,63.0,64.55,63.0,64.3,1975880
2017-09-06,63.8,65.4,63.55,64.65,1350623
2017-09-07,64.85,66.35,64.0,64.7,3478535
2017-09-08,65.15,65.75,63.7,64.1,1712139
2017-09-11,64.45,65.4,63.8,64.4,1028283
2017-09-12,64.75,66.5,64.65,64.75,2298415
2017-09-13,65.0,65.65,63.35,63.75,912408
2017-09-14,63.95,64.2,62.25,62.5,1467872
2017-09-15,62.5,62.8,62.0,62.0,724698
2017-09-18,62.4,63.1,62.3,62.7,767668
2017-09-19,63.1,63.8,62.55,62.6,1215220
2017-09-20,63.3,64.0,62.8,63.05,2056908
2017-09-21,63.4,63.7,61.75,62.4,962396
2017-09-22,62.05,62.1,60.05,60.3,939773
2017-09-25,60.9,60.9,58.05,58.4,971867
2017-09-26,58.55,59.05,57.75,58.35,843086
2017-09-27,58.8,58.95,56.55,57.0,1195776
2017-09-28,57.05,58.7,56.75,58.0,843333
2017-09-29,58.6,59.6,58.0,58.65,1256240
2017-10-03,58.75,59.25,58.05,58.4,442664
2017-10-04,58.6,59.0,58.15,58.6,382967
2017-10-05,58.5,63.25,58.3,60.85,3768379
2017-10-06,61.5,63.95,61.3,63.65,2809757
2017-10-09,64.3,65.5,63.55,64.15,1726104
2017-10-10,64.2,64.9,63.75,64.15,1091849
2017-10-11,64.55,65.05,61.85,61.95,3650362
2017-10-12,63.2,64.1,61.7,63.2,828250
2017-10-13,63.4,64.0,62.55,62.75,612109
2017-10-16,63.3,64.1,62.15,63.0,979852
2017-10-17,63.2,64.3,63.1,63.5,921453
2017-10-18,63.4,63.45,62.7,63.05,4230374893
2017-10-23,63.2,66.35,63.2,65.1,2362587
2017-10-24,65.65,66.5,64.35,64.65,1872563
