date,open,high,low,close,volume
2017-07-03,1087.7,1087.7,1065.3,1074.4,720827
2017-07-04,1074.6,1074.6,1040.1,1050.0,1650905
2017-07-05,1050.5,1065.4,1045.35,1060.3,869161
2017-07-06,1060.0,1102.2,1059.55,1081.25,1943592
2017-07-07,1087.0,1093.0,1062.65,1064.8,1043430
2017-07-10,1097.4,1097.4,1064.8,1070.0,12885348673
2017-07-11,1070.8,1093.2,1069.7,1082.0,1754688
2017-07-12,1085.95,1111.8,1073.0,1110.3,1568893
2017-07-13,1114.0,1135.25,1113.2,1127.7,1684676
2017-07-14,1131.7,1134.0,1112.25,1120.1,686300
2017-07-17,1122.0,1146.15,1121.0,1142.0,542470
2017-07-18,1135.5,1157.1,1133.1,1141.5,1242237
2017-07-19,1133.1,1151.7,1133.1,1149.95,765298
2017-07-20,1151.85,1166.4,1142.6,1158.85,1685190
2017-07-21,1160.0,1160.0,1120.75,1135.0,1455486
2017-07-24,1137.9,1162.4,1134.0,1160.0,1107642
2017-07-25,1165.75,1200.0,1165.05,1196.8,1820942
2017-07-26,1199.0,1216.45,1183.25,1189.0,1297050
2017-07-27,1198.8,1203.8,1154.3,1160.85,2410252
2017-07-28,1161.85,1179.0,1157.0,1176.0,742084
2017-07-31,1176.05,1189.0,1152.85,1178.0,767089
2017-08-01,1183.0,1232.0,1182.55,1231.7,2643777
2017-08-02,1220.0,1224.75,1189.5,1191.0,913956
2017-08-03,1195.75,1210.0,1185.0,1198.0,1152650
2017-08-04,1205.25,1219.0,1199.05,1212.0,885818
2017-08-07,1212.0,1216.6,1195.6,1197.6,578264
2017-08-08,1201.0,1206.6,1170.65,1194.05,1392871
2017-08-09,1195.8,1196.75,1155.05,1160.0,771514
2017-08-10,1146.3,1176.4,1137.6,1154.0,1752690
2017-08-11,1130.05,1159.65,1126.8,1155.15,1378217
2017-08-14,1161.85,1180.2,1160.0,1175.0,1220685
2017-08-16,1177.55,1215.0,1174.2,1203.0,1774986
2017-08-17,1204.0,1219.8,1194.5,1201.55,752807
2017-08-18,1195.05,1213.0,1187.2,1201.25,886915
2017-08-21,1209.85,1209.9,1192.1,1195.55,672838
2017-08-22,1197.95,1205.6,1165.25,1178.0,817641
2017-08-23,1177.3,1231.45,1156.0,1222.2,1274108
2017-08-24,1216.1,1234.15,1203.1,1209.0,857737
2017-08-28,1206.85,1237.95,1192.1,1227.0,781966
2017-08-29,1219.75,1222.55,1196.5,1201.15,1555091
2017-08-30,1210.0,1226.55,1205.25,1207.5,1196310
2017-08-31,1210.5,1222.0,1200.0,1213.2,1909006
2017-09-01,1210.1,1229.4,1210.1,1221.5,514947
2017-09-04,1222.4,1256.8,1219.15,1230.0,1516658
2017-09-05,1235.7,1245.0,1217.6,1236.0,945485
2017-09-06,1238.4,1273.3,1224.8,1265.0,1263438
2017-09-07,1285.3,1320.0,1284.25,1315.65,2541772
2017-09-08,1322.75,1323.45,1296.85,1309.3,1096711
2017-09-11,1314.0,1318.65,1295.25,1298.0,697368
2017-09-12,1309.0,1309.0,1278.5,1291.35,1263413
2017-09-13,1289.6,1292.65,1266.0,1266.0,2653416
2017-09-14,1274.25,1277.75,1260.7,1264.3,1858736
2017-09-15,1253.35,1269.95,1246.3,1269.0,1599656
2017-09-18,1277.55,1308.0,1270.9,1305.0,1920377
2017-09-19,1304.85,1312.9,1288.25,1306.0,1656602
2017-09-20,1304.9,1324.5,1303.6,1305.1,1215492
2017-09-21,1303.55,1319.7,1267.0,1284.0,1141971
2017-09-22,1275.0,1275.0,1231.2,1235.7,1701569
2017-09-25,1235.35,1241.3,1155.1,1221.0,2286166
2017-09-26,1215.95,1247.4,1209.65,1239.5,1091470
2017-09-27,1252.25,1253.15,1208.1,1225.0,1281297
2017-09-28,1212.3,1219.8,1183.9,1213.4,4090051
