date,open,high,low,close,volume
2017-07-03,51.55,52.95,50.85,51.75,16704616
2017-07-04,51.95,52.0,50.55,50.7,6302043
2017-07-05,50.85,50.85,50.2,50.35,8631079
2017-07-06,50.6,50.75,49.75,49.8,7648642
2017-07-07,49.75,50.55,49.45,50.4,8835753
2017-07-10,51.2,53.05,50.35,52.6,28453146722
2017-07-11,52.4,54.0,50.75,51.0,34837418
2017-07-12,51.5,51.95,50.95,51.65,15482282
2017-07-13,52.25,53.3,52.25,52.85,25328957
2017-07-14,52.85,54.75,52.65,53.55,18114586
2017-07-17,53.75,54.1,53.15,53.6,10642872
2017-07-18,53.3,55.2,52.35,52.8,16629103
2017-07-19,53.2,58.1,53.05,57.45,64531180
2017-07-20,57.75,58.3,56.85,57.3,23036337
2017-07-21,57.5,57.5,53.25,55.3,69293930
2017-07-24,54.4,56.1,54.0,55.35,25164869
2017-07-25,57.45,60.25,57.45,58.55,88826580
2017-07-26,59.35,59.35,56.5,57.1,27431323
2017-07-27,57.2,59.05,55.5,55.9,58552833
2017-07-28,53.55,58.4,53.25,57.65,58998901
2017-07-31,57.4,57.75,55.65,55.8,21408495
2017-08-01,56.3,56.75,55.3,55.75,16934261
2017-08-02,55.95,56.7,55.4,55.6,13715794
2017-08-03,56.35,57.05,55.65,56.45,17036267
2017-08-04,56.2,56.5,54.7,56.15,15338001
2017-08-07,56.15,56.95,56.05,56.25,8103444
2017-08-08,57.2,57.4,55.15,55.35,22163411
2017-08-09,55.35,56.0,54.75,54.85,8504282
2017-08-10,54.7,56.15,52.35,53.45,17294633
2017-08-11,52.0,53.7,51.7,52.25,11734426
2017-08-14,52.5,53.05,51.35,52.2,12573478
2017-08-16,52.0,52.8,51.75,52.55,9005599
2017-08-17,52.55,54.5,52.55,53.85,14688118
2017-08-18,53.45,55.65,53.25,54.75,14850983
2017-08-21,54.4,55.15,53.55,53.6,6800359
2017-08-22,54.3,54.5,52.75,53.45,11866840
2017-08-23,53.65,54.95,53.0,54.6,12069669
2017-08-24,54.25,54.75,53.95,54.3,5144845
2017-08-28,54.55,55.0,54.1,54.25,8669191
2017-08-29,54.25,54.25,52.4,52.85,12043721
2017-08-30,53.15,53.7,52.85,53.05,5167196
2017-08-31,53.2,55.25,52.7,55.1,21481388
2017-09-01,55.0,55.15,53.45,53.45,9751559
2017-09-04,53.65,53.9,51.85,52.4,15740774
2017-09-05,52.55,52.95,50.95,51.05,14470080
2017-09-06,50.95,50.95,49.35,49.4,20565781
2017-09-07,49.65,49.8,48.5,48.75,12992802
2017-09-08,49.35,49.4,47.9,48.1,14506895
2017-09-11,48.6,48.65,47.35,47.5,10956625
2017-09-12,47.8,48.1,46.5,47.45,25598266
2017-09-13,47.85,51.0,47.5,49.9,52315095
2017-09-14,50.1,50.35,49.1,49.35,13947310
2017-09-15,48.9,49.75,47.9,48.55,27446134
2017-09-18,49.0,50.2,48.75,49.75,17107328
2017-09-19,49.7,50.55,49.65,50.35,16372864
2017-09-20,46.75,49.2,46.75,48.4,42598332
2017-09-21,48.35,49.1,47.5,48.35,15293700
2017-09-22,47.9,48.2,47.15,47.15,11453202
2017-09-25,47.5,47.5,45.35,46.05,14585827
2017-09-26,46.05,46.5,45.7,45.8,6516459
2017-09-27,45.7,46.2,45.2,45.65,11880341
2017-09-28,45.55,46.2,45.3,45.5,10798574
2017-09-29,45.75,47.15,45.5,47.0,10778571
2017-10-03,47.1,47.25,45.6,45.85,7752503
2017-10-04,46.0,46.0,44.35,44.9,10144513
2017-10-05,44.75,45.05,44.4,44.55,11241141
2017-10-06,44.75,44.9,44.3,44.65,6895002
2017-10-09,44.8,45.75,44.65,45.0,6827503
2017-10-10,45.15,45.2,43.15,44.2,11172987
2017-10-11,44.75,45.9,43.85,44.0,16592187
2017-10-12,44.45,45.2,44.1,45.05,8417417
2017-10-13,45.75,48.7,45.6,47.8,46077237
2017-10-16,47.8,50.5,47.8,50.35,48926137
2017-10-17,50.7,55.0,49.9,54.25,70354437
2017-10-18,54.25,55.4,52.7,53.6,14263076890
2017-10-23,55.05,59.95,55.05,59.3,99412889
2017-10-24,59.9,60.9,58.4,59.45,49569326
2017-10-25,60.1,60.55,57.2,59.9,32833531
2017-10-26,59.4,60.3,58.2,58.35,25573123
2017-10-27,58.75,58.75,55.9,56.3,20126526
2017-10-30,56.6,57.7,56.2,57.3,16557546
2017-10-31,57.55,57.7,55.8,55.9,14237685
2017-11-01,57.0,60.5,56.6,59.95,63721717
2017-11-02,60.4,64.9,60.4,64.1,76055317
2017-11-03,64.65,66.9,63.45,64.35,53618651
2017-11-06,64.2,64.1,60.4,60.55,24942188
2017-11-07,61.3,62.0,58.05,59.05,32382168
2017-11-08,59.1,61.2,57.9,61.2,27711306
2017-11-09,61.4,62.1,57.3,58.85,38565231
2017-11-10,59.2,59.45,57.6,58.35,23078399
2017-11-13,59.7,59.55,55.15,56.15,35847720
2017-11-14,56.2,56.6,55.0,55.9,26426431
2017-11-15,55.9,57.5,55.55,56.5,23637681
2017-11-16,56.35,58.3,55.9,57.95,15712036
2017-11-17,58.05,59.25,56.9,57.4,19985302
2017-11-20,57.4,61.6,57.2,61.55,43693774
2017-11-21,61.95,62.05,60.15,60.95,28663231
2017-11-22,61.65,62.1,58.85,58.95,28155269
2017-11-23,59.65,60.5,57.8,58.0,30216183
2017-11-24,58.05,58.95,56.8,57.15,22481117
2017-11-27,56.85,58.55,56.4,58.05,26552045
2017-11-28,58.05,58.55,57.2,57.45,15527264
2017-11-29,57.8,57.9,56.3,56.45,15861053
2017-11-30,56.2,57.5,55.8,57.4,45058142
2017-12-01,57.1,57.3,56.2,56.4,17043743
2017-12-04,56.35,57.0,55.8,56.3,7585884
2017-12-05,56.3,56.75,55.6,56.55,9062821
2017-12-06,56.15,57.15,56.15,56.2,10848694
2017-12-07,56.25,59.1,56.05,59.05,23127445
2017-12-08,59.2,59.7,57.75,58.1,19863882
2017-12-11,58.45,59.0,57.6,57.85,9692244
2017-12-12,57.85,58.3,56.2,56.45,10159491
2017-12-13,57.4,57.1,55.75,56.05,10030672
2017-12-14,56.5,57.15,55.1,56.75,10688312
2017-12-15,57.35,57.35,56.5,56.65,7717455
2017-12-18,56.65,58.1,54.25,57.55,13050920
2017-12-19,57.45,59.9,57.0,59.55,16710874
2017-12-20,59.25,60.35,58.65,59.25,15370873
2017-12-21,59.25,62.1,58.75,61.05,27803703
2017-12-22,60.95,61.35,60.2,60.85,12702955
2017-12-26,60.6,61.95,60.2,61.45,12737903
2017-12-27,61.35,63.35,60.55,61.2,18873616
2017-12-28,61.2,62.7,60.7,62.25,24876875
2017-12-29,62.25,65.7,61.85,65.55,38312116
2018-01-01,64.9,65.3,62.85,63.3,17306773
2018-01-02,64.25,64.0,60.05,60.95,28935902
2018-01-03,61.0,62.75,61.1,62.1,18129626
2018-01-04,62.5,63.8,61.5,63.75,20635605
2018-01-05,65.25,71.3,65.0,69.65,131111147
2018-01-08,66.5,68.65,65.25,65.85,61472687
2018-01-09,66.25,68.1,64.85,65.65,45720495
2018-01-10,68.25,68.15,64.25,64.85,37976236
2018-01-11,64.65,65.85,64.2,64.75,21600943
2018-01-12,64.75,66.45,61.6,64.75,43986003
2018-01-15,65.7,65.6,62.75,63.25,25286816
2018-01-16,63.45,64.5,61.85,62.1,26523759
2018-01-17,62.3,62.9,60.95,62.4,17353038
2018-01-18,62.65,63.0,60.2,60.95,23164399
2018-01-19,61.1,62.4,59.95,61.65,17336323
2018-01-22,61.75,61.65,59.9,60.1,12434316
2018-01-23,60.25,61.5,59.7,59.75,16187249
2018-01-24,59.2,59.8,56.05,56.6,60637665
2018-01-25,55.4,58.85,55.9,57.6,41948144
2018-01-29,56.75,57.75,55.15,56.2,38387571
2018-01-30,56.2,57.75,55.75,56.6,23140429
2018-01-31,56.8,58.05,55.65,55.9,25211954
2018-02-01,56.5,56.5,54.6,55.15,16180535
2018-02-02,55.05,54.9,52.8,53.0,38872313
2018-02-05,52.55,53.95,52.35,52.95,23209786
2018-02-06,50.65,51.85,48.8,51.35,35554198
2018-02-07,52.4,52.7,50.25,51.05,23549870
2018-02-08,51.05,52.95,50.95,51.8,25377187
2018-02-09,50.9,51.5,50.35,50.4,21580439
2018-02-12,51.0,52.15,50.3,51.2,30369774
2018-02-14,52.15,52.5,51.1,51.5,22050054
2018-02-15,51.65,51.85,49.9,50.05,13647454
2018-02-16,50.2,50.8,49.05,49.55,14633961
2018-02-19,49.9,50.1,48.8,49.9,10950658
2018-02-20,50.15,51.1,49.85,50.8,12053409
