date,open,high,low,close,volume
2017-07-03,54.3,54.55,53.9,54.15,7544355
2017-07-04,54.35,56.5,54.3,54.85,20407240
2017-07-05,55.1,60.75,54.75,60.55,33998963
2017-07-06,61.3,62.3,59.95,60.15,30416593
2017-07-07,61.8,62.0,59.3,60.0,19711335
2017-07-10,61.0,65.9,56.1,56.45,17187198065
2017-07-11,57.25,57.6,55.75,55.95,11201935
2017-07-12,56.2,57.6,55.65,57.15,8984707
2017-07-13,57.6,57.65,56.25,56.5,4340913
2017-07-14,56.65,56.8,55.95,56.05,4424794
2017-07-17,56.25,56.45,55.55,56.05,4051383
2017-07-18,55.7,57.75,55.45,57.4,16042655
2017-07-19,57.65,59.65,57.5,59.5,14015260
2017-07-20,59.3,60.35,58.65,59.0,12889528
2017-07-21,59.3,59.7,57.35,58.35,5595580
2017-07-24,58.55,59.4,58.35,58.95,5142284
2017-07-25,59.0,59.25,58.2,58.4,4051372
2017-07-26,58.7,59.1,58.2,58.35,5017738
2017-07-27,58.5,59.2,57.35,57.6,17687832
2017-07-28,58.7,60.25,58.05,59.5,15586167
2017-07-31,59.6,59.75,58.55,58.7,5499918
2017-08-01,59.35,59.6,58.6,58.65,4563561
2017-08-02,58.8,59.3,57.6,57.9,5395026
2017-08-03,58.0,58.0,56.65,56.75,3399378
2017-08-04,56.75,57.7,56.25,57.55,7568041
2017-08-07,57.7,58.7,57.2,58.65,3154978
2017-08-08,58.7,58.8,56.75,56.85,3150131
2017-08-09,56.4,57.8,56.2,56.25,3931722
2017-08-10,56.5,56.65,53.55,54.8,7855098
2017-08-11,53.3,55.15,52.8,53.4,8727546
2017-08-14,54.1,55.25,53.9,54.6,6302552
2017-08-16,54.7,57.1,54.6,56.7,8156542
2017-08-17,56.7,57.6,56.1,56.55,9053671
2017-08-18,56.1,56.4,55.35,55.9,2827570
2017-08-21,55.85,56.1,54.05,54.15,3565460
2017-08-22,54.4,54.65,53.5,53.85,2268755
2017-08-23,54.1,55.1,53.95,55.0,1682484
2017-08-24,55.0,55.0,54.3,54.45,3345183
2017-08-28,54.85,55.65,54.7,55.05,5623029
2017-08-29,54.8,54.85,54.0,54.2,3155919
2017-08-30,54.4,54.95,54.35,54.65,1780914
2017-08-31,54.75,55.5,54.05,54.95,25438453
2017-09-01,55.0,58.35,54.9,57.9,12335818
2017-09-04,58.1,59.05,56.8,58.3,8874694
2017-09-05,58.85,59.5,58.25,59.2,8256727
2017-09-06,58.75,60.6,58.55,60.5,9614657
2017-09-07,60.6,61.05,59.5,60.1,8450713
2017-09-08,60.3,60.55,58.55,59.0,5184094
2017-09-11,59.2,59.6,58.7,58.85,4294898
2017-09-12,59.1,59.25,57.95,58.65,5935206
2017-09-13,58.65,61.7,58.5,58.7,21480565
2017-09-14,58.8,61.6,58.8,61.5,15988877
2017-09-15,60.85,62.45,60.35,61.65,13307557
2017-09-18,62.35,63.25,62.0,62.3,12472836
2017-09-19,62.6,63.6,61.65,62.25,17974032
2017-09-20,62.5,63.1,61.95,62.5,6737661
2017-09-21,62.35,62.7,60.3,61.4,7692046
2017-09-22,61.35,61.35,59.4,59.95,6899488
2017-09-25,60.1,60.1,57.55,59.95,9254181
2017-09-26,59.9,60.6,59.05,60.3,5724692
2017-09-27,60.75,60.85,57.8,58.85,17252564
2017-09-28,58.35,60.5,58.1,59.15,23673505
2017-09-29,59.9,60.1,58.8,58.85,9848850
2017-10-03,59.5,60.0,58.45,59.05,4298960
2017-10-04,58.95,59.5,58.5,59.35,8179325
2017-10-05,59.4,59.65,58.6,59.3,10800360
2017-10-06,59.35,60.3,59.0,60.0,10452367
2017-10-09,59.75,64.85,59.45,64.75,37644074
2017-10-10,64.9,65.3,63.5,64.25,15777194
2017-10-11,64.4,66.05,63.3,63.65,19554358
2017-10-12,64.1,67.5,63.55,66.9,22532598
2017-10-13,66.95,68.0,65.9,66.15,15443662
2017-10-16,66.6,67.1,65.1,65.35,20162517
2017-10-17,65.5,65.55,64.65,64.8,11990676
2017-10-18,64.8,64.8,62.65,63.3,23098607068
2017-10-23,63.65,64.2,62.35,63.75,3568256394
2017-10-24,63.9,64.5,63.3,63.6,4377887
2017-10-25,64.6,64.95,62.95,63.3,7540951
2017-10-26,63.05,66.75,62.45,65.35,53471416
2017-10-27,65.8,67.0,62.9,63.45,12640813
2017-10-30,64.15,64.2,60.3,61.6,13714584
2017-10-31,60.05,64.1,60.05,62.9,18544341
2017-11-01,63.2,65.45,62.1,64.4,14085235
2017-11-02,65.1,65.65,63.15,63.8,11744929
2017-11-03,63.8,64.7,62.9,62.9,4807789
2017-11-06,62.8,63.5,62.1,62.2,3674300
2017-11-07,62.4,62.75,60.35,60.7,4930456
2017-11-08,60.6,61.5,59.05,59.45,5811291
2017-11-09,60.0,60.85,59.3,60.6,8626850
2017-11-10,60.0,63.15,59.75,62.9,5545257
2017-11-13,62.9,63.7,61.75,62.9,8853064
2017-11-14,63.4,63.4,61.05,61.45,8109701
2017-11-15,61.05,61.75,59.55,60.3,5004244
2017-11-16,61.0,60.9,59.95,60.6,3391608
2017-11-17,61.45,61.95,60.7,60.75,3580087
2017-11-20,61.1,62.15,60.65,61.4,7762756
2017-11-21,61.75,61.75,60.8,60.85,4866202
2017-11-22,61.3,61.3,60.1,60.5,5561460
