date,open,high,low,close,volume
2017-07-03,135.0,135.0,130.1,130.2,168844
2017-07-04,130.35,132.55,126.5,126.7,311052
2017-07-05,127.8,129.25,126.25,127.95,195767
2017-07-06,127.4,129.55,127.0,127.1,288162
2017-07-07,127.55,128.8,126.25,127.25,238403
2017-07-10,127.25,128.15,126.75,127.7,17179909287
2017-07-11,128.0,128.85,125.0,126.0,131160
2017-07-12,126.1,126.85,124.5,124.95,198247
2017-07-13,125.1,126.65,124.6,125.5,194580
2017-07-14,126.35,126.35,123.8,124.55,127079
2017-07-17,124.65,125.85,121.25,123.4,639504
2017-07-18,123.6,125.5,122.55,122.95,119631
2017-07-19,123.35,124.9,122.05,123.55,192036
2017-07-20,124.7,127.9,123.4,127.4,262550
2017-07-21,127.5,128.5,125.5,126.0,151755
2017-07-24,126.05,127.75,125.2,126.6,201768
2017-07-25,126.65,128.3,125.05,125.4,172308
2017-07-26,126.75,127.45,123.7,123.75,154281
2017-07-27,124.3,126.5,124.1,125.75,212896
2017-07-28,125.75,125.95,121.8,122.6,106393
2017-07-31,123.0,125.45,123.0,124.5,243912
2017-08-01,123.7,128.3,123.7,127.4,257264
2017-08-02,127.7,130.6,125.4,130.2,309522
2017-08-03,129.9,130.0,126.1,126.5,145028
2017-08-04,127.0,129.5,125.25,129.45,112756
2017-08-07,129.5,129.5,125.3,129.45,221894
2017-08-08,127.5,131.35,126.6,129.2,273688
2017-08-09,129.8,129.8,125.3,126.6,327793
2017-08-10,126.9,128.0,120.05,127.0,304516
2017-08-11,123.5,124.7,121.05,121.6,269927
2017-08-14,122.45,125.9,122.1,125.05,130155
2017-08-16,125.05,127.25,124.25,126.1,208873
2017-08-17,128.0,129.0,126.15,126.3,655009
2017-08-18,126.3,127.7,123.65,123.9,154413
2017-08-21,123.5,125.8,119.0,119.0,310390
2017-08-22,121.0,121.7,108.5,111.0,1013810
2017-08-23,112.65,112.7,110.4,112.2,1273109
2017-08-24,111.9,114.3,110.1,110.5,1045321
2017-08-28,111.4,114.2,110.45,114.0,337983
2017-08-29,113.1,115.0,112.3,114.8,157392
2017-08-30,115.9,116.0,114.5,114.5,413234
2017-08-31,116.0,120.0,115.5,119.0,636679
2017-09-01,119.05,120.0,117.9,118.1,1926654
2017-09-04,118.0,118.75,117.5,118.15,139692
2017-09-05,117.9,121.45,117.5,120.6,121189
2017-09-06,120.0,120.7,119.0,119.5,61244
2017-09-07,119.05,119.05,116.5,116.9,238574
2017-09-08,117.95,117.95,114.1,114.8,217281
2017-09-11,115.5,121.3,115.4,119.95,521287
2017-09-12,121.85,122.5,119.0,119.9,520468
2017-09-13,119.9,121.4,118.0,118.25,202503
2017-09-14,117.5,127.0,117.5,118.9,1874372
2017-09-15,119.1,119.55,114.65,116.0,240445
2017-09-18,116.9,118.3,114.25,115.5,228554
2017-09-19,116.0,117.5,114.0,114.45,1208093
2017-09-20,115.8,119.7,114.65,114.9,882382
2017-09-21,116.0,117.85,113.5,113.65,3054044
2017-09-22,115.0,115.0,111.4,111.65,271101
2017-09-25,111.0,115.7,111.0,114.35,562745
2017-09-26,114.1,119.9,111.55,119.6,1012294
2017-09-27,120.5,120.7,116.6,118.4,600923
2017-09-28,119.0,121.35,117.25,117.95,243403
2017-09-29,118.35,119.4,115.0,118.0,753035
2017-10-03,118.0,123.0,115.75,121.25,1477537
2017-10-04,113.35,114.0,108.75,110.8,1258390
2017-10-05,110.05,111.0,108.5,109.0,311804
2017-10-06,109.75,109.75,107.8,108.2,456423
2017-10-09,108.5,108.9,107.45,107.8,345357
2017-10-10,108.1,108.5,104.75,105.1,1319513
2017-10-11,105.4,105.85,104.65,105.4,1044320
2017-10-12,106.1,106.1,103.4,105.2,648447
2017-10-13,105.2,105.95,104.45,105.55,822585
2017-10-16,106.25,108.5,106.05,108.0,1623765
2017-10-17,108.0,112.0,108.0,109.75,2130543
2017-10-18,109.75,114.1,109.4,113.45,11096171646
2017-10-23,114.8,118.35,112.25,112.8,5945488862
2017-10-24,113.0,114.8,110.75,111.9,480788
2017-10-25,112.7,114.85,110.05,114.65,506866
2017-10-26,113.85,115.5,112.9,113.1,627632
2017-10-27,114.0,114.75,112.0,112.25,450320
2017-10-30,114.5,115.0,113.0,114.2,671827
2017-10-31,114.6,115.5,112.65,113.45,300964
2017-11-01,113.4,115.4,113.4,114.7,604387
2017-11-02,113.7,115.15,113.7,114.25,360501
2017-11-03,114.85,115.6,114.1,114.75,822945
2017-11-06,114.8,115.3,113.95,114.7,834806
2017-11-07,114.9,116.25,111.25,112.55,1748217
2017-11-08,113.0,114.75,109.15,111.2,598398
2017-11-09,112.8,113.4,110.6,111.75,414692
2017-11-10,111.3,113.0,111.15,113.0,1471403
2017-11-13,112.2,113.75,111.6,113.15,802940
2017-11-14,111.5,112.95,110.5,112.0,519008
2017-11-15,110.5,112.5,110.75,112.4,1707732
2017-11-16,111.55,112.25,110.0,111.0,1304184
2017-11-17,111.5,113.25,111.3,112.3,1941209
2017-11-20,111.85,112.15,110.3,110.75,229891
2017-11-21,110.75,111.7,109.55,110.95,336223
2017-11-22,111.0,111.2,110.5,110.75,152009
2017-11-23,111.95,119.9,110.95,118.0,2173289
2017-11-24,120.0,123.25,117.7,120.2,1618591
2017-11-27,118.85,124.65,119.0,122.0,837833
2017-11-28,122.9,123.9,119.25,119.7,1244207
2017-11-29,120.05,124.15,117.5,123.6,648506
2017-11-30,123.0,124.95,119.65,123.35,923163
2017-12-01,124.95,124.9,119.1,119.75,554373
2017-12-04,120.0,122.05,117.75,121.5,593652
2017-12-05,120.5,124.5,118.35,123.15,639872
2017-12-06,123.9,124.95,119.8,120.95,1139299
2017-12-07,121.0,124.5,120.0,124.0,774914
2017-12-08,122.2,124.0,120.4,120.65,434424
2017-12-11,121.8,122.65,119.2,119.9,388153
2017-12-12,120.0,123.4,120.0,120.5,2114281
2017-12-13,121.25,122.9,118.5,120.9,507884
2017-12-14,121.35,121.35,118.4,120.45,560593
2017-12-15,121.1,121.45,119.1,119.3,677519
2017-12-18,119.5,121.75,117.5,120.05,301515
2017-12-19,120.85,121.5,117.3,118.2,1348587
2017-12-20,118.1,118.95,117.2,117.35,460472
2017-12-21,118.6,120.5,117.1,119.3,1426400
2017-12-22,120.45,121.7,119.05,119.2,349905
2017-12-26,120.0,121.0,119.15,119.7,213426
2017-12-27,119.85,120.95,117.65,118.65,608867
2017-12-28,119.75,119.75,116.35,117.35,529026
2017-12-29,118.0,118.75,117.4,117.6,2207338
2018-01-01,117.1,119.0,117.4,118.9,442285
2018-01-02,119.0,119.1,116.95,118.95,1916641
2018-01-03,119.0,124.0,118.15,121.5,1700263
2018-01-04,121.6,130.0,121.6,126.65,5017811
2018-01-05,127.8,135.3,127.8,135.0,3409871
2018-01-08,135.0,142.45,133.6,140.75,4801261
2018-01-09,142.0,145.7,140.0,142.05,3742454
2018-01-10,143.0,145.7,141.45,142.85,2260040
2018-01-11,143.15,144.8,141.7,142.8,1138422
2018-01-12,143.7,144.4,139.6,141.2,1045451
2018-01-15,143.6,143.6,140.2,141.6,757113
2018-01-16,142.0,147.95,138.65,145.0,2901367
2018-01-17,144.0,150.0,144.0,149.25,2006541
2018-01-18,149.6,152.8,138.45,141.3,1877752
2018-01-19,142.4,144.0,138.15,143.0,790845
2018-01-22,142.2,152.4,141.35,150.5,4214734
2018-01-23,151.0,160.85,151.5,155.3,5110646
2018-01-24,156.9,160.2,149.9,149.9,1621186
2018-01-25,152.1,155.4,148.0,149.35,1574876
2018-01-29,150.25,150.9,140.6,141.95,1289879
2018-01-30,141.4,147.35,142.0,143.0,1436807
2018-01-31,142.1,145.5,137.15,138.25,908244
2018-02-01,139.6,144.55,136.2,138.4,1002539
2018-02-02,137.65,137.65,126.5,128.5,1065943
2018-02-05,126.65,137.0,125.1,135.85,961208
2018-02-06,130.0,136.95,127.25,135.8,676514
2018-02-07,136.5,139.0,130.45,132.35,942203
2018-02-08,133.2,141.1,133.2,135.4,1710517
2018-02-09,131.25,138.9,131.65,136.55,973638
2018-02-12,137.3,140.0,137.0,138.5,1648729
2018-02-14,140.1,142.7,135.05,135.7,1464573
2018-02-15,136.6,138.45,132.75,135.0,1234405
2018-02-16,136.95,137.65,132.2,133.1,844444
2018-02-19,135.0,139.75,134.05,138.45,1346368
2018-02-20,136.25,140.25,134.25,134.55,1408858
2018-02-21,136.6,136.85,132.0,132.55,894730
2018-02-22,132.65,135.9,132.0,132.0,1115218
2018-02-23,133.0,134.35,130.85,131.25,1218764
2018-02-26,132.3,135.5,131.55,133.15,1817013
2018-02-27,133.0,139.9,132.15,137.0,2316690
2018-02-28,136.9,139.6,134.75,138.35,2015248
2018-03-01,136.8,138.6,135.75,136.4,3114082
2018-03-05,136.2,137.0,133.6,134.8,1217589
2018-03-06,135.4,137.2,133.4,134.0,1008500
2018-03-07,135.95,136.35,131.35,131.8,1523021
2018-03-08,132.8,133.85,128.5,129.6,2182417
2018-03-09,130.6,132.4,127.75,129.0,1404460
2018-03-12,129.4,129.85,127.65,128.95,929903
2018-03-13,128.8,134.2,128.75,130.0,1396916
2018-03-14,130.0,132.5,129.35,130.95,619622
2018-03-15,131.1,136.75,132.55,132.9,2157936
2018-03-16,133.4,134.2,129.5,130.25,797763
2018-03-19,130.9,132.0,127.7,127.7,605836
2018-03-20,127.65,130.6,126.7,129.0,1792160
2018-03-21,130.0,131.75,128.25,128.65,1202279
2018-03-22,129.0,131.4,127.2,128.45,1114593
2018-03-23,126.3,130.9,125.5,127.4,1208984
2018-03-26,127.7,127.95,125.05,125.25,899942
