date,open,high,low,close,volume
2017-07-03,198.45,205.45,196.55,204.35,3882583
2017-07-04,204.6,206.7,201.8,202.7,2567700
2017-07-05,202.5,206.5,201.6,205.2,2291360
2017-07-06,206.05,209.1,205.55,206.1,2523392
2017-07-07,204.9,208.5,202.75,203.75,3224248
2017-07-10,203.75,208.0,203.5,206.0,12885406864
2017-07-11,205.8,210.9,204.8,206.6,3715032
2017-07-12,207.45,211.9,205.6,211.8,2945478
2017-07-13,213.6,216.15,210.05,210.9,6579855
2017-07-14,211.45,211.7,208.1,208.75,2439957
2017-07-17,209.35,212.9,205.6,209.55,4136835
2017-07-18,211.5,212.95,207.65,208.85,3019730
2017-07-19,209.8,210.5,206.8,209.0,2036738
2017-07-20,209.0,215.3,208.1,209.05,4912982
2017-07-21,210.25,210.7,201.4,208.65,4279074
2017-07-24,208.85,213.1,207.35,208.6,3502883
2017-07-25,210.25,211.8,205.6,210.4,3143680
2017-07-26,210.75,213.75,210.6,212.05,3584572
2017-07-27,213.6,218.3,210.4,215.25,7374561
2017-07-28,214.15,218.0,199.1,201.45,13471316
2017-07-31,202.1,205.5,197.1,204.95,4959313
2017-08-01,205.5,207.6,202.55,203.45,4489014
2017-08-02,203.5,204.6,199.3,200.0,3389346
2017-08-03,200.35,201.75,190.6,192.85,6837773
2017-08-04,191.95,199.65,190.7,199.5,4475434
2017-08-07,199.65,203.4,197.0,199.0,4334445
2017-08-08,199.3,200.9,192.25,192.8,2848208
2017-08-09,192.6,192.6,185.0,185.6,4890894
2017-08-10,185.4,185.4,169.0,176.1,6951776
2017-08-11,171.0,183.55,168.35,176.9,7647950
2017-08-14,180.25,185.35,180.05,184.0,3512202
2017-08-16,184.55,186.7,179.6,185.5,3266453
2017-08-17,185.65,191.8,183.85,184.6,4701900
2017-08-18,181.95,184.6,179.7,182.5,4326197
2017-08-21,184.75,185.7,176.05,176.85,3117631
2017-08-22,179.25,179.55,173.6,174.45,3208558
2017-08-23,177.25,179.45,175.2,178.2,3573533
2017-08-24,178.65,180.8,176.55,177.1,3348630
2017-08-28,179.0,181.4,177.75,180.1,2941944
2017-08-29,179.0,179.15,170.05,170.2,5138146
2017-08-30,173.2,175.15,171.85,174.05,4237298
2017-08-31,174.5,179.75,173.0,178.6,5687451
2017-09-01,178.5,183.45,178.05,180.85,4918990
2017-09-04,180.6,180.6,174.3,176.9,3402329
2017-09-05,178.3,186.9,176.3,186.5,7320073
2017-09-06,185.0,188.75,183.75,185.35,5325305
2017-09-07,186.7,188.35,182.3,183.8,3064562
2017-09-08,184.55,186.9,182.5,182.55,2839857
2017-09-11,184.8,186.45,183.65,184.7,1640431
2017-09-12,185.2,193.3,185.15,192.2,5601759
2017-09-13,192.75,194.4,188.8,190.0,4093058
2017-09-14,190.25,198.0,190.25,196.0,7081548
2017-09-15,195.0,196.5,189.05,190.2,5129707
2017-09-18,191.75,192.8,189.15,189.7,4270954
2017-09-19,191.7,192.95,187.5,190.7,3806482
2017-09-20,190.4,190.9,185.0,185.3,3280504
2017-09-21,184.6,185.7,180.65,182.35,3402521
2017-09-22,181.0,181.0,175.35,176.2,4016814
2017-09-25,175.1,175.3,164.55,168.0,5512665
2017-09-26,168.35,174.45,167.25,171.9,3959847
2017-09-27,173.15,173.95,164.5,165.55,3532912
2017-09-28,167.0,171.4,164.7,170.0,5241436
2017-09-29,171.75,175.0,170.6,172.6,3240562
