date,open,high,low,close,volume
2017-07-17,11.17,11.57,10.48,11.47,0
2017-07-18,11.46,11.79,10.87,11.63,0
2017-07-19,11.49,11.58,10.98,11.29,0
2017-07-20,11.26,11.53,11.23,11.37,0
2017-07-21,11.32,11.44,10.65,11.1,0
2017-07-24,11.09,11.8,10.86,11.37,0
2017-07-25,11.31,11.46,10.76,11.13,0
2017-07-26,10.91,11.78,10.91,11.06,0
2017-07-27,11.17,11.84,10.9,11.25,0
2017-07-28,11.22,11.94,11.01,11.15,0
2017-07-31,11.14,12.03,11.14,11.95,0
2017-08-01,11.9,12.39,11.83,11.88,0
2017-08-02,11.91,12.15,11.67,12.15,0
2017-08-03,11.94,12.22,11.54,11.73,0
2017-08-04,11.64,11.73,11.15,11.34,0
2017-08-07,11.39,11.99,11.39,11.83,0
2017-08-08,11.9,12.88,11.6,12.71,0
2017-08-09,12.77,13.64,12.36,13.64,0
2017-08-10,13.45,14.1,13.07,13.83,0
2017-08-11,13.8,15.51,13.72,15.48,0
2017-08-14,15.2,15.2,13.68,14.48,0
2017-08-16,14.38,14.68,13.84,14.28,0
2017-08-17,14.24,14.62,13.76,14.32,0
2017-08-18,14.34,14.88,13.02,14.28,0
2017-08-21,14.57,14.97,13.15,14.78,0
2017-08-22,14.82,14.82,11.16,14.0,0
2017-08-23,14.11,14.11,12.26,13.24,0
2017-08-24,13.18,13.2,11.94,12.44,0
2017-08-28,12.57,13.68,11.37,12.67,0
2017-08-29,12.64,13.85,12.28,13.71,0
2017-08-30,13.54,14.13,11.75,12.69,0
2017-08-31,12.89,13.7,11.79,11.84,0
2017-09-01,11.95,12.16,10.53,11.76,0
2017-09-04,11.68,13.96,11.49,13.34,0
2017-09-05,13.17,13.44,12.48,12.93,0
2017-09-06,12.89,13.5,12.04,13.14,0
2017-09-07,13.12,13.13,11.18,12.93,0
2017-09-08,13.01,13.1,11.77,13.04,0
2017-09-11,12.96,12.96,11.55,12.37,0
2017-09-12,12.36,12.36,11.52,11.74,0
2017-09-13,11.76,11.87,10.68,11.67,0
2017-09-14,11.76,11.88,10.36,11.4,0
2017-09-15,11.47,12.02,10.02,11.64,0
2017-09-18,11.68,11.68,10.84,11.38,0
2017-09-19,11.44,11.64,10.4,11.44,0
2017-09-20,11.47,11.88,10.12,11.65,0
2017-09-21,11.63,12.18,9.26,11.48,0
2017-09-22,11.63,12.99,11.01,12.95,0
2017-09-25,12.81,13.84,11.51,13.33,0
2017-09-26,13.34,13.63,12.63,13.14,0
2017-09-27,12.93,14.17,11.77,13.72,0
2017-09-28,13.86,13.97,12.82,13.1,0
2017-09-29,13.17,13.17,11.91,12.54,0
2017-10-03,12.49,12.87,11.44,12.37,0
2017-10-04,12.46,12.58,11.58,11.66,0
2017-10-05,11.8,11.9,10.86,11.65,0
2017-10-06,11.71,11.71,10.75,11.07,0
2017-10-09,11.12,11.57,10.41,11.42,0
2017-10-10,11.39,11.45,10.75,11.09,0
2017-10-11,11.11,12.18,10.19,11.82,0
2017-10-12,11.73,11.73,10.46,11.16,0
2017-10-13,11.04,11.35,10.09,11.29,0
2017-10-16,11.26,11.58,10.03,11.4,0
2017-10-17,11.31,11.73,10.11,11.58,0
2017-10-18,11.61,11.75,10.13,11.54,0
2017-10-23,12.4,12.94,10.88,12.33,0
2017-10-24,12.33,12.47,11.36,11.61,0
2017-10-25,11.59,12.49,11.19,11.78,0
2017-10-26,11.76,12.65,11.29,11.6,0
2017-10-27,11.62,12.15,11.19,11.47,0
2017-10-30,11.48,12.26,11.48,12.1,0
2017-10-31,12.11,12.53,11.53,12.37,0
2017-11-01,12.44,12.44,11.79,12.27,0
2017-11-02,0.0,12.37,11.41,11.99,0
2017-11-03,12.01,12.3,11.07,11.92,0
2017-11-06,11.91,13.26,11.37,13.23,0
2017-11-07,13.02,13.68,11.68,13.37,0
2017-11-08,13.24,13.85,11.24,13.49,0
2017-11-09,13.61,13.72,11.08,12.62,0
2017-11-10,13.27,13.82,11.17,13.47,0
2017-11-13,13.48,14.38,11.17,13.89,0
2017-11-14,14.05,14.74,12.46,14.06,0
2017-11-15,14.17,14.58,11.58,13.61,0
2017-11-16,14.27,14.27,11.07,13.36,0
2017-11-17,13.46,13.86,11.63,13.79,0
2017-11-20,13.71,15.61,11.12,13.44,0
2017-11-21,13.43,13.93,11.01,13.89,0
2017-11-22,13.72,14.34,12.19,14.03,0
2017-11-23,14.04,14.46,12.82,13.88,0
