date,open,high,low,close,volume
2017-07-03,374.5,399.8,374.5,398.0,4179731
2017-07-04,399.85,405.9,397.55,402.0,2405697
2017-07-05,399.45,405.45,399.45,403.5,1036755
2017-07-06,404.9,416.2,398.6,415.0,2217147
2017-07-07,412.95,412.95,402.15,407.05,2670304
2017-07-10,407.1,411.85,404.0,408.0,12886100428
2017-07-11,409.2,414.55,405.25,409.75,2573770
2017-07-12,410.05,422.0,405.6,420.95,4387698
2017-07-13,421.0,421.35,407.35,411.5,3102778
2017-07-14,413.1,418.45,408.7,418.0,1574629
2017-07-17,417.8,420.3,415.7,418.05,1077335
2017-07-18,414.15,424.75,414.15,419.95,2192319
2017-07-19,417.9,422.9,412.0,412.95,1492543
2017-07-20,412.0,414.8,404.55,406.5,1822861
2017-07-21,406.9,411.75,401.25,410.2,1371099
2017-07-24,411.0,415.4,403.7,406.4,2056258
2017-07-25,417.0,424.9,413.45,415.2,2961419
2017-07-26,412.65,414.85,407.8,412.0,1482567
2017-07-27,416.1,416.1,409.5,411.05,2795364
2017-07-28,413.9,413.9,398.7,399.65,2248597
2017-07-31,399.6,406.0,395.25,400.05,3106112
2017-08-01,401.6,407.05,398.75,401.0,1630084
2017-08-02,402.0,407.0,395.3,396.45,2251347
2017-08-03,398.25,407.5,396.2,399.9,3423388
2017-08-04,400.0,408.9,399.7,405.6,2076020
2017-08-07,406.5,408.35,395.6,399.0,2449983
2017-08-08,389.0,389.8,380.0,382.3,12644971
2017-08-09,381.45,385.4,380.6,381.7,2745933
2017-08-10,380.3,387.9,379.5,383.0,3048636
2017-08-11,376.1,383.7,376.1,382.5,2642254
2017-08-14,384.6,384.6,378.5,380.75,2676719
2017-08-16,380.55,383.75,377.95,382.6,1985217
2017-08-17,388.05,388.05,378.6,379.4,1588916
2017-08-18,381.85,396.65,381.85,395.0,4424318
2017-08-21,395.7,396.55,382.75,386.4,1952046
2017-08-22,386.9,396.0,385.65,387.05,2607934
2017-08-23,389.85,389.85,380.75,382.85,1201301
2017-08-24,384.0,387.8,380.4,386.5,1861804
2017-08-28,387.45,388.8,382.75,387.7,1401538
2017-08-29,387.6,387.6,377.0,380.45,1102095
2017-08-30,383.95,385.85,379.6,385.25,837381
2017-08-31,386.0,387.55,367.4,376.25,7483059
2017-09-01,376.25,381.85,375.35,380.6,1239440
2017-09-04,379.7,380.6,375.45,376.55,751491
2017-09-05,378.35,378.95,368.2,372.1,1816964
2017-09-06,372.15,373.5,367.5,370.95,1402765
2017-09-07,371.45,371.9,368.4,370.0,1121888
2017-09-08,374.15,374.15,368.7,370.7,2517026
2017-09-11,371.2,372.15,366.65,370.0,729464
2017-09-12,369.5,370.6,363.95,370.05,2835618
2017-09-13,371.6,374.3,366.4,370.65,4209847
2017-09-14,370.9,373.95,368.5,370.1,1570341
2017-09-15,374.6,382.9,369.8,375.05,11450872
2017-09-18,374.5,391.65,374.5,391.0,2736736
2017-09-19,390.8,399.9,388.4,398.05,1950677
2017-09-20,397.1,400.85,393.3,395.35,1462992
2017-09-21,395.9,399.5,386.6,387.4,2115530
2017-09-22,386.0,394.55,385.3,390.2,1614606
2017-09-25,389.55,397.35,387.3,389.55,2574459
2017-09-26,392.7,393.95,373.85,376.0,1819707
2017-09-27,379.05,386.4,376.4,383.55,2078481
2017-09-28,380.1,395.5,375.0,391.6,2455492
2017-09-29,393.45,411.7,393.1,397.65,5137829
2017-10-03,403.1,410.0,400.25,406.95,4024362
2017-10-04,408.5,419.65,408.2,415.05,3452118
2017-10-05,412.0,412.85,402.9,404.55,1913446
2017-10-06,407.8,409.0,399.05,400.35,2015349
2017-10-09,401.9,405.95,397.55,398.0,1384947
2017-10-10,398.5,404.55,398.5,400.5,2027377
2017-10-11,404.8,414.0,403.05,410.75,5099661
2017-10-12,412.5,438.0,408.05,432.0,10396118
2017-10-13,434.85,454.05,434.85,450.0,16929286
2017-10-16,453.25,474.1,450.75,467.5,9435777
2017-10-17,468.0,482.8,467.0,479.45,9074233
2017-10-18,479.45,480.5,460.2,461.75,3847336
2017-10-23,460.0,460.65,445.25,449.0,8593403364
2017-10-24,448.85,459.7,437.85,454.2,3491383
2017-10-25,458.35,464.35,450.8,451.1,2719356
2017-10-26,451.5,464.15,436.45,458.9,2342611
2017-10-27,453.0,453.55,415.1,419.1,4523910
2017-10-30,424.0,435.0,422.3,427.7,4400075
2017-10-31,428.45,448.35,419.2,441.95,5947855
2017-11-01,446.0,447.3,422.4,425.2,3568568
2017-11-02,428.0,428.55,415.6,417.7,2626576
2017-11-03,419.0,421.2,413.0,413.5,1621496
2017-11-06,417.15,429.0,413.0,423.95,3601984
2017-11-07,427.05,432.85,421.0,429.15,3099778
2017-11-08,432.0,439.5,430.15,435.5,4398627
2017-11-09,438.45,443.0,425.0,428.0,4966844
2017-11-10,423.85,432.6,423.0,426.8,3343499
2017-11-13,429.4,429.4,405.25,413.0,3420140
2017-11-14,406.0,406.1,391.75,394.05,131248988
2017-11-15,396.0,399.4,375.15,380.4,3275191
2017-11-16,381.1,392.45,380.35,386.05,5466136
2017-11-17,387.45,388.8,377.15,380.55,3321842
2017-11-20,385.4,392.8,381.7,383.55,6424675
2017-11-21,386.4,386.95,381.0,382.65,3625226
2017-11-22,385.8,385.8,373.6,378.0,5752133
2017-11-23,381.15,386.05,373.15,375.35,4552965
2017-11-24,378.0,382.0,376.75,381.0,2466532
2017-11-27,381.25,387.7,378.8,386.0,2412632
2017-11-28,383.15,387.35,376.05,376.8,4106396
2017-11-29,376.8,384.9,376.65,383.65,6005271
2017-11-30,385.0,387.9,380.6,384.5,12951431
2017-12-01,387.0,388.15,382.85,385.0,3516083
2017-12-04,386.0,388.2,375.15,375.9,1421523
2017-12-05,374.15,380.45,371.4,378.0,2134170
2017-12-06,378.25,377.05,366.5,367.15,2171950
2017-12-07,367.6,384.9,367.35,382.4,1763270
2017-12-08,380.05,381.55,372.55,373.65,3142818
2017-12-11,377.0,377.9,367.2,368.1,3024675
2017-12-12,369.0,369.0,354.3,355.95,3317921
2017-12-13,357.5,362.9,355.85,357.6,2360576
2017-12-14,358.2,362.85,355.15,358.4,2051260
2017-12-15,358.05,361.45,353.3,354.25,2413467
2017-12-18,353.75,361.85,347.35,358.3,2959167
2017-12-19,357.5,363.85,357.5,361.8,1734124
2017-12-20,362.5,366.7,362.55,363.05,2109734
2017-12-21,364.95,365.85,360.3,361.0,1504593
2017-12-22,361.25,365.35,358.75,364.0,2854230
2017-12-26,363.0,370.45,362.95,368.5,1648103
2017-12-27,369.5,371.0,365.3,366.0,1196953
2017-12-28,367.5,371.8,365.45,367.0,4293478
2017-12-29,369.7,380.25,367.1,380.0,4214807
2018-01-01,379.9,379.0,368.55,369.95,1784070
2018-01-02,371.0,380.0,370.25,378.65,4091794
2018-01-03,379.7,383.45,376.45,379.0,2007118
2018-01-04,381.8,381.05,377.25,378.25,4241242
2018-01-05,381.45,381.05,371.5,372.4,1572544
2018-01-08,372.6,376.45,372.1,373.55,1751331
2018-01-09,370.15,376.85,367.35,368.45,1651409
2018-01-10,368.5,373.0,364.6,370.75,4200039
2018-01-11,371.0,371.5,363.95,370.35,2371432
2018-01-12,364.05,376.95,365.15,374.9,2797545
2018-01-15,374.5,378.5,369.05,370.7,1035384
2018-01-16,373.45,375.3,366.3,368.05,1794141
2018-01-17,365.0,373.15,360.85,368.35,2994762
2018-01-18,365.0,365.0,342.25,344.15,4252643
2018-01-19,346.0,348.55,339.45,346.9,7650536
2018-01-22,344.5,348.8,339.9,342.6,6683803
2018-01-23,344.4,345.3,337.85,338.8,5665933
2018-01-24,339.0,345.75,338.45,342.65,4930563
2018-01-25,342.1,348.75,340.55,343.75,4682040
2018-01-29,343.0,355.6,340.55,352.4,4243206
2018-01-30,352.2,354.5,342.1,345.0,3720285
2018-01-31,345.0,353.95,343.9,352.0,3994218
2018-02-01,352.0,354.0,343.55,346.2,3044095
2018-02-02,342.0,349.5,341.8,346.0,4465018
2018-02-05,336.0,354.1,330.05,349.9,2689674
2018-02-06,339.4,349.2,328.25,347.0,1655115
2018-02-07,348.05,353.7,336.15,340.25,3375234
2018-02-08,341.0,351.95,340.0,350.3,1434992
2018-02-09,342.9,349.15,339.05,342.45,3049620
2018-02-12,345.4,346.05,336.3,337.15,3251476
2018-02-14,339.55,339.45,325.25,327.85,7358326
2018-02-15,329.1,336.9,328.45,331.7,3521525
2018-02-16,334.4,334.25,322.55,328.5,2394503
2018-02-19,330.85,333.35,325.1,331.85,2491180
2018-02-20,332.0,335.75,325.0,334.45,2337353
2018-02-21,334.9,339.45,332.6,338.25,2182834
2018-02-22,335.0,338.0,330.0,332.6,8370424
2018-02-23,332.1,344.4,330.35,340.4,3106457
2018-02-26,344.75,347.85,335.9,344.55,11024007
2018-02-27,346.9,349.3,340.0,340.9,6737533
2018-02-28,340.0,351.3,339.0,345.3,41046801
2018-03-01,348.0,352.2,342.45,345.0,3336940
2018-03-05,342.5,341.5,335.0,335.8,2289559
2018-03-06,339.8,340.3,328.9,331.95,10596322
2018-03-07,331.0,336.1,327.65,329.3,10038771
2018-03-08,331.0,344.45,324.5,328.6,7185446
2018-03-09,332.0,337.9,328.85,332.6,5486009
2018-03-12,335.5,343.5,332.7,337.0,6679127
2018-03-13,336.0,350.0,336.1,348.5,2470618
2018-03-14,345.9,346.7,337.85,338.1,2243317
2018-03-15,340.0,344.85,336.3,337.0,1350630
2018-03-16,339.0,343.4,332.7,336.05,3779460
2018-03-19,334.95,337.15,320.05,327.5,2259368
2018-03-20,324.6,343.95,323.45,341.5,5523673
2018-03-21,343.55,345.0,336.3,337.0,2773213
2018-03-22,337.4,344.45,330.9,335.0,2259728
2018-03-23,329.05,344.9,329.0,342.5,2988823
2018-03-26,340.0,346.3,339.15,344.0,1352124
2018-03-27,346.0,346.0,332.75,337.0,3189495
2018-03-28,337.75,342.0,331.05,335.8,7041564
2018-04-02,335.9,344.4,335.9,339.2,1641656
2018-04-03,337.0,342.3,334.5,339.0,1164456
2018-04-04,337.0,338.95,335.0,336.8,1384924
2018-04-05,337.55,340.5,330.25,338.6,3805669
2018-04-06,338.0,342.85,335.35,338.0,5574214
2018-04-09,338.0,340.2,336.25,338.2,5696197
2018-04-10,339.0,341.0,332.1,336.05,3469947
2018-04-11,336.05,339.9,335.55,337.5,3467331
2018-04-12,339.2,341.55,335.95,341.0,2134828
2018-04-13,341.0,348.45,336.9,339.85,2356095
2018-04-16,334.5,343.4,334.5,340.9,4173078
2018-04-17,342.2,343.0,330.4,334.0,2795911
2018-04-18,335.0,338.0,334.5,336.0,2879994
2018-04-19,337.0,338.6,334.4,335.35,2577894
2018-04-20,337.4,337.4,326.4,331.55,1306286
2018-04-23,332.0,332.6,324.5,326.95,2473511
2018-04-24,327.0,334.6,315.65,331.4,4971042
2018-04-25,338.0,338.95,322.3,323.5,4954094
2018-04-26,326.5,327.0,310.5,317.3,6205732
2018-04-27,316.15,324.65,313.35,322.6,4355670
2018-04-30,317.1,321.9,312.0,316.0,3436113
2018-05-02,314.95,318.4,312.35,313.85,5738652
2018-05-03,311.35,327.0,311.35,324.3,4392413
2018-05-04,321.7,325.0,318.65,323.0,2123517
2018-05-07,321.1,324.45,319.3,323.2,2620535
2018-05-08,323.0,324.5,319.6,321.0,7300599
2018-05-09,323.9,328.2,322.15,324.9,2735244
2018-05-10,324.9,328.3,317.2,319.3,2808438
2018-05-11,320.7,322.85,315.45,318.2,2804798
2018-05-14,319.25,323.3,313.0,313.3,1310298
2018-05-15,315.0,315.65,311.1,312.9,3692789
2018-05-16,312.2,323.8,308.2,314.25,2249526
2018-05-17,317.7,324.75,312.9,320.0,3254466
2018-05-18,318.5,322.25,315.1,317.0,1948764
2018-05-21,316.0,323.5,315.6,319.8,1522560
2018-05-22,319.5,320.7,313.05,316.05,2442085
2018-05-23,317.0,319.5,313.75,317.0,3690431
2018-05-24,318.8,319.55,313.65,317.0,4111009
2018-05-25,318.0,318.15,312.0,314.05,1100197
2018-05-28,315.85,317.95,309.2,311.9,1200659
2018-05-29,312.0,313.8,303.15,304.85,2630613
2018-05-30,307.0,307.0,298.95,301.0,2548982
2018-05-31,301.55,304.0,293.35,300.9,11362721
2018-06-01,300.2,303.9,298.75,300.8,1269031
2018-06-04,302.0,302.15,294.0,294.05,926088
2018-06-05,298.5,298.5,289.5,294.1,2361883
2018-06-06,295.0,297.2,292.75,294.15,1434251
2018-06-07,294.2,295.5,292.6,293.9,2470520
2018-06-08,293.9,299.45,293.1,298.5,1356758
2018-06-11,299.0,302.05,298.0,300.3,2122729
2018-06-12,302.0,302.0,298.6,300.05,942807
2018-06-13,300.0,302.2,296.6,300.0,5146513
2018-06-14,298.0,299.85,294.9,296.05,1053491
2018-06-15,296.5,297.7,291.6,293.5,3261820
2018-06-18,292.0,294.0,288.9,291.15,1376789
2018-06-19,290.1,292.5,285.9,288.05,1299787
2018-06-20,288.2,290.9,284.1,284.9,1887038
2018-06-21,286.9,286.9,274.55,278.95,5644445
2018-06-22,278.95,287.95,275.45,285.85,2315070
