date,open,high,low,close,volume
2017-07-03,123.0,127.3,121.3,126.75,386497
2017-07-04,127.45,134.2,126.2,131.4,999479
2017-07-05,132.05,132.95,128.1,128.1,361641
2017-07-06,129.0,130.7,127.55,127.75,165061
2017-07-07,127.3,128.8,121.0,122.5,661123
2017-07-10,122.5,124.95,122.25,124.3,12884959747
2017-07-11,123.25,124.95,122.0,123.45,220737
2017-07-12,123.45,130.75,123.25,129.7,817323
2017-07-13,131.85,135.0,130.15,132.0,850054
2017-07-14,133.0,133.7,126.5,132.0,663289
2017-07-17,120.0,121.35,117.6,118.4,715712
2017-07-18,117.95,117.95,116.0,116.35,243780
2017-07-19,116.35,119.0,116.2,117.3,373962
2017-07-20,117.0,118.2,116.0,116.55,170003
2017-07-21,117.25,117.9,114.6,115.5,217442
2017-07-24,116.4,116.65,113.05,113.55,323671
2017-07-25,115.0,119.05,115.0,117.4,558488
2017-07-26,118.0,118.25,113.3,113.85,625618
2017-07-27,114.8,115.75,112.3,112.55,340272
2017-07-28,112.0,112.15,110.65,111.2,236954
2017-07-31,112.05,113.55,108.7,109.8,324146
2017-08-01,110.2,112.75,109.05,110.7,263997
2017-08-02,110.55,113.8,110.2,112.5,849315
2017-08-03,113.0,113.0,109.7,109.7,182474
2017-08-04,110.95,110.95,107.15,107.65,278970
2017-08-07,107.65,108.45,103.8,105.8,259901
2017-08-08,105.4,108.4,104.5,105.55,325436
2017-08-09,105.7,107.4,104.0,104.75,468353
2017-08-10,104.0,106.2,99.2,101.15,296988
2017-08-11,99.3,101.9,96.5,100.4,359133
2017-08-14,100.0,103.3,100.0,103.1,170709
2017-08-16,102.25,104.55,101.4,103.5,231738
2017-08-17,105.5,114.2,104.0,112.5,979693
2017-08-18,111.2,113.0,107.85,112.0,318432
2017-08-21,110.9,111.05,107.95,108.15,295180
2017-08-22,108.7,110.5,107.5,108.9,227726
2017-08-23,108.9,114.0,107.5,110.3,378885
2017-08-24,111.0,111.0,108.1,108.75,178515
2017-08-28,107.0,109.0,105.7,107.0,236491
2017-08-29,106.0,106.75,104.0,104.55,215366
2017-08-30,106.0,107.05,105.2,105.8,152539
2017-08-31,105.75,109.4,105.35,107.3,328344
2017-09-01,106.5,115.65,106.5,112.9,1000806
2017-09-04,112.95,113.45,108.4,109.55,325872
2017-09-05,110.75,113.7,108.35,109.9,303427
2017-09-06,109.45,111.85,108.8,109.2,293106
2017-09-07,110.2,114.4,108.4,110.4,900949
2017-09-08,111.0,113.6,110.15,112.3,358864
2017-09-11,112.5,113.25,111.2,112.5,279959
2017-09-12,113.0,119.45,112.85,117.9,1258336
2017-09-13,118.1,126.4,116.8,121.4,1801215
2017-09-14,121.4,123.5,118.3,119.5,446466
2017-09-15,119.0,119.2,116.2,116.65,295622
2017-09-18,118.1,123.55,118.1,122.2,660493
2017-09-19,122.45,126.9,120.5,122.8,632006
2017-09-20,124.0,133.0,122.65,129.5,2053710
2017-09-21,130.7,133.65,126.6,131.25,1143525
2017-09-22,130.65,130.65,119.1,121.55,716160
2017-09-25,121.55,123.0,114.1,117.0,623618
2017-09-26,117.6,121.35,117.05,119.0,341951
2017-09-27,120.0,122.0,113.55,114.2,450061
2017-09-28,115.4,117.85,115.0,115.55,326186
2017-09-29,117.1,120.85,117.0,119.15,389270
2017-10-03,120.25,121.55,118.4,119.1,150207
2017-10-04,119.1,121.8,117.4,120.5,329647
2017-10-05,120.5,132.8,119.55,128.0,1599141
2017-10-06,128.1,132.9,125.15,130.4,1292891
2017-10-09,130.5,134.9,129.95,131.85,821017
2017-10-10,132.45,134.8,129.35,132.15,596711
2017-10-11,131.6,134.0,126.8,127.8,833041
2017-10-12,131.35,137.4,130.15,134.65,1776233
2017-10-13,135.75,138.45,132.1,133.25,834538
2017-10-16,134.1,135.0,129.0,132.0,607502
2017-10-17,132.85,133.65,129.6,129.85,318429
2017-10-18,129.85,132.95,129.35,131.25,19712833613
2017-10-23,129.5,131.05,127.7,128.35,16428152515
2017-10-24,128.4,131.8,128.0,129.15,297282
2017-10-25,130.65,131.7,128.3,129.05,368643
2017-10-26,131.5,137.0,129.95,133.1,864682
2017-10-27,135.0,135.8,129.1,132.35,369321
2017-10-30,133.0,137.25,131.85,134.9,662602
2017-10-31,134.6,142.45,132.6,140.55,1573668
2017-11-01,143.0,145.0,141.05,142.0,838001
2017-11-02,142.7,151.3,139.45,146.0,1920799
2017-11-03,147.0,149.35,144.5,146.45,701259
2017-11-06,145.55,152.5,144.35,145.5,772914
2017-11-07,146.75,149.55,142.4,143.7,751541
2017-11-08,144.05,149.75,142.7,145.25,699126
2017-11-09,144.8,154.0,143.35,145.75,2255806
2017-11-10,145.1,150.9,144.8,145.5,910597
2017-11-13,145.4,147.5,141.7,142.6,484972
2017-11-14,143.6,144.75,141.1,141.6,329682
2017-11-15,139.15,142.75,135.5,137.5,427078
2017-11-16,136.5,139.45,135.55,138.4,329387
2017-11-17,139.4,141.3,136.1,138.2,476057
2017-11-20,138.8,143.5,138.5,140.0,448947
2017-11-21,140.95,141.9,139.0,140.15,241133
2017-11-22,140.95,141.5,138.55,139.65,146953
2017-11-23,140.1,145.1,138.1,143.0,399801
2017-11-24,144.95,145.45,141.55,143.0,233571
2017-11-27,142.25,142.5,139.25,140.75,204739
2017-11-28,140.95,146.85,140.0,141.55,325108
2017-11-29,142.45,145.0,140.0,140.95,256726
2017-11-30,141.1,142.9,139.0,139.5,308443
2017-12-01,140.8,142.5,137.45,138.35,232004
2017-12-04,140.0,140.65,136.55,137.5,146962
2017-12-05,136.7,141.7,135.05,136.15,364845
2017-12-06,135.0,141.15,135.0,139.0,410752
2017-12-07,138.35,141.6,138.35,139.3,241881
2017-12-08,140.8,145.0,140.25,142.25,413614
2017-12-11,142.05,144.4,141.8,142.4,202075
2017-12-12,142.7,143.8,141.05,141.7,229436
2017-12-13,142.55,143.9,140.35,140.9,340259
2017-12-14,141.0,147.3,141.0,142.95,573315
2017-12-15,143.4,149.9,143.4,145.4,590856
2017-12-18,145.5,160.45,137.95,160.0,2154416
2017-12-19,162.0,166.0,158.55,165.15,1994048
2017-12-20,165.5,167.75,159.6,165.6,907553
2017-12-21,164.05,172.0,163.5,170.2,1081765
2017-12-22,170.55,174.5,169.15,171.5,779075
2017-12-26,173.0,177.0,168.65,175.5,739328
2017-12-27,174.4,175.55,165.0,166.5,581819
2017-12-28,167.7,169.85,165.55,167.1,283664
2017-12-29,167.55,169.3,163.15,164.45,396457
2018-01-01,162.5,168.25,162.5,166.0,368116
2018-01-02,164.0,165.95,156.2,159.9,725099
2018-01-03,163.0,169.8,161.05,169.5,918958
2018-01-04,169.2,175.9,168.1,174.7,872836
2018-01-05,175.0,177.3,170.6,172.0,496936
2018-01-08,172.8,183.45,172.5,180.95,1158231
2018-01-09,182.0,185.5,178.75,180.3,1013016
2018-01-10,180.75,185.0,174.3,178.5,767120
2018-01-11,178.6,182.8,175.55,180.2,576399
2018-01-12,180.2,186.5,179.85,182.65,985018
2018-01-15,183.0,187.55,181.65,185.5,782561
2018-01-16,185.1,192.2,183.5,190.0,1576005
2018-01-17,192.0,195.4,186.45,188.45,832105
2018-01-18,190.2,191.75,173.1,175.0,592541
2018-01-19,178.0,178.35,170.1,175.15,299166
2018-01-22,174.9,177.75,172.0,174.15,392347
2018-01-23,174.4,183.5,174.0,180.9,926616
2018-01-24,178.2,186.6,178.0,180.0,825197
2018-01-25,181.0,181.9,175.5,176.95,357947
2018-01-29,178.35,180.25,173.5,175.1,314265
2018-01-30,173.15,175.45,160.0,160.85,1097356
2018-01-31,163.8,181.35,162.05,180.2,1777459
2018-02-01,179.2,196.0,174.55,185.9,1934308
