date,open,high,low,close,volume
2017-07-03,248.2,250.0,244.5,246.5,126588
2017-07-04,248.0,248.12,239.07,240.75,181696
2017-07-05,239.0,242.77,239.0,239.85,306524
2017-07-06,240.0,243.95,236.25,236.25,282394
2017-07-07,235.0,238.0,232.52,233.75,329860
2017-07-10,233.75,239.0,233.75,237.0,34359794976
2017-07-11,237.5,238.85,234.52,236.7,122006
2017-07-12,236.7,240.4,236.25,238.0,300652
2017-07-13,237.75,242.45,237.5,240.5,650988
2017-07-14,240.5,245.73,239.1,239.98,125848
2017-07-17,241.38,245.57,240.05,243.0,618852
2017-07-18,241.0,242.48,238.95,240.0,330276
2017-07-19,240.02,244.57,239.52,240.5,140644
2017-07-20,241.35,242.5,238.27,238.95,123154
2017-07-21,239.0,241.05,239.0,240.35,118028
2017-07-24,240.4,241.5,238.5,240.05,62818
2017-07-25,240.05,241.4,239.0,240.25,115224
2017-07-26,240.25,247.48,239.27,246.7,285286
2017-07-27,247.5,249.0,240.0,240.0,111730
2017-07-28,241.0,242.2,239.38,240.25,40110
2017-07-31,243.0,243.5,234.25,240.0,1371338
2017-08-01,241.0,242.5,239.0,241.0,73816
2017-08-02,240.9,240.9,237.25,237.82,1259850
2017-08-03,237.82,239.98,232.0,234.25,58936
2017-08-04,233.0,234.93,229.02,230.75,79394
2017-08-07,232.0,233.75,231.0,233.25,32868
2017-08-08,233.0,235.23,225.55,228.5,68282
2017-08-09,225.55,228.93,217.5,219.5,131248
2017-08-10,218.48,225.38,208.02,213.45,421144
2017-08-11,213.5,213.5,200.18,204.5,469364
2017-08-14,209.68,215.5,207.0,209.1,108386
2017-08-16,209.0,225.1,206.5,207.5,454350
2017-08-17,208.5,215.62,207.5,208.0,149380
2017-08-18,206.93,213.8,203.1,203.1,954704
2017-08-21,207.73,207.98,202.5,204.75,1193156
2017-08-22,204.5,207.2,202.5,204.43,633754
2017-08-23,205.5,209.1,205.0,205.02,59066
2017-08-24,204.5,210.5,204.5,207.5,279114
2017-08-28,208.5,211.93,207.32,207.5,152258
2017-08-29,208.0,210.0,205.8,207.05,78592
2017-08-30,207.5,210.5,207.38,208.0,550668
2017-08-31,209.8,209.93,206.65,209.5,1106354
2017-09-01,211.48,214.1,208.15,209.0,376028
2017-09-04,208.75,212.5,206.65,209.0,249664
2017-09-05,209.48,211.48,208.0,210.0,193018
2017-09-06,210.02,211.18,208.57,209.5,80070
2017-09-07,209.62,211.15,209.0,210.48,212174
2017-09-08,210.07,212.0,208.23,210.0,132402
2017-09-11,211.73,238.5,211.0,236.5,1683246
2017-09-12,235.0,248.82,229.18,246.88,1347270
2017-09-13,245.05,248.0,235.75,240.65,364414
2017-09-14,241.1,247.0,235.02,237.2,463232
2017-09-15,239.0,271.0,239.0,253.25,3326624
2017-09-18,254.52,259.45,248.0,254.9,584754
2017-09-19,253.25,263.08,242.0,244.5,636186
2017-09-20,246.02,249.5,242.93,246.5,292152
2017-09-21,248.07,293.0,247.5,287.0,4355868
2017-09-22,289.0,298.17,253.8,259.17,4369310
2017-09-25,262.12,265.0,245.02,248.4,1124634
2017-09-26,249.6,266.0,245.93,255.25,1444508
2017-09-27,256.5,262.5,247.05,248.0,625860
2017-09-28,247.5,254.45,241.5,251.0,809504
2017-09-29,254.0,254.95,241.52,245.0,417480
2017-10-03,247.6,249.93,244.0,245.5,267074
2017-10-04,249.4,279.0,244.07,269.25,4032402
2017-10-05,269.0,274.4,261.88,265.4,845412
2017-10-06,265.0,266.17,257.7,259.7,421474
2017-10-09,261.8,270.8,260.55,262.0,698060
2017-10-10,263.27,266.1,257.33,258.55,337750
2017-10-11,261.62,262.5,250.65,254.5,358132
2017-10-12,258.0,258.65,248.25,249.6,422110
2017-10-13,251.5,257.0,249.0,249.55,334336
2017-10-16,251.45,255.25,248.2,249.0,236794
2017-10-17,249.98,251.73,246.5,248.38,177772
2017-10-18,247.8,249.95,245.0,246.48,17164731354
2017-10-23,248.0,251.9,241.27,243.95,8322838008
2017-10-24,245.0,246.48,244.0,245.0,273412
2017-10-25,247.98,254.85,244.82,250.02,391352
2017-10-26,251.25,254.95,246.5,252.5,348816
2017-10-27,252.5,272.33,250.18,263.25,1398740
2017-10-30,265.0,272.0,265.0,266.0,426324
2017-10-31,266.62,268.48,262.52,267.42,216416
2017-11-01,268.5,269.5,262.0,263.5,161982
2017-11-02,264.0,274.25,262.2,262.2,602218
2017-11-03,263.95,266.5,260.25,263.77,249486
2017-11-06,263.0,269.73,260.0,261.52,330796
2017-11-07,263.5,277.25,263.5,274.85,1101424
2017-11-08,274.5,285.5,269.15,275.12,833702
2017-11-09,274.5,278.25,266.75,273.25,234260
2017-11-10,271.5,295.0,268.52,293.0,1142358
2017-11-13,294.0,297.42,268.75,269.0,1188198
2017-11-14,272.45,285.5,265.0,269.0,1637548
2017-11-15,267.1,273.6,261.1,263.5,416888
2017-11-16,264.58,270.0,262.58,264.5,189518
2017-11-17,265.3,269.35,262.25,262.92,162532
2017-11-20,266.02,273.25,264.0,272.0,406526
2017-11-21,273.92,276.0,268.75,269.62,333544
2017-11-22,273.75,273.75,266.65,267.75,110902
2017-11-23,268.65,272.5,265.5,270.0,175518
2017-11-24,269.75,272.75,262.9,265.5,191756
2017-11-27,265.52,269.0,265.73,265.92,76864
2017-11-28,267.75,272.65,265.48,272.5,384898
2017-11-29,271.65,272.8,267.05,268.0,172296
2017-11-30,268.05,276.33,265.08,270.75,382766
2017-12-01,270.52,276.0,264.0,264.12,193004
2017-12-04,265.27,267.12,257.0,257.5,165190
2017-12-05,258.25,269.0,253.2,266.0,271472
2017-12-06,266.98,268.95,263.77,266.0,122826
2017-12-07,267.98,272.35,264.5,269.0,151308
2017-12-08,271.38,275.9,269.38,273.0,236658
2017-12-11,273.5,273.9,265.25,266.0,109918
2017-12-12,268.95,288.2,266.38,275.48,1469274
2017-12-13,275.0,279.25,272.58,277.83,359570
2017-12-14,274.9,279.5,270.67,275.0,277168
2017-12-15,275.5,286.0,276.25,281.0,582752
2017-12-18,281.08,287.15,273.0,280.75,373282
2017-12-19,282.48,287.5,281.05,285.0,320226
2017-12-20,285.0,291.85,281.27,287.52,726228
2017-12-21,287.05,304.0,287.02,303.8,1123190
2017-12-22,300.52,304.33,297.67,300.0,1587968
2017-12-26,301.27,302.5,296.5,297.23,363462
2017-12-27,299.02,312.5,299.02,302.5,1607196
2017-12-28,306.0,309.0,300.0,301.77,381524
2017-12-29,304.5,311.25,297.45,297.5,444274
