date,open,high,low,close,volume
2019-10-14,125.2,148.76,125.0,146.6,225789355
2019-10-15,147.2,149.48,139.21,143.2,52624025
2019-10-16,142.8,144.2,139.65,140.0,17360670
2019-10-17,140.02,146.6,137.43,145.85,25131665
2019-10-18,145.0,157.98,143.21,155.6,48640120
2019-10-22,157.39,173.35,156.2,169.78,46725650
2019-10-23,173.2,181.98,173.2,181.6,45099915
2019-10-24,184.99,190.7,172.53,179.8,59323295
2019-10-25,181.0,183.2,175.2,180.0,19191555
2019-10-27,182.2,185.0,179.0,181.25,6694805
2019-10-29,181.4,181.48,175.73,176.19,10112075
2019-10-30,176.2,184.0,176.17,178.16,16355970
2019-10-31,180.0,181.54,175.4,175.7,9177905
2019-11-01,177.0,181.59,176.62,177.9,9384830
2019-11-04,179.0,179.6,176.05,176.5,4158975
2019-11-05,177.34,181.4,174.26,176.6,10183835
2019-11-06,177.0,179.0,176.2,177.0,4934640
2019-11-07,177.8,178.4,176.02,176.06,3853555
2019-11-08,175.95,178.2,174.46,174.8,4732455
2019-11-11,177.2,188.67,176.8,188.51,27501720
2019-11-13,191.0,196.18,180.64,184.7,30860050
2019-11-14,183.0,189.4,179.4,181.6,14301655
2019-11-15,184.0,187.96,180.4,186.88,15932620
2019-11-18,186.82,187.58,183.41,183.84,5716445
2019-11-19,184.55,184.8,180.0,180.6,5504885
2019-11-20,181.8,183.4,178.0,178.99,6313175
2019-11-21,179.6,181.2,176.02,176.85,6471025
2019-11-22,177.8,177.8,174.48,174.9,3727215
2019-11-25,175.8,178.0,174.62,176.39,3429940
2019-11-26,177.4,179.0,175.1,176.0,3963895
2019-11-27,176.22,178.2,176.0,176.6,2922695
2019-11-28,176.99,177.56,175.62,176.72,2077195
2019-11-29,176.43,183.74,175.6,179.31,8954060
2019-12-02,180.4,180.57,175.63,176.1,2321350
2019-12-03,177.2,177.8,174.2,174.43,2752765
2019-12-04,174.4,177.0,172.46,174.43,3699855
2019-12-05,175.9,177.78,174.4,175.0,2627465
2019-12-06,175.41,175.69,173.92,174.8,1767940
2019-12-09,175.31,175.31,172.83,173.75,1768450
2019-12-10,173.96,173.96,171.06,172.62,1971495
2019-12-11,172.78,173.99,171.1,173.71,2203510
2019-12-12,173.0,175.6,172.02,175.42,1444650
2019-12-13,174.85,180.68,174.02,178.58,6851225
2019-12-16,178.9,178.9,176.43,177.6,1777570
2019-12-17,177.8,179.7,176.6,176.96,2806605
2019-12-18,177.36,177.5,174.66,174.8,1417380
2019-12-19,174.44,175.2,173.24,173.9,1504240
2019-12-20,174.8,174.8,173.1,173.4,1301220
2019-12-23,173.6,174.0,172.2,173.09,1632795
2019-12-24,177.0,179.96,175.04,177.1,12015410
2019-12-26,177.2,177.6,174.9,175.02,1952785
2019-12-27,176.39,177.08,175.4,176.58,2097255
2019-12-30,177.05,187.49,176.66,187.2,15233900
2019-12-31,186.4,190.94,184.26,187.94,19437975
2020-01-01,188.38,190.77,186.96,188.5,8581225
2020-01-02,188.8,188.8,185.41,185.7,3275460
2020-01-03,185.6,188.7,185.51,185.93,4324140
2020-01-06,185.4,185.41,178.02,178.59,3922330
2020-01-07,179.4,184.3,179.4,181.34,3476170
2020-01-08,179.8,180.52,177.26,179.18,2762600
2020-01-09,182.07,184.12,182.0,182.6,2988015
2020-01-10,182.4,185.48,181.73,183.61,2535860
2020-01-13,184.0,188.56,183.21,188.4,3912810
2020-01-14,189.0,196.74,188.41,195.22,14474290
2020-01-15,195.6,199.2,194.77,196.8,8555795
2020-01-16,196.96,201.67,196.95,201.47,7595540
2020-01-17,202.0,205.0,202.0,204.6,5479400
2020-01-20,205.44,205.64,197.61,199.2,4434455
2020-01-21,198.48,198.88,195.6,196.51,2873310
2020-01-22,198.0,201.2,197.4,199.34,2965440
2020-01-23,199.72,200.15,197.8,199.02,1628560
2020-01-24,200.0,202.52,198.42,200.77,2429180
2020-01-27,200.38,203.49,199.0,200.8,2760315
2020-01-28,202.72,211.98,202.03,211.98,6513955
2020-01-29,214.5,225.98,212.7,225.7,14384610
2020-01-30,226.56,232.8,223.21,227.6,19061505
2020-01-31,230.42,247.0,229.21,246.4,16621545
2020-02-01,248.2,266.6,233.64,239.4,58235815
2020-02-03,238.87,252.6,237.21,252.4,14260945
2020-02-04,258.0,287.6,257.2,286.36,32963415
2020-02-05,291.4,309.56,288.2,302.0,54765690
2020-02-06,306.4,312.6,294.4,299.66,27962660
2020-02-07,300.0,305.6,296.4,302.7,11882880
2020-02-10,304.78,307.6,293.2,295.2,14897010
2020-02-11,299.04,301.0,275.72,278.0,14363570
2020-02-12,279.0,290.0,270.0,285.6,26697985
2020-02-13,316.7,321.96,303.07,315.7,56871570
2020-02-14,319.8,320.78,309.72,311.6,16629830
2020-02-17,312.98,313.0,302.0,304.77,7834175
2020-02-18,303.0,329.6,297.0,328.8,37920105
2020-02-19,333.26,374.54,331.68,373.77,66534555
2020-02-20,374.0,395.4,372.41,382.59,60207795
2020-02-24,380.0,397.98,362.4,383.28,49259435
2020-02-25,384.66,398.8,383.4,391.8,28807800
2020-02-26,391.8,396.74,388.0,389.4,18399075
2020-02-27,393.4,394.0,377.76,381.6,17356000
2020-02-28,368.4,373.18,346.26,348.6,25403260
2020-03-02,362.0,374.74,327.29,343.81,24511315
2020-03-03,354.0,361.8,337.31,349.59,21569675
2020-03-04,350.4,353.0,313.08,313.08,22023905
2020-03-05,301.4,304.99,282.22,285.0,38011440
2020-03-06,271.87,271.87,271.87,271.87,1158855
2020-03-09,258.28,258.28,258.28,258.28,674490
2020-03-11,245.37,271.19,245.37,257.07,20405620
