date,open,high,low,close,volume
2017-07-03,123.4,129.1,122.8,128.7,10278643
2017-07-04,129.0,130.25,125.65,125.95,8040132
2017-07-05,126.5,131.5,125.55,131.25,8964883
2017-07-06,131.75,132.85,130.3,130.9,7672742
2017-07-07,130.9,136.4,130.1,131.85,13679718
2017-07-10,133.0,135.5,131.85,134.2,17181660390
2017-07-11,134.9,139.8,131.3,138.9,17594876
2017-07-12,139.4,140.9,137.75,139.8,11160101
2017-07-13,141.5,141.85,137.1,138.1,8553909
2017-07-14,138.5,139.0,136.2,137.2,4102276
2017-07-17,138.15,142.0,136.8,141.4,7011640
2017-07-18,140.3,142.85,138.95,139.9,7418336
2017-07-19,140.7,143.9,140.45,143.0,6695233
2017-07-20,143.0,144.1,140.15,140.8,4469399
2017-07-21,141.0,141.5,133.2,136.75,6697022
2017-07-24,137.05,139.4,136.15,138.65,3230117
2017-07-25,138.45,140.9,137.6,140.8,4167559
2017-07-26,140.85,152.4,140.85,151.15,24351620
2017-07-27,152.2,153.3,149.0,152.9,11955447
2017-07-28,150.25,152.7,147.3,149.8,7465942
2017-07-31,150.0,158.15,150.0,152.95,13697069
2017-08-01,154.5,156.85,153.6,155.35,6180335
2017-08-02,155.1,159.35,153.65,157.8,13662738
2017-08-03,156.6,157.0,140.0,142.0,28549846
2017-08-04,141.2,144.65,135.4,138.3,19740277
2017-08-07,139.9,145.4,139.75,143.5,14554715
2017-08-08,145.85,148.4,138.1,139.7,21921908
2017-08-09,141.7,143.65,134.35,134.9,15866628
2017-08-10,134.9,134.9,118.4,126.95,16379900
2017-08-11,120.7,129.5,114.5,129.45,16484675
2017-08-14,130.75,138.3,130.0,135.25,11951535
2017-08-16,136.85,139.7,130.35,138.25,12965839
2017-08-17,139.0,142.65,137.65,139.45,11077644
2017-08-18,138.0,139.25,134.85,135.85,8885431
2017-08-21,138.2,139.4,130.75,131.4,6259203
2017-08-22,133.35,134.35,128.1,129.5,7644751
2017-08-23,131.05,133.75,129.2,133.0,6216307
2017-08-24,133.55,136.35,132.75,135.4,6528260
2017-08-28,135.7,137.05,133.25,135.6,4808505
2017-08-29,133.65,135.45,130.6,131.6,6315093
2017-08-30,133.05,137.75,133.05,137.15,6526629
2017-08-31,136.45,137.8,134.7,137.1,8457716
2017-09-01,137.6,143.8,137.45,142.1,10254775
2017-09-04,142.95,145.7,137.8,139.25,10220356
2017-09-05,140.7,142.8,139.2,140.05,4803084
2017-09-06,139.0,143.3,138.45,141.5,6248231
2017-09-07,142.25,143.4,140.55,141.65,5153928
2017-09-08,142.65,145.1,140.45,141.5,6978743
2017-09-11,143.25,144.0,141.15,143.5,4877370
2017-09-12,144.3,147.4,144.3,145.6,6485516
2017-09-13,146.1,146.9,141.15,142.0,5335734
2017-09-14,142.85,148.15,142.6,147.3,9428205
2017-09-15,146.15,150.6,143.65,149.05,10800325
2017-09-18,150.25,152.3,148.45,150.6,7312434
2017-09-19,151.3,153.1,151.2,151.25,6045206
2017-09-20,152.15,154.7,151.35,152.5,5873882
2017-09-21,152.55,154.4,148.75,151.85,6358432
