date,open,high,low,close,volume
2017-07-03,949.0,958.0,945.0,946.0,26020
2017-07-04,956.0,978.0,946.0,965.0,65799
2017-07-05,967.75,980.5,967.75,979.9,26647
2017-07-06,979.9,984.45,966.0,980.0,45387
2017-07-07,975.0,979.9,968.0,970.0,30691
2017-07-10,970.0,975.15,935.6,974.6,12884912437
2017-07-11,974.6,981.55,964.05,967.2,6483
2017-07-12,967.2,980.0,960.05,966.0,15746
2017-07-13,981.0,986.0,955.1,980.0,24232
2017-07-14,978.8,978.8,953.0,960.0,24047
2017-07-17,955.0,979.0,955.0,979.0,9384
2017-07-18,982.0,989.9,965.0,977.0,19979
2017-07-19,963.0,998.0,963.0,980.0,94351
2017-07-20,979.55,988.8,968.25,985.0,16652
2017-07-21,985.0,998.3,971.0,979.0,39375
2017-07-24,984.95,988.55,975.0,981.5,23663
2017-07-25,981.5,984.0,970.0,972.0,13338
2017-07-26,970.0,998.0,970.0,987.7,13993
2017-07-27,987.9,1026.9,986.05,998.0,33644
2017-07-28,1002.0,1033.25,983.25,1005.0,34659
2017-07-31,1027.0,1027.0,1005.0,1010.0,11772
2017-08-01,1010.1,1024.5,1009.1,1011.0,7114
2017-08-02,1019.0,1025.0,998.15,1012.0,22813
2017-08-03,1012.0,1020.0,990.1,1000.0,10372
2017-08-04,1010.95,1017.55,993.9,1010.0,11724
2017-08-07,1010.0,1037.95,1005.0,1022.5,16811
2017-08-08,1022.5,1039.85,1002.1,1031.0,12815
2017-08-09,1031.0,1035.0,995.65,1028.75,16095
2017-08-10,1028.75,1028.75,995.05,1018.0,33624
2017-08-11,1001.0,1039.9,976.25,1030.0,30252
2017-08-14,1059.9,1079.9,1026.0,1040.0,38445
2017-08-16,1046.0,1047.95,1022.3,1034.0,18996
2017-08-17,1035.0,1044.7,1013.35,1028.0,16312
2017-08-18,1030.0,1035.0,995.0,995.05,31652
2017-08-21,1005.95,1017.55,988.4,1000.0,25346
2017-08-22,1000.0,1018.0,991.25,1009.0,8915
2017-08-23,1013.4,1022.45,1001.0,1013.0,5390
2017-08-24,1013.0,1016.25,1001.0,1010.0,5068
2017-08-28,1019.0,1019.8,1011.0,1017.9,7833
2017-08-29,1003.45,1015.0,990.1,995.1,16456
2017-08-30,1005.0,1018.0,1002.05,1010.0,11240
2017-08-31,1007.0,1018.95,998.0,1001.0,8033
2017-09-01,1001.0,1016.8,998.0,1015.0,7373
2017-09-04,1019.0,1019.0,995.0,1001.55,8166
2017-09-05,1001.55,1025.0,1000.05,1022.0,14748
2017-09-06,1024.95,1025.5,1006.5,1024.9,7636
2017-09-07,1022.0,1023.95,1005.4,1011.05,13479
2017-09-08,1014.95,1045.6,1010.1,1028.0,25060
2017-09-11,1023.1,1035.95,1022.1,1025.15,13713
2017-09-12,1025.15,1058.7,1021.7,1051.0,35228
2017-09-13,1041.6,1064.8,1036.1,1054.0,37140
2017-09-14,1054.0,1071.8,1031.3,1032.0,32989
2017-09-15,1029.7,1045.05,991.15,1002.0,99383
2017-09-18,1006.1,1025.8,997.1,1020.0,102664
2017-09-19,1015.0,1026.8,1005.0,1017.0,30243
2017-09-20,1017.0,1026.85,1007.05,1008.0,12498
2017-09-21,1010.0,1015.0,981.55,982.5,45423
2017-09-22,993.9,993.95,938.25,950.0,59324
2017-09-25,953.5,953.5,925.0,940.0,15759
2017-09-26,940.0,963.15,935.25,955.0,24747
2017-09-27,970.6,970.6,949.05,958.4,31022
2017-09-28,953.6,960.75,940.2,949.0,41426
2017-09-29,950.0,957.4,945.0,945.0,37587
2017-10-03,954.0,975.0,950.0,975.0,16070
2017-10-04,971.0,989.9,960.0,985.0,24704
2017-10-05,973.35,986.8,965.55,971.5,12784
2017-10-06,975.2,980.55,969.0,974.0,11053
2017-10-09,966.0,979.0,966.0,970.05,8615
2017-10-10,974.5,985.0,973.0,975.0,184269
2017-10-11,975.0,985.8,972.85,977.0,11701
2017-10-12,977.0,982.0,974.5,976.0,40251
2017-10-13,985.0,985.0,952.0,952.0,45628
2017-10-16,953.4,965.0,946.35,956.35,13030
2017-10-17,956.35,964.75,941.1,960.0,21088
2017-10-18,960.0,963.95,948.85,953.65,11613
2017-10-23,976.9,976.9,950.0,950.9,8556952003
2017-10-24,974.8,987.8,950.95,985.5,17834
2017-10-25,986.05,990.75,975.55,977.4,87077
2017-10-26,963.3,999.5,963.3,999.5,24840
