date,open,high,low,close,volume
2017-07-03,94.08,100.08,94.08,100.0,2553425
2017-07-04,100.82,103.78,100.6,101.89,3238612
2017-07-05,102.51,105.05,102.19,104.18,1384094
2017-07-06,103.98,108.45,103.3,107.36,2202582
2017-07-07,106.98,109.53,105.89,109.34,1717440
2017-07-10,112.72,112.72,109.33,110.83,43207602459
2017-07-11,110.83,111.89,107.86,108.66,1028363
2017-07-12,109.15,110.74,108.35,109.66,805597
2017-07-13,110.35,111.19,108.88,111.12,697412
2017-07-14,110.93,117.14,109.84,116.2,3972233
2017-07-17,117.98,127.73,115.42,126.14,17381242
2017-07-18,125.35,132.68,124.13,131.37,13825754
2017-07-19,131.69,131.91,127.49,128.13,4735133
2017-07-20,128.13,131.09,128.02,129.1,2519238
2017-07-21,129.42,130.12,123.07,124.64,2854370
2017-07-24,124.75,125.91,122.66,124.45,1782023
2017-07-25,125.2,130.01,122.79,128.82,3989056
2017-07-26,129.42,130.41,126.35,126.94,3179473
2017-07-27,127.53,129.0,126.15,128.02,2192112
2017-07-28,127.43,131.01,125.25,130.52,2679598
2017-07-31,131.51,132.94,129.67,130.22,2971406
2017-08-01,129.98,131.31,127.61,128.53,1413535
2017-08-02,128.74,129.81,126.32,127.24,1664736
2017-08-03,127.81,128.62,124.25,124.25,1360990
2017-08-04,124.95,127.77,123.94,127.23,1983608
2017-08-07,126.26,127.83,125.12,125.76,883652
2017-08-08,126.83,133.67,124.75,132.92,4208363
2017-08-09,133.43,134.69,127.56,128.93,4421082
2017-08-10,129.03,134.43,125.96,131.19,4838554
2017-08-11,127.84,132.8,126.24,129.03,3072970
2017-08-14,130.1,137.18,129.91,137.17,3149104
2017-08-16,140.06,143.58,137.57,137.77,5449989
2017-08-17,139.96,141.6,137.78,139.07,3150681
2017-08-18,138.17,140.25,137.08,138.67,1848974
2017-08-21,139.49,142.42,136.38,136.79,2529672
2017-08-22,140.16,140.16,134.45,135.1,2490414
2017-08-23,135.69,137.92,134.6,137.48,1670750
2017-08-24,137.97,139.76,136.43,138.14,1835286
2017-08-28,138.27,139.56,136.79,137.33,1459420
2017-08-29,137.28,137.88,133.15,133.6,1655299
2017-08-30,135.57,138.87,134.7,136.18,2908524
2017-08-31,137.08,139.66,134.83,139.48,1920955
2017-09-01,138.82,141.65,138.67,139.17,1883896
2017-09-04,138.9,138.97,135.73,137.26,1414141
2017-09-05,138.37,138.94,136.19,137.38,1099201
2017-09-06,137.18,139.66,136.53,138.47,1489876
2017-09-07,138.38,139.9,137.59,138.18,908697
2017-09-08,138.98,139.56,136.91,137.87,1175168
2017-09-11,138.55,145.53,137.67,145.49,3580220
2017-09-12,146.61,146.67,141.16,141.64,4013178
2017-09-13,141.04,141.24,129.75,133.0,6008323
2017-09-14,135.21,137.51,133.48,136.9,7531848
2017-09-15,134.39,136.18,133.85,135.12,1779930
2017-09-18,137.32,141.9,135.9,141.47,3558918
2017-09-19,142.14,142.64,137.16,139.41,2759685
2017-09-20,139.17,141.15,137.98,139.74,1729495
2017-09-21,140.13,140.13,137.12,138.77,1189787
2017-09-22,137.96,138.96,135.69,137.08,1416392
2017-09-25,137.4,138.34,132.33,137.67,1546071
2017-09-26,137.87,139.34,135.41,139.07,1606876
2017-09-27,139.66,140.76,134.19,135.09,1709396
2017-09-28,135.69,137.62,132.74,136.58,2003546
2017-09-29,137.28,139.56,136.76,138.37,1198557
2017-10-03,139.37,142.81,139.37,140.81,1829008
2017-10-04,140.81,141.64,138.41,139.98,1219455
2017-10-05,140.57,148.11,140.16,147.41,4778695
2017-10-06,151.01,154.57,150.1,153.58,7425334
2017-10-09,153.48,154.61,148.31,148.91,3511001
2017-10-10,149.6,152.68,145.77,151.15,3685217
2017-10-11,153.48,154.22,147.5,147.92,4034763
2017-10-12,149.5,150.74,147.91,149.8,1801961
2017-10-13,150.1,152.2,150.1,150.6,2376230
2017-10-16,151.89,155.36,151.24,154.77,3682355
2017-10-17,153.88,157.93,153.53,157.55,3150785
2017-10-18,157.55,158.48,151.48,152.38,3231506
2017-10-23,151.69,155.57,151.69,153.9,27968118707
2017-10-24,154.47,160.56,154.01,160.39,3466108
2017-10-25,160.93,162.02,158.14,158.57,2609137
2017-10-26,158.59,170.96,155.7,163.12,13040320
2017-10-27,166.88,167.92,161.03,161.53,4347842
2017-10-30,162.34,162.91,159.74,161.23,1469636
2017-10-31,161.22,164.1,160.63,162.25,1734698
2017-11-01,162.33,164.52,161.03,161.68,1528812
2017-11-02,161.68,162.87,160.38,160.93,822356
2017-11-03,161.83,162.21,159.52,160.17,833923
