date,open,high,low,close,volume
2017-07-03,718.0,726.9,716.05,720.0,24010
2017-07-04,720.0,730.0,719.05,728.55,112259
2017-07-05,725.05,767.0,725.05,760.05,185682
2017-07-06,755.0,762.0,752.05,755.3,101008
2017-07-07,754.85,774.75,752.0,769.0,23689
2017-07-10,769.0,770.0,760.0,761.0,21474841832
2017-07-11,761.0,776.9,761.0,768.1,16306
2017-07-12,775.0,775.0,759.0,760.05,25869
2017-07-13,760.5,771.9,760.5,769.0,11732
2017-07-14,769.0,769.95,755.05,759.95,9531
2017-07-17,755.1,771.0,755.1,765.05,11859
2017-07-18,765.05,769.7,755.0,756.35,15915
2017-07-19,756.25,764.95,755.0,763.0,9107
2017-07-20,759.7,762.7,756.0,760.35,8821
2017-07-21,760.35,777.7,755.0,770.0,16055
2017-07-24,770.05,778.7,765.0,778.7,18764
2017-07-25,771.0,781.2,771.0,775.6,44406
2017-07-26,779.0,779.0,760.05,760.05,17224
2017-07-27,761.6,767.0,755.05,756.0,12228
2017-07-28,755.0,769.0,755.0,767.4,9049
2017-07-31,765.0,769.9,756.0,760.05,8850
2017-08-01,764.95,764.95,755.0,755.05,16260
2017-08-02,758.0,759.3,745.0,745.0,9136
2017-08-03,748.0,749.95,740.0,740.0,7506
2017-08-04,744.95,756.05,740.1,750.3,6885
2017-08-07,750.3,763.0,750.0,758.1,8591
2017-08-08,758.1,762.05,740.0,740.2,14546
2017-08-09,740.0,741.2,734.05,734.05,10134
2017-08-10,734.05,746.4,733.05,740.05,19310
2017-08-11,735.05,740.3,729.0,732.25,46344
2017-08-14,731.25,738.5,725.05,734.45,21688
2017-08-16,733.15,744.65,730.1,731.0,10953
2017-08-17,733.0,737.9,730.4,732.0,9167
2017-08-18,731.0,744.95,727.0,740.0,19492
2017-08-21,740.55,749.9,740.0,745.0,26126
2017-08-22,745.0,752.7,734.0,740.05,13061
2017-08-23,741.0,756.5,740.25,750.05,20333
2017-08-24,750.05,762.0,748.9,755.05,15469
2017-08-28,752.0,765.6,752.0,758.0,11908
2017-08-29,758.0,769.95,752.0,760.2,11293
2017-08-30,760.05,771.0,760.05,766.1,7709
2017-08-31,765.05,772.0,765.05,767.0,9676
2017-09-01,768.0,779.0,768.0,773.5,11736
2017-09-04,774.8,791.0,774.8,784.95,29035
2017-09-05,789.8,789.95,780.8,787.0,27060
2017-09-06,784.0,795.0,783.9,790.95,42218
2017-09-07,788.15,793.1,780.0,780.0,18271
2017-09-08,780.0,803.0,769.6,803.0,16075
2017-09-11,805.0,805.0,771.05,782.0,42836
2017-09-12,782.0,794.7,780.0,781.0,9813
2017-09-13,776.0,785.0,776.0,782.0,10756
2017-09-14,778.0,785.0,778.0,784.3,9431
2017-09-15,783.2,784.95,776.0,776.0,18704
2017-09-18,778.0,791.0,770.05,781.0,13845
2017-09-19,781.0,799.95,781.0,789.95,23126
