date,open,high,low,close,volume
2017-07-03,1063.05,1065.0,1052.0,1053.0,1000301
2017-07-04,1059.8,1061.0,1040.0,1042.0,1050057
2017-07-05,1041.75,1096.0,1036.7,1084.2,5144900
2017-07-06,1094.25,1108.7,1077.5,1081.9,2330467
2017-07-07,1083.1,1137.0,1083.1,1120.0,4982037
2017-07-10,1130.0,1170.0,1120.0,1150.0,25770309961
2017-07-11,1158.85,1166.75,1136.6,1140.0,1911466
2017-07-12,1146.0,1152.35,1136.75,1142.0,767080
2017-07-13,1144.2,1152.0,1138.5,1139.0,1244098
2017-07-14,1144.0,1156.0,1136.0,1140.0,855209
2017-07-17,1144.5,1150.4,1137.0,1148.35,516819
2017-07-18,1148.0,1164.6,1147.35,1159.4,1072531
2017-07-19,1165.0,1176.75,1164.2,1172.8,792539
2017-07-20,1172.0,1175.95,1162.55,1168.2,405510
2017-07-21,1155.0,1156.75,1132.6,1142.45,1436481
2017-07-24,1167.5,1174.8,1138.05,1140.0,1540253
2017-07-25,1141.1,1141.65,1114.2,1121.45,1752955
2017-07-26,1124.0,1128.65,1116.0,1125.0,1112472
2017-07-27,1132.2,1132.2,1105.15,1113.0,1621839
2017-07-28,1110.35,1110.95,1055.4,1066.5,2319300
2017-07-31,1087.8,1087.8,1030.0,1031.0,4680516
2017-08-01,1038.0,1038.7,1016.3,1019.0,2654634
2017-08-02,1028.0,1055.0,1021.0,1033.05,7617519
2017-08-03,1031.1,1060.0,985.6,987.6,7844412
2017-08-04,989.45,996.35,963.25,990.05,4181461
2017-08-07,993.75,1003.35,980.6,982.15,1414079
2017-08-08,988.95,992.45,970.6,974.0,1095339
2017-08-09,975.0,977.8,950.0,951.0,1344259
2017-08-10,950.8,971.15,918.85,944.05,2141331
2017-08-11,928.4,954.85,921.0,940.0,1614586
2017-08-14,946.15,969.75,943.5,962.0,1378920
2017-08-16,973.1,973.1,950.6,962.05,1970140
2017-08-17,964.75,968.4,951.0,952.95,1126577
2017-08-18,950.45,950.7,934.5,937.85,1830873
2017-08-21,943.0,944.0,920.0,920.25,1148699
2017-08-22,946.0,949.95,935.05,942.6,2312808
2017-08-23,948.5,959.7,941.2,955.8,1448720
2017-08-24,958.0,999.55,955.0,994.0,2449445
2017-08-28,999.0,1007.8,986.0,987.0,1654903
2017-08-29,987.7,998.95,984.25,985.05,1021814
2017-08-30,994.0,998.0,986.0,986.05,698801
2017-08-31,980.0,995.6,974.65,978.75,1923888
2017-09-01,985.0,1009.0,982.05,996.0,1555877
2017-09-04,996.3,1006.35,986.0,995.0,904797
2017-09-05,1004.65,1004.65,986.05,990.75,711002
2017-09-06,987.45,991.35,967.0,970.0,1337297
2017-09-07,975.9,981.7,970.6,977.0,936017
2017-09-08,978.55,986.45,960.2,971.2,713228
2017-09-11,975.5,982.9,968.15,980.0,797191
2017-09-12,979.55,988.0,976.25,980.0,1073166
2017-09-13,985.2,1009.0,974.0,995.55,2384926
2017-09-14,1000.8,1017.7,995.55,1005.0,2381814
2017-09-15,990.9,1014.9,990.1,1006.05,2245743
2017-09-18,1015.0,1015.9,1000.1,1009.95,1320163
2017-09-19,1008.0,1021.7,1001.6,1007.45,1592073
2017-09-20,1009.85,1009.85,997.0,1003.05,1898601
2017-09-21,1006.65,1039.9,1006.2,1029.5,4070738
2017-09-22,1030.85,1044.55,1006.2,1011.05,2123408
2017-09-25,1014.5,1016.45,982.2,995.0,1821722
2017-09-26,995.0,1012.0,993.0,1008.0,1966305
2017-09-27,1011.15,1011.8,995.5,999.55,2085033
2017-09-28,1003.65,1008.9,996.05,1007.0,2447340
2017-09-29,1013.7,1017.8,1006.95,1013.0,1196040
2017-10-03,1021.05,1024.8,1014.7,1021.35,1496371
2017-10-04,1024.05,1037.15,1019.55,1030.5,1009995
2017-10-05,1031.0,1038.25,1023.3,1030.1,490154
2017-10-06,1032.1,1044.7,1025.2,1042.0,1105050
2017-10-09,1044.4,1045.4,1033.8,1040.0,384960
2017-10-10,1054.0,1070.65,1043.7,1062.6,2399781
2017-10-11,1067.0,1069.45,1038.75,1044.25,1431701
2017-10-12,1057.0,1064.0,1052.9,1060.95,848717
2017-10-13,1055.45,1068.45,1055.0,1061.55,623840
2017-10-16,1065.0,1075.0,1064.45,1068.1,685331
2017-10-17,1065.0,1069.55,1062.1,1066.0,601025
2017-10-18,1066.0,1068.7,1046.55,1049.2,11088848227
2017-10-23,1048.6,1058.2,1028.0,1038.45,7500738501
2017-10-24,1036.85,1043.7,1023.5,1026.1,369514
2017-10-25,1036.85,1036.85,999.1,1003.0,1083696
2017-10-26,1010.0,1010.0,990.35,992.5,2306780
2017-10-27,1002.0,1021.45,999.0,1001.5,1158272
2017-10-30,1005.55,1090.0,992.95,1025.0,8187646
2017-10-31,1024.0,1037.65,1010.55,1025.95,2026771
2017-11-01,1028.05,1039.0,1025.25,1030.9,589534
2017-11-02,1031.7,1064.7,1033.0,1061.05,1706916
2017-11-03,1065.0,1069.6,1041.15,1046.55,777008
2017-11-06,1044.5,1055.45,1031.25,1032.4,469586
2017-11-07,1037.0,1041.5,845.85,860.0,25014547
2017-11-08,862.5,881.35,837.0,840.0,12475048
2017-11-09,851.0,854.0,827.8,830.0,4984012
2017-11-10,835.0,845.45,831.0,832.5,2746624
2017-11-13,840.2,840.4,825.0,826.0,2037833
2017-11-14,829.9,845.0,829.0,835.0,2951567
2017-11-15,825.0,834.35,818.65,822.5,1751663
2017-11-16,825.7,834.55,820.05,829.05,2004519
2017-11-17,834.0,839.9,827.1,828.2,1579379
2017-11-20,830.0,832.0,823.15,826.0,2000690
2017-11-21,830.0,849.5,829.1,837.5,2337055
2017-11-22,838.6,841.6,825.3,828.3,1573053
2017-11-23,832.0,835.85,825.35,828.85,1676469
2017-11-24,830.0,835.5,828.0,829.4,1251839
2017-11-27,829.0,834.85,828.0,830.95,1045779
2017-11-28,831.45,839.9,831.0,831.9,1037502
2017-11-29,833.1,839.4,832.5,834.05,784959
2017-11-30,832.8,833.9,815.05,816.0,3626022
2017-12-01,822.1,823.25,811.1,814.25,1739311
2017-12-04,819.7,819.75,809.2,814.2,1033223
2017-12-05,812.8,819.0,807.0,808.65,1030864
2017-12-06,808.8,813.4,806.45,809.5,826835
2017-12-07,811.0,824.0,810.4,819.8,1534957
2017-12-08,814.5,829.0,811.2,823.7,1749387
2017-12-11,828.0,842.0,825.05,840.65,1630566
2017-12-12,841.6,853.0,841.6,847.5,2483905
2017-12-13,848.75,856.0,841.05,845.6,2057739
2017-12-14,845.65,855.65,843.65,852.5,1605403
2017-12-15,858.5,868.95,855.45,861.0,3111309
2017-12-18,865.0,875.0,844.0,868.95,1535618
2017-12-19,869.7,871.95,860.1,866.95,981712
2017-12-20,867.0,888.7,863.1,875.2,2216128
2017-12-21,878.45,885.5,876.05,880.0,1037846
2017-12-22,880.0,883.0,868.15,871.0,1533987
2017-12-26,872.0,876.2,864.35,871.2,1381322
2017-12-27,872.95,885.1,870.0,876.0,3708754
2017-12-28,877.9,889.0,875.3,884.65,2376154
2017-12-29,895.0,899.75,881.55,887.05,2587075
2018-01-01,889.5,891.4,880.2,885.5,1027330
2018-01-02,887.9,887.9,871.5,875.0,1196950
2018-01-03,878.7,884.8,872.85,879.0,3956820
2018-01-04,880.25,882.7,870.1,878.7,1917371
2018-01-05,880.0,904.3,876.0,900.8,2687231
2018-01-08,906.4,927.0,905.45,922.5,3790182
2018-01-09,924.45,932.5,915.15,922.0,1725992
2018-01-10,923.25,933.0,915.25,927.0,1579833
2018-01-11,929.65,934.95,925.65,928.7,908694
2018-01-12,931.0,937.0,908.25,916.4,1289521
2018-01-15,919.9,924.7,914.0,914.95,611696
2018-01-16,920.0,924.0,905.0,908.0,959028
2018-01-17,908.0,920.5,894.5,918.05,1477337
2018-01-18,923.85,926.7,918.0,921.0,2316523
2018-01-19,925.0,926.0,906.45,923.0,1339545
2018-01-22,925.0,933.0,918.55,930.0,1130192
2018-01-23,930.1,941.4,926.15,937.0,1505247
2018-01-24,937.0,962.0,934.05,961.0,1969985
2018-01-25,966.0,970.0,945.15,950.1,2607347
2018-01-29,949.65,954.0,908.05,909.7,1518402
2018-01-30,911.4,913.55,897.65,903.0,937991
2018-01-31,900.0,901.7,876.9,882.8,1586962
2018-02-01,883.95,885.75,852.5,860.8,1831588
2018-02-02,860.8,878.5,845.0,846.0,2522649
2018-02-05,843.0,857.5,834.1,851.0,1402287
2018-02-06,824.0,834.85,790.0,790.85,4666740
2018-02-07,796.0,813.0,782.9,804.4,5018524
2018-02-08,809.9,816.0,800.0,814.0,2053509
2018-02-09,804.0,829.2,799.5,821.5,2762108
2018-02-12,828.8,847.0,825.5,841.0,1778423
2018-02-14,847.65,845.4,825.0,826.0,1130937
2018-02-15,830.0,832.3,819.0,823.5,870431
2018-02-16,823.5,829.8,821.9,825.8,588886
2018-02-19,825.9,835.0,807.0,813.3,1205004
2018-02-20,812.0,822.25,810.25,815.85,735285
2018-02-21,816.8,827.0,811.55,813.95,1178644
2018-02-22,813.0,815.45,796.9,801.1,1658327
2018-02-23,803.1,814.8,803.6,809.35,1752859
2018-02-26,813.0,824.45,810.45,822.0,1033387
2018-02-27,824.7,831.45,819.15,826.0,974265
2018-02-28,823.9,828.9,815.1,822.0,880600
2018-03-01,820.0,824.1,802.35,804.0,1310239
2018-03-05,804.0,806.0,789.0,790.0,1937529
2018-03-06,792.0,795.0,768.6,771.0,2520369
2018-03-07,772.0,773.0,756.05,762.7,1283282
2018-03-08,765.0,774.4,750.15,770.1,1342319
2018-03-09,775.0,781.0,762.6,764.05,811381
2018-03-12,768.0,773.7,761.95,771.5,1169506
2018-03-13,770.0,784.9,768.6,780.9,879036
2018-03-14,779.9,786.8,778.5,781.5,694237
2018-03-15,781.0,792.0,773.8,775.0,830903
2018-03-16,776.5,783.9,760.0,761.9,1413363
2018-03-19,766.4,772.6,759.3,765.3,1189172
2018-03-20,761.4,774.0,757.25,772.25,972026
2018-03-21,771.8,780.0,765.0,768.85,755973
2018-03-22,770.0,775.0,757.0,757.0,726957
2018-03-23,752.95,752.95,731.45,734.0,1693018
2018-03-26,735.0,744.0,727.1,740.1,1268870
2018-03-27,742.8,752.8,742.8,750.0,941822
2018-03-28,750.0,755.7,732.85,735.9,2215807
2018-04-02,743.35,779.9,740.0,779.0,2121399
2018-04-03,772.15,799.0,766.35,787.8,2353290
2018-04-04,792.0,796.3,771.1,777.0,1473489
2018-04-05,783.0,790.0,779.55,787.4,659161
2018-04-06,788.0,842.8,785.3,808.95,5613646
2018-04-09,809.8,818.2,791.0,794.5,1893430
2018-04-10,799.0,805.0,785.65,790.6,1130963
2018-04-11,792.0,798.9,781.1,787.95,1206725
2018-04-12,785.35,788.75,772.0,773.0,1129913
2018-04-13,774.0,782.75,773.95,780.0,1069047
2018-04-16,771.0,797.5,770.8,794.0,1698955
2018-04-17,795.1,809.0,795.1,804.8,2202344
