date,open,high,low,close,volume
2017-07-03,210.29,215.93,208.31,212.82,2446636
2017-07-04,215.04,216.44,210.1,215.47,2770109
2017-07-05,216.41,219.95,215.99,219.49,3140819
2017-07-06,219.68,223.33,218.3,218.64,4471270
2017-07-07,218.58,222.05,217.63,220.65,2156248
2017-07-10,220.44,224.34,208.52,223.4,35222058208
2017-07-11,224.31,224.34,218.4,219.01,2263899
2017-07-12,219.92,223.3,219.16,222.54,1917016
2017-07-13,223.76,226.44,221.6,223.52,1740681
2017-07-14,223.15,227.36,220.59,226.5,2240173
2017-07-17,227.39,227.63,222.79,224.31,1803754
2017-07-18,222.79,225.01,212.42,213.4,2862405
2017-07-19,215.19,218.67,214.01,218.4,3078950
2017-07-20,219.49,220.71,216.63,217.79,1576645
2017-07-21,218.98,220.35,213.15,215.99,1713117
2017-07-24,217.45,225.29,213.67,222.91,7041355
2017-07-25,223.36,245.5,223.36,243.55,25547546
2017-07-26,243.58,245.95,239.37,241.11,6141061
2017-07-27,243.39,246.9,240.5,243.88,6729767
2017-07-28,242.84,248.52,240.68,245.19,5612056
2017-07-31,248.55,250.13,243.36,244.25,4825025
2017-08-01,244.55,248.42,242.78,244.37,2671929
2017-08-02,245.5,246.29,241.02,242.75,2257216
2017-08-03,245.68,247.27,238.21,241.38,3673403
2017-08-04,242.05,259.73,238.94,259.22,11221790
2017-08-07,258.24,260.71,256.05,259.12,2562816
2017-08-08,259.03,265.4,254.98,260.34,3966128
2017-08-09,258.51,263.39,256.72,258.97,4046555
2017-08-10,257.48,257.66,241.93,252.42,2993068
2017-08-11,245.68,255.47,235.28,253.36,7712136
2017-08-14,253.3,260.07,253.3,258.45,1663873
2017-08-16,260.98,262.39,252.11,259.73,2536594
2017-08-17,258.91,263.21,254.25,255.59,4112697
2017-08-18,256.01,256.01,248.27,253.97,2700242
2017-08-21,254.34,255.4,245.44,246.53,3232751
2017-08-22,247.27,252.66,242.3,247.54,3853150
2017-08-23,248.73,251.35,245.74,250.98,1920935
2017-08-24,251.23,251.75,247.23,249.98,2266003
2017-08-28,250.01,256.47,248.18,256.11,2928645
2017-08-29,254.25,258.36,249.98,250.31,2249807
2017-08-30,253.64,260.16,253.64,258.76,3277427
2017-08-31,259.73,263.51,258.27,260.34,5537498
2017-09-01,261.53,267.63,259.49,267.36,2231246
2017-09-04,267.9,270.22,255.8,259.03,2962279
2017-09-05,261.44,268.76,259.55,267.05,2179054
2017-09-06,265.16,273.45,262.48,271.9,3592048
2017-09-07,273.54,274.98,268.48,269.0,2164119
2017-09-08,270.98,274.88,268.33,271.68,2012844
2017-09-11,272.75,277.57,270.74,274.37,2625106
2017-09-12,275.59,275.65,271.96,273.57,1307872
2017-09-13,273.18,275.53,266.96,267.66,2819655
2017-09-14,269.52,271.26,264.18,265.22,1513292
2017-09-15,263.76,266.38,259.34,263.73,2216330
2017-09-18,265.83,268.76,265.22,266.04,1175804
2017-09-19,264.61,268.18,262.72,263.21,1282382
2017-09-20,263.48,264.15,257.87,259.03,1423210
2017-09-21,258.18,260.89,252.42,258.51,3821036
2017-09-22,256.72,257.63,247.48,248.15,2734440
2017-09-25,248.0,248.0,235.68,246.32,3994723
2017-09-26,244.7,252.48,244.7,246.69,3042429
2017-09-27,247.45,249.19,239.98,241.26,2247280
2017-09-28,241.44,245.83,237.63,243.97,1813105
2017-09-29,245.59,255.98,245.56,251.41,3641481
2017-10-03,253.24,260.1,253.03,257.29,2519739
2017-10-04,259.25,261.35,253.21,255.47,2045570
2017-10-05,255.01,257.9,251.99,253.09,1453540
2017-10-06,254.86,258.76,253.64,255.53,2838809
2017-10-09,258.39,263.7,255.47,256.87,3414208
2017-10-10,257.69,259.52,256.44,257.14,2391148
2017-10-11,257.33,258.94,253.03,253.88,5024594
2017-10-12,253.91,258.76,251.08,257.26,2537028
2017-10-13,259.64,259.64,255.07,255.47,3473231
2017-10-16,256.11,264.92,256.11,263.48,3661190
2017-10-17,267.05,267.66,261.96,264.03,5274514
2017-10-18,264.0,264.89,258.24,259.92,22869785010
2017-10-23,256.38,259.49,255.95,257.84,5519276521
2017-10-24,259.12,259.73,247.91,256.08,5192739
2017-10-25,255.98,255.98,240.35,248.15,4159852
2017-10-26,246.35,256.84,243.82,253.82,6389980
2017-10-27,256.08,259.73,254.4,256.23,5536642
2017-10-30,257.97,262.29,256.96,259.73,3030069
2017-10-31,259.22,264.82,256.84,264.03,3505618
2017-11-01,266.44,268.85,262.42,265.53,3296713
2017-11-02,268.51,271.1,264.7,265.98,3867641
2017-11-03,265.28,267.84,262.6,264.0,1116636
2017-11-06,262.17,269.85,263.24,264.12,1323404
2017-11-07,264.98,265.98,256.23,259.55,1648478
2017-11-08,261.56,260.65,249.83,251.9,2088702
2017-11-09,253.03,259.12,251.26,257.84,1410210
2017-11-10,256.08,256.47,251.2,253.58,955667
2017-11-13,251.2,268.12,251.35,263.06,5313512
2017-11-14,260.95,269.37,258.97,267.81,2553891
2017-11-15,268.24,276.5,262.72,271.44,4167728
2017-11-16,272.17,274.95,264.34,267.02,2101072
2017-11-17,268.64,271.38,264.64,265.62,1310956
2017-11-20,267.05,270.5,263.64,265.22,1309694
2017-11-21,266.99,268.82,260.16,266.17,1577645
2017-11-22,265.22,268.6,262.48,263.64,841773
2017-11-23,262.78,270.71,262.39,267.26,2961934
2017-11-24,267.29,275.53,266.68,272.29,2882021
2017-11-27,271.93,272.96,267.57,269.64,1602631
2017-11-28,271.29,274.92,267.45,270.92,2136709
2017-11-29,271.01,276.74,263.33,271.93,2782414
2017-11-30,274.37,274.58,265.31,269.37,4373259
2017-12-01,270.59,281.07,267.45,270.71,5835767
2017-12-04,271.29,272.78,266.2,272.23,2142674
2017-12-05,269.58,271.56,261.08,270.71,3897700
2017-12-06,269.55,272.63,265.65,270.34,3180618
2017-12-07,270.74,278.94,271.1,277.11,3392376
2017-12-08,280.43,280.89,273.7,274.28,1431627
2017-12-11,277.57,292.96,276.2,292.38,5309432
2017-12-12,291.8,291.8,276.68,279.85,5417268
2017-12-13,279.61,283.82,274.64,275.98,2976488
2017-12-14,276.23,279.61,270.59,272.9,2243856
2017-12-15,273.88,283.79,273.73,281.07,3763534
2017-12-18,273.15,288.39,270.1,280.83,1891666
2017-12-19,281.32,291.35,281.07,289.21,3119777
2017-12-20,289.79,298.02,287.11,292.2,2182056
2017-12-21,294.43,293.45,286.68,288.39,1652092
2017-12-22,288.39,292.02,287.23,288.33,1022384
2017-12-26,290.77,293.27,286.93,290.01,744536
2017-12-27,290.22,291.83,286.93,286.93,1138763
2017-12-28,287.17,290.71,284.12,284.46,5452809
2017-12-29,285.74,290.19,284.82,287.99,1487699
2018-01-01,288.88,291.99,286.04,286.87,662211
2018-01-02,287.17,288.94,278.18,282.6,2355481
2018-01-03,283.21,285.4,280.46,282.81,1127724
2018-01-04,283.27,296.32,283.27,292.29,3544313
2018-01-05,293.69,297.02,281.74,294.12,3568379
2018-01-08,295.71,301.74,294.52,299.36,2590476
2018-01-09,301.19,301.8,292.93,294.49,1396337
2018-01-10,295.1,297.2,289.06,292.05,1019318
2018-01-11,289.98,295.04,287.84,293.54,1819130
2018-01-12,295.1,294.94,286.04,293.24,1413715
2018-01-15,293.76,301.44,292.78,300.31,1929650
2018-01-16,298.88,306.19,289.61,294.06,3830540
2018-01-17,293.94,297.2,288.39,296.19,1520525
2018-01-18,296.8,297.38,284.55,289.09,1520810
2018-01-19,289.0,292.6,283.15,287.23,3133683
2018-01-22,287.11,299.3,286.8,297.84,2652771
2018-01-23,298.75,311.92,298.15,308.75,4907781
2018-01-24,310.16,312.14,291.44,298.94,9435640
2018-01-25,304.85,305.86,287.41,294.61,6701828
2018-01-29,291.32,299.67,290.01,291.99,3053429
2018-01-30,291.13,291.29,283.88,288.12,2716304
2018-01-31,288.3,289.55,273.3,283.15,4865663
2018-02-01,283.51,291.62,274.37,288.85,4329990
2018-02-02,280.46,283.51,269.49,272.54,2807806
2018-02-05,265.22,270.56,256.08,266.59,3461072
2018-02-06,253.03,278.82,244.49,270.1,3826167
2018-02-07,275.83,277.2,264.43,267.66,2927097
2018-02-08,269.25,276.01,269.18,272.81,2397046
2018-02-09,269.49,276.07,265.86,269.49,3277516
2018-02-12,272.99,274.88,270.04,270.37,1095535
2018-02-14,273.03,284.67,271.93,276.68,3779325
2018-02-15,276.32,282.54,274.09,277.26,1512699
2018-02-16,278.33,281.38,264.61,267.66,2016595
2018-02-19,269.18,269.64,256.11,261.75,2364613
2018-02-20,263.76,268.85,259.12,265.8,2099682
2018-02-21,267.63,270.1,264.34,266.44,1839143
2018-02-22,264.0,266.23,256.93,257.9,2628678
2018-02-23,260.31,270.1,259.15,269.61,1755299
2018-02-26,268.82,274.92,267.26,272.75,2062579
2018-02-27,274.98,274.98,265.65,267.72,2266610
2018-02-28,267.51,268.39,261.32,263.45,3184830
2018-03-01,262.66,265.8,259.12,260.34,1775796
2018-03-05,260.95,267.96,255.37,265.86,2458522
2018-03-06,267.78,272.81,261.56,262.93,2252025
2018-03-07,265.04,264.43,254.92,257.9,2928832
2018-03-08,258.51,261.32,251.35,256.08,2936108
2018-03-09,257.29,265.19,255.25,256.14,2922257
