date,open,high,low,close,volume
2017-07-03,98.35,99.6,97.45,98.4,6048358
2017-07-04,98.5,99.35,97.2,97.35,3877953
2017-07-05,97.85,98.2,96.2,97.2,3729317
2017-07-06,97.5,102.95,97.05,102.2,18704751
2017-07-07,102.7,104.0,101.2,101.85,5820544
2017-07-10,105.0,105.0,101.0,101.3,21475882863
2017-07-11,101.8,102.35,96.7,97.2,5565982
2017-07-12,97.3,100.5,96.15,99.9,6480398
2017-07-13,100.8,101.0,98.25,98.7,2998600
2017-07-14,99.25,101.85,97.35,101.25,6544795
2017-07-17,101.7,102.8,100.1,101.9,6969927
2017-07-18,101.95,103.3,99.9,101.05,5642997
2017-07-19,101.8,102.65,100.55,101.1,3385018
2017-07-20,101.55,103.25,101.1,102.25,3633718
2017-07-21,101.55,106.1,101.4,105.4,12620421
2017-07-24,106.35,109.4,106.05,108.6,12019287
2017-07-25,109.6,110.35,107.5,107.95,6380245
2017-07-26,108.0,108.9,106.6,107.25,3412147
2017-07-27,108.05,108.95,103.1,105.0,7333623
2017-07-28,103.8,105.8,102.3,105.4,3751869
2017-07-31,105.7,107.35,105.3,106.8,3115022
2017-08-01,107.0,107.5,105.15,105.4,1970857
2017-08-02,106.05,107.25,104.8,105.5,2933817
2017-08-03,105.9,106.2,102.0,102.4,3076937
2017-08-04,102.1,103.8,101.05,103.1,3097894
2017-08-07,103.3,106.7,103.1,106.25,8083789
2017-08-08,106.95,107.0,103.45,104.25,4415503
2017-08-09,103.85,103.85,97.8,98.25,6140456
2017-08-10,97.05,98.4,90.4,94.5,6334896
2017-08-11,86.7,87.7,82.3,85.85,17350517
2017-08-14,87.6,90.6,86.5,88.6,6742414
2017-08-16,89.45,91.4,89.2,90.45,5165773
2017-08-17,91.15,91.15,87.35,87.95,4798178
2017-08-18,86.2,86.2,83.3,84.85,8051877
2017-08-21,85.35,96.35,83.55,94.7,65241066
2017-08-22,97.3,97.3,90.7,91.95,14792992
2017-08-23,92.2,94.45,92.0,92.8,6125883
2017-08-24,92.7,98.0,92.5,95.8,12324768
2017-08-28,95.95,97.45,95.3,95.35,4521655
2017-08-29,95.25,95.45,92.35,92.9,4756024
2017-08-30,94.7,97.25,94.5,95.75,7591010
2017-08-31,95.95,99.75,94.9,99.35,10068368
2017-09-01,100.95,104.8,100.85,103.15,14579939
2017-09-04,103.0,105.0,98.45,101.6,9151843
2017-09-05,103.0,104.2,102.1,103.1,4515463
2017-09-06,101.0,107.8,101.0,106.95,12811993
2017-09-07,107.65,108.25,104.5,105.0,8833068
2017-09-08,106.0,111.75,106.0,108.4,20622818
