date,open,high,low,close,volume
2017-07-03,598.05,600.5,585.25,598.0,50904
2017-07-04,598.0,600.4,596.5,599.0,87036
2017-07-05,600.0,600.0,580.3,595.0,83731
2017-07-06,595.0,600.0,591.55,596.0,44067
2017-07-07,598.0,603.0,591.4,595.65,28896
2017-07-10,597.0,622.0,597.0,614.9,12884922748
2017-07-11,619.0,620.0,596.0,601.8,121083
2017-07-12,606.8,606.8,598.3,603.0,60865
2017-07-13,585.35,588.95,581.3,584.5,115467
2017-07-14,583.9,583.9,571.5,577.0,74979
2017-07-17,572.05,575.95,563.1,570.0,98157
2017-07-18,570.9,574.9,566.55,572.0,35312
2017-07-19,566.4,580.0,563.6,579.0,83679
2017-07-20,579.0,583.05,571.05,576.95,56362
2017-07-21,576.95,579.0,573.1,578.2,25307
2017-07-24,578.2,580.05,577.0,579.5,56478
2017-07-25,575.1,584.0,575.1,582.65,28652
2017-07-26,581.9,599.6,580.0,595.05,127110
2017-07-27,601.0,648.6,591.5,602.0,856686
2017-07-28,599.6,604.7,587.35,595.0,170679
2017-07-31,598.95,611.3,595.55,602.0,142030
2017-08-01,602.0,608.0,587.0,590.25,73677
2017-08-02,590.0,605.0,587.05,605.0,110457
2017-08-03,598.8,608.0,596.85,607.0,85809
2017-08-04,607.0,607.0,592.6,598.0,68060
2017-08-07,600.0,604.0,594.3,595.4,36754
2017-08-08,597.0,605.7,562.2,581.0,150831
2017-08-09,587.0,588.85,575.0,586.0,19797
2017-08-10,586.0,586.0,564.2,570.0,57768
2017-08-11,578.0,578.0,561.1,575.0,13281
2017-08-14,575.0,603.95,575.0,592.85,35709
2017-08-16,592.85,605.0,582.05,583.2,36426
2017-08-17,583.95,594.85,583.95,592.6,8420
2017-08-18,592.6,594.3,582.85,592.2,20261
2017-08-21,592.2,595.7,584.4,592.05,18667
2017-08-22,592.05,594.65,588.05,594.0,8995
2017-08-23,594.0,594.0,586.0,591.45,34396
2017-08-24,589.0,608.7,587.3,604.5,27041
2017-08-28,596.15,619.75,596.15,617.0,63054
2017-08-29,614.0,619.6,608.0,613.65,47514
2017-08-30,618.0,619.0,598.95,618.0,75856
2017-08-31,615.0,628.0,607.05,608.15,58116
2017-09-01,608.15,616.95,600.0,603.2,23609
2017-09-04,603.2,611.8,603.2,607.8,111213
2017-09-05,609.0,611.45,603.0,603.0,46992
2017-09-06,603.25,612.0,597.0,605.0,155505
2017-09-07,610.3,618.0,604.05,609.5,57660
2017-09-08,609.5,613.5,602.1,606.5,37178
2017-09-11,607.0,620.0,604.45,617.0,196725
2017-09-12,613.9,618.45,600.75,604.0,28021
2017-09-13,610.0,610.0,602.0,607.95,7454
2017-09-14,601.05,607.95,601.05,606.5,7213
2017-09-15,606.95,639.0,604.9,633.0,59323
2017-09-18,630.0,641.25,606.0,613.0,192475
2017-09-19,618.0,626.95,611.0,623.9,28485
2017-09-20,620.0,625.0,612.1,617.95,45425
