date,open,high,low,close,volume
2017-07-03,617.2,623.74,602.04,604.0,1048
2017-07-04,604.0,610.0,602.0,604.96,491
2017-07-05,604.96,611.48,601.5,607.2,454
2017-07-06,607.2,613.4,603.6,604.4,1655
2017-07-07,614.0,617.76,603.8,604.2,1845
2017-07-10,620.0,620.0,604.01,610.0,1717987378
2017-07-11,616.8,634.99,606.52,630.0,2704
2017-07-12,631.0,659.0,631.0,652.05,2938
2017-07-13,659.4,688.2,654.2,662.4,6658
2017-07-14,666.8,670.88,645.03,647.4,2399
2017-07-17,656.0,666.87,652.4,658.02,2684
2017-07-18,662.0,662.0,650.2,658.42,2241
2017-07-19,664.9,684.8,664.9,670.0,92113
2017-07-20,673.9,684.05,671.0,672.5,55910
2017-07-21,678.9,680.0,664.0,665.0,30261
2017-07-24,669.9,669.9,645.5,648.0,46826
2017-07-25,650.0,650.0,622.0,623.0,59323
2017-07-26,652.6,699.0,637.9,664.0,509682
2017-07-27,668.85,683.8,655.0,670.0,127353
2017-07-28,666.0,690.0,661.0,682.0,102327
2017-07-31,686.3,705.0,684.95,697.0,130806
2017-08-01,702.0,753.7,698.0,748.4,319437
2017-08-02,746.7,799.2,746.7,757.0,384683
2017-08-03,760.0,764.6,720.6,727.0,199866
2017-08-04,731.85,764.0,728.0,742.0,120468
2017-08-07,740.0,754.4,736.3,743.0,45828
2017-08-08,745.6,745.7,710.9,728.85,57237
2017-08-09,722.6,722.6,680.0,680.0,80055
2017-08-10,682.0,682.6,649.0,650.0,93002
2017-08-11,625.0,693.0,620.0,680.0,117407
2017-08-14,693.35,714.15,693.35,700.1,50544
2017-08-16,706.95,718.15,700.0,702.0,38135
2017-08-17,708.6,717.55,689.1,693.6,46580
2017-08-18,690.0,694.0,679.0,679.3,30407
2017-08-21,685.3,690.0,667.0,677.0,23430
2017-08-22,677.0,679.9,652.1,658.0,39947
2017-08-23,662.6,670.0,657.15,661.25,36479
2017-08-24,667.0,669.9,659.5,660.4,26190
2017-08-28,669.95,670.0,657.1,658.0,30501
2017-08-29,662.0,667.9,654.1,658.0,57473
2017-08-30,665.6,667.0,660.0,661.0,41320
2017-08-31,663.0,666.8,658.0,659.5,19626
2017-09-01,670.0,670.0,660.1,665.0,64413
2017-09-04,665.0,668.0,658.0,664.0,116115
2017-09-05,664.0,688.75,658.3,672.5,41547
2017-09-06,665.05,677.0,665.05,672.75,44732
2017-09-07,672.75,677.9,665.05,672.0,68108
2017-09-08,676.0,678.45,665.0,668.95,22170
2017-09-11,670.0,682.0,663.2,668.45,23433
2017-09-12,675.0,675.0,665.25,668.3,26238
2017-09-13,670.0,671.9,647.0,654.0,38927
2017-09-14,656.5,687.3,655.0,655.45,33317
2017-09-15,658.15,660.0,649.0,650.0,32063
2017-09-18,652.1,660.0,652.1,654.0,28217
2017-09-19,654.0,662.0,652.0,658.0,41946
2017-09-20,659.0,660.0,651.45,653.0,21659
2017-09-21,656.0,657.0,645.05,649.35,21857
2017-09-22,649.35,650.0,635.1,642.0,60278
2017-09-25,642.0,647.95,615.0,644.45,38195
2017-09-26,637.0,663.0,635.0,660.0,34766
2017-09-27,660.0,668.0,647.3,666.0,40965
2017-09-28,666.0,670.0,651.05,665.0,59625
2017-09-29,665.0,709.0,665.0,693.45,132897
2017-10-03,707.7,707.7,685.0,690.0,26850
2017-10-04,690.0,705.65,688.3,693.5,23191
2017-10-05,693.5,776.3,693.5,743.95,191053
2017-10-06,753.8,785.0,745.0,757.0,125005
2017-10-09,757.0,764.8,740.0,746.0,45723
2017-10-10,749.0,753.5,735.05,740.0,30242
2017-10-11,743.0,752.05,701.1,719.15,32790
2017-10-12,721.1,727.75,705.1,720.0,60585
2017-10-13,726.9,739.7,710.0,718.5,30776
2017-10-16,726.9,726.9,703.9,704.0,45571
2017-10-17,711.7,711.7,701.0,702.6,23827
2017-10-18,702.6,723.0,700.0,707.1,17023409539
2017-10-23,711.1,724.0,709.2,711.8,25671780451
2017-10-24,709.95,727.8,703.8,708.2,39747
2017-10-25,708.0,719.5,695.5,696.0,42465
2017-10-26,700.0,735.25,698.5,726.0,98683
2017-10-27,740.0,758.7,728.0,735.0,108531
2017-10-30,767.0,767.0,737.5,740.5,138393
2017-10-31,749.0,749.55,737.9,743.7,72913
2017-11-01,0.0,746.45,725.1,731.95,47351
2017-11-02,0.0,745.0,729.9,730.0,41260
2017-11-03,730.0,739.0,727.2,730.0,26805
2017-11-06,734.0,736.95,721.1,729.0,26718
2017-11-07,720.05,732.0,704.45,708.8,53274
2017-11-08,709.0,723.0,697.1,714.0,51779
2017-11-09,713.0,715.75,695.0,704.8,56473
2017-11-10,706.0,706.9,695.0,704.5,45015
2017-11-13,700.0,705.0,674.9,684.0,46814
2017-11-14,680.05,697.0,676.05,685.0,27738
2017-11-15,689.25,715.8,680.0,694.0,53550
2017-11-16,691.0,705.0,674.0,682.05,29723
2017-11-17,685.1,695.0,682.1,682.65,20209
2017-11-20,686.35,699.0,676.25,681.2,21760
2017-11-21,686.0,710.0,682.5,696.15,71326
2017-11-22,698.0,707.0,690.35,706.0,17007
2017-11-23,710.0,715.9,694.0,707.5,28013
2017-11-24,712.9,712.9,695.0,698.6,17593
2017-11-27,707.5,708.0,697.6,704.0,18229
2017-11-28,704.0,705.55,680.05,683.95,38485
2017-11-29,688.0,704.85,681.0,695.8,104035
2017-11-30,695.8,698.0,685.65,689.1,8931
2017-12-01,690.5,702.7,685.4,700.0,41117
2017-12-04,700.0,704.0,684.65,700.3,41550
2017-12-05,700.4,700.4,660.0,698.0,39198
2017-12-06,700.0,707.0,689.05,691.5,24466
2017-12-07,689.0,700.0,689.0,692.1,18452
2017-12-08,692.1,701.0,692.1,696.0,12415
2017-12-11,697.1,705.0,694.0,698.0,18570
2017-12-12,699.95,699.95,691.0,698.0,10240
2017-12-13,696.85,698.45,689.0,691.0,9645
2017-12-14,695.5,698.9,689.05,691.2,23163
2017-12-15,703.0,703.0,694.05,697.75,20137
2017-12-18,697.0,712.0,676.95,710.8,46722
2017-12-19,707.2,736.0,707.2,728.0,49794
2017-12-20,732.0,756.0,730.1,752.0,64001
2017-12-21,751.05,782.8,751.05,773.0,66500
2017-12-22,800.0,825.0,782.6,814.0,176823
2017-12-26,818.2,880.0,814.95,873.0,274601
2017-12-27,868.0,868.9,820.0,827.05,75681
2017-12-28,827.5,839.0,819.15,822.0,36964
2017-12-29,821.05,832.05,818.0,830.75,65130
2018-01-01,834.8,847.1,820.0,829.0,29829
2018-01-02,832.0,832.0,800.65,812.0,43966
2018-01-03,810.05,824.95,807.45,811.15,17574
2018-01-04,821.15,839.9,813.6,822.0,30933
2018-01-05,830.0,830.0,815.25,822.0,17253
2018-01-08,832.0,847.1,830.05,833.0,33511
2018-01-09,845.0,844.7,812.35,834.0,15037
2018-01-10,838.0,840.0,801.9,816.5,18567
2018-01-11,822.0,829.9,814.5,827.0,13237
2018-01-12,825.5,859.9,817.85,842.0,37621
2018-01-15,848.0,854.7,830.0,834.35,27636
2018-01-16,833.0,840.95,816.0,820.0,36122
2018-01-17,827.0,828.2,805.0,813.0,19520
2018-01-18,830.0,830.0,779.95,799.95,34891
2018-01-19,799.95,805.0,783.7,794.65,26393
2018-01-22,792.0,800.45,786.2,789.05,9377
2018-01-23,801.0,838.0,791.0,830.9,56536
2018-01-24,826.0,831.5,816.45,826.05,21206
2018-01-25,828.1,834.7,819.45,825.95,11465
2018-01-29,828.5,838.8,806.8,819.0,22302
2018-01-30,803.0,837.0,770.2,803.3,78420
2018-01-31,819.9,820.0,786.0,795.4,33225
2018-02-01,795.4,816.0,784.5,796.0,49119
2018-02-02,789.25,790.0,749.05,784.0,72837
2018-02-05,763.25,793.05,743.0,785.65,52316
2018-02-06,766.85,790.0,711.0,785.0,87415
2018-02-07,790.05,814.5,784.95,800.0,40159
2018-02-08,806.45,814.0,800.0,810.0,37766
2018-02-09,781.1,812.9,781.1,810.0,39930
2018-02-12,825.0,843.95,813.1,817.0,59104
2018-02-14,830.0,830.0,800.0,803.8,26535
2018-02-15,800.0,809.7,790.0,793.7,13065
2018-02-16,793.8,807.5,775.0,775.25,17885
2018-02-19,776.85,790.5,758.0,764.05,10100
2018-02-20,764.05,772.9,760.0,760.0,11542
2018-02-21,765.0,768.9,740.0,740.05,32405
2018-02-22,736.0,761.8,729.0,740.0,32876
2018-02-23,748.0,782.95,748.0,763.0,304087
2018-02-26,769.65,824.0,766.8,800.0,181287
2018-02-27,809.9,839.65,808.0,810.0,96545
2018-02-28,807.7,818.0,802.0,810.0,81558
2018-03-01,815.0,818.7,805.05,808.0,55497
2018-03-05,808.0,812.8,802.0,810.0,21148
2018-03-06,814.0,838.0,804.85,816.0,75909
2018-03-07,827.85,827.85,798.35,803.95,44410
2018-03-08,811.55,820.0,799.05,810.0,2003616
2018-03-09,819.95,820.0,797.4,797.4,257707
2018-03-12,800.1,810.05,785.0,785.65,38174
2018-03-13,788.9,798.8,775.25,792.0,34058
2018-03-14,799.0,799.0,780.0,785.05,37726
2018-03-15,797.0,802.9,786.3,791.5,9943
2018-03-16,798.0,798.0,775.0,780.0,10879
2018-03-19,768.0,776.85,757.5,757.5,18883
2018-03-20,751.15,760.25,745.0,748.95,34745
2018-03-21,753.0,794.9,752.9,762.05,50199
2018-03-22,773.0,783.0,755.0,762.0,23452
2018-03-23,750.0,758.0,735.0,755.0,42937
2018-03-26,747.0,757.0,724.3,750.0,40653
2018-03-27,770.0,786.05,760.0,774.0,25958
2018-03-28,771.0,780.2,763.0,766.0,73030
2018-04-02,782.0,782.0,765.2,779.95,31265
2018-04-03,778.25,792.0,778.25,788.85,21180
2018-04-04,798.0,806.0,761.9,797.95,59653
2018-04-05,804.0,810.1,795.9,804.0,46003
2018-04-06,796.1,815.95,796.0,807.6,15082
2018-04-09,820.0,820.0,786.0,792.0,43943
2018-04-10,800.0,802.25,777.0,779.15,21284
2018-04-11,781.0,788.8,768.0,778.0,14922
2018-04-12,777.3,790.7,777.0,777.35,10121
2018-04-13,776.0,785.7,771.0,774.0,11507
2018-04-16,777.0,777.0,764.8,766.0,27067
2018-04-17,779.4,779.4,755.0,762.95,26000
2018-04-18,763.45,771.0,747.0,752.0,36523
2018-04-19,767.5,767.5,751.0,762.0,149032
2018-04-20,760.05,775.0,753.3,765.0,117910
2018-04-23,765.95,786.0,761.95,777.9,27865
2018-04-24,780.0,785.0,775.0,775.0,14255
2018-04-25,783.5,783.5,755.1,763.0,86659
2018-04-26,768.0,768.0,753.6,759.8,14759
2018-04-27,763.0,767.0,756.95,760.65,26579
2018-04-30,765.0,783.0,765.0,769.1,14184
2018-05-02,784.8,790.1,760.05,766.1,12900
2018-05-03,766.1,770.4,754.0,756.0,17051
2018-05-04,761.8,778.0,756.1,763.0,30223
2018-05-07,770.35,779.8,758.0,766.0,18289
2018-05-08,776.0,779.5,764.95,770.0,31781
2018-05-09,773.0,779.0,757.0,760.0,59720
2018-05-10,742.1,759.0,739.9,747.9,51894
2018-05-11,754.85,771.5,742.05,770.0,29318
2018-05-14,768.0,768.0,752.0,756.0,41497
2018-05-15,745.8,763.0,741.4,742.0,15461
2018-05-16,743.3,744.2,729.0,734.9,20773
2018-05-17,736.9,748.7,732.1,735.5,11788
2018-05-18,736.6,745.0,710.65,712.1,89919
2018-05-21,716.0,729.8,672.8,702.0,60370
2018-05-22,696.0,708.0,694.25,696.0,57167
2018-05-23,692.0,704.0,685.45,690.0,81195
2018-05-24,687.75,699.45,665.0,677.0,26556
2018-05-25,677.0,700.0,669.6,698.0,27422
2018-05-28,699.8,701.0,691.0,700.0,39074
2018-05-29,686.8,704.9,686.8,700.0,67089
2018-05-30,690.1,700.0,690.1,694.6,35278
2018-05-31,690.0,700.1,683.6,686.45,17176
2018-06-01,688.9,704.8,670.0,675.15,42648
