date,open,high,low,close,volume
2017-07-03,108.7,113.75,108.4,113.55,4528159
2017-07-04,113.45,114.15,111.2,111.65,2035885
2017-07-05,111.55,111.7,110.25,111.1,1993758
2017-07-06,111.25,114.2,111.2,113.3,2984369
2017-07-07,113.3,116.6,112.6,116.0,4253204
2017-07-10,115.95,118.8,115.95,117.5,21475506231
2017-07-11,118.0,118.9,117.0,117.75,2292842
2017-07-12,117.55,119.7,117.5,119.45,2944564
2017-07-13,119.95,120.5,118.05,119.25,2007754
2017-07-14,119.6,120.5,118.7,119.95,1662496
2017-07-17,120.25,120.9,118.75,120.3,1771599
2017-07-18,119.0,121.2,119.0,119.75,1217578
2017-07-19,119.7,120.5,119.55,120.0,825906
2017-07-20,119.75,124.65,119.75,123.75,4719851
2017-07-21,124.3,124.7,120.5,122.8,2678411
2017-07-24,121.7,123.85,121.7,122.7,1447518
2017-07-25,121.4,122.25,120.15,121.4,1489793
2017-07-26,122.3,124.4,121.15,123.9,3304907
2017-07-27,125.3,125.3,122.0,122.5,2475257
2017-07-28,121.3,123.3,121.2,122.55,1295497
2017-07-31,124.15,128.3,123.05,126.55,4460329
2017-08-01,128.0,128.0,125.15,125.55,2674999
2017-08-02,126.4,126.4,123.05,123.05,2286739
2017-08-03,124.0,124.85,120.65,120.9,2164034
2017-08-04,121.0,125.7,119.85,125.3,2770435
2017-08-07,125.6,126.75,125.2,126.1,1560622
2017-08-08,126.55,128.55,124.95,127.55,4365366
2017-08-09,128.45,130.4,123.4,126.0,5985742
2017-08-10,128.5,129.7,118.8,122.85,10325536
2017-08-11,119.0,123.65,116.35,118.3,6175032
2017-08-14,119.05,121.95,118.7,120.65,2712973
2017-08-16,121.9,122.15,119.3,120.9,2610566
2017-08-17,121.5,125.35,121.5,122.85,2769945
2017-08-18,121.6,122.5,119.65,120.75,2170349
2017-08-21,122.4,125.9,120.55,121.5,5556836
2017-08-22,122.3,124.45,121.15,122.0,2550653
2017-08-23,122.5,123.8,121.25,123.05,2236604
2017-08-24,123.1,123.7,122.0,122.3,1532137
2017-08-28,121.05,123.5,121.05,122.65,3391452
2017-08-29,121.85,123.25,121.0,121.9,1537598
2017-08-30,122.7,127.5,122.65,126.25,6207932
2017-08-31,127.3,127.6,126.2,126.5,2904822
2017-09-01,127.1,133.2,127.0,133.1,6800441
2017-09-04,133.95,136.2,131.8,134.4,7775388
