date,open,high,low,close,volume
2017-07-03,2738.96,2817.23,2693.01,2801.71,184291
2017-07-04,2799.76,2838.58,2721.59,2728.92,222134
2017-07-05,2742.55,2755.85,2722.13,2735.71,106344
2017-07-06,2746.29,2875.55,2746.29,2850.23,339543
2017-07-07,2874.05,2914.86,2839.45,2848.29,442687
2017-07-10,2862.84,2862.84,2767.74,2813.25,20840395752
2017-07-11,2823.49,2848.29,2766.77,2771.62,175431
2017-07-12,2780.36,2851.2,2780.36,2839.06,199837
2017-07-13,2836.79,2854.79,2805.2,2831.79,136079
2017-07-14,2831.45,2841.25,2809.47,2818.2,84036
2017-07-17,2817.23,2881.23,2817.23,2835.76,132400
2017-07-18,2868.62,2885.17,2815.67,2843.34,147887
2017-07-19,2839.55,2880.31,2837.61,2860.9,98246
2017-07-20,2879.34,2885.17,2845.86,2847.51,96075
2017-07-21,2849.25,2862.84,2814.32,2824.7,78138
2017-07-24,2848.29,2853.14,2814.32,2834.6,83331
2017-07-25,2838.58,2851.2,2814.32,2814.37,74419
2017-07-26,2822.09,2831.94,2806.56,2824.02,65544
2017-07-27,2824.02,2838.24,2746.97,2760.94,231418
2017-07-28,2759.0,2861.88,2754.2,2849.69,185277
2017-07-31,2858.14,2909.42,2834.94,2862.94,242343
2017-08-01,2877.4,2937.37,2855.56,2868.67,508881
2017-08-02,2892.93,2897.09,2815.29,2820.15,192295
2017-08-03,2833.54,2863.81,2802.0,2814.32,205166
2017-08-04,2825.0,2871.29,2817.62,2853.14,170842
2017-08-07,2872.45,2890.02,2835.67,2879.34,99932
2017-08-08,2880.31,2893.32,2824.02,2828.87,95005
2017-08-09,2824.02,2824.02,2741.54,2754.15,112923
2017-08-10,2746.29,2751.48,2569.62,2702.72,252129
2017-08-11,2645.89,2692.09,2571.51,2593.92,265366
2017-08-14,2630.9,2719.21,2630.9,2670.69,170543
2017-08-16,2688.16,2694.86,2621.44,2661.96,194749
2017-08-17,2688.06,2693.01,2624.16,2625.18,146548
2017-08-18,2619.26,2627.07,2572.62,2604.21,126568
2017-08-21,2615.38,2632.84,2528.03,2529.0,124740
2017-08-22,2552.3,2572.72,2461.07,2513.38,232264
2017-08-23,2524.88,2560.69,2513.48,2541.04,129099
2017-08-24,2538.71,2610.58,2538.71,2591.99,102014
2017-08-28,2600.72,2625.38,2591.11,2606.06,121377
2017-08-29,2610.62,2628.96,2562.15,2590.2,109676
2017-08-30,2619.69,2654.19,2594.07,2632.31,111947
2017-08-31,2644.93,2649.34,2620.9,2627.99,200137
2017-09-01,2633.82,2689.81,2633.82,2686.12,158535
2017-09-04,2678.21,2688.16,2592.09,2615.38,118842
2017-09-05,2676.95,2676.95,2607.71,2615.38,190299
2017-09-06,2606.64,2649.14,2583.55,2613.39,201399
2017-09-07,2641.58,2641.58,2611.49,2619.26,99518
2017-09-08,2625.08,2663.86,2599.65,2619.26,142589
2017-09-11,2620.52,2641.87,2596.45,2615.38,69627
2017-09-12,2628.91,2686.22,2615.58,2678.51,157803
2017-09-13,2686.61,2705.62,2666.08,2674.92,156378
2017-09-14,2696.9,2843.73,2691.07,2843.44,516389
2017-09-15,2834.7,2837.66,2775.5,2786.81,304135
2017-09-18,2813.74,2814.22,2746.34,2757.16,185804
2017-09-19,2765.89,2765.94,2681.03,2690.92,269219
2017-09-20,2694.96,2751.14,2672.58,2719.8,207853
2017-09-21,2731.83,2760.37,2693.01,2746.39,171263
2017-09-22,2731.93,2746.34,2651.62,2668.76,164022
2017-09-25,2672.68,2672.68,2592.09,2634.79,198405
2017-09-26,2620.18,2639.88,2587.24,2591.06,90118
2017-09-27,2615.33,2642.17,2520.27,2533.37,279170
2017-09-28,2548.71,2550.16,2478.69,2492.95,192696
2017-09-29,2513.82,2592.42,2498.93,2564.86,210184
2017-10-03,2592.09,2644.68,2566.86,2630.9,212176
2017-10-04,2615.38,2659.04,2603.05,2618.63,99211
2017-10-05,2634.79,2658.32,2612.85,2618.24,51576
2017-10-06,2640.75,2644.49,2599.31,2623.73,88176
2017-10-09,2623.14,2722.03,2615.38,2692.92,255262
2017-10-10,2720.86,2729.89,2674.67,2688.16,163206
2017-10-11,2697.67,2726.93,2638.91,2650.27,204010
2017-10-12,2673.66,2688.36,2647.02,2663.89,102261
2017-10-13,2693.01,2703.35,2643.52,2661.96,175977
2017-10-16,2663.89,2691.07,2635.9,2670.5,211499
2017-10-17,2664.87,2692.82,2644.93,2675.83,158964
2017-10-18,2675.83,2736.69,2658.13,2672.92,7958625836
2017-10-23,2678.46,2707.47,2644.98,2651.18,8115499681
2017-10-24,2654.19,2676.95,2641.43,2656.09,107528
2017-10-25,2663.89,2670.79,2529.93,2546.47,255568
2017-10-26,2581.36,2586.46,2530.03,2555.21,173879
2017-10-27,2570.73,2648.62,2557.15,2625.08,175556
2017-10-30,2639.64,2697.47,2612.85,2688.16,95370
2017-10-31,2680.93,2692.96,2649.73,2658.08,80524
2017-11-01,2649.44,2676.86,2612.8,2637.69,109382
2017-11-02,2663.89,2663.89,2627.99,2635.75,71465
2017-11-03,2636.78,2635.75,2593.59,2609.6,155961
2017-11-06,2600.82,2722.22,2585.44,2667.83,730786
2017-11-07,2694.96,2707.47,2605.72,2611.79,168577
2017-11-08,2640.65,2627.03,2548.51,2557.15,85604
2017-11-09,2575.59,2598.4,2534.83,2560.06,105179
2017-11-10,2562.0,2600.82,2544.68,2561.08,139611
2017-11-13,2571.71,2589.17,2532.89,2543.81,73162
2017-11-14,2547.44,2585.0,2533.86,2550.46,91428
2017-11-15,2560.6,2565.88,2475.77,2486.3,87201
2017-11-16,2487.28,2521.24,2492.81,2506.3,83048
