date,open,high,low,close,volume
2017-07-03,688.0,689.2,665.1,668.0,111409
2017-07-04,671.05,685.0,668.1,678.3,71748
2017-07-05,686.4,693.0,673.35,685.0,222403
2017-07-06,689.9,689.9,670.35,674.0,53702
2017-07-07,673.65,678.45,665.0,665.7,32578
2017-07-10,665.7,677.0,650.0,665.5,21474849854
2017-07-11,667.5,675.5,659.0,664.8,57751
2017-07-12,662.8,667.5,656.85,659.75,30794
2017-07-13,660.05,664.4,652.0,654.0,45828
2017-07-14,658.95,660.0,647.0,650.55,44310
2017-07-17,653.0,655.45,645.5,650.0,29680
2017-07-18,650.1,661.0,641.3,660.95,48548
2017-07-19,664.95,664.95,652.55,660.0,41984
2017-07-20,663.2,675.0,651.1,655.5,57391
2017-07-21,669.0,669.0,653.0,657.5,77509
2017-07-24,660.0,661.0,632.0,633.5,891811
2017-07-25,635.0,646.0,635.0,645.45,79516
2017-07-26,647.7,655.0,634.0,634.0,59129
2017-07-27,636.0,652.8,632.0,643.95,75066
2017-07-28,648.0,648.5,643.4,648.5,92403
2017-07-31,650.0,651.95,640.05,648.0,111120
2017-08-01,650.9,651.75,641.7,643.0,259782
2017-08-02,644.0,648.9,640.0,647.0,27923
2017-08-03,642.15,647.5,632.0,633.6,92724
2017-08-04,632.15,642.95,632.15,635.1,50546
2017-08-07,638.0,638.0,620.05,622.75,39698
2017-08-08,620.0,622.5,610.85,613.2,67518
2017-08-09,605.55,620.0,604.0,609.9,55311
2017-08-10,612.5,619.45,600.0,615.3,86907
2017-08-11,610.85,613.7,601.2,611.0,32282
2017-08-14,619.85,619.85,608.0,610.0,42162
2017-08-16,612.0,639.0,610.0,632.0,230503
2017-08-17,625.2,631.65,611.05,618.4,30205
2017-08-18,610.0,625.9,610.0,624.1,29744
2017-08-21,630.0,631.55,625.0,631.0,49119
2017-08-22,629.0,629.0,616.4,620.0,49145
2017-08-23,620.0,625.0,611.2,616.5,204235
2017-08-24,625.0,625.0,606.35,623.0,397977
2017-08-28,623.0,635.1,608.0,630.1,34581
2017-08-29,625.0,629.0,618.5,621.1,145505
2017-08-30,618.25,626.7,615.15,616.0,33204
2017-08-31,616.0,625.0,612.5,620.0,68716
2017-09-01,622.4,624.5,612.0,620.0,32323
2017-09-04,624.5,624.5,610.2,610.6,23431
2017-09-05,610.05,615.9,605.7,610.0,41311
2017-09-06,610.0,612.35,598.0,598.4,47273
2017-09-07,599.7,622.9,599.7,616.5,112941
2017-09-08,617.0,619.7,610.2,610.2,20557
2017-09-11,619.7,619.7,606.25,609.3,35046
2017-09-12,618.0,625.0,611.5,620.85,39077
2017-09-13,626.0,626.0,612.15,619.0,47576
2017-09-14,620.0,624.0,613.8,619.9,79733
2017-09-15,620.0,638.9,618.2,632.15,92876
2017-09-18,630.5,647.9,630.5,633.25,80341
2017-09-19,635.0,636.75,626.2,630.5,17953
2017-09-20,626.0,639.8,626.0,633.65,62227
2017-09-21,635.0,642.0,633.6,640.0,44581
2017-09-22,639.45,644.0,634.5,642.0,56846
2017-09-25,643.0,644.0,621.55,636.7,32236
2017-09-26,631.55,660.0,631.55,652.9,69482
2017-09-27,655.0,661.7,646.5,650.0,52738
2017-09-28,650.0,652.85,640.0,640.4,14939
2017-09-29,650.0,671.5,648.05,671.0,112475
2017-10-03,668.2,685.0,652.25,660.1,49492
2017-10-04,663.1,669.95,629.0,633.5,88080
2017-10-05,637.0,643.95,634.1,639.6,65948
2017-10-06,635.05,654.9,635.05,650.0,28638
2017-10-09,641.15,659.2,641.15,647.0,38165
2017-10-10,646.15,665.0,646.15,663.0,74225
2017-10-11,662.0,666.75,651.55,656.0,158498
2017-10-12,662.5,665.0,652.55,661.0,208887
2017-10-13,660.0,666.0,655.0,658.25,45300
2017-10-16,659.05,668.05,650.0,662.5,57634
2017-10-17,675.0,679.55,657.6,658.25,172839
2017-10-18,658.25,662.5,651.1,652.6,198048
2017-10-23,668.0,670.0,651.65,667.7,16626280627
2017-10-24,667.7,668.0,651.05,655.0,44728
2017-10-25,660.0,665.0,652.0,657.0,55416
2017-10-26,660.0,663.0,650.4,657.0,56070
2017-10-27,662.5,664.7,652.1,652.55,72467
2017-10-30,654.05,664.9,641.15,648.7,104784
2017-10-31,651.0,654.8,644.45,654.6,59495
2017-11-01,658.95,660.35,655.0,658.0,55862
2017-11-02,660.0,664.85,652.5,653.5,59367
2017-11-03,661.95,660.0,647.0,650.0,41810
2017-11-06,648.25,660.4,646.0,649.05,44854
2017-11-07,648.25,662.0,645.25,651.0,77768
2017-11-08,650.0,660.8,641.0,648.5,68774
2017-11-09,647.0,665.0,647.0,663.9,55720
2017-11-10,663.1,665.0,642.1,648.0,63500
2017-11-13,650.0,658.15,640.1,645.0,68165
2017-11-14,641.85,652.85,641.85,644.2,186836
2017-11-15,640.0,650.0,640.0,645.0,23202
2017-11-16,645.1,653.35,638.55,643.05,25783
2017-11-17,643.05,654.7,643.05,644.5,65171
2017-11-20,644.5,655.0,644.5,648.25,34134
2017-11-21,653.5,664.9,646.0,651.25,124232
2017-11-22,652.0,659.35,650.1,652.0,33820
2017-11-23,653.05,658.9,653.0,653.1,24646
2017-11-24,656.0,658.65,647.0,653.0,37962
2017-11-27,651.0,662.0,646.2,654.5,83237
2017-11-28,650.05,656.9,644.85,647.7,35599
2017-11-29,647.7,657.45,642.45,647.8,59628
2017-11-30,650.0,656.5,646.0,655.0,112089
2017-12-01,652.0,663.55,651.15,652.0,194333
2017-12-04,659.9,661.8,646.25,655.0,33339
2017-12-05,657.5,657.5,646.0,649.0,30405
2017-12-06,646.0,650.0,643.5,647.05,35730
2017-12-07,652.0,654.95,638.0,647.1,92666
2017-12-08,647.2,650.0,645.0,646.0,54035
2017-12-11,648.0,651.0,645.0,649.0,34120
2017-12-12,647.05,650.0,645.7,646.85,121724
2017-12-13,646.05,650.0,640.0,642.0,55772
2017-12-14,640.3,650.8,640.0,649.1,30491
2017-12-15,641.55,650.35,641.55,646.35,46310
2017-12-18,640.0,650.0,638.0,646.7,13913
2017-12-19,647.0,656.4,647.0,651.0,60913
2017-12-20,656.0,657.0,646.0,648.7,37811
2017-12-21,647.05,653.4,647.05,650.0,75984
2017-12-22,650.0,651.5,648.0,649.05,62708
2017-12-26,652.0,699.75,649.0,691.0,395514
2017-12-27,688.25,705.0,678.1,680.0,305997
2017-12-28,679.2,716.95,679.2,699.8,319745
2017-12-29,706.0,723.0,699.8,717.0,208998
2018-01-01,720.0,726.0,705.05,714.0,101440
2018-01-02,717.0,719.35,702.35,708.0,218344
2018-01-03,705.1,709.05,693.65,694.2,53350
2018-01-04,697.05,714.05,695.0,708.0,246838
2018-01-05,710.0,725.4,709.95,719.2,381196
2018-01-08,722.0,730.0,710.75,716.0,250750
2018-01-09,721.8,748.2,718.25,743.0,485072
2018-01-10,746.9,750.0,736.0,745.0,419054
2018-01-11,752.9,754.95,746.1,751.6,350702
2018-01-12,754.95,784.1,750.9,769.0,440830
2018-01-15,777.0,792.0,743.25,743.25,153896
2018-01-16,750.0,770.0,746.0,766.4,299422
2018-01-17,758.15,784.8,755.0,768.0,243644
2018-01-18,767.25,776.05,744.95,745.0,90119
2018-01-19,747.0,774.8,747.05,770.0,143151
2018-01-22,772.7,818.0,753.85,797.0,715446
2018-01-23,796.85,816.0,790.25,792.5,237348
2018-01-24,796.8,800.0,776.0,787.9,276982
2018-01-25,783.0,795.1,783.0,790.65,336193
2018-01-29,800.0,815.0,774.3,788.1,803898
2018-01-30,789.0,795.8,775.25,782.0,205146
2018-01-31,781.05,799.8,779.0,780.0,646814
2018-02-01,787.85,791.25,770.0,790.45,273882
2018-02-02,786.0,802.0,661.4,779.55,261188
2018-02-05,746.3,784.45,759.8,768.35,65429
2018-02-06,758.7,790.95,730.25,775.2,257645
2018-02-07,784.6,790.0,750.25,764.0,53469
2018-02-08,758.0,799.0,758.85,787.0,408168
2018-02-09,779.0,800.9,770.0,798.0,130005
2018-02-12,798.9,800.0,780.0,785.0,78648
2018-02-14,786.45,800.0,785.55,787.15,66063
2018-02-15,799.0,799.9,770.1,772.0,56476
2018-02-16,782.0,783.9,760.0,764.0,48748
2018-02-19,763.05,768.6,741.0,747.55,59098
2018-02-20,754.95,755.55,742.0,749.05,65689
2018-02-21,751.25,778.8,747.55,754.25,75915
2018-02-22,767.7,799.2,764.0,781.0,346640
2018-02-23,783.1,827.8,791.0,822.65,815215
2018-02-26,832.0,875.0,824.0,863.0,841058
2018-02-27,866.0,878.0,836.2,839.8,607242
2018-02-28,836.65,860.0,826.0,856.0,275127
2018-03-01,854.9,864.0,830.0,830.35,96797
2018-03-05,831.0,834.0,815.0,823.0,133090
2018-03-06,834.0,848.6,822.8,824.0,164798
2018-03-07,829.0,851.0,822.75,840.0,155623
2018-03-08,841.65,848.2,822.05,832.15,70109
2018-03-09,836.05,839.0,817.0,823.95,80473
2018-03-12,833.15,836.6,822.8,827.05,377045
2018-03-13,825.0,867.0,820.5,849.9,508176
2018-03-14,849.2,852.0,835.45,843.0,101117
2018-03-15,848.7,857.7,840.0,843.6,61592
2018-03-16,845.0,849.8,807.0,812.1,80015
2018-03-19,810.25,818.7,789.0,800.3,81839
2018-03-20,792.35,813.0,792.35,812.1,76511
2018-03-21,815.0,825.0,792.0,799.95,83260
2018-03-22,806.5,806.5,774.95,785.15,167716
2018-03-23,769.0,816.0,763.55,806.0,132662
2018-03-26,795.0,805.0,770.0,773.5,94699
2018-03-27,780.4,803.75,779.0,784.35,115776
2018-03-28,715.9,734.25,688.0,690.9,1421170
