date,open,high,low,close,volume
2017-07-03,841.75,841.9,822.0,823.0,96284
2017-07-04,831.45,831.45,811.65,815.0,71267
2017-07-05,819.7,819.85,809.0,809.6,75521
2017-07-06,810.75,819.35,807.2,807.9,72540
2017-07-07,808.05,812.95,801.0,802.0,80257
2017-07-10,802.5,815.0,802.4,804.35,21474869331
2017-07-11,812.35,812.35,793.0,796.0,111357
2017-07-12,796.0,803.5,792.55,794.1,62035
2017-07-13,792.55,802.0,775.0,780.0,184924
2017-07-14,790.65,800.0,782.2,788.0,125896
2017-07-17,793.45,799.9,787.0,794.0,85643
2017-07-18,789.6,791.55,777.0,781.0,109597
2017-07-19,782.0,789.2,777.6,780.0,54199
2017-07-20,787.0,787.0,760.3,761.0,196122
2017-07-21,765.5,771.0,758.0,762.55,112853
2017-07-24,762.25,773.4,749.1,754.0,523465
2017-07-25,751.0,761.1,750.6,752.6,185680
2017-07-26,754.0,783.0,754.0,775.0,360979
2017-07-27,784.9,784.9,760.05,766.0,218547
2017-07-28,766.0,772.9,756.35,765.95,45148
2017-07-31,770.0,774.1,761.0,765.0,99692
2017-08-01,772.8,772.8,758.0,760.15,65849
2017-08-02,768.3,768.3,755.1,758.0,108778
2017-08-03,761.0,761.0,721.5,730.45,246816
2017-08-04,734.95,759.0,723.05,736.0,201019
2017-08-07,741.45,753.65,738.0,751.4,65209
2017-08-08,752.0,763.7,738.0,738.0,137794
2017-08-09,739.95,742.0,718.0,730.0,150372
2017-08-10,730.0,733.4,693.0,703.0,1504201
2017-08-11,699.0,719.9,675.0,692.0,666481
2017-08-14,697.85,734.0,693.05,715.0,267887
2017-08-16,712.6,750.0,712.6,748.9,237090
2017-08-17,750.0,751.7,737.2,741.5,119095
2017-08-18,736.05,768.0,728.95,765.6,111695
2017-08-21,765.0,779.2,737.8,750.0,167180
2017-08-22,751.0,760.0,722.0,723.0,128247
2017-08-23,730.0,742.0,725.95,729.35,55395
2017-08-24,738.7,738.7,726.5,728.5,37837
2017-08-28,737.0,737.0,717.0,720.0,150303
2017-08-29,726.9,726.9,709.15,709.15,58905
2017-08-30,717.0,723.95,715.55,720.55,359135
2017-08-31,724.95,733.55,718.0,727.0,135851
2017-09-01,727.0,737.2,724.0,729.5,102046
2017-09-04,735.0,735.0,705.0,707.35,146682
2017-09-05,710.0,715.0,696.0,698.25,212321
2017-09-06,701.1,717.9,700.25,710.0,504407
2017-09-07,716.95,741.0,708.6,740.6,176378
2017-09-08,740.0,748.85,729.95,730.0,124484
2017-09-11,739.5,754.9,731.25,741.0,124086
