date,open,high,low,close,volume
2019-04-16,633.0,667.8,630.0,653.2,22974325
2019-04-18,656.9,664.9,614.0,645.95,5411189
2019-04-22,643.0,645.8,625.25,625.6,1059029
2019-04-23,628.0,648.0,628.0,633.95,1206764
2019-04-24,636.5,640.0,628.25,639.0,1015344
2019-04-25,639.2,652.0,633.0,639.95,1260675
2019-04-26,642.0,647.4,640.0,645.3,593827
2019-04-30,646.95,646.95,630.15,638.0,519840
2019-05-02,638.9,651.0,631.0,642.0,513295
2019-05-03,642.7,646.0,637.65,639.8,269624
2019-05-06,638.0,649.9,633.0,643.5,424862
2019-05-07,644.95,653.5,643.0,648.65,580261
2019-05-08,646.0,648.0,640.15,647.0,264179
2019-05-09,646.25,647.4,639.35,644.05,301136
2019-05-10,646.05,677.7,645.3,654.4,767602
2019-05-13,660.6,662.0,651.05,655.05,301705
2019-05-14,656.0,659.75,626.3,627.85,1069276
2019-05-15,620.0,625.7,602.0,618.0,1442324
2019-05-16,625.0,625.0,583.3,597.0,918196
2019-05-17,596.15,601.5,587.0,596.0,327609
2019-05-20,610.0,612.65,595.0,604.0,728111
2019-05-21,605.0,609.0,599.0,606.0,252787
2019-05-22,605.05,623.6,601.1,609.15,282005
2019-05-23,614.5,619.65,600.0,600.05,199929
2019-05-24,605.0,609.75,602.35,605.1,150401
2019-05-27,608.75,633.0,606.25,621.0,262201
2019-05-28,625.1,630.0,621.4,626.0,112984
2019-05-29,622.1,629.65,618.0,618.5,69363
2019-05-30,616.15,623.7,612.65,621.9,81235
2019-05-31,620.15,622.75,608.3,609.9,175125
2019-06-03,614.0,614.8,602.45,608.0,150130
2019-06-04,609.9,620.0,606.1,610.0,67372
2019-06-06,610.8,613.95,602.5,605.1,46860
2019-06-07,609.05,609.1,601.05,602.4,30052
2019-06-10,605.0,609.0,597.6,601.0,46956
2019-06-11,602.0,606.9,600.0,601.05,47042
2019-06-12,600.05,602.8,595.15,596.25,46736
2019-06-13,600.05,604.4,590.0,593.25,73848
2019-06-14,592.1,599.9,590.1,593.5,44727
2019-06-17,596.0,596.0,587.0,588.6,40652
2019-06-18,588.6,593.5,586.25,589.25,43468
2019-06-19,590.15,591.45,578.0,585.0,103810
2019-06-20,591.0,594.0,581.1,590.2,39767
2019-06-21,590.0,594.8,588.0,592.5,28801
2019-06-24,590.25,599.0,590.0,597.0,40904
2019-06-25,595.0,604.5,593.05,602.0,49988
2019-06-26,600.05,614.75,600.0,612.05,104765
2019-06-27,611.85,614.4,606.0,613.0,31569
2019-06-28,613.0,624.9,613.0,624.0,68573
2019-07-01,626.4,646.0,626.4,639.0,347570
2019-07-02,640.0,640.0,628.5,636.0,46576
2019-07-03,632.2,654.8,631.6,652.0,89841
2019-07-04,648.1,652.0,642.55,646.0,95235
2019-07-05,650.0,650.0,615.75,615.8,650555
2019-07-08,619.9,619.9,598.2,601.6,162110
2019-07-09,604.0,612.0,602.0,611.55,36047
2019-07-10,610.0,619.3,610.0,614.0,25922
2019-07-11,614.1,625.0,613.95,618.8,25721
2019-07-12,618.0,623.0,616.0,618.0,22255
2019-07-15,615.5,620.75,612.2,614.0,26141
2019-07-16,615.1,624.8,614.0,621.0,43069
2019-07-17,621.5,629.0,620.0,626.0,30961
2019-07-18,626.0,628.75,622.15,625.5,54392
2019-07-19,623.95,626.95,605.0,614.95,91340
2019-07-22,614.25,614.3,596.75,598.45,49510
2019-07-23,602.85,608.6,598.0,601.15,50201
2019-07-24,603.9,607.7,586.1,586.2,33043
2019-07-25,587.9,592.75,580.1,590.0,46595
2019-07-26,589.9,592.5,583.1,586.0,24881
2019-07-29,615.0,646.9,601.7,609.0,239855
2019-07-30,603.0,607.95,565.8,569.95,202058
2019-07-31,569.95,570.05,548.6,560.05,104929
2019-08-01,563.0,575.0,557.0,564.0,57956
2019-08-02,564.0,564.9,554.3,557.95,69807
2019-08-05,557.0,562.0,549.0,550.9,70675
2019-08-06,549.95,572.9,547.1,572.4,42472
2019-08-07,565.0,574.9,561.35,562.1,23408
2019-08-08,569.4,570.5,555.1,565.2,23099
2019-08-09,566.0,585.0,560.1,574.6,48463
2019-08-13,584.85,584.85,562.55,564.6,27105
2019-08-14,563.0,574.0,560.0,571.0,36849
2019-08-16,571.0,574.8,563.2,567.35,14368
2019-08-19,570.0,570.3,560.65,562.4,19736
2019-08-20,560.1,564.1,555.0,555.05,47900
2019-08-21,560.0,560.0,545.0,545.15,30924
2019-08-22,547.0,547.0,525.15,535.0,63699
2019-08-23,532.55,545.45,526.0,545.25,37119
2019-08-26,555.0,569.0,541.0,565.2,72190
2019-08-27,565.5,587.5,565.0,585.0,64603
2019-08-28,580.0,586.0,570.0,570.0,26165
2019-08-29,577.35,595.65,577.35,593.7,116876
2019-08-30,593.7,620.0,586.35,614.85,126033
2019-09-03,610.0,613.0,585.0,590.0,56450
2019-09-04,592.0,606.2,583.0,603.5,69956
2019-09-05,603.5,612.75,595.0,602.6,69992
2019-09-06,603.1,611.85,603.05,607.7,40091
2019-09-09,608.3,624.4,608.3,623.0,82748
2019-09-11,621.0,626.5,610.45,621.0,59952
2019-09-12,621.4,633.75,620.4,623.05,52409
2019-09-13,625.0,637.4,622.5,632.5,108820
2019-09-16,630.1,640.5,625.0,635.25,58762
2019-09-17,637.7,637.7,617.1,632.0,258434
2019-09-18,629.7,645.0,629.7,633.45,72534
2019-09-19,633.0,633.0,616.0,623.0,52021
2019-09-20,622.0,647.95,611.7,643.0,260427
2019-09-23,660.0,699.8,650.0,694.0,681750
2019-09-24,697.7,710.95,680.15,685.5,204114
2019-09-25,681.05,700.0,676.25,682.8,113922
2019-09-26,684.9,699.95,681.95,697.5,173257
2019-09-27,701.1,708.9,685.0,695.6,203680
2019-09-30,699.1,709.5,675.05,677.9,266498
2019-10-01,684.7,687.35,656.05,680.5,102627
2019-10-03,676.65,692.75,664.05,675.0,52207
2019-10-04,679.8,689.0,665.1,667.0,41979
2019-10-07,672.0,676.95,664.0,667.1,62436
2019-10-09,674.5,675.9,665.55,666.7,34759
2019-10-10,666.1,673.7,656.0,658.0,35922
2019-10-11,662.2,674.0,662.1,665.0,34369
2019-10-14,669.9,675.9,666.0,675.1,38227
2019-10-15,674.85,708.25,672.0,700.0,401174
2019-10-16,709.0,737.95,707.55,716.9,453201
2019-10-17,719.6,730.4,711.05,720.0,156074
2019-10-18,722.75,730.0,720.1,724.1,134290
2019-10-22,727.25,771.35,726.0,754.75,475055
2019-10-23,753.1,792.0,753.05,788.0,487115
2019-10-24,805.0,837.0,794.0,824.5,1375432
2019-10-25,828.0,828.0,806.0,819.5,298603
2019-10-27,823.0,830.0,822.05,826.0,80099
2019-10-29,827.8,827.8,812.05,824.0,155369
2019-10-30,826.0,888.8,826.0,871.2,688893
2019-10-31,875.5,886.0,843.95,855.55,207192
2019-11-01,857.65,875.0,847.4,853.25,156784
2019-11-04,856.0,859.45,836.05,852.0,160737
2019-11-05,849.75,870.0,845.0,855.2,211893
2019-11-06,856.0,874.6,843.5,848.0,146287
2019-11-07,854.5,864.85,849.95,856.0,133950
2019-11-08,861.0,918.0,861.0,894.0,554827
2019-11-11,891.15,894.0,875.05,879.05,277493
2019-11-13,881.25,903.0,880.1,887.8,224008
2019-11-14,891.9,902.0,876.0,899.75,144915
2019-11-15,908.4,938.85,895.0,896.0,323442
2019-11-18,898.0,943.8,898.0,938.0,554324
2019-11-19,939.9,948.8,921.9,928.75,186916
2019-11-20,930.0,944.8,920.4,941.7,210165
2019-11-21,943.0,951.0,933.0,949.65,233003
2019-11-22,951.95,956.0,927.0,938.0,140617
2019-11-25,940.0,949.8,933.15,940.1,146625
2019-11-26,942.0,942.0,918.0,936.6,540078
2019-11-27,934.0,938.9,921.1,927.0,116553
2019-11-28,935.8,935.8,917.05,918.0,89638
2019-11-29,921.5,933.5,915.2,926.6,87755
2019-12-02,924.25,946.0,918.55,936.1,141777
2019-12-03,939.0,978.95,936.95,971.05,404494
2019-12-04,967.0,997.9,960.1,992.0,327090
2019-12-05,987.25,1091.7,985.75,1033.7,1236617
2019-12-06,1042.1,1052.4,1005.8,1016.2,304931
2019-12-09,1021.0,1025.0,984.0,998.2,214695
2019-12-10,1000.0,1004.0,962.0,965.5,229091
2019-12-11,968.0,1015.0,968.0,998.0,520043
2019-12-12,1000.0,1005.9,985.05,995.0,227923
2019-12-13,995.95,1008.9,978.2,978.4,130298
2019-12-16,985.0,994.95,956.05,965.05,142252
2019-12-17,968.0,989.8,966.75,977.95,164659
2019-12-18,975.0,979.9,953.25,963.0,99301
2019-12-19,964.3,964.7,950.25,955.8,122729
2019-12-20,959.8,987.25,958.0,962.1,1346366
2019-12-23,970.45,970.45,950.25,954.1,132190
2019-12-24,955.0,958.75,942.15,946.0,186583
2019-12-26,947.0,966.0,942.2,960.0,148448
2019-12-27,962.25,972.85,956.15,965.6,143605
2019-12-30,968.0,1006.8,968.0,987.8,438891
2019-12-31,991.95,1001.85,981.7,990.0,325695
2020-01-01,988.15,1009.0,988.15,991.6,107047
2020-01-02,994.0,994.4,975.0,975.65,105338
2020-01-03,978.0,993.8,971.0,985.0,207750
2020-01-06,972.0,974.0,955.0,960.0,176626
2020-01-07,970.0,974.75,955.0,959.7,101088
2020-01-08,952.5,973.8,950.0,968.05,127715
2020-01-09,978.0,981.95,968.0,972.0,150462
2020-01-10,973.05,1039.0,973.0,1030.0,518760
2020-01-13,1033.0,1087.25,1023.0,1070.0,513662
2020-01-14,1078.25,1094.1,1025.0,1048.1,363770
2020-01-15,1047.4,1109.7,1041.85,1083.4,533532
2020-01-16,1090.95,1120.0,1086.05,1109.5,327513
2020-01-17,1115.0,1124.45,1092.1,1107.0,211384
2020-01-20,1114.6,1140.0,1112.0,1133.4,280288
2020-01-21,1133.6,1147.0,1067.1,1084.0,527070
2020-01-22,1129.5,1130.0,986.0,992.5,2022954
2020-01-23,1003.0,1020.3,993.3,1005.55,962382
2020-01-24,1011.0,1024.0,1004.0,1022.0,277881
2020-01-27,1017.9,1017.9,992.2,1001.0,205896
2020-01-28,1001.9,1011.0,990.0,994.95,284722
2020-01-29,1004.0,1010.0,981.0,990.0,323022
2020-01-30,993.95,993.95,970.1,976.55,147279
2020-01-31,975.0,999.7,961.0,985.0,205423
2020-02-01,984.8,1006.95,956.0,964.05,180374
2020-02-03,959.0,993.0,950.0,988.0,174908
2020-02-04,993.0,1025.0,990.0,999.5,438210
2020-02-05,1007.8,1020.0,1003.1,1012.9,259990
2020-02-06,1013.95,1063.0,1011.95,1057.05,574693
2020-02-07,1062.0,1076.1,1051.55,1061.0,273716
2020-02-10,1064.95,1064.95,1033.05,1040.9,171532
2020-02-11,1041.0,1056.7,1036.0,1046.3,133897
2020-02-12,1053.1,1074.95,1044.0,1066.0,328273
2020-02-13,1070.0,1091.7,1069.0,1087.0,354660
2020-02-14,1087.0,1088.65,1065.0,1077.5,237498
2020-02-17,1083.8,1083.8,1042.65,1052.0,143748
2020-02-18,1050.0,1077.95,1030.6,1068.25,153148
2020-02-19,1072.95,1088.0,1070.3,1080.0,147789
2020-02-20,1077.5,1157.7,1071.05,1142.9,876388
2020-02-24,1132.0,1182.0,1068.0,1089.0,555922
2020-02-25,1095.95,1130.25,1071.0,1124.0,293047
