date,open,high,low,close,volume
2020-03-16,661.0,755.0,656.0,678.95,60854141
2020-03-17,691.0,747.95,689.0,737.0,15118977
2020-03-18,752.1,769.0,680.0,687.0,8900776
2020-03-19,660.0,717.0,650.0,690.25,6428233
2020-03-20,706.25,730.0,690.25,724.5,6495356
2020-03-23,659.0,698.0,580.0,584.0,6226576
2020-03-24,620.0,623.95,575.05,619.9,4018573
2020-03-25,601.0,648.9,591.4,620.0,3483737
2020-03-26,634.0,693.8,621.45,652.5,4358931
2020-03-27,675.0,690.0,650.0,655.3,3113071
2020-03-30,640.0,642.7,607.0,617.6,1790907
2020-03-31,635.0,638.0,608.55,618.4,2330159
2020-04-01,624.0,624.0,601.25,608.05,1498661
2020-04-03,613.8,614.7,588.0,591.45,1692167
2020-04-07,605.0,611.0,582.0,585.7,3133253
2020-04-08,584.8,598.4,576.0,578.7,3083759
2020-04-09,585.05,614.25,575.0,593.45,6133847
2020-04-13,580.0,581.5,501.1,505.0,22851947
2020-04-15,510.0,524.45,502.0,505.05,8431152
2020-04-16,505.0,537.2,501.0,533.5,8005875
2020-04-17,546.0,548.8,523.0,532.0,6746869
2020-04-20,534.75,548.9,528.5,540.95,5759074
2020-04-21,528.9,534.9,518.0,525.9,3245706
2020-04-22,527.0,535.7,520.1,534.9,2715178
2020-04-23,539.0,574.0,535.0,565.55,4979464
2020-04-24,557.7,596.45,552.1,555.5,7821567
2020-04-27,563.7,575.0,542.85,552.0,3299964
2020-04-28,556.0,562.45,547.45,551.15,1970471
2020-04-29,555.4,584.0,548.4,581.0,6118598
2020-04-30,591.0,604.9,585.0,597.0,6034815
2020-05-04,566.2,578.0,566.2,568.35,2061404
2020-05-05,577.75,584.3,550.6,552.9,2243940
2020-05-06,557.0,569.0,542.0,568.0,2354311
2020-05-07,563.0,579.0,558.9,574.0,2194193
2020-05-08,585.0,586.0,548.6,552.95,5123426
2020-05-11,552.0,561.0,543.0,548.45,2744342
2020-05-12,542.0,548.35,530.2,542.0,2110170
2020-05-13,570.0,570.55,545.25,548.0,2372776
2020-05-14,543.0,545.75,537.1,539.2,1454580
2020-05-15,542.0,544.0,535.25,538.95,1043304
2020-05-18,540.0,540.0,526.0,531.65,1211818
2020-05-19,535.0,540.0,529.15,539.0,1327496
2020-05-20,537.0,548.0,534.6,537.45,1138113
2020-05-21,539.4,546.8,536.15,544.0,1170740
2020-05-22,541.4,546.3,495.0,510.0,5254630
2020-05-26,515.0,518.0,496.5,500.4,4514623
2020-05-27,501.6,521.1,496.0,517.2,3003777
2020-05-28,520.0,537.75,518.15,532.0,2377676
2020-05-29,528.0,541.65,524.2,538.0,1539531
2020-06-01,544.0,557.4,544.0,548.3,1937195
2020-06-02,554.5,573.0,552.75,570.2,2737903
2020-06-03,578.0,626.0,577.0,612.2,9368076
2020-06-04,615.0,634.7,607.0,613.1,4570504
2020-06-05,618.0,632.0,615.05,625.5,2888668
2020-06-08,634.9,639.5,611.2,617.15,2616877
2020-06-09,618.0,626.75,607.2,611.95,2336214
2020-06-10,612.0,618.0,593.55,599.6,2025447
2020-06-11,595.45,608.7,590.0,591.5,1351167
2020-06-12,552.5,594.5,552.5,589.0,2359812
2020-06-15,585.0,599.0,583.35,591.95,1081171
2020-06-16,602.45,609.5,577.0,585.0,1530126
2020-06-17,580.0,584.9,575.05,578.1,1142486
2020-06-18,578.0,590.45,577.2,584.9,1238881
2020-06-19,592.7,622.7,587.1,615.5,4038453
