date,open,high,low,close,volume
2017-07-03,723.0,724.15,713.55,717.9,231955
2017-07-04,718.55,721.7,688.1,689.95,727084
2017-07-05,689.7,699.0,673.0,678.4,667953
2017-07-06,679.85,685.05,670.25,674.5,625453
2017-07-07,683.25,683.25,665.8,669.0,391492
2017-07-10,670.5,678.5,667.0,670.8,25769915594
2017-07-11,671.0,674.9,651.05,651.9,410158
2017-07-12,652.5,668.5,651.1,665.0,661936
2017-07-13,671.05,674.05,656.3,659.2,321264
2017-07-14,662.2,677.45,656.5,671.0,489276
2017-07-17,672.5,676.15,663.0,666.0,181863
2017-07-18,665.0,673.0,659.1,663.0,273241
2017-07-19,664.75,678.0,664.75,676.95,397861
2017-07-20,678.3,678.3,665.9,667.0,145951
2017-07-21,666.25,673.15,651.3,654.5,256793
2017-07-24,655.0,657.9,641.1,645.5,390820
2017-07-25,653.1,678.7,649.55,672.3,1386082
2017-07-26,668.95,682.7,666.65,678.55,660616
2017-07-27,680.2,684.0,670.0,673.4,616156
2017-07-28,676.65,683.8,666.0,673.8,285216
2017-07-31,674.5,677.9,668.2,671.9,276713
2017-08-01,671.5,676.0,655.0,655.5,264305
2017-08-02,660.0,665.9,655.2,658.25,241644
2017-08-03,657.95,659.8,631.7,639.75,502265
2017-08-04,641.4,646.35,624.25,643.0,485825
2017-08-07,642.9,659.1,642.7,653.0,388781
2017-08-08,653.0,655.5,623.05,630.25,269061
2017-08-09,628.85,631.55,600.0,601.7,598908
2017-08-10,603.75,603.75,570.55,594.25,765684
2017-08-11,584.95,614.8,573.0,590.6,904155
2017-08-14,591.1,631.6,591.1,628.4,823820
2017-08-16,626.1,647.0,620.9,629.75,1218655
2017-08-17,629.05,644.9,626.0,642.0,381009
2017-08-18,637.5,655.0,630.4,647.0,640608
2017-08-21,642.25,652.3,623.55,625.0,340847
2017-08-22,634.3,640.0,610.8,619.65,474015
2017-08-23,620.05,640.8,619.75,639.0,388264
2017-08-24,637.0,646.75,635.2,644.0,1040802
2017-08-28,640.0,666.4,640.0,665.9,824631
2017-08-29,661.05,663.3,641.25,646.0,476651
2017-08-30,650.15,658.45,649.9,652.3,556347
2017-08-31,651.0,659.05,645.3,656.5,817729
2017-09-01,656.95,669.75,652.0,667.45,276546
2017-09-04,669.7,669.7,645.0,652.0,379685
2017-09-05,653.0,663.7,651.25,661.3,194880
2017-09-06,657.9,664.95,654.05,656.0,176366
2017-09-07,660.0,674.8,658.5,665.0,415249
2017-09-08,667.05,674.0,660.0,663.0,239393
2017-09-11,665.0,680.9,664.0,678.95,506331
