date,open,high,low,close,volume
2017-07-03,610.3,617.5,605.5,617.5,186052
2017-07-04,615.0,635.95,610.42,618.2,482532
2017-07-05,624.5,644.95,624.5,636.8,545978
2017-07-06,640.0,643.0,633.5,633.5,197444
2017-07-07,635.0,652.45,633.22,647.03,367138
2017-07-10,649.5,655.67,585.0,655.25,42949742734
2017-07-11,630.62,682.62,628.9,666.0,1794598
2017-07-12,666.62,667.47,647.03,650.0,434336
2017-07-13,655.03,660.88,638.0,642.0,453808
2017-07-14,644.1,662.5,639.97,648.03,483440
2017-07-17,649.5,658.17,640.97,647.5,136400
2017-07-18,647.5,651.47,639.25,647.0,172070
2017-07-19,649.97,657.45,647.08,649.0,189394
2017-07-20,652.0,656.0,632.2,636.17,326628
2017-07-21,640.5,644.65,633.53,637.5,143136
2017-07-24,647.0,647.0,631.5,634.0,189652
2017-07-25,635.0,640.2,625.5,637.5,463532
2017-07-26,633.25,642.47,629.0,640.0,117398
2017-07-27,640.0,644.5,632.3,633.0,130160
2017-07-28,633.0,637.5,620.5,620.5,145558
2017-07-31,625.25,669.8,601.42,656.0,1999088
2017-08-01,655.0,661.0,638.15,646.45,614956
2017-08-02,640.9,655.0,635.0,636.0,210900
2017-08-03,638.5,640.47,623.28,625.05,179068
2017-08-04,622.5,642.5,612.5,638.0,362060
2017-08-07,635.0,652.4,631.62,641.17,132484
2017-08-08,644.75,652.72,632.5,632.5,117844
2017-08-09,635.1,640.22,607.6,615.0,247850
2017-08-10,613.5,625.4,602.75,611.75,288958
2017-08-11,607.47,621.4,600.03,607.62,150204
2017-08-14,611.15,625.0,608.5,610.0,173478
2017-08-16,610.03,666.28,610.03,659.6,1008900
2017-08-17,660.03,665.0,647.5,652.0,430848
2017-08-18,645.03,648.53,627.5,636.75,286660
2017-08-21,640.0,641.0,620.33,620.72,312144
2017-08-22,620.72,632.4,607.03,614.72,272958
2017-08-23,611.75,617.28,602.6,605.0,166222
2017-08-24,604.5,627.35,602.03,611.25,450774
2017-08-28,618.0,624.12,612.17,618.0,159700
2017-08-29,618.0,621.0,606.0,606.7,128124
2017-08-30,609.0,617.5,602.65,603.0,249718
2017-08-31,605.45,612.5,595.55,602.7,372218
2017-09-01,607.47,614.15,603.2,610.5,149232
2017-09-04,614.0,614.0,599.62,609.5,178666
2017-09-05,610.67,617.35,607.25,611.53,196742
2017-09-06,608.5,612.5,600.0,600.0,126032
2017-09-07,604.5,612.5,603.03,610.25,144034
2017-09-08,609.53,612.5,602.5,605.0,100742
2017-09-11,606.5,608.5,591.0,591.83,248958
2017-09-12,593.0,607.2,573.78,601.33,934068
2017-09-13,597.6,615.0,597.5,608.0,326912
2017-09-14,608.7,618.5,607.5,612.4,282396
2017-09-15,610.55,612.17,598.03,611.5,196724
2017-09-18,613.97,625.0,607.53,622.0,199240
2017-09-19,622.5,639.12,621.03,637.95,496674
2017-09-20,634.97,635.0,624.28,626.0,383626
2017-09-21,629.03,676.9,629.03,675.5,1800342
2017-09-22,674.0,682.05,623.75,633.5,722800
2017-09-25,633.92,634.97,609.25,614.5,343460
2017-09-26,611.5,653.9,608.83,629.6,718214
2017-09-27,637.6,638.35,606.03,607.5,342500
2017-09-28,606.5,632.0,600.8,612.0,499782
2017-09-29,612.0,621.75,610.0,612.03,206246
2017-10-03,617.55,627.25,616.55,620.55,99518
2017-10-04,625.0,633.67,618.7,624.0,257296
2017-10-05,631.47,632.47,620.5,620.5,229970
2017-10-06,630.0,636.28,624.0,634.0,591590
2017-10-09,627.53,639.47,622.28,626.55,256368
2017-10-10,628.47,640.0,628.47,635.17,875122
2017-10-11,641.97,641.97,622.8,627.5,587630
2017-10-12,632.0,642.5,624.6,641.75,259372
2017-10-13,640.0,642.5,633.83,636.0,189234
2017-10-16,641.25,645.5,634.0,642.53,318990
2017-10-17,641.6,667.33,639.88,665.05,547028
2017-10-18,663.4,699.5,650.03,693.22,16596554020
2017-10-23,679.92,706.85,679.92,686.45,456344
2017-10-24,690.72,696.08,682.55,687.92,194696
2017-10-25,687.92,691.47,647.5,648.0,364186
2017-10-26,650.0,654.47,621.62,626.0,658028
2017-10-27,629.95,637.75,622.5,632.0,394238
2017-10-30,635.0,643.75,631.5,634.55,219646
2017-10-31,637.03,642.97,632.5,634.0,133164
2017-11-01,636.0,649.0,635.67,641.95,219498
2017-11-02,0.0,667.38,641.95,665.25,481376
2017-11-03,692.5,686.6,648.5,658.0,2010668
2017-11-06,682.4,679.97,650.0,652.53,1287074
2017-11-07,656.4,663.5,629.67,634.97,685812
2017-11-08,635.0,647.33,613.5,617.0,328744
2017-11-09,621.0,626.97,610.0,619.5,269770
2017-11-10,619.5,619.5,610.0,612.05,155930
2017-11-13,612.0,615.15,602.1,611.0,494514
2017-11-14,610.0,635.0,609.53,629.0,744376
2017-11-15,625.5,630.47,620.95,625.35,391396
2017-11-16,625.0,642.75,623.58,637.28,476544
2017-11-17,640.0,644.0,626.05,630.0,281378
2017-11-20,635.0,637.5,623.28,625.5,316838
2017-11-21,627.5,642.0,627.78,636.75,233730
2017-11-22,640.95,644.65,634.22,639.5,372002
2017-11-23,638.0,646.5,612.5,640.0,242976
2017-11-24,639.0,642.5,635.25,640.0,227608
2017-11-27,633.5,646.8,633.5,640.08,225652
2017-11-28,642.5,642.6,637.55,639.33,129760
2017-11-29,641.28,643.03,636.33,640.0,76730
2017-11-30,642.4,651.0,635.0,646.5,451806
2017-12-01,649.4,649.4,635.35,639.03,610134
2017-12-04,642.5,654.4,629.4,646.72,226682
2017-12-05,646.5,647.53,638.28,643.33,101334
2017-12-06,640.03,658.5,637.0,650.05,307704
2017-12-07,651.5,665.0,647.58,663.03,1600432
2017-12-08,664.5,666.75,658.55,660.25,156064
2017-12-11,662.0,670.38,661.5,667.5,170706
2017-12-12,667.0,674.47,663.17,667.0,210744
2017-12-13,664.0,672.47,659.53,661.0,324020
2017-12-14,664.38,665.95,657.17,659.95,180604
2017-12-15,665.0,678.28,662.12,669.8,173556
2017-12-18,672.42,687.35,662.3,678.55,484786
2017-12-19,683.92,683.95,672.55,681.0,131252
2017-12-20,680.25,690.5,675.0,675.0,375608
2017-12-21,682.45,691.72,677.0,678.88,394236
2017-12-22,684.5,687.0,673.53,684.47,156310
2017-12-26,682.97,697.62,680.0,690.5,289194
2017-12-27,694.0,712.5,693.1,695.0,666088
2017-12-28,697.0,705.0,684.03,705.0,207420
2017-12-29,704.92,712.5,697.03,710.0,171436
2018-01-01,709.5,716.72,685.1,690.0,141838
2018-01-02,692.0,706.38,687.55,698.47,150838
2018-01-03,697.45,703.88,682.33,687.53,240516
2018-01-04,693.5,699.38,685.72,698.53,125146
2018-01-05,690.78,714.5,691.0,708.03,542412
2018-01-08,706.0,720.0,706.0,715.0,419810
2018-01-09,717.53,719.0,700.75,704.88,56356
2018-01-10,699.85,715.35,697.5,699.6,230984
2018-01-11,700.05,704.25,690.0,692.03,127418
2018-01-12,697.0,702.15,687.5,687.5,283222
2018-01-15,692.5,711.47,692.75,702.95,216848
2018-01-16,705.5,709.47,696.5,700.0,141228
2018-01-17,700.03,709.22,694.65,702.42,83276
2018-01-18,699.22,723.85,699.5,716.85,331050
2018-01-19,720.95,721.5,702.65,715.0,168600
2018-01-22,719.0,737.4,711.05,725.0,340654
2018-01-23,728.0,732.5,718.0,720.0,309592
2018-01-24,717.0,733.5,716.8,725.5,364924
2018-01-25,718.5,730.0,702.75,707.03,497430
2018-01-29,710.03,713.67,685.0,687.5,623550
2018-01-30,687.0,685.33,673.5,680.0,347806
2018-01-31,679.0,684.97,670.0,678.5,230280
2018-02-01,684.97,687.45,672.5,677.5,577338
2018-02-02,676.45,692.42,665.0,680.0,178080
2018-02-05,660.03,698.72,660.0,669.0,329224
2018-02-06,645.0,670.0,635.78,665.0,199636
2018-02-07,665.25,697.0,660.0,685.0,216500
2018-02-08,687.88,700.7,678.03,693.5,311802
2018-02-09,675.5,724.95,666.3,715.0,456862
2018-02-12,717.17,721.5,704.33,718.45,172890
2018-02-14,720.5,720.8,708.5,718.5,256148
2018-02-15,716.0,717.53,706.0,708.65,136734
2018-02-16,706.0,725.0,700.5,702.0,735944
2018-02-19,704.88,706.53,688.5,697.5,153486
2018-02-20,697.5,699.97,686.53,688.5,125678
2018-02-21,688.5,691.5,672.33,679.0,186692
2018-02-22,675.05,679.0,653.2,661.5,393152
2018-02-23,661.5,677.62,660.78,674.0,207524
2018-02-26,672.5,678.67,660.0,678.67,231072
2018-02-27,678.5,692.0,668.67,671.0,266656
2018-02-28,674.0,692.97,664.92,683.0,848540
2018-03-01,680.0,681.5,658.75,670.72,882670
2018-03-05,669.0,687.9,655.35,687.9,936440
2018-03-06,685.0,687.5,669.65,680.0,1082288
2018-03-07,673.55,675.95,650.88,667.5,765998
2018-03-08,669.0,672.97,655.08,659.25,578470
2018-03-09,662.0,666.5,655.03,665.85,745898
2018-03-12,667.5,674.0,640.5,657.0,974630
2018-03-13,655.0,660.67,648.03,652.0,221538
2018-03-14,649.5,654.95,645.0,649.92,258956
2018-03-15,645.5,647.0,635.42,640.0,375332
2018-03-16,644.5,645.0,629.8,632.5,374698
2018-03-19,632.5,639.22,622.3,635.0,230368
2018-03-20,628.0,632.5,624.4,627.5,203048
2018-03-21,634.0,634.0,617.38,619.72,416646
2018-03-22,620.6,627.5,610.6,626.5,602260
2018-03-23,623.5,628.95,611.9,627.0,789842
2018-03-26,621.5,632.25,621.5,629.5,158634
2018-03-27,630.0,638.55,627.47,629.5,249362
2018-03-28,627.42,634.72,617.5,623.25,454734
2018-04-02,624.9,637.35,621.8,633.92,64876
2018-04-03,633.17,647.5,633.17,646.5,143602
2018-04-04,646.45,653.72,634.0,645.0,211846
2018-04-05,649.72,667.0,646.22,666.5,267704
2018-04-06,655.08,672.25,649.0,660.12,371744
2018-04-09,664.55,668.25,647.5,650.5,1968292
2018-04-10,654.88,658.5,648.22,651.5,474026
2018-04-11,652.58,665.0,652.58,662.5,474788
2018-04-12,665.25,666.33,652.58,657.5,308742
2018-04-13,664.8,669.55,658.5,663.9,233234
2018-04-16,655.0,678.28,655.0,673.5,151066
2018-04-17,676.5,679.25,666.33,667.97,100806
2018-04-18,667.03,680.78,666.03,676.1,196530
2018-04-19,679.97,700.38,673.85,695.5,431570
2018-04-20,690.03,709.0,684.97,702.45,783248
2018-04-23,699.8,707.22,696.42,700.9,289984
2018-04-24,705.03,723.97,703.45,704.05,1365220
2018-04-25,704.08,709.55,690.78,699.9,373294
2018-04-26,695.5,706.22,690.75,697.5,347098
2018-04-27,703.45,704.5,682.9,692.5,157688
2018-04-30,690.0,712.47,688.53,712.3,189114
2018-05-02,711.25,715.0,684.28,686.03,303574
2018-05-03,688.25,700.0,682.47,690.5,228042
2018-05-04,688.2,704.7,682.5,695.75,274040
2018-05-07,697.28,707.0,681.5,687.5,331516
2018-05-08,692.47,697.28,677.22,678.88,335790
2018-05-09,678.88,690.0,674.78,683.08,266038
2018-05-10,695.0,695.0,666.45,677.5,227312
2018-05-11,677.5,690.0,672.0,681.5,318238
2018-05-14,679.1,691.9,675.5,680.53,142864
2018-05-15,685.0,691.0,663.08,673.5,235282
2018-05-16,675.05,687.5,663.08,675.4,180742
2018-05-17,687.45,689.22,675.3,684.5,159440
2018-05-18,687.5,687.5,667.12,671.12,138836
2018-05-21,667.53,676.58,652.8,667.4,364068
2018-05-22,662.55,677.25,656.1,662.4,233244
2018-05-23,662.42,668.72,653.03,665.0,252958
2018-05-24,663.17,666.47,651.78,657.25,467704
2018-05-25,660.0,675.67,653.05,663.97,279372
2018-05-28,662.45,690.0,655.0,681.0,258704
2018-05-29,688.5,688.5,666.22,674.97,182838
2018-05-30,674.5,681.47,665.5,665.5,307536
2018-05-31,670.0,714.7,664.8,707.5,1185744
2018-06-01,700.75,743.85,700.75,719.0,1255594
2018-06-04,727.47,728.8,707.53,708.0,592980
2018-06-05,709.0,712.92,685.58,698.75,379530
2018-06-06,695.08,716.22,687.03,695.53,449176
2018-06-07,696.6,702.9,690.38,699.92,274770
2018-06-08,697.47,721.45,693.0,710.0,639132
2018-06-11,710.0,712.0,690.4,697.5,486838
2018-06-12,691.53,705.62,689.2,700.5,716754
2018-06-13,710.0,727.12,699.2,703.0,1018804
2018-06-14,707.28,727.5,698.5,724.0,542550
2018-06-15,724.75,759.2,724.75,741.0,1977092
2018-06-18,744.5,750.75,736.72,741.0,697246
2018-06-19,741.47,762.5,738.0,742.47,1129530
2018-06-20,744.45,752.0,738.0,744.75,535414
2018-06-21,747.5,749.5,736.08,737.5,431468
2018-06-22,737.78,738.0,722.5,733.5,395458
2018-06-25,734.28,744.0,727.28,731.0,432662
2018-06-26,731.0,734.97,725.25,731.53,321268
2018-06-27,727.5,732.22,701.0,717.5,263364
2018-06-28,725.0,725.0,696.78,698.58,301464
2018-06-29,705.47,714.55,697.67,701.5,334402
2018-07-02,705.55,714.3,695.33,709.0,248766
2018-07-03,708.8,730.03,700.2,724.28,525302
2018-07-04,726.53,729.5,709.65,714.0,338318
2018-07-05,715.5,723.92,706.08,711.9,259942
2018-07-06,709.97,721.0,704.62,707.97,437594
2018-07-09,710.25,728.9,703.0,727.5,407516
2018-07-10,726.65,733.22,715.45,732.5,509396
2018-07-11,727.97,740.0,724.5,735.0,657300
2018-07-12,737.97,740.33,723.03,729.97,456854
2018-07-13,728.22,730.67,718.4,721.5,496220
2018-07-16,716.05,734.0,715.0,715.42,631036
2018-07-17,717.1,727.97,712.5,727.88,310012
2018-07-18,730.5,745.97,719.0,719.53,455268
2018-07-19,722.5,724.0,705.28,710.03,268884
2018-07-20,710.33,717.75,707.75,709.0,177996
2018-07-23,710.5,738.42,702.28,722.5,317850
2018-07-24,723.95,740.1,716.2,735.0,402956
2018-07-25,735.0,743.12,731.0,740.0,299094
2018-07-26,739.58,750.5,737.5,747.53,408874
2018-07-27,749.0,754.4,738.88,744.0,171128
2018-07-30,747.3,747.5,737.5,743.0,328162
2018-07-31,738.5,766.58,734.97,762.5,914896
2018-08-01,765.0,772.5,757.17,759.53,393230
