date,open,high,low,close,volume
2017-07-03,241.0,241.0,235.15,240.0,191784
2017-07-04,240.3,241.7,236.0,236.0,68292
2017-07-05,238.95,238.95,236.0,236.05,102712
2017-07-06,236.05,243.0,236.05,242.05,1974740
2017-07-07,245.5,261.3,245.5,249.0,613215
2017-07-10,268.5,268.5,245.95,246.4,21474859322
2017-07-11,248.8,248.95,242.0,242.95,153253
2017-07-12,242.95,245.7,242.3,245.0,92965
2017-07-13,247.0,254.0,245.1,248.2,149340
2017-07-14,249.5,270.1,243.3,261.05,354453
2017-07-17,261.0,261.5,251.4,260.0,189501
2017-07-18,259.0,263.9,252.65,254.0,119433
2017-07-19,255.85,258.3,253.05,257.0,72458
2017-07-20,257.5,263.95,255.1,260.35,142381
2017-07-21,257.65,263.95,253.15,257.0,144493
2017-07-24,259.9,263.0,255.05,260.1,140509
2017-07-25,261.0,262.0,256.15,261.9,59986
2017-07-26,261.0,261.35,254.0,256.0,78970
2017-07-27,256.0,260.95,255.25,260.25,203744
2017-07-28,259.0,260.95,251.45,260.95,164546
2017-07-31,260.8,269.6,256.5,269.0,251979
2017-08-01,283.0,300.0,270.25,271.25,1549382
2017-08-02,273.85,279.95,265.85,275.2,348937
2017-08-03,275.0,281.95,271.2,280.0,387556
2017-08-04,279.95,284.0,273.5,278.25,212343
2017-08-07,283.0,284.0,279.0,283.0,168127
2017-08-08,283.65,283.65,275.25,279.75,108764
2017-08-09,279.0,279.0,273.05,274.0,254847
2017-08-10,276.0,276.0,262.25,269.0,159532
2017-08-11,260.0,270.0,259.9,265.35,48721
2017-08-14,263.0,281.45,263.0,281.0,117903
2017-08-16,278.0,279.85,270.5,272.0,105049
2017-08-17,278.0,281.0,270.0,273.1,105349
2017-08-18,272.95,272.95,264.0,265.95,73456
2017-08-21,268.9,272.5,267.0,270.5,47369
2017-08-22,267.0,289.8,267.0,282.0,1217458
2017-08-23,283.0,297.6,282.35,284.5,547402
2017-08-24,286.75,297.0,283.25,291.8,699163
2017-08-28,295.0,305.55,290.5,299.8,490004
2017-08-29,294.0,301.0,294.0,296.7,153286
2017-08-30,297.2,303.0,297.05,300.0,125116
2017-08-31,300.0,303.85,295.2,296.25,125038
2017-09-01,299.5,300.0,292.95,293.75,128919
2017-09-04,294.0,294.0,285.1,286.5,53215
2017-09-05,290.1,300.75,285.45,298.5,118352
2017-09-06,302.0,310.75,290.0,290.0,431561
2017-09-07,292.55,299.95,289.0,290.0,172800
2017-09-08,291.95,294.95,289.05,292.0,1046783
2017-09-11,292.35,297.4,290.45,293.5,95321
2017-09-12,295.0,304.8,292.0,300.0,208606
2017-09-13,300.0,303.6,291.05,293.5,140345
2017-09-14,294.65,298.0,291.6,293.0,65120
2017-09-15,294.9,295.0,289.0,290.0,77580
2017-09-18,290.5,294.75,290.0,290.15,49696
2017-09-19,293.5,325.65,291.1,311.0,1177595
2017-09-20,313.9,313.95,297.35,301.65,226095
2017-09-21,300.6,315.8,295.0,303.4,337005
2017-09-22,303.0,307.95,295.2,301.0,152287
2017-09-25,300.0,304.9,281.3,286.0,250021
2017-09-26,283.3,303.0,283.3,292.0,353868
2017-09-27,294.8,295.55,288.0,290.0,189109
2017-09-28,290.15,294.85,289.0,290.0,79551
2017-09-29,291.55,302.55,291.1,295.0,172742
2017-10-03,297.0,299.3,290.0,296.3,62034
2017-10-04,297.5,298.7,292.9,295.0,59046
2017-10-05,295.4,302.95,293.6,296.65,67007
2017-10-06,297.0,320.7,297.0,310.0,569364
2017-10-09,313.35,314.45,306.55,311.95,113135
2017-10-10,313.0,325.0,310.05,311.0,316109
2017-10-11,312.0,320.5,301.0,303.05,171622
2017-10-12,306.5,310.5,304.3,307.55,58446
2017-10-13,310.0,319.0,307.25,317.0,158593
2017-10-16,316.0,325.1,311.0,323.9,831217
2017-10-17,325.0,328.7,312.3,314.05,308974
2017-10-18,314.0,320.5,313.15,316.05,4295231558
2017-10-23,315.5,319.4,311.05,312.6,4221386686
2017-10-24,313.0,318.1,311.65,314.0,56893
2017-10-25,315.5,317.25,299.4,305.1,174773
2017-10-26,304.1,306.3,295.5,298.5,138159
2017-10-27,296.6,300.0,291.1,293.35,147644
2017-10-30,296.95,302.9,293.0,302.0,148012
2017-10-31,303.0,305.9,294.2,295.35,103930
2017-11-01,295.75,303.3,295.75,298.0,150826
2017-11-02,298.5,302.0,295.55,297.0,125528
2017-11-03,299.5,303.45,297.5,300.65,67686
2017-11-06,300.0,302.0,297.35,298.1,59105
2017-11-07,298.5,301.0,292.55,296.0,47615
2017-11-08,297.45,312.5,291.5,308.55,318234
2017-11-09,310.0,312.0,299.95,311.0,154578
2017-11-10,316.0,324.95,309.0,309.3,470809
2017-11-13,312.0,313.9,303.0,305.05,78652
2017-11-14,303.05,308.85,303.05,306.0,52874
2017-11-15,309.0,309.0,302.0,305.0,72210
2017-11-16,305.25,318.0,303.95,317.9,107972
2017-11-17,318.0,321.7,311.75,320.0,86726
2017-11-20,321.0,321.0,312.5,313.6,46782
2017-11-21,318.0,343.0,314.1,335.55,649920
2017-11-22,339.5,349.2,331.0,339.0,501364
2017-11-23,339.9,350.0,336.0,346.05,392359
2017-11-24,348.5,352.85,340.05,344.85,167704
2017-11-27,345.0,355.0,338.0,352.0,417813
2017-11-28,353.8,361.0,348.1,351.7,299278
